GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001MA,B25072_001EA,B25072_002MA,B25072_002EA,B25072_003EA,B25072_003MA,B25072_004EA,B25072_004MA,B25072_005EA,B25072_005MA,B25072_006MA,B25072_006EA,B25072_007MA,B25072_007EA,B25072_008EA,B25072_008MA,B25072_009EA,B25072_009MA,B25072_010MA,B25072_010EA,B25072_011EA,B25072_011MA,B25072_012MA,B25072_012EA,B25072_013EA,B25072_013MA,B25072_014EA,B25072_014MA,B25072_015EA,B25072_015MA,B25072_016EA,B25072_016MA,B25072_017MA,B25072_017EA,B25072_018EA,B25072_018MA,B25072_019EA,B25072_019MA,B25072_020EA,B25072_020MA,B25072_021MA,B25072_021EA,B25072_022EA,B25072_022MA,B25072_023EA,B25072_023MA,B25072_024EA,B25072_024MA,B25072_025EA,B25072_025MA,B25072_026EA,B25072_026MA,B25072_027EA,B25072_027MA,B25072_028MA,B25072_028EA,B25072_029EA,B25072_029MA,state
0400000US01,592795,11428,63137,3853,7712,1511,6433,1645,5779,1401,3950,1063,31648,3079,7615,1441,154735,5769,40216,3581,16699,2306,16945,2214,12485,2012,53663,3886,14727,2142,292195,8055,78114,5243,29914,3118,25596,2663,21988,2283,93633,4294,42950,3235,82728,4170,14070,1550,6426,1270,8544,1145,6707,1228,29307,2411,17674,2101,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,90263,3323,11585,1640,1632,644,1181,500,1657,726,469,300,6151,1278,495,278,28809,2382,10036,2055,2754,711,2083,712,3100,1117,8686,1256,2150,529,42604,2977,11658,1317,4578,964,4903,1084,2957,777,15194,1911,3314,675,7265,1016,1422,459,878,431,651,259,431,198,2614,608,1269,514,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,938180,12431,97591,4665,13161,1985,10377,1950,9682,1789,7791,1658,49195,3173,7385,1522,241639,6340,60651,4097,37835,2931,27896,2762,18577,2239,83050,4871,13630,1857,473576,10227,128739,6316,60201,3979,50772,3899,39465,3752,156393,6743,38006,3849,125374,4945,19411,1906,10599,1622,12468,2022,8558,1149,58327,3392,16011,1794,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,398663,8123,48128,3473,9258,1552,5118,1430,5191,1521,3208,961,20335,2342,5018,1236,102467,4464,29426,3022,13714,2060,11439,1863,7377,1558,32341,3142,8170,1443,189953,5910,51833,3600,21407,2593,16103,2094,13458,1974,63129,3971,24023,2200,58115,3130,9650,1356,4645,1056,5463,1063,5964,1211,20866,2022,11527,1772,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5985534,26745,360187,8742,37561,3112,29755,3126,27859,2589,27985,2990,206521,6920,30506,2840,1503011,13789,324505,8808,204530,7767,178582,6911,141121,7110,601007,11538,53266,4076,3312921,21904,703778,11795,397153,9582,367824,10199,299872,6860,1389340,17395,154954,6326,809415,13794,102216,5719,58035,3831,81667,4022,71623,3903,429477,10599,66397,3598,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,752117,9473,86200,4629,11083,1955,7568,1501,7042,1209,8778,1826,46922,3643,4807,1042,224971,6171,59942,4003,34319,2818,27699,2646,24145,2401,71074,4456,7792,1323,350832,6821,88275,4598,46286,3680,40915,3278,31263,3138,126570,5599,17523,1979,90114,4220,14278,1725,7591,1215,8631,1375,9517,1647,42428,3020,7669,1074,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,454668,8901,26754,2709,2684,924,2772,826,3583,1075,2233,855,13339,1667,2143,810,108294,4167,28285,2770,16452,2089,13354,1924,7456,1517,38374,3125,4373,1284,238726,7923,53035,4300,28711,3066,26844,2819,20436,2640,95359,5376,14341,1810,80894,3440,10760,1492,5587,1103,10354,1536,8469,1447,37731,2774,7993,1283,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,102914,4301,8030,1119,1257,560,1049,658,491,251,923,575,4005,816,305,222,26865,2200,8244,1463,3552,939,2486,727,1984,616,9632,1502,967,465,51707,3240,12792,2010,6776,1280,4430,1024,4048,1087,17121,2191,6540,1577,16312,1920,3183,925,1579,473,2276,761,1013,480,6519,1220,1742,611,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169232,4150,12312,1417,759,399,1075,503,499,331,1467,685,7803,1020,709,402,55443,2438,13462,1457,10092,1803,7378,1165,5264,1368,17353,1993,1894,726,80415,3426,21581,2241,10271,1690,8170,1486,6404,1502,28341,2515,5648,1168,21062,1778,4521,931,935,651,3687,1050,2211,795,8366,1235,1342,440,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2703113,22882,182748,7504,20583,2595,17646,2387,16032,2219,13060,1961,96747,5977,18680,2536,652219,13083,126238,6741,89697,5345,71304,5888,65237,5236,266867,9795,32876,3600,1452575,18466,283764,10164,176023,7400,156146,6715,129128,7008,615234,12706,92280,5077,415571,10171,50775,4115,33238,3080,40097,3405,33688,3190,211084,7441,46689,3399,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
