GEO_ID,B25128_001E,B25128_001M,B25128_002E,B25128_002M,B25128_003E,B25128_003M,B25128_004E,B25128_004M,B25128_005E,B25128_005M,B25128_006E,B25128_006M,B25128_007E,B25128_007M,B25128_008E,B25128_008M,B25128_009E,B25128_009M,B25128_010E,B25128_010M,B25128_011E,B25128_011M,B25128_012E,B25128_012M,B25128_013E,B25128_013M,B25128_014E,B25128_014M,B25128_015E,B25128_015M,B25128_016E,B25128_016M,B25128_017E,B25128_017M,B25128_018E,B25128_018M,B25128_019E,B25128_019M,B25128_020E,B25128_020M,B25128_021E,B25128_021M,B25128_022E,B25128_022M,B25128_023E,B25128_023M,B25128_024E,B25128_024M,B25128_025E,B25128_025M,B25128_026E,B25128_026M,B25128_027E,B25128_027M,B25128_028E,B25128_028M,B25128_029E,B25128_029M,B25128_030E,B25128_030M,B25128_031E,B25128_031M,B25128_032E,B25128_032M,B25128_033E,B25128_033M,B25128_034E,B25128_034M,B25128_035E,B25128_035M,B25128_036E,B25128_036M,B25128_037E,B25128_037M,B25128_038E,B25128_038M,B25128_039E,B25128_039M,B25128_040E,B25128_040M,B25128_041E,B25128_041M,B25128_042E,B25128_042M,B25128_043E,B25128_043M,B25128_044E,B25128_044M,B25128_045E,B25128_045M,NAME,B25128_001MA,B25128_001EA,B25128_002EA,B25128_002MA,B25128_003MA,B25128_003EA,B25128_004MA,B25128_004EA,B25128_005MA,B25128_005EA,B25128_006MA,B25128_006EA,B25128_007MA,B25128_007EA,B25128_008MA,B25128_008EA,B25128_009EA,B25128_009MA,B25128_010MA,B25128_010EA,B25128_011EA,B25128_011MA,B25128_012MA,B25128_012EA,B25128_013MA,B25128_013EA,B25128_014MA,B25128_014EA,B25128_015MA,B25128_015EA,B25128_016MA,B25128_016EA,B25128_017MA,B25128_017EA,B25128_018EA,B25128_018MA,B25128_019MA,B25128_019EA,B25128_020EA,B25128_020MA,B25128_021MA,B25128_021EA,B25128_022EA,B25128_022MA,B25128_023EA,B25128_023MA,B25128_024MA,B25128_024EA,B25128_025MA,B25128_025EA,B25128_026MA,B25128_026EA,B25128_027MA,B25128_027EA,B25128_028EA,B25128_028MA,B25128_029EA,B25128_029MA,B25128_030MA,B25128_030EA,B25128_031EA,B25128_031MA,B25128_032MA,B25128_032EA,B25128_033EA,B25128_033MA,B25128_034EA,B25128_034MA,B25128_035MA,B25128_035EA,B25128_036MA,B25128_036EA,B25128_037MA,B25128_037EA,B25128_038EA,B25128_038MA,B25128_039MA,B25128_039EA,B25128_040MA,B25128_040EA,B25128_041MA,B25128_041EA,B25128_042EA,B25128_042MA,B25128_043MA,B25128_043EA,B25128_044EA,B25128_044MA,B25128_045MA,B25128_045EA,state
0400000US01,1846390,11341,1253595,13117,121197,4869,10562,1376,70320,4190,35358,3182,2687,775,2270,836,0,192,729792,9201,17062,2204,150528,5749,300583,7814,167785,6123,61805,2924,32029,2558,402606,5857,4411,963,38202,3086,96673,4139,79627,3516,55458,3475,128235,4638,592795,11428,217872,6692,53692,4432,147599,5799,14099,1804,1739,757,743,505,0,192,292195,8055,35700,3823,173620,6270,62478,3581,12243,1614,4342,988,3812,867,82728,4170,6786,1321,33167,2805,24983,2314,8270,1281,3724,778,5798,1122,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,159922,3409,20869,1897,2182,689,13179,1425,4673,1093,704,392,131,61,0,149,105156,3233,2770,773,25814,2373,40492,2735,24025,1932,9081,1262,2974,580,33897,1762,269,187,3469,773,8875,1269,6904,950,6727,919,7653,1170,90263,3323,40394,2567,11658,1688,25819,2384,2157,725,673,473,87,50,0,149,42604,2977,7539,1237,24030,2314,8164,1223,2169,748,485,424,217,110,7265,1016,805,471,2610,577,2933,557,648,301,178,138,91,92,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,1524828,12566,145185,6027,15574,1988,88952,5019,36100,2746,2947,1060,1612,711,0,201,840471,9605,33469,3141,246263,5711,344133,7511,154922,6110,45867,2595,15817,1743,539172,6541,13901,1621,102029,4073,192317,5570,112406,3667,55272,2932,63247,3264,938180,12431,339230,7458,91386,4825,231920,7682,14367,1885,1147,499,410,234,0,201,473576,10227,67130,4166,316503,7997,75408,4605,9960,1721,3169,974,1406,497,125374,4945,15300,2066,68021,3785,29975,2840,7763,1299,2335,631,1980,543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,746000,10027,80602,4217,7585,1706,48296,3337,22423,2270,1656,726,642,404,0,190,421228,7830,9491,1409,93674,4232,177391,5836,93248,3701,32115,2282,15309,1629,244170,3965,3642,917,27281,1973,67110,3106,51532,3024,32637,2455,61968,2922,398663,8123,150595,5701,40186,3417,99608,5187,9148,1695,1221,574,432,411,0,190,189953,5910,32026,3003,110396,4828,35466,3122,7699,1107,1927,719,2439,764,58115,3130,5765,1241,25935,2353,15669,1764,5098,859,2219,605,3429,733,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,6910823,27840,546240,10980,56646,4132,343823,8819,122432,5471,15368,1743,7971,1397,0,201,4234837,24242,111452,5232,1019903,15678,1682183,20494,956312,13740,346902,7099,118085,4582,2129746,15220,27222,2543,212013,6604,446190,10005,405611,8456,391184,9024,647526,9239,5985534,26745,1863198,14977,363884,8256,1305181,13980,169030,5844,17107,2174,7996,1538,0,201,3312921,21904,300236,9379,1818265,19888,882273,14198,240564,7913,50032,3377,21551,2681,809415,13794,49611,3451,324623,8945,246129,7571,103058,4794,49354,3238,36640,2791,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1322618,9565,152371,5192,16989,1855,100545,4710,31736,3079,1857,721,1244,693,0,193,821791,7481,27969,2063,227826,6288,345639,8054,161500,4737,44129,2818,14728,1784,348456,4831,4580,926,46017,2921,95206,3898,76077,3164,51083,3002,75493,2852,752117,9473,311171,7873,83673,5845,213361,6407,13519,1864,530,296,88,127,0,193,350832,6821,48160,3340,222871,6510,63438,3636,12354,1847,2236,599,1773,707,90114,4220,10179,1708,45055,2942,23694,2241,6923,1024,1856,525,2407,646,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,889035,8413,67231,3744,8976,1433,40880,2681,15844,1694,772,551,759,460,0,198,562947,7214,10736,1432,99145,5232,226628,6842,146090,5162,58062,3406,22286,2073,258857,4319,2521,932,19009,1869,49064,3044,40658,2465,42433,2584,105172,3304,454668,8901,135048,5105,28506,3016,95271,4739,9522,1535,1273,643,476,361,0,198,238726,7923,27620,2932,130501,6839,60870,3639,13808,1732,4314,1010,1613,576,80894,3440,5747,1283,32498,2863,25567,2352,9193,1369,3784,887,4105,768,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,249681,4261,22561,2198,1345,557,13109,1621,6898,1371,536,472,673,582,0,190,146469,3424,4989,1108,27668,2458,63092,3049,33443,2454,13296,1856,3981,880,80651,2210,1563,733,8428,1047,22839,1813,14415,1223,11925,1315,21481,1706,102914,4301,34895,2620,8172,1542,23881,2201,2307,698,135,133,400,278,0,190,51707,3240,7428,1485,31115,2968,10075,1594,2129,625,212,157,748,441,16312,1920,919,461,7573,1509,4980,957,1762,758,417,257,661,353,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,112555,3556,15179,1935,1349,478,10526,1393,3165,1107,37,61,102,137,0,200,66671,2606,1802,609,17814,1570,28180,2072,11821,1637,4110,873,2944,834,30705,1621,488,284,2524,611,3059,686,5503,942,6966,976,12165,1166,169232,4150,67755,2528,14011,1639,46921,2796,6373,1399,48,81,402,418,0,200,80415,3426,6889,1427,43812,3206,19921,2576,6511,1338,1783,784,1499,792,21062,1778,862,426,5909,1104,5568,1171,3384,1028,1720,570,3619,832,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,4760071,23483,327971,9342,36549,3676,201541,8118,78350,5024,7717,1291,3814,1246,0,217,2556221,19119,95469,5530,682537,14432,1059715,16102,506182,10713,160726,6353,51592,3411,1875879,13142,46448,3148,335315,7353,629930,10319,414093,8803,231071,6979,219022,5867,2703113,22882,834967,15419,197391,8683,580998,13831,51136,4580,4135,1101,1307,572,0,217,1452575,18466,204383,8781,960075,15265,235636,7851,37033,3605,9918,1581,5530,1191,415571,10171,42129,3369,214400,6821,108461,5766,32584,2994,10491,1670,7506,1429,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
