GEO_ID,B27014_001E,B27014_001M,B27014_002E,B27014_002M,B27014_003E,B27014_003M,B27014_004E,B27014_004M,B27014_005E,B27014_005M,B27014_006E,B27014_006M,B27014_007E,B27014_007M,B27014_008E,B27014_008M,B27014_009E,B27014_009M,B27014_010E,B27014_010M,B27014_011E,B27014_011M,B27014_012E,B27014_012M,B27014_013E,B27014_013M,B27014_014E,B27014_014M,B27014_015E,B27014_015M,B27014_016E,B27014_016M,B27014_017E,B27014_017M,B27014_018E,B27014_018M,B27014_019E,B27014_019M,B27014_020E,B27014_020M,B27014_021E,B27014_021M,B27014_022E,B27014_022M,B27014_023E,B27014_023M,B27014_024E,B27014_024M,B27014_025E,B27014_025M,B27014_026E,B27014_026M,B27014_027E,B27014_027M,B27014_028E,B27014_028M,B27014_029E,B27014_029M,B27014_030E,B27014_030M,B27014_031E,B27014_031M,B27014_032E,B27014_032M,B27014_033E,B27014_033M,B27014_034E,B27014_034M,B27014_035E,B27014_035M,B27014_036E,B27014_036M,B27014_037E,B27014_037M,B27014_038E,B27014_038M,B27014_039E,B27014_039M,B27014_040E,B27014_040M,B27014_041E,B27014_041M,B27014_042E,B27014_042M,B27014_043E,B27014_043M,B27014_044E,B27014_044M,B27014_045E,B27014_045M,B27014_046E,B27014_046M,NAME,B27014_001MA,B27014_001EA,B27014_002MA,B27014_002EA,B27014_003EA,B27014_003MA,B27014_004EA,B27014_004MA,B27014_005EA,B27014_005MA,B27014_006MA,B27014_006EA,B27014_007MA,B27014_007EA,B27014_008EA,B27014_008MA,B27014_009EA,B27014_009MA,B27014_010EA,B27014_010MA,B27014_011EA,B27014_011MA,B27014_012MA,B27014_012EA,B27014_013EA,B27014_013MA,B27014_014MA,B27014_014EA,B27014_015MA,B27014_015EA,B27014_016EA,B27014_016MA,B27014_017EA,B27014_017MA,B27014_018MA,B27014_018EA,B27014_019EA,B27014_019MA,B27014_020MA,B27014_020EA,B27014_021MA,B27014_021EA,B27014_022EA,B27014_022MA,B27014_023MA,B27014_023EA,B27014_024MA,B27014_024EA,B27014_025MA,B27014_025EA,B27014_026EA,B27014_026MA,B27014_027EA,B27014_027MA,B27014_028MA,B27014_028EA,B27014_029MA,B27014_029EA,B27014_030EA,B27014_030MA,B27014_031MA,B27014_031EA,B27014_032MA,B27014_032EA,B27014_033EA,B27014_033MA,B27014_034MA,B27014_034EA,B27014_035MA,B27014_035EA,B27014_036MA,B27014_036EA,B27014_037EA,B27014_037MA,B27014_038MA,B27014_038EA,B27014_039MA,B27014_039EA,B27014_040MA,B27014_040EA,B27014_041EA,B27014_041MA,B27014_042MA,B27014_042EA,B27014_043MA,B27014_043EA,B27014_044EA,B27014_044MA,B27014_045MA,B27014_045EA,B27014_046MA,B27014_046EA,state
0400000US01,3674354,3461,1470365,14789,831100,10388,795139,9585,39919,3074,755220,9395,35961,2529,30688,2438,5273,1083,639265,11166,616889,10901,23820,2554,593069,11054,22376,1986,19760,1859,2616,667,762404,13963,327242,8750,289050,8239,34016,3123,255034,8122,38192,2432,36667,2321,1525,632,435162,11483,399254,10857,60213,4119,339041,9853,35908,2606,35046,2588,862,327,1441585,15328,576135,8523,327198,8120,164781,6633,162417,7285,248937,3740,247085,3638,1852,596,865450,11572,503550,10672,195212,7859,308338,10230,361900,3368,357976,3253,3924,988,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527165,1857,226598,5487,129751,3711,124824,3620,11657,1673,113167,3713,4927,690,3973,628,954,362,96847,3510,93921,3426,5346,1060,88575,3407,2926,736,2294,677,632,326,172430,5671,88301,3697,81693,3716,13120,1698,68573,3409,6608,805,6299,796,309,179,84129,3252,78832,3244,12658,1697,66174,3289,5297,797,4896,730,401,243,128137,4204,53411,2884,30201,2533,13808,1572,16393,2000,23210,1131,22966,1137,244,183,74726,2837,47608,2756,14728,1326,32880,2606,27118,1158,26466,1196,652,306,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5099961,2056,2050479,17933,1172913,12296,1130943,11815,114621,6451,1016322,11473,41970,2835,35143,2503,6827,1260,877566,11856,846926,11858,83168,5184,763758,11480,30640,2467,25818,2245,4822,939,1149964,14604,518668,9306,456487,9017,106534,5506,349953,9650,62181,2853,59078,2820,3103,956,631296,10911,574233,10820,134094,5952,440139,10756,57063,3173,54827,3130,2236,678,1899518,16723,778086,10046,372318,8881,197443,7513,174875,6239,405768,4099,396045,4190,9723,1479,1121432,13438,611167,12516,254406,9414,356761,9548,510265,3884,495991,4642,14274,2135,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2220606,2177,912157,10687,513247,7799,491767,7407,42520,3818,449247,7592,21480,1916,18227,1651,3253,992,398910,7801,383727,7674,29958,3089,353769,7096,15183,1726,13105,1431,2078,700,475000,8601,214503,6078,187772,5834,44389,3692,143383,5098,26731,2059,26034,2004,697,342,260497,6853,234998,6484,54742,3326,180256,5690,25499,1990,24927,1834,572,448,833449,9500,335445,6866,177199,5889,103315,4059,73884,4578,158246,2928,157089,2938,1157,554,498004,7652,283920,7362,136408,5837,147512,6370,214084,2667,210804,2823,3280,1038,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29546482,5416,12212833,47127,7191052,34604,6914834,32755,712779,14726,6202055,31887,276218,6420,210144,5417,66074,4037,5021781,28732,4844707,28817,487605,11853,4357102,30193,177074,6277,131083,4801,45991,3387,7385283,41116,3353048,31918,3051507,29721,787553,12777,2263954,26666,301541,5984,280794,6115,20747,2113,4032235,25155,3741609,22752,1020599,15754,2721010,21232,290626,7457,271806,7391,18820,2056,9948366,37815,3865948,25742,2182529,23462,1113907,18357,1068622,17671,1683419,8780,1637402,9372,46017,2957,6082418,30248,3716665,28024,1585175,21908,2131490,23454,2365753,8724,2289700,9327,76053,4620,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112535,3482,1920468,16939,1127090,11426,1086794,10980,84171,5079,1002623,11460,40296,2512,32818,2117,7478,1086,793378,10962,767260,10962,57717,4294,709543,10876,26118,1872,20931,1608,5187,1172,1081951,14425,477367,9913,422124,9037,94730,5215,327394,8328,55243,2966,53049,2771,2194,732,604584,10530,554705,9996,127735,6229,426970,9324,49879,2529,47961,2517,1918,592,1110116,13724,429693,8402,207057,7535,101519,5099,105538,5269,222636,3642,219716,3696,2920,732,680423,10183,378498,9630,135146,5886,243352,7693,301925,3412,292708,3447,9217,1563,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2776062,1382,1220497,10579,691529,8318,657311,8258,40771,2856,616540,8168,34218,2031,25737,1659,8481,1311,528968,7936,507864,7323,40226,3361,467638,7400,21104,1837,15785,1552,5319,1093,724369,12430,305083,7835,263523,7279,62150,4665,201373,7081,41560,2609,40379,2620,1181,444,419286,9194,377541,8978,84735,4712,292806,8116,41745,2670,38729,2336,3016,936,831196,9995,332619,7579,170560,6546,82272,4759,88288,4717,162059,3359,159708,3563,2351,776,498577,7286,255851,6864,101895,4842,153956,6548,242726,3139,236959,3058,5767,1251,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,727432,849,314627,7226,168284,4685,160836,4668,10953,1766,149883,4515,7448,1083,6056,1051,1392,567,146343,4756,141191,4540,12929,1969,128262,4697,5152,993,4341,912,811,437,169785,5553,74685,3816,64330,3700,15586,2185,48744,3117,10355,1283,9838,1210,517,530,95100,3588,85433,3449,22985,2260,62448,3107,9667,1096,9496,1084,171,148,243020,5269,100863,3688,48010,3382,26361,2562,21649,2613,52853,1574,51526,1626,1327,573,142157,3980,70882,3969,29512,2594,41370,3234,71275,1460,69503,1691,1772,712,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,543267,667,269020,4953,137060,3735,131914,3518,10291,1994,121623,3687,5146,924,3451,635,1695,779,131960,3720,127666,3629,12176,2177,115490,3670,4294,851,3165,752,1129,426,129993,5100,56143,3776,52001,3799,11688,1934,40313,3370,4142,904,3666,764,476,463,73850,3321,67319,3262,17315,1953,50004,2810,6531,996,6124,985,407,263,144254,4408,58113,2725,37988,2508,22383,2034,15605,1998,20125,912,19548,933,577,240,86141,3300,52702,2944,32048,2895,20654,2229,33439,1254,32025,1334,1414,435,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15866768,4364,6341312,33504,3498416,24679,3334664,24084,200068,8143,3134596,26016,163752,6040,137811,5272,25941,2743,2842896,21864,2734837,21354,145211,7129,2589626,21058,108059,4784,86763,4376,21296,2326,3380877,30194,1523607,20611,1308851,19793,190240,9553,1118611,18449,214756,6867,202352,6610,12404,1832,1857270,22170,1660623,20558,261101,8674,1399522,19156,196647,7405,187310,6867,9337,1726,6144579,30542,2550040,20773,1182865,19786,491641,15167,691224,16635,1367175,8328,1330382,8462,36793,2950,3594539,21613,1766347,21297,595519,14564,1170828,18262,1828192,8023,1773023,8492,55169,4171,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
