GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003EA,B27022_003MA,B27022_004EA,B27022_004MA,B27022_005EA,B27022_005MA,B27022_006EA,B27022_006MA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009EA,B27022_009MA,B27022_010EA,B27022_010MA,B27022_011EA,B27022_011MA,B27022_012MA,B27022_012EA,B27022_013MA,B27022_013EA,B27022_014EA,B27022_014MA,B27022_015EA,B27022_015MA,state
0400000US01,451842,7254,226486,4729,85147,5158,75091,5247,10056,1596,141339,6382,101318,5140,40021,3998,225356,5531,96326,5115,86343,4789,9983,1859,129030,5743,100331,5304,28699,3040,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76763,2491,41873,2179,12759,1938,10469,1716,2290,1079,29114,2206,20481,2129,8633,1248,34890,1561,11651,1572,10445,1505,1206,487,23239,1860,17861,1920,5378,1032,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,652868,7107,331200,5121,123008,6211,106518,6092,16490,2294,208192,6341,154990,6379,53202,4291,321668,4535,128844,5818,110773,5557,18071,2597,192824,6077,155623,5931,37201,3757,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,280111,5614,137814,3971,51259,3576,43754,3413,7505,1441,86555,4384,66820,4150,19735,3074,142297,4194,57338,3454,51659,3469,5679,1132,84959,4108,68307,3611,16652,2146,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3921545,16208,1993378,10487,865906,13656,777022,12988,88884,5618,1127472,16144,895457,16013,232015,10009,1928167,11217,947922,11357,859348,12165,88574,4585,980245,12881,846795,12354,133450,6396,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,518723,6560,267091,5263,97472,4627,91935,4476,5537,1261,169619,5642,138822,5615,30797,3531,251632,4100,102856,4597,97337,4633,5519,1118,148776,4700,129072,4246,19704,2923,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,337791,4291,169816,3104,73878,3388,69000,3410,4878,1442,95938,4514,79729,3920,16209,2813,167975,3229,84156,4140,78431,3737,5725,1806,83819,3378,74350,3882,9469,2251,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88962,2400,45433,1552,18516,2132,17915,2105,601,439,26917,2242,22356,2337,4561,1356,43529,1663,20137,1799,19705,1785,432,260,23392,2235,20881,2185,2511,978,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,83506,2331,37177,1588,20462,2107,19216,2172,1246,708,16715,2273,14662,2128,2053,785,46329,1676,23513,2368,22849,2299,664,434,22816,2386,22162,2347,654,357,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1761114,11435,894413,10221,359908,10208,303109,9726,56799,4829,534505,12136,355441,10242,179064,8156,866701,7240,404886,9261,346128,8730,58758,4968,461815,8871,350439,8708,111376,6184,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,978491,10181,481990,6514,177960,7624,149993,7620,27967,3375,304030,9406,200360,8710,103670,7143,496501,7273,221609,7730,184475,7245,37134,3510,274892,9232,195171,9555,79721,5936,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,123267,3382,62189,2697,22238,2098,20318,2092,1920,1169,39951,2830,36247,2700,3704,1010,61078,2035,25083,1971,23997,1915,1086,585,35995,2492,33003,2053,2992,1087,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
