GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003EA,C06007_003MA,C06007_004EA,C06007_004MA,C06007_005MA,C06007_005EA,C06007_006MA,C06007_006EA,C06007_007MA,C06007_007EA,C06007_008EA,C06007_008MA,C06007_009EA,C06007_009MA,C06007_010MA,C06007_010EA,C06007_011MA,C06007_011EA,C06007_012MA,C06007_012EA,C06007_013EA,C06007_013MA,C06007_014EA,C06007_014MA,C06007_015EA,C06007_015MA,C06007_016MA,C06007_016EA,C06007_017MA,C06007_017EA,C06007_018EA,C06007_018MA,C06007_019EA,C06007_019MA,C06007_020EA,C06007_020MA,C06007_021MA,C06007_021EA,C06007_022MA,C06007_022EA,C06007_023EA,C06007_023MA,C06007_024EA,C06007_024MA,C06007_025EA,C06007_025MA,state
0400000US01,4573857,3059,4340562,7794,233295,6823,133902,7074,99393,6450,3150132,19259,3099517,19079,50615,4053,37968,3432,12647,2515,1220839,19456,1179571,19231,41268,3708,32897,3337,8371,1784,34982,3153,26339,2540,8643,2282,6262,1702,2381,1167,167904,6956,35135,3587,132769,6552,56775,5207,75994,5495,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,573242,5241,110429,4952,75885,4393,34544,3246,263022,7696,225004,7950,38018,2428,29025,2342,8993,1247,346922,7238,325804,7193,21118,2748,18535,2695,2583,868,15404,2364,11137,2034,4267,1095,3413,891,854,430,58323,4024,11297,1797,47026,3605,24912,2554,22114,2717,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,4665381,19982,1732824,19913,1161194,18965,571630,14481,2302804,21371,1656200,23050,646604,15255,555390,13835,91214,4430,3091787,18707,2808353,17864,283434,9564,249686,9859,33748,3041,95076,6836,61223,6178,33853,3292,25884,2586,7969,1691,908538,15538,139605,6898,768933,15362,330234,10349,438699,12776,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,2587171,6795,202329,6989,110386,6937,91943,5424,1676263,14989,1636011,15347,40252,3526,31698,3657,8554,2020,949831,15053,907559,14699,42272,4463,36174,4241,6098,1227,21540,3145,16990,2857,4550,1559,3167,1149,1383,968,141866,5501,26611,3259,115255,4997,39347,3408,75908,4497,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,20311365,52760,16325804,52812,9521533,48326,6804271,41419,19119917,48954,13214256,55173,5905661,41331,5170397,40024,735264,17188,6385649,36200,5756358,36540,629291,12442,531998,11814,97293,4712,493795,12632,264037,9842,229758,8760,168606,6986,61152,4900,10637808,47221,1076714,15889,9561094,45798,3650532,32748,5910562,36535,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,4241887,16122,881148,15845,565712,13217,315436,9287,2041260,22419,1784699,23217,256561,11203,221758,10440,34803,3956,2465339,21990,2308150,20113,157189,8697,131489,7750,25700,3280,82987,5920,57880,3973,25107,4003,20860,3756,4247,1135,533449,13399,91158,5107,442291,12309,191605,9393,250686,8831,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,2641970,12367,762388,12313,483649,11267,278739,9853,1822498,14917,1649079,14727,173419,8185,157881,8410,15538,2017,937573,13992,847333,13551,90240,6003,80295,5666,9945,1730,127659,6373,28465,2890,99194,6302,53361,4424,45833,3501,516628,14042,117093,6837,399535,12937,192112,8359,207423,10593,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,773482,5383,117007,5405,77767,5163,39240,3285,386088,9509,364029,9379,22059,2659,19154,2719,2905,1078,405584,8981,384875,8645,20709,2910,17169,2621,3540,1255,12178,2077,4601,1001,7577,1866,4630,1612,2947,829,86639,5355,19977,3031,66662,4306,36814,3659,29848,3004,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,519448,6266,109550,6266,75811,5741,33739,4304,207222,5901,192839,5701,14383,2141,10898,2297,3485,1463,314845,7211,292310,7105,22535,3116,19741,2573,2794,1104,12509,2462,7620,1787,4889,1541,4455,1538,434,345,94422,5506,26679,3138,67743,5055,40717,3761,27026,3714,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,13620187,42067,5552812,40766,3288580,31619,2264232,34289,6328035,43280,5296122,39055,1031913,19284,933284,19265,98629,6123,8070675,48069,7389770,43915,680905,18746,607107,18402,73798,5085,710100,18556,190790,8842,519310,17447,330484,14234,188826,9791,4064189,41567,743505,17639,3320684,39182,1417705,27821,1902979,31038,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
