GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001MA,C08128_001EA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004MA,C08128_004EA,C08128_005MA,C08128_005EA,C08128_006MA,C08128_006EA,C08128_007MA,C08128_007EA,C08128_008EA,C08128_008MA,C08128_009EA,C08128_009MA,C08128_010EA,C08128_010MA,C08128_011MA,C08128_011EA,C08128_012MA,C08128_012EA,C08128_013MA,C08128_013EA,C08128_014MA,C08128_014EA,C08128_015MA,C08128_015EA,C08128_016MA,C08128_016EA,C08128_017MA,C08128_017EA,C08128_018MA,C08128_018EA,C08128_019MA,C08128_019EA,C08128_020MA,C08128_020EA,C08128_021MA,C08128_021EA,C08128_022MA,C08128_022EA,C08128_023MA,C08128_023EA,C08128_024MA,C08128_024EA,C08128_025MA,C08128_025EA,C08128_026MA,C08128_026EA,C08128_027MA,C08128_027EA,C08128_028MA,C08128_028EA,C08128_029MA,C08128_029EA,C08128_030MA,C08128_030EA,state
0400000US01,2011723,14261,1604318,11632,306930,8818,96735,4327,3740,1056,1719972,17414,1381188,13340,271136,9402,65160,3729,2488,728,180752,8814,145121,8213,25280,2797,10003,1825,348,367,6066,1497,5225,1428,660,343,181,132,0,192,41176,3928,31686,3531,5886,1294,3428,1257,176,137,63757,4204,41098,3430,3968,1018,17963,2363,728,645,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,363075,5057,239416,5767,101923,3947,20839,2097,897,437,246577,5808,166190,5728,68499,3591,11546,1710,342,256,45738,3719,29587,2956,14211,1917,1525,455,415,319,5608,1198,4313,985,1143,645,152,183,0,149,49057,2998,30486,2482,16159,1874,2361,529,51,55,16095,2050,8840,1506,1911,597,5255,1082,89,116,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2899727,18330,2317416,19179,412909,10726,164505,7276,4897,1123,2234511,19297,1806253,19897,326593,9470,98593,5368,3072,915,307864,9774,243765,8225,45506,4518,17760,2486,833,549,59686,5009,49941,4569,7268,1342,2355,965,122,118,137985,5865,106040,5427,23672,2476,7939,1582,334,214,159681,5505,111417,5127,9870,1465,37858,3143,536,305,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1253288,11443,973969,12640,198197,7263,78519,5224,2603,785,1035546,12520,816788,14172,166207,6895,50718,3938,1833,658,134929,6559,102282,5864,23608,2371,8661,1547,378,273,5791,1358,4232,1117,1455,649,104,106,0,190,38652,3478,30216,2929,4316,1020,3885,1040,235,210,38370,2875,20451,2197,2611,1021,15151,1846,157,148,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17633846,45164,13742318,50700,2435971,26354,1425582,21191,29975,2892,13031320,44004,10315063,44956,1851119,23534,850344,15669,14794,2008,1770281,22978,1401096,19549,226733,7953,137635,6378,4817,908,923600,17713,759582,16105,112308,4863,50777,3959,933,760,938606,16520,734149,14368,135908,7162,66030,3862,2519,870,970039,14583,532428,11661,109903,5546,320796,10114,6912,2123,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2740368,17973,2184904,19655,381902,9696,168157,7941,5405,1260,2095695,15550,1688851,16789,302916,8619,101348,5489,2580,763,230500,9673,184200,8151,33553,3465,11872,1870,875,512,80917,5089,67743,4595,11471,1645,1657,667,46,77,138352,5456,105065,4968,25388,1938,7551,1389,348,206,194904,7005,139045,5905,8574,1652,45729,3754,1556,718,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1773121,10609,1423223,11292,238178,8351,108115,5127,3605,1149,1391000,13837,1115601,12251,202778,6911,70665,4500,1956,664,138902,8841,116475,8097,13900,2364,8180,1365,347,295,87516,4837,78407,4762,6339,1293,2554,699,216,237,70824,4528,56659,4068,9976,1927,3904,1129,285,221,84879,4806,56081,3992,5185,1100,22812,2263,801,554,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,441183,6008,357838,6782,65009,4036,17836,2558,500,342,359029,7204,292238,6883,55663,3626,10945,1845,183,201,34752,3224,28895,3318,4582,890,1108,558,167,213,12104,1902,10046,1675,1632,705,426,421,0,190,14420,1932,12045,1739,1936,897,439,340,0,190,20878,2186,14614,1783,1196,660,4918,1435,150,157,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,358150,4914,250141,5118,90676,4813,16942,2121,391,248,120333,5085,83196,4372,31039,2514,6011,1241,87,102,18456,2298,11051,1781,6517,1534,888,594,0,200,128135,5462,92323,4895,33614,2845,2198,733,0,200,69697,5009,50224,4394,17457,2350,1799,727,217,199,21529,2463,13347,1690,2049,828,6046,1513,87,102,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8880102,34688,7287714,36326,1057568,17748,520569,14085,14251,2101,7075864,36592,5838419,36994,905480,16285,324195,10796,7770,1577,794711,17495,659773,16580,84846,5714,47495,4938,2597,923,195638,9094,164219,7390,18245,2493,13087,3012,87,100,320582,10899,273046,9788,27945,3015,18163,2364,1428,704,493307,15108,352257,11689,21052,2448,117629,7200,2369,802,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
