GEO_ID,C16006_001E,C16006_001M,C16006_002E,C16006_002M,C16006_003E,C16006_003M,C16006_004E,C16006_004M,C16006_005E,C16006_005M,C16006_006E,C16006_006M,NAME,C16006_001EA,C16006_001MA,C16006_002EA,C16006_002MA,C16006_003EA,C16006_003MA,C16006_004MA,C16006_004EA,C16006_005MA,C16006_005EA,C16006_006EA,C16006_006MA,state
0400000US01,170790,2648,49260,5331,121072,4525,57812,4699,63260,5239,458,350,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46754,405,25284,2601,21123,2689,15555,2415,5568,1271,347,380,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1912870,-555555555,657561,16292,1247196,16739,819365,14684,427831,12458,8113,2779,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,04
0400000US05,184556,2322,57984,6002,125909,5435,62121,5210,63788,4824,663,477,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13869916,1222,3520738,42560,10293653,43212,5966762,42048,4326891,33918,55525,5589,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1060425,1071,488435,14120,567450,13984,348446,10383,219004,9087,4540,1354,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,505771,638,126661,6939,375518,6928,227591,6510,147927,6621,3592,1242,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,76716,-555555555,19522,2786,56944,2772,35365,2670,21579,2218,250,263,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63847,-555555555,15864,3118,47761,3142,26259,2932,21502,3633,222,223,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4625817,1672,800926,24056,3803636,24263,2111960,25205,1691676,28273,21255,3332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,853206,3613,187551,10394,662222,9948,347085,9657,315137,7943,3433,1762,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
