GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001MA,C17001_001EA,C17001_002EA,C17001_002MA,C17001_003EA,C17001_003MA,C17001_004MA,C17001_004EA,C17001_005MA,C17001_005EA,C17001_006MA,C17001_006EA,C17001_007EA,C17001_007MA,C17001_008EA,C17001_008MA,C17001_009EA,C17001_009MA,C17001_010MA,C17001_010EA,C17001_011MA,C17001_011EA,C17001_012EA,C17001_012MA,C17001_013EA,C17001_013MA,C17001_014EA,C17001_014MA,C17001_015MA,C17001_015EA,C17001_016MA,C17001_016EA,C17001_017MA,C17001_017EA,C17001_018EA,C17001_018MA,C17001_019EA,C17001_019MA,state
0400000US01,4736333,2309,876016,23918,381195,12360,147948,7292,209744,7353,23503,2366,494821,14263,142877,6519,301867,9031,50077,2561,3860317,23932,1901820,13173,410332,7767,1191901,7956,299587,3039,1958497,14860,391801,6906,1196589,9836,370107,3043,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720765,857,74532,5835,35945,3488,14663,2225,19756,1888,1526,561,38587,3263,13186,1715,23789,2067,1612,480,646233,5969,339570,4071,79860,2610,226491,2298,33219,962,306663,3333,75530,2117,197404,2133,33729,959,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6671705,3550,1159043,29822,531785,16373,196905,9069,299382,11120,35498,2329,627258,17563,196953,9129,366587,11506,63718,3342,5512662,29567,2744114,16322,614424,8899,1655269,11787,474421,2664,2768548,18067,587302,9407,1646996,11635,534250,3641,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2887337,2988,550508,17473,248564,9129,98389,6546,133717,5805,16458,1882,301944,11344,89304,5304,181815,7285,30825,2498,2336829,17428,1159057,9648,257216,6554,711842,6245,189999,2299,1177772,12220,244972,6200,708859,7589,223941,2780,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38398057,6625,5891678,66827,2705197,33757,962031,17852,1548608,23481,194558,6963,3186481,40688,939474,19261,1935606,27321,311401,7702,32506379,67593,16260896,36223,3620251,19036,10574025,24684,2066620,7212,16245483,39665,3460125,19272,10263306,27233,2522052,7572,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5339618,2635,613549,20501,283545,11078,91084,6146,174286,7257,18175,2038,330004,12443,91457,5893,207744,8401,30803,2056,4726069,20499,2383146,11683,541153,6369,1541993,8252,300000,2067,2342923,14170,516175,7152,1479629,9093,347119,2391,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480932,2053,366909,15789,163704,8207,56654,4676,93533,5695,13517,1992,203205,9987,52639,4904,124711,6744,25855,2552,3114023,16430,1531319,9517,326900,5519,980099,5728,224320,2349,1582704,9465,315688,4614,987296,6646,279720,2784,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920355,878,114360,9567,49867,5441,19905,3385,26694,3107,3268,880,64493,5453,19067,2822,38928,3773,6498,945,805995,9555,394364,5402,82619,3338,244357,3337,67388,1084,411631,5633,79685,3023,252350,3687,79596,1165,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638027,441,110500,8628,48884,4573,13427,2189,30918,3372,4539,1017,61616,5454,16302,2587,38686,3435,6628,1163,527527,8607,254249,4846,45610,2255,183765,3662,24874,1179,273278,5335,40719,2624,194923,3378,37636,1168,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19850054,6121,3116886,47330,1395141,28385,474832,14613,767391,18039,152918,6861,1721745,27411,456769,14144,1018738,19081,246238,7423,16733168,46952,8222078,28649,1576719,14606,5052594,19273,1592765,7671,8511090,29508,1525882,15332,5098548,19780,1886660,7762,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9943145,3984,1694988,33156,734925,19733,300535,13363,397532,11889,36858,3175,960063,21257,302819,10360,571034,14429,86210,4543,8248157,33718,4063751,20157,960633,12324,2588586,12972,514532,3908,4184406,23253,903366,11517,2648336,15038,632704,5042,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1394121,1528,147984,8530,70606,5232,21969,3304,40759,3222,7878,1312,77378,5445,21469,2881,45544,3646,10365,1380,1246137,8707,628808,5720,133905,3757,397535,3292,97368,1437,617329,5969,128670,2965,371404,3799,117255,1684,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1622116,2056,245551,13820,114198,6462,39673,3844,66831,4178,7694,1496,131353,9281,35961,3885,82408,6391,12984,1836,1376565,14140,692653,6777,177976,4597,409859,4625,104818,1969,683912,9486,170853,4036,399552,6536,113507,2299,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12559422,3422,1703258,35831,754336,18982,281474,12006,421266,10325,51596,3322,948922,21478,277310,9998,573997,14093,97615,3851,10856164,35922,5375344,18421,1203583,12129,3454048,10160,717713,3792,5480820,22728,1155695,10619,3427028,14190,898097,4476,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6417418,3611,933181,24656,403747,12292,158634,8234,223407,8225,21706,2142,529434,15573,163886,8084,320503,9738,45045,3133,5484237,25635,2737450,13342,628627,8568,1720556,8754,388267,2816,2746787,17521,594841,9596,1677873,11047,474073,3713,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3021823,2361,367414,13279,163093,7495,52781,3738,99710,4912,10602,1133,204321,7978,52759,4099,128543,5266,23019,1775,2654409,13148,1333089,8131,310936,4358,818423,5411,203730,1599,1321320,7462,298457,3991,782687,5595,240176,2376,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2830943,2019,368879,13898,170171,7869,60669,4673,100452,5144,9050,1117,198708,8114,61660,4394,116282,5469,20766,1877,2462064,14154,1231785,7858,301493,4630,757564,5627,172728,1735,1230279,8925,287423,5270,738294,6043,204562,2419,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4290022,2851,794055,21101,350768,11983,127375,7415,198542,7783,24851,2445,443287,12060,128731,5881,266713,8146,47843,2861,3495967,20677,1745038,12175,377891,6929,1103525,8078,263622,2479,1750929,12475,354274,5952,1081402,8842,315253,3346,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4541688,2472,889946,24422,377757,12645,155412,8089,195296,8086,27049,2185,512189,15349,157298,7985,300772,9925,54119,3215,3651742,24500,1819367,14210,412926,8963,1158707,9249,247734,2846,1832375,15296,376506,8065,1152789,10452,303080,3210,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1292996,1632,172620,9255,77965,4910,22746,3123,46943,3330,8276,875,94655,5727,20597,2314,60818,4372,13240,1483,1120376,9135,552956,5485,105903,3449,344686,3582,102367,1117,567420,5913,99645,2494,348322,4740,119453,1673,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5863290,3873,570776,21279,239835,10919,85551,6477,134325,6795,19959,1814,330941,12903,89573,6462,201342,7769,40026,3056,5292514,21702,2589905,11057,591529,7147,1660368,6946,338008,2328,2702609,13537,559369,6881,1717650,8510,425590,3682,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6558724,2955,752071,21473,327193,10865,104236,6371,192777,8330,30180,2674,424878,14330,98277,6893,264313,9248,62288,4173,5806653,21672,2854512,11686,594851,7179,1852648,8301,407013,3081,2952141,14299,569702,7209,1876191,9545,506248,4985,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9698396,3148,1529645,27659,685013,15474,247969,8845,396986,10238,40058,2078,844632,15844,237951,7889,526983,10484,79698,3158,8168751,27937,4062027,16067,858267,9941,2562009,10428,641751,2565,4106724,16207,821147,8288,2513850,11036,771727,3716,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5366594,2516,546431,16392,247529,9103,83861,5602,143953,5356,19715,1697,298902,10071,81538,4581,183305,6277,34059,1992,4820163,16770,2420613,10195,563543,5785,1525465,6176,331605,2572,2399550,10658,533962,4829,1476883,6666,388705,2525,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2896579,1923,637128,21554,276030,11793,113114,6264,144951,7317,17965,1983,361098,13051,111159,6322,214366,7659,35573,2330,2259451,21322,1112732,11719,251432,6781,693554,7746,167746,2678,1146719,12498,241774,6441,697803,8198,207142,2654,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5901967,3392,875495,21660,383187,10537,136761,7147,221106,6889,25320,2380,492308,15731,138950,8224,300907,9607,52451,3290,5026472,21716,2498621,11326,560142,7693,1560437,7224,378042,3118,2527851,15741,527065,8228,1542611,10459,458175,3843,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1007727,1004,147287,8916,69482,4416,21261,2646,43013,2711,5208,859,77805,5664,21576,3096,48144,3392,8085,995,860440,9117,435206,4727,91769,2771,264908,3244,78529,1092,425234,5841,86285,3442,256601,3548,82348,1219,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1842682,1204,231321,10619,101366,5631,37672,3424,57275,3470,6419,940,129955,6522,40330,3561,76377,4030,13248,1369,1611361,10690,814349,5938,198653,3648,502182,3904,113514,1152,797012,6683,186399,3716,477048,4432,133565,2024,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2850472,2159,418243,18129,194549,9394,72375,5777,107453,5794,14721,1859,223694,10912,64973,5447,138499,7059,20222,2150,2432229,18209,1225445,9975,262577,6192,780138,6043,182730,1951,1206784,10914,257909,5794,748810,7093,200065,2308,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1288060,1341,106046,8442,45784,4269,15690,2490,26034,2931,4060,826,60262,5421,11902,1728,39670,4313,8690,1158,1182014,8385,590303,4433,116246,3116,381508,3228,92549,1144,591711,5661,114347,2250,372313,4577,105051,1439,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8781575,3097,946114,26304,416763,13254,153341,8066,227773,8379,35649,2570,529351,16885,154897,8935,307760,9912,66694,3545,7835461,26223,3852840,13892,853355,8302,2475904,8952,523581,3294,3982621,17200,811815,9632,2493211,9889,677595,4337,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2044431,1676,417834,15720,199446,8443,72484,4620,113453,5750,13509,1601,218388,9710,68569,5335,127160,5692,22659,2455,1626597,15638,808326,9009,180585,4984,493029,6126,134712,2004,818271,9707,171870,5571,491766,6029,154635,2681,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19283776,5245,2970032,47607,1306073,23768,462238,13688,731211,15342,112624,4740,1663959,30030,447784,13564,1007843,18757,208332,6927,16313744,48287,8033175,24646,1658399,14191,5255934,16085,1118842,4973,8280569,29998,1567978,14282,5282011,18550,1430580,7330,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9790073,3862,1607835,31818,709633,17839,269951,10787,395175,10472,44507,2995,898202,20866,259684,11068,547245,13396,91273,4074,8182238,31003,4037585,16932,883283,10024,2553963,10985,600339,4264,4144653,21105,841371,10346,2565930,14403,737352,4796,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,731354,783,80170,5329,36666,3403,10937,1983,23069,2666,2660,622,43504,3428,9371,1546,27727,2576,6406,789,651184,5457,337065,4300,74493,2164,218875,3469,43697,891,314119,3680,73717,2200,191692,2701,48710,1025,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11295340,4411,1674415,34580,741150,17635,277163,10193,416488,10511,47499,2674,933265,22002,273107,11116,573277,13083,86881,3866,9620925,34830,4768748,17966,1045190,10797,2991464,10923,732094,3300,4852177,22218,991203,11002,2957279,13177,903695,4692,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3795764,1895,610828,15093,272140,8214,106510,5603,149916,5162,15714,1410,338688,9592,102483,5164,205092,6311,31113,1818,3184936,15010,1595022,7969,378446,5785,983718,5901,232858,1950,1589914,10482,354668,5297,956960,6956,278286,2516,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3952077,2585,607029,22484,278457,12324,86089,6483,174790,7470,17578,2058,328572,12632,84570,6354,213869,7714,30133,2577,3345048,22564,1668008,12625,344441,6693,1043540,7888,280027,2779,1677040,13088,327612,6904,1026575,7809,322853,3167,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12385716,4035,1629995,31848,719852,17734,261335,10510,403957,11230,54560,3072,910143,18506,251458,9634,549533,11934,109152,4839,10755721,31866,5308524,17756,1092047,10990,3355134,11357,861343,3431,5447197,19691,1040835,9786,3329791,13581,1076571,5125,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1016343,626,141035,9670,62131,5050,19565,2829,36340,3312,6226,1366,78904,5936,21001,2974,47345,3988,10558,1682,875308,9611,430603,5904,87714,2967,278002,3932,64887,1547,444705,5595,80985,2723,282570,4068,81150,1589,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4750144,3538,790715,22651,345502,13127,133841,6981,187473,9218,24188,2236,445213,13304,122338,6504,275049,9333,47826,3447,3959429,22711,1949183,12163,416781,6348,1210812,9953,321590,2340,2010246,15921,394178,8734,1233085,9971,382983,4095,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,829644,1156,114071,7467,50410,4496,18608,2482,27643,3010,4159,1267,63661,4410,18639,1879,38547,3128,6475,937,715573,7505,365907,4748,87804,2652,223342,3397,54761,1046,349666,4737,80295,2220,206697,3480,62674,1609,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6440381,3291,1077900,30450,483282,16272,182600,7864,266940,9858,33742,2811,594618,17687,172575,8577,358519,11046,63524,3052,5362481,30455,2638972,17096,563939,8386,1669215,11184,405818,3415,2723509,19150,550766,9720,1687543,11871,485200,3440,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26846203,6615,4255517,65900,1900782,33299,836449,21168,942431,18357,121902,5302,2354735,39687,800859,19423,1353436,24710,200440,6213,22590686,66191,11311736,36997,2791943,22150,7244080,20726,1275713,5727,11278950,38744,2694294,20666,7047286,24445,1537370,6802,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
