GEO_ID,C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,NAME,C17013_001MA,C17013_001EA,C17013_002MA,C17013_002EA,C17013_003EA,C17013_003MA,C17013_004EA,C17013_004MA,C17013_005EA,C17013_005MA,C17013_006MA,C17013_006EA,C17013_007MA,C17013_007EA,C17013_008MA,C17013_008EA,C17013_009EA,C17013_009MA,C17013_010EA,C17013_010MA,C17013_011MA,C17013_011EA,state
0400000US01,1213540,13821,166755,6801,65748,4856,72306,4045,24616,2736,4085,1096,1046785,12834,541435,8609,413499,9384,82980,4023,8871,1501,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,3755,841,4688,1038,1782,460,1305,518,152270,3239,72044,2956,57620,3419,17983,1818,4623,777,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,63619,4129,80709,4370,42234,3754,12539,1811,1399313,13718,714752,10583,504061,10374,152588,5522,27912,2322,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,40848,3056,42225,3538,17670,2166,3814,1030,656937,9657,344722,7419,250085,6483,55627,3793,6503,1288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,291104,8140,429298,10967,225574,7947,53342,3668,7836588,26834,3165228,19695,3343178,27322,1098641,14157,229541,7564,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,37140,2897,42496,3679,16883,2079,4757,1290,1230585,10898,599351,9401,481219,7938,129386,5638,20629,2352,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,25176,2579,31097,2819,7913,1409,968,509,811034,9505,385340,8072,341847,7004,76974,3395,6873,1383,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,6916,1146,8750,1667,3647,1143,1111,733,214961,4577,108935,3977,81661,3431,21532,2176,2833,1006,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,7148,1516,7052,1183,2802,1057,492,275,107684,3823,56018,3392,41584,3300,8059,1367,2023,695,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,215368,6960,223222,9850,86793,4844,15959,2297,4265269,27423,2289469,21413,1567484,18349,363168,9532,45148,3454,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2466415,18717,321564,10162,110305,5726,144381,7259,54925,4666,11953,1792,2144851,17728,995601,15360,887016,12677,229020,7055,33214,3677,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309386,5548,21219,2256,8797,1507,7585,1410,3454,1090,1383,543,288167,5332,123266,4126,111998,3985,38883,2724,14020,1573,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,400347,7093,43746,3497,17063,2465,18562,2534,6723,1316,1398,525,356601,6930,181572,5433,117899,5195,47920,3701,9210,1395,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3099463,16945,304063,7705,101136,4529,137084,5766,52948,3898,12895,1817,2795400,17541,1283884,13187,1138567,14507,332412,8902,40537,2487,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1633695,12071,166356,6469,57470,3859,75638,4555,27539,2677,5709,1170,1467339,11736,734369,10661,571708,9413,142258,5725,19004,2480,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796799,8505,61086,3406,24835,2058,24535,2225,10121,1468,1595,455,735713,8038,396743,7173,251874,5743,79426,3147,7670,1198,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,720780,8954,60794,3634,23043,2026,23593,2466,11560,1768,2598,729,659986,8919,332169,5977,249542,7074,69273,3534,9002,1228,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1131839,10422,158373,6094,62408,3960,68818,4128,22354,2467,4793,1154,973466,9634,507835,7974,375259,7294,81356,4212,9016,1516,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1108586,12393,162872,6472,60154,4164,75367,4565,22552,2236,4799,1125,945714,12281,464618,8020,384150,9818,88158,5724,8788,1493,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,342926,5736,30547,2392,15540,1689,11574,1802,2902,992,531,278,312379,5283,182028,3831,109182,4385,18425,1711,2744,730,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
