GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001MA,C23002H_001EA,C23002H_002EA,C23002H_002MA,C23002H_003MA,C23002H_003EA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006MA,C23002H_006EA,C23002H_007EA,C23002H_007MA,C23002H_008MA,C23002H_008EA,C23002H_009MA,C23002H_009EA,C23002H_010MA,C23002H_010EA,C23002H_011MA,C23002H_011EA,C23002H_012EA,C23002H_012MA,C23002H_013EA,C23002H_013MA,C23002H_014MA,C23002H_014EA,C23002H_015MA,C23002H_015EA,C23002H_016MA,C23002H_016EA,C23002H_017EA,C23002H_017MA,C23002H_018EA,C23002H_018MA,C23002H_019MA,C23002H_019EA,C23002H_020EA,C23002H_020MA,C23002H_021EA,C23002H_021MA,C23002H_022MA,C23002H_022EA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025MA,C23002H_025EA,C23002H_026EA,C23002H_026MA,C23002H_027MA,C23002H_027EA,state
0400000US01,2637765,3173,1274842,2311,1009470,2250,758376,6410,6276,1237,752100,6723,709171,7082,42929,3375,251094,6708,265372,298,52826,2557,50755,2563,2071,653,212546,2632,1362923,2178,1027149,2135,637770,7993,913,484,636857,7924,601325,7985,35532,3072,389379,7959,335774,249,37675,2585,36086,2567,1589,601,298099,2568,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,368914,1013,199135,728,171132,728,146376,1932,10927,1511,135449,2336,126521,2830,8928,1767,24756,1956,28003,12,8231,897,7594,907,637,348,19772,898,169779,717,143512,720,105034,2198,1109,438,103925,2186,98469,2157,5456,952,38478,2187,26267,80,5384,839,4820,784,564,348,20883,828,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3229413,2859,1584883,1824,1163068,1700,889236,7300,9642,1480,879594,7403,827441,8199,52153,3894,273832,7395,421815,477,67816,3098,64405,2992,3411,739,353999,3078,1644530,2032,1160736,1964,790796,8226,1451,647,789345,8241,746828,8196,42517,3276,369940,8115,483794,465,56807,2882,54521,2760,2286,716,426987,2867,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1780345,2148,866572,1563,681180,1522,507634,6015,2658,733,504976,5997,478786,6058,26190,2631,173546,6029,185392,194,33899,2220,32468,2187,1431,391,151493,2199,913773,1574,684930,1508,437941,5790,234,261,437707,5775,416015,5598,21692,2314,246989,5768,228843,270,29881,2167,29472,2199,409,222,198962,2169,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12733729,7532,6333057,4300,4960463,4395,3894933,15815,66501,3686,3828432,15829,3574680,17835,253752,7082,1065530,15503,1372594,737,325043,6400,310235,6173,14808,1567,1047551,6511,6400672,4963,4737333,4895,3270472,17939,8684,1626,3261788,18061,3065114,18413,196674,6692,1466861,17059,1663339,632,251652,7368,242500,7153,9152,1211,1411687,7289,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3108656,3389,1548186,2807,1275709,2777,1066621,7336,17101,2146,1049520,7847,996985,8750,52535,4674,209088,6657,272477,211,67681,2967,64983,3052,2698,792,204796,2958,1560470,1734,1236668,1729,933174,8574,3100,849,930074,8577,891706,8789,38368,3154,303494,8277,323802,269,54674,2583,53073,2493,1601,579,269128,2584,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2064514,2890,995644,1752,786129,1733,651328,5608,5866,1108,645462,5719,607160,5689,38302,2742,134801,5645,209515,173,56659,2621,53858,2748,2801,641,152856,2642,1068870,2038,796083,1931,606331,6061,536,333,605795,6040,577621,6222,28174,2428,189752,5863,272787,333,46307,2422,44617,2356,1690,681,226480,2452,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,506352,1405,242751,883,184579,879,145182,2879,2183,709,142999,2884,134527,2769,8472,1454,39397,2761,58172,39,11171,1197,10714,1180,457,261,47001,1200,263601,965,192585,969,140698,3059,284,336,140414,3129,132899,3419,7515,1389,51887,3011,71016,35,9653,1075,9382,1057,271,189,61363,1076,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217700,801,108640,321,96731,321,85000,1504,2098,643,82902,1555,80339,1702,2563,810,11731,1504,11909,200,4222,612,3968,628,254,170,7687,612,109060,752,95490,752,80444,1886,406,240,80038,1934,77650,2030,2388,749,15046,1818,13570,200,3698,612,3655,626,43,69,9872,612,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9620794,5962,4683165,4439,3324656,4467,2533305,11625,31848,2945,2501457,11551,2334989,14135,166468,8528,791351,12621,1358509,868,243371,6587,233915,6482,9456,1230,1115138,6508,4937629,4148,3346025,4047,2285200,14096,3901,1240,2281299,14179,2154416,14187,126883,5878,1060825,14421,1591604,1866,183939,5259,177002,5399,6937,1266,1407665,5352,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
