GEO_ID,C25095_001E,C25095_001M,C25095_002E,C25095_002M,C25095_003E,C25095_003M,C25095_004E,C25095_004M,C25095_005E,C25095_005M,C25095_006E,C25095_006M,C25095_007E,C25095_007M,C25095_008E,C25095_008M,C25095_009E,C25095_009M,C25095_010E,C25095_010M,C25095_011E,C25095_011M,C25095_012E,C25095_012M,C25095_013E,C25095_013M,C25095_014E,C25095_014M,C25095_015E,C25095_015M,C25095_016E,C25095_016M,C25095_017E,C25095_017M,C25095_018E,C25095_018M,C25095_019E,C25095_019M,C25095_020E,C25095_020M,C25095_021E,C25095_021M,C25095_022E,C25095_022M,C25095_023E,C25095_023M,C25095_024E,C25095_024M,C25095_025E,C25095_025M,C25095_026E,C25095_026M,C25095_027E,C25095_027M,C25095_028E,C25095_028M,C25095_029E,C25095_029M,NAME,C25095_001EA,C25095_001MA,C25095_002EA,C25095_002MA,C25095_003EA,C25095_003MA,C25095_004MA,C25095_004EA,C25095_005EA,C25095_005MA,C25095_006EA,C25095_006MA,C25095_007EA,C25095_007MA,C25095_008EA,C25095_008MA,C25095_009EA,C25095_009MA,C25095_010EA,C25095_010MA,C25095_011EA,C25095_011MA,C25095_012EA,C25095_012MA,C25095_013MA,C25095_013EA,C25095_014EA,C25095_014MA,C25095_015MA,C25095_015EA,C25095_016EA,C25095_016MA,C25095_017EA,C25095_017MA,C25095_018EA,C25095_018MA,C25095_019EA,C25095_019MA,C25095_020EA,C25095_020MA,C25095_021EA,C25095_021MA,C25095_022EA,C25095_022MA,C25095_023EA,C25095_023MA,C25095_024EA,C25095_024MA,C25095_025EA,C25095_025MA,C25095_026EA,C25095_026MA,C25095_027EA,C25095_027MA,C25095_028EA,C25095_028MA,C25095_029EA,C25095_029MA,state
0400000US01,1253595,13117,65350,4045,7451,1238,40768,3200,17131,2330,120855,4970,56557,3536,64298,3855,0,192,194394,6570,131582,4632,62812,3739,0,192,171974,4674,136259,4227,35715,2648,0,192,248330,5778,225546,5698,22784,2421,0,192,164813,6682,158497,6530,6316,1235,0,192,287879,7984,283120,7851,4759,1147,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159922,3409,3978,790,276,149,3410,751,292,213,6059,868,2313,472,3746,719,0,149,12102,1398,6713,897,5389,949,0,149,16447,1750,8807,1225,7640,1341,0,149,26816,2059,18416,1623,8400,1418,0,149,25255,2197,21147,2109,4108,928,0,149,69265,2969,66936,3076,2329,740,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524828,12566,71535,3441,7352,1273,41549,2932,22634,2347,105607,4156,39672,2791,65935,3716,0,201,200703,6786,109008,4684,91695,4838,0,201,206854,6499,138051,4602,68803,4248,0,201,298711,7752,245348,6781,53363,3452,0,201,215259,6963,198547,6327,16712,2104,0,201,426159,8111,414276,7867,11883,1882,0,201,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,746000,10027,35983,2948,3865,926,23949,2140,8169,1339,77719,3751,38140,2729,39579,2702,0,190,121827,4910,82858,3961,38969,2768,0,190,113682,5058,95569,4591,18113,2096,0,190,151070,5280,141646,4902,9424,1654,0,190,95818,4284,92837,4202,2981,901,0,190,149901,4935,148338,4867,1563,601,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6910823,27840,205425,5742,7780,1370,144128,5195,53517,3296,342364,9279,87341,4160,255023,7764,0,201,641157,10382,253404,6426,387753,8600,0,201,665534,11192,319122,7275,346412,9503,0,201,1095990,14744,623703,10624,472287,11113,0,201,942442,14279,662569,11990,279873,7990,0,201,3017911,20085,2673641,19795,344270,9242,0,201,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1322618,9565,35946,2336,1451,454,27035,2132,7460,1289,62706,3911,18591,1795,44115,3569,0,193,123582,5371,58590,3456,64992,4059,0,193,147332,5254,84592,3895,62740,3726,0,193,236133,7407,173165,6597,62968,4422,0,193,203158,6012,180173,6363,22985,2458,0,193,513761,8264,496677,8261,17084,1954,0,193,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,889035,8413,19454,2369,168,156,13864,1861,5422,1188,35474,2657,1287,490,34187,2622,0,198,70324,3810,16013,1545,54311,3176,0,198,79911,4215,33109,2669,46802,3286,0,198,135508,4574,81434,3805,54074,3758,0,198,126183,4679,92993,4581,33190,2573,0,198,422181,8141,391959,7980,30222,2125,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,249681,4261,8199,1329,231,154,5837,1261,2131,723,13131,1655,3144,747,9987,1488,0,190,29073,2420,12996,1712,16077,1817,0,190,30522,2516,18373,1844,12149,1843,0,190,47868,3067,35468,2978,12400,1679,0,190,40931,2904,37303,2729,3628,881,0,190,79957,3255,78264,3257,1693,517,0,190,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112555,3556,2539,710,75,127,2059,622,405,237,3523,997,484,308,3039,986,0,200,6781,1268,1901,620,4880,1088,0,200,7364,1263,3194,706,4170,988,0,200,12053,1462,7287,1149,4766,950,0,200,11795,1315,9287,1286,2508,646,0,200,68500,3080,63701,3114,4799,994,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4760071,23483,232820,7758,13549,1602,149208,6125,70063,4515,393697,9044,131154,6451,262543,8552,0,217,700668,12326,369934,10270,330734,9107,0,217,660233,11809,432405,9147,227828,6949,0,217,910334,14298,724996,12976,185338,7057,0,217,630942,13029,564828,13008,66114,3871,0,217,1231377,14919,1177918,15342,53459,3774,0,217,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2261166,19480,94953,5125,5977,1197,64075,3876,24901,2924,160874,5932,59064,4000,101810,4621,0,214,288430,8786,152886,5602,135544,6206,0,214,294308,8852,200357,7754,93951,5140,0,214,434418,11072,360398,9840,74020,4160,0,214,308902,7909,286064,7534,22838,2280,0,214,679281,11115,662206,10858,17075,2038,0,214,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
