B01001C_001E,B01001C_001M,B01001C_002E,B01001C_002M,B01001C_003E,B01001C_003M,B01001C_004E,B01001C_004M,B01001C_005E,B01001C_005M,B01001C_006E,B01001C_006M,B01001C_007E,B01001C_007M,B01001C_008E,B01001C_008M,B01001C_009E,B01001C_009M,B01001C_010E,B01001C_010M,B01001C_011E,B01001C_011M,B01001C_012E,B01001C_012M,B01001C_013E,B01001C_013M,B01001C_014E,B01001C_014M,B01001C_015E,B01001C_015M,B01001C_016E,B01001C_016M,B01001C_017E,B01001C_017M,B01001C_018E,B01001C_018M,B01001C_019E,B01001C_019M,B01001C_020E,B01001C_020M,B01001C_021E,B01001C_021M,B01001C_022E,B01001C_022M,B01001C_023E,B01001C_023M,B01001C_024E,B01001C_024M,B01001C_025E,B01001C_025M,B01001C_026E,B01001C_026M,B01001C_027E,B01001C_027M,B01001C_028E,B01001C_028M,B01001C_029E,B01001C_029M,B01001C_030E,B01001C_030M,B01001C_031E,B01001C_031M,B01001C_001M,B01001C_001EA,B01001C_001MA,B01001C_002M,B01001C_002EA,B01001C_002MA,B01001C_003M,B01001C_003EA,B01001C_003MA,B01001C_004M,B01001C_004EA,B01001C_004MA,B01001C_005M,B01001C_005EA,B01001C_005MA,B01001C_006M,B01001C_006EA,B01001C_006MA,B01001C_007M,B01001C_007EA,B01001C_007MA,B01001C_008M,B01001C_008EA,B01001C_008MA,B01001C_009M,B01001C_009EA,B01001C_009MA,B01001C_010M,B01001C_010EA,B01001C_010MA,B01001C_011M,B01001C_011EA,B01001C_011MA,B01001C_012M,B01001C_012EA,B01001C_012MA,B01001C_013M,B01001C_013EA,B01001C_013MA,B01001C_014M,B01001C_014EA,B01001C_014MA,B01001C_015M,B01001C_015EA,B01001C_015MA,B01001C_016M,B01001C_016EA,B01001C_016MA,B01001C_017M,B01001C_017EA,B01001C_017MA,B01001C_018M,B01001C_018EA,B01001C_018MA,B01001C_019M,B01001C_019EA,B01001C_019MA,B01001C_020M,B01001C_020EA,B01001C_020MA,B01001C_021M,B01001C_021EA,B01001C_021MA,B01001C_022M,B01001C_022EA,B01001C_022MA,B01001C_023M,B01001C_023EA,B01001C_023MA,B01001C_024M,B01001C_024EA,B01001C_024MA,B01001C_025M,B01001C_025EA,B01001C_025MA,B01001C_026M,B01001C_026EA,B01001C_026MA,B01001C_027M,B01001C_027EA,B01001C_027MA,B01001C_028M,B01001C_028EA,B01001C_028MA,B01001C_029M,B01001C_029EA,B01001C_029MA,B01001C_030M,B01001C_030EA,B01001C_030MA,B01001C_031M,B01001C_031EA,B01001C_031MA,state
52738,5590,28304,3668,706,418,1543,851,1413,584,1380,777,703,390,2851,1137,1262,517,2016,1132,4004,1092,4891,1067,4160,1036,2287,666,801,389,287,211,24434,2963,1050,581,998,448,1010,512,1465,562,710,383,1312,517,1535,656,1122,681,4135,1294,3751,876,4028,972,1673,676,1540,585,105,168,5590,null,null,3668,null,null,418,null,null,851,null,null,584,null,null,777,null,null,390,null,null,1137,null,null,517,null,null,1132,null,null,1092,null,null,1067,null,null,1036,null,null,666,null,null,389,null,null,211,null,null,2963,null,null,581,null,null,448,null,null,512,null,null,562,null,null,383,null,null,517,null,null,656,null,null,681,null,null,1294,null,null,876,null,null,972,null,null,676,null,null,585,null,null,168,null,null,12
37939,5767,18047,3279,1496,664,1036,579,1646,844,1385,632,251,204,1126,713,2285,967,989,605,3277,1428,1619,843,2319,877,544,350,74,109,0,218,19892,3341,1153,621,1446,796,1372,605,1238,539,577,495,1817,826,1329,628,765,445,2828,1285,3146,872,2011,821,1790,662,12,27,408,369,5767,null,null,3279,null,null,664,null,null,579,null,null,844,null,null,632,null,null,204,null,null,713,null,null,967,null,null,605,null,null,1428,null,null,843,null,null,877,null,null,350,null,null,109,null,null,218,null,null,3341,null,null,621,null,null,796,null,null,605,null,null,539,null,null,495,null,null,826,null,null,628,null,null,445,null,null,1285,null,null,872,null,null,821,null,null,662,null,null,27,null,null,369,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
26596,2540,13385,1558,1115,531,799,405,1380,507,441,308,380,347,1188,513,735,468,1031,615,1411,613,2234,774,1283,472,1139,510,238,234,11,23,13211,1565,1015,403,895,545,1186,543,1022,548,427,334,1028,454,611,485,950,442,1936,689,1311,480,1732,600,780,414,198,192,120,150,2540,null,null,1558,null,null,531,null,null,405,null,null,507,null,null,308,null,null,347,null,null,513,null,null,468,null,null,615,null,null,613,null,null,774,null,null,472,null,null,510,null,null,234,null,null,23,null,null,1565,null,null,403,null,null,545,null,null,543,null,null,548,null,null,334,null,null,454,null,null,485,null,null,442,null,null,689,null,null,480,null,null,600,null,null,414,null,null,192,null,null,150,null,null,16
30470,3672,17022,2633,498,324,1474,647,1086,388,439,204,449,272,1317,623,776,484,807,406,3242,1070,3148,907,1668,616,1407,562,529,576,182,181,13448,1789,519,258,1111,638,728,410,417,269,362,173,936,437,969,445,827,401,1959,577,2091,589,2007,582,994,493,297,205,231,215,3672,null,null,2633,null,null,324,null,null,647,null,null,388,null,null,204,null,null,272,null,null,623,null,null,484,null,null,406,null,null,1070,null,null,907,null,null,616,null,null,562,null,null,576,null,null,181,null,null,1789,null,null,258,null,null,638,null,null,410,null,null,269,null,null,173,null,null,437,null,null,445,null,null,401,null,null,577,null,null,589,null,null,582,null,null,493,null,null,205,null,null,215,null,null,17
17515,2431,9299,1619,675,383,361,241,118,147,288,300,396,369,454,265,483,254,1221,609,1443,759,654,336,2042,758,780,376,361,281,23,43,8216,1696,0,192,427,412,456,360,488,339,223,233,369,326,603,376,343,228,900,522,1720,631,1354,646,1097,438,192,171,44,62,2431,null,null,1619,null,null,383,null,null,241,null,null,147,null,null,300,null,null,369,null,null,265,null,null,254,null,null,609,null,null,759,null,null,336,null,null,758,null,null,376,null,null,281,null,null,43,null,null,1696,null,null,192,null,null,412,null,null,360,null,null,339,null,null,233,null,null,326,null,null,376,null,null,228,null,null,522,null,null,631,null,null,646,null,null,438,null,null,171,null,null,62,null,null,18
10488,1711,5143,1237,298,230,306,234,282,339,79,73,212,184,604,315,367,292,87,71,740,421,801,409,775,421,470,293,122,139,0,159,5345,1214,183,159,315,255,707,454,56,71,106,85,689,442,217,249,261,190,564,315,883,537,706,388,519,307,115,182,24,27,1711,null,null,1237,null,null,230,null,null,234,null,null,339,null,null,73,null,null,184,null,null,315,null,null,292,null,null,71,null,null,421,null,null,409,null,null,421,null,null,293,null,null,139,null,null,159,null,null,1214,null,null,159,null,null,255,null,null,454,null,null,71,null,null,85,null,null,442,null,null,249,null,null,190,null,null,315,null,null,537,null,null,388,null,null,307,null,null,182,null,null,27,null,null,19
21620,2567,11338,1501,583,278,724,414,1021,427,582,275,224,214,730,315,462,255,761,330,2040,641,1663,471,1354,527,793,375,376,186,25,36,10282,1658,673,394,555,299,477,319,663,260,113,119,1294,856,1073,558,365,213,1117,437,1256,451,1318,477,946,432,345,215,87,163,2567,null,null,1501,null,null,278,null,null,414,null,null,427,null,null,275,null,null,214,null,null,315,null,null,255,null,null,330,null,null,641,null,null,471,null,null,527,null,null,375,null,null,186,null,null,36,null,null,1658,null,null,394,null,null,299,null,null,319,null,null,260,null,null,119,null,null,856,null,null,558,null,null,213,null,null,437,null,null,451,null,null,477,null,null,432,null,null,215,null,null,163,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
25508,2617,12885,1900,805,658,1183,843,1295,795,461,248,319,308,1213,571,1080,510,292,227,1435,585,2107,673,1471,469,705,355,307,246,212,181,12623,1498,578,346,450,222,1238,328,963,609,122,169,749,513,1318,502,983,535,1409,488,1848,552,1180,445,1101,352,394,300,290,271,2617,null,null,1900,null,null,658,null,null,843,null,null,795,null,null,248,null,null,308,null,null,571,null,null,510,null,null,227,null,null,585,null,null,673,null,null,469,null,null,355,null,null,246,null,null,181,null,null,1498,null,null,346,null,null,222,null,null,328,null,null,609,null,null,169,null,null,513,null,null,502,null,null,535,null,null,488,null,null,552,null,null,445,null,null,352,null,null,300,null,null,271,null,null,22
