B05008_001E,B05008_001M,B05008_002E,B05008_002M,B05008_003E,B05008_003M,B05008_004E,B05008_004M,B05008_005E,B05008_005M,B05008_006E,B05008_006M,B05008_007E,B05008_007M,B05008_008E,B05008_008M,B05008_009E,B05008_009M,B05008_010E,B05008_010M,B05008_011E,B05008_011M,B05008_012E,B05008_012M,B05008_013E,B05008_013M,B05008_014E,B05008_014M,B05008_015E,B05008_015M,B05008_016E,B05008_016M,B05008_017E,B05008_017M,B05008_018E,B05008_018M,B05008_019E,B05008_019M,B05008_020E,B05008_020M,B05008_021E,B05008_021M,B05008_022E,B05008_022M,B05008_023E,B05008_023M,B05008_024E,B05008_024M,B05008_025E,B05008_025M,B05008_026E,B05008_026M,B05008_027E,B05008_027M,B05008_028E,B05008_028M,B05008_029E,B05008_029M,B05008_030E,B05008_030M,B05008_031E,B05008_031M,B05008_032E,B05008_032M,B05008_033E,B05008_033M,B05008_034E,B05008_034M,B05008_035E,B05008_035M,B05008_036E,B05008_036M,B05008_037E,B05008_037M,B05008_038E,B05008_038M,B05008_039E,B05008_039M,B05008_040E,B05008_040M,B05008_041E,B05008_041M,B05008_042E,B05008_042M,B05008_043E,B05008_043M,B05008_044E,B05008_044M,B05008_045E,B05008_045M,B05008_046E,B05008_046M,B05008_047E,B05008_047M,B05008_048E,B05008_048M,B05008_049E,B05008_049M,B05008_050E,B05008_050M,B05008_051E,B05008_051M,B05008_052E,B05008_052M,B05008_053E,B05008_053M,B05008_054E,B05008_054M,B05008_055E,B05008_055M,B05008_056E,B05008_056M,B05008_057E,B05008_057M,B05008_058E,B05008_058M,B05008_059E,B05008_059M,B05008_060E,B05008_060M,B05008_061E,B05008_061M,B05008_062E,B05008_062M,B05008_063E,B05008_063M,B05008_064E,B05008_064M,B05008_065E,B05008_065M,B05008_066E,B05008_066M,B05008_067E,B05008_067M,B05008_068E,B05008_068M,B05008_069E,B05008_069M,B05008_001M,B05008_001EA,B05008_001MA,B05008_002M,B05008_002EA,B05008_002MA,B05008_003M,B05008_003EA,B05008_003MA,B05008_004M,B05008_004EA,B05008_004MA,B05008_005M,B05008_005EA,B05008_005MA,B05008_006M,B05008_006EA,B05008_006MA,B05008_007M,B05008_007EA,B05008_007MA,B05008_008M,B05008_008EA,B05008_008MA,B05008_009M,B05008_009EA,B05008_009MA,B05008_010M,B05008_010EA,B05008_010MA,B05008_011M,B05008_011EA,B05008_011MA,B05008_012M,B05008_012EA,B05008_012MA,B05008_013M,B05008_013EA,B05008_013MA,B05008_014M,B05008_014EA,B05008_014MA,B05008_015M,B05008_015EA,B05008_015MA,B05008_016M,B05008_016EA,B05008_016MA,B05008_017M,B05008_017EA,B05008_017MA,B05008_018M,B05008_018EA,B05008_018MA,B05008_019M,B05008_019EA,B05008_019MA,B05008_020M,B05008_020EA,B05008_020MA,B05008_021M,B05008_021EA,B05008_021MA,B05008_022M,B05008_022EA,B05008_022MA,B05008_023M,B05008_023EA,B05008_023MA,B05008_024M,B05008_024EA,B05008_024MA,B05008_025M,B05008_025EA,B05008_025MA,B05008_026M,B05008_026EA,B05008_026MA,B05008_027M,B05008_027EA,B05008_027MA,B05008_028M,B05008_028EA,B05008_028MA,B05008_029M,B05008_029EA,B05008_029MA,B05008_030M,B05008_030EA,B05008_030MA,B05008_031M,B05008_031EA,B05008_031MA,B05008_032M,B05008_032EA,B05008_032MA,B05008_033M,B05008_033EA,B05008_033MA,B05008_034M,B05008_034EA,B05008_034MA,B05008_035M,B05008_035EA,B05008_035MA,B05008_036M,B05008_036EA,B05008_036MA,B05008_037M,B05008_037EA,B05008_037MA,B05008_038M,B05008_038EA,B05008_038MA,B05008_039M,B05008_039EA,B05008_039MA,B05008_040M,B05008_040EA,B05008_040MA,B05008_041M,B05008_041EA,B05008_041MA,B05008_042M,B05008_042EA,B05008_042MA,B05008_043M,B05008_043EA,B05008_043MA,B05008_044M,B05008_044EA,B05008_044MA,B05008_045M,B05008_045EA,B05008_045MA,B05008_046M,B05008_046EA,B05008_046MA,B05008_047M,B05008_047EA,B05008_047MA,B05008_048M,B05008_048EA,B05008_048MA,B05008_049M,B05008_049EA,B05008_049MA,B05008_050M,B05008_050EA,B05008_050MA,B05008_051M,B05008_051EA,B05008_051MA,B05008_052M,B05008_052EA,B05008_052MA,B05008_053M,B05008_053EA,B05008_053MA,B05008_054M,B05008_054EA,B05008_054MA,B05008_055M,B05008_055EA,B05008_055MA,B05008_056M,B05008_056EA,B05008_056MA,B05008_057M,B05008_057EA,B05008_057MA,B05008_058M,B05008_058EA,B05008_058MA,B05008_059M,B05008_059EA,B05008_059MA,B05008_060M,B05008_060EA,B05008_060MA,B05008_061M,B05008_061EA,B05008_061MA,B05008_062M,B05008_062EA,B05008_062MA,B05008_063M,B05008_063EA,B05008_063MA,B05008_064M,B05008_064EA,B05008_064MA,B05008_065M,B05008_065EA,B05008_065MA,B05008_066M,B05008_066EA,B05008_066MA,B05008_067M,B05008_067EA,B05008_067MA,B05008_068M,B05008_068EA,B05008_068MA,B05008_069M,B05008_069EA,B05008_069MA,state
4236511,36057,1987115,23391,184662,7582,34133,4629,33546,3228,116983,6561,204219,7369,49903,5224,45042,4635,109274,4512,1498247,21992,307562,15210,432879,13579,757806,15245,818468,17337,164389,10384,212170,10294,441909,11797,350366,13769,158922,8801,26036,4791,59946,5098,72940,5789,191444,10606,37075,5180,60011,5625,94358,6553,329413,13337,80062,7652,100752,7560,148599,7711,99987,5647,27740,3894,20928,2735,51319,3110,2249396,21961,228391,8206,30936,3192,41946,3991,155509,6489,252690,7659,65666,6525,60288,5124,126736,5426,1674104,20110,333890,14627,469338,14494,870876,12946,934626,16868,184591,11061,233342,10346,516693,11111,307157,11119,118399,8383,11552,2336,47595,5464,59252,5627,188758,8768,32378,4672,57256,4438,99124,6357,432321,14638,105369,7955,131145,8619,195807,8123,94211,5964,25202,2993,19655,2934,49354,3340,36057,null,null,23391,null,null,7582,null,null,4629,null,null,3228,null,null,6561,null,null,7369,null,null,5224,null,null,4635,null,null,4512,null,null,21992,null,null,15210,null,null,13579,null,null,15245,null,null,17337,null,null,10384,null,null,10294,null,null,11797,null,null,13769,null,null,8801,null,null,4791,null,null,5098,null,null,5789,null,null,10606,null,null,5180,null,null,5625,null,null,6553,null,null,13337,null,null,7652,null,null,7560,null,null,7711,null,null,5647,null,null,3894,null,null,2735,null,null,3110,null,null,21961,null,null,8206,null,null,3192,null,null,3991,null,null,6489,null,null,7659,null,null,6525,null,null,5124,null,null,5426,null,null,20110,null,null,14627,null,null,14494,null,null,12946,null,null,16868,null,null,11061,null,null,10346,null,null,11111,null,null,11119,null,null,8383,null,null,2336,null,null,5464,null,null,5627,null,null,8768,null,null,4672,null,null,4438,null,null,6357,null,null,14638,null,null,7955,null,null,8619,null,null,8123,null,null,5964,null,null,2993,null,null,2934,null,null,3340,null,null,12
1038312,21781,520276,11705,41029,4203,7788,1889,11120,2322,22121,2746,148006,5896,41290,4441,39021,3312,67695,4315,270432,6699,40473,4241,101824,5109,128135,5467,42884,4485,6286,1921,11169,2364,25429,3099,198320,5942,143729,6416,13965,2766,59999,5118,69765,4962,54591,6083,12886,3397,19872,2813,21833,2904,29228,3449,7336,1883,10784,2159,11108,2255,60809,6181,14017,2715,18852,3030,27940,4306,518036,13240,49731,4658,10209,2340,11474,1905,28048,3149,164622,6279,46828,5346,47968,3443,69826,3951,239269,7748,35290,4736,89102,5429,114877,5911,50441,4253,8051,2141,9538,1938,32852,3159,153938,6087,114455,5032,11647,2598,52328,4131,50480,3714,39483,3944,8334,1832,15323,2594,15826,1997,34890,3543,7258,1968,11913,1813,15719,2480,64414,6799,19895,3725,17070,2935,27449,3658,21781,null,null,11705,null,null,4203,null,null,1889,null,null,2322,null,null,2746,null,null,5896,null,null,4441,null,null,3312,null,null,4315,null,null,6699,null,null,4241,null,null,5109,null,null,5467,null,null,4485,null,null,1921,null,null,2364,null,null,3099,null,null,5942,null,null,6416,null,null,2766,null,null,5118,null,null,4962,null,null,6083,null,null,3397,null,null,2813,null,null,2904,null,null,3449,null,null,1883,null,null,2159,null,null,2255,null,null,6181,null,null,2715,null,null,3030,null,null,4306,null,null,13240,null,null,4658,null,null,2340,null,null,1905,null,null,3149,null,null,6279,null,null,5346,null,null,3443,null,null,3951,null,null,7748,null,null,4736,null,null,5429,null,null,5911,null,null,4253,null,null,2141,null,null,1938,null,null,3159,null,null,6087,null,null,5032,null,null,2598,null,null,4131,null,null,3714,null,null,3944,null,null,1832,null,null,2594,null,null,1997,null,null,3543,null,null,1968,null,null,1813,null,null,2480,null,null,6799,null,null,3725,null,null,2935,null,null,3658,null,null,13
262485,12818,108691,6960,4784,1107,447,245,1179,696,3158,851,83987,5281,15794,2803,16099,2836,52094,3780,5716,1509,571,578,1548,571,3597,1147,843,521,239,379,27,61,577,371,3251,1220,2722,1154,275,404,681,442,1766,762,529,415,0,185,96,116,433,428,1622,623,57,96,744,415,821,422,14204,2405,3095,1128,4985,1474,6124,1419,153794,7340,4818,942,869,426,748,398,3201,739,122737,6112,21684,3073,25663,3120,75390,3651,6361,1352,1318,940,1972,706,3071,919,600,415,133,213,65,114,402,330,3220,939,2468,868,156,192,1111,599,1201,562,752,334,43,74,138,161,571,268,2541,1089,986,876,658,338,897,595,19878,3000,5020,1669,7886,2027,6972,1220,12818,null,null,6960,null,null,1107,null,null,245,null,null,696,null,null,851,null,null,5281,null,null,2803,null,null,2836,null,null,3780,null,null,1509,null,null,578,null,null,571,null,null,1147,null,null,521,null,null,379,null,null,61,null,null,371,null,null,1220,null,null,1154,null,null,404,null,null,442,null,null,762,null,null,415,null,null,185,null,null,116,null,null,428,null,null,623,null,null,96,null,null,415,null,null,422,null,null,2405,null,null,1128,null,null,1474,null,null,1419,null,null,7340,null,null,942,null,null,426,null,null,398,null,null,739,null,null,6112,null,null,3073,null,null,3120,null,null,3651,null,null,1352,null,null,940,null,null,706,null,null,919,null,null,415,null,null,213,null,null,114,null,null,330,null,null,939,null,null,868,null,null,192,null,null,599,null,null,562,null,null,334,null,null,74,null,null,161,null,null,268,null,null,1089,null,null,876,null,null,338,null,null,595,null,null,3000,null,null,1669,null,null,2027,null,null,1220,null,null,15
97953,6027,47369,3259,5651,1206,1369,647,1294,628,2988,869,8303,1901,3569,1645,2185,905,2549,805,30151,2564,4130,1252,9289,1645,16732,1895,400,272,269,234,0,198,131,135,27657,2441,25957,2435,3095,1181,7506,1408,15356,1908,1700,891,0,198,656,460,1044,761,2094,1021,766,392,1127,840,201,274,3264,1010,469,335,909,535,1886,738,50584,3865,7934,1597,1256,536,1403,720,5275,1281,12407,1928,3892,1274,4860,1499,3655,990,26787,2316,3631,902,8454,1550,14702,1976,326,302,0,198,0,198,326,302,24152,2380,23535,2350,3146,869,7271,1543,13118,1904,617,351,106,114,71,94,440,328,2309,916,379,303,1112,565,818,506,3456,898,647,359,860,684,1949,598,6027,null,null,3259,null,null,1206,null,null,647,null,null,628,null,null,869,null,null,1901,null,null,1645,null,null,905,null,null,805,null,null,2564,null,null,1252,null,null,1645,null,null,1895,null,null,272,null,null,234,null,null,198,null,null,135,null,null,2441,null,null,2435,null,null,1181,null,null,1408,null,null,1908,null,null,891,null,null,198,null,null,460,null,null,761,null,null,1021,null,null,392,null,null,840,null,null,274,null,null,1010,null,null,335,null,null,535,null,null,738,null,null,3865,null,null,1597,null,null,536,null,null,720,null,null,1281,null,null,1928,null,null,1274,null,null,1499,null,null,990,null,null,2316,null,null,902,null,null,1550,null,null,1976,null,null,302,null,null,198,null,null,198,null,null,302,null,null,2380,null,null,2350,null,null,869,null,null,1543,null,null,1904,null,null,351,null,null,114,null,null,94,null,null,328,null,null,916,null,null,303,null,null,565,null,null,506,null,null,898,null,null,359,null,null,684,null,null,598,null,null,16
1783474,22921,892795,13847,172693,7146,18671,2758,40378,3641,113644,5708,254199,5844,70632,5056,61573,4410,121994,4227,421544,10218,34968,3875,109897,6233,276679,8042,14329,2155,2635,1211,2070,935,9624,1364,376740,10272,352455,10070,22709,3274,90543,5689,239203,8040,24285,3138,3042,1075,8627,1782,12616,1997,30475,3493,6582,1564,8657,2198,15236,2193,44359,4025,12183,2356,16371,2571,15805,1877,890679,13332,197031,7553,21921,2359,48223,4040,126887,5500,280579,6371,75780,5361,69657,4792,135142,4769,374261,8596,27711,3661,101113,6345,245437,8365,13319,2101,1950,900,2355,1087,9014,1537,329820,8041,300912,7954,14978,2540,80627,6006,205307,7860,28908,3533,4395,1331,7468,1478,17045,2398,31122,3560,6388,1855,10663,1857,14071,1817,38808,4129,13177,2428,10815,2311,14816,2344,22921,null,null,13847,null,null,7146,null,null,2758,null,null,3641,null,null,5708,null,null,5844,null,null,5056,null,null,4410,null,null,4227,null,null,10218,null,null,3875,null,null,6233,null,null,8042,null,null,2155,null,null,1211,null,null,935,null,null,1364,null,null,10272,null,null,10070,null,null,3274,null,null,5689,null,null,8040,null,null,3138,null,null,1075,null,null,1782,null,null,1997,null,null,3493,null,null,1564,null,null,2198,null,null,2193,null,null,4025,null,null,2356,null,null,2571,null,null,1877,null,null,13332,null,null,7553,null,null,2359,null,null,4040,null,null,5500,null,null,6371,null,null,5361,null,null,4792,null,null,4769,null,null,8596,null,null,3661,null,null,6345,null,null,8365,null,null,2101,null,null,900,null,null,1087,null,null,1537,null,null,8041,null,null,7954,null,null,2540,null,null,6006,null,null,7860,null,null,3533,null,null,1331,null,null,1478,null,null,2398,null,null,3560,null,null,1855,null,null,1857,null,null,1817,null,null,4129,null,null,2428,null,null,2311,null,null,2344,null,null,17
349169,10684,177941,6404,18689,2426,2946,1049,4106,1218,11637,1806,62447,3174,30669,3013,15468,2353,16310,2116,78975,3893,10438,2403,29430,3523,39107,3211,4658,1499,1736,1173,899,534,2023,682,69577,3936,58355,3726,4659,1486,21697,2706,31999,3053,11222,2232,3016,1253,4550,1173,3656,1104,4740,1531,1027,435,2284,1287,1429,604,17830,2996,6411,2074,4760,1526,6659,1568,171228,6267,24506,3108,2865,1248,4571,1795,17070,2068,62627,3399,25527,2942,16101,2154,20999,2028,69469,4138,11281,2326,27143,3121,31045,2427,3332,1138,574,425,1179,598,1579,729,60525,4044,49331,3361,6719,1795,19117,2356,23495,2405,11194,2073,2867,1248,5162,1566,3165,913,5612,1372,1121,614,1685,676,2806,1309,14626,2917,6316,1973,2982,1037,5328,1397,10684,null,null,6404,null,null,2426,null,null,1049,null,null,1218,null,null,1806,null,null,3174,null,null,3013,null,null,2353,null,null,2116,null,null,3893,null,null,2403,null,null,3523,null,null,3211,null,null,1499,null,null,1173,null,null,534,null,null,682,null,null,3936,null,null,3726,null,null,1486,null,null,2706,null,null,3053,null,null,2232,null,null,1253,null,null,1173,null,null,1104,null,null,1531,null,null,435,null,null,1287,null,null,604,null,null,2996,null,null,2074,null,null,1526,null,null,1568,null,null,6267,null,null,3108,null,null,1248,null,null,1795,null,null,2068,null,null,3399,null,null,2942,null,null,2154,null,null,2028,null,null,4138,null,null,2326,null,null,3121,null,null,2427,null,null,1138,null,null,425,null,null,598,null,null,729,null,null,4044,null,null,3361,null,null,1795,null,null,2356,null,null,2405,null,null,2073,null,null,1248,null,null,1566,null,null,913,null,null,1372,null,null,614,null,null,676,null,null,1309,null,null,2917,null,null,1973,null,null,1037,null,null,1397,null,null,18
160189,5763,82421,3743,8781,1876,1365,446,1285,588,6131,1651,28618,1896,11277,1696,7269,1760,10072,1178,33362,2232,7050,1358,11134,1913,15178,1550,632,337,272,198,162,156,198,202,31572,2312,23151,2334,4387,1148,7937,1566,10827,1445,8421,1606,1907,802,2805,1056,3709,919,1158,429,484,260,230,220,444,249,11660,1958,5551,1523,3221,1217,2888,772,77768,3554,11007,1775,1061,371,1700,580,8246,1731,29397,1943,12042,1759,8217,1375,9138,1367,27764,2148,7084,1626,10219,1912,10461,1340,457,282,197,190,19,36,241,187,24542,2252,19637,2334,4691,1562,7500,1766,7446,1269,4905,1004,1405,794,1682,685,1818,520,2765,913,791,431,1018,567,956,465,9600,1865,2945,1060,4663,1737,1992,588,5763,null,null,3743,null,null,1876,null,null,446,null,null,588,null,null,1651,null,null,1896,null,null,1696,null,null,1760,null,null,1178,null,null,2232,null,null,1358,null,null,1913,null,null,1550,null,null,337,null,null,198,null,null,156,null,null,202,null,null,2312,null,null,2334,null,null,1148,null,null,1566,null,null,1445,null,null,1606,null,null,802,null,null,1056,null,null,919,null,null,429,null,null,260,null,null,220,null,null,249,null,null,1958,null,null,1523,null,null,1217,null,null,772,null,null,3554,null,null,1775,null,null,371,null,null,580,null,null,1731,null,null,1943,null,null,1759,null,null,1375,null,null,1367,null,null,2148,null,null,1626,null,null,1912,null,null,1340,null,null,282,null,null,190,null,null,36,null,null,187,null,null,2252,null,null,2334,null,null,1562,null,null,1766,null,null,1269,null,null,1004,null,null,794,null,null,685,null,null,520,null,null,913,null,null,431,null,null,567,null,null,465,null,null,1865,null,null,1060,null,null,1737,null,null,588,null,null,19
205522,7634,101665,4437,6070,1348,1283,785,873,349,3914,1089,31769,2287,10340,1821,8114,2104,13315,1504,58254,3767,8573,2494,19918,2407,29763,2399,2981,1383,1357,1320,819,367,805,446,52719,3889,44354,3736,5572,1934,14759,2274,24023,2086,8365,1843,1378,696,3037,1079,3950,1107,2554,855,266,331,1303,580,985,516,5572,1337,1727,706,2165,850,1680,625,103857,4671,8288,1252,1225,598,1235,493,5828,1057,34510,2360,9508,1504,11139,2190,13863,1624,54787,3481,7877,2296,22887,2670,24023,2321,2219,722,953,542,226,230,1040,495,48080,2732,39210,2881,3561,1137,16972,2577,18677,2090,8870,1866,1609,911,4222,1293,3039,1101,4488,1917,1754,1688,1467,539,1267,596,6272,1683,1727,891,1278,709,3267,1070,7634,null,null,4437,null,null,1348,null,null,785,null,null,349,null,null,1089,null,null,2287,null,null,1821,null,null,2104,null,null,1504,null,null,3767,null,null,2494,null,null,2407,null,null,2399,null,null,1383,null,null,1320,null,null,367,null,null,446,null,null,3889,null,null,3736,null,null,1934,null,null,2274,null,null,2086,null,null,1843,null,null,696,null,null,1079,null,null,1107,null,null,855,null,null,331,null,null,580,null,null,516,null,null,1337,null,null,706,null,null,850,null,null,625,null,null,4671,null,null,1252,null,null,598,null,null,493,null,null,1057,null,null,2360,null,null,1504,null,null,2190,null,null,1624,null,null,3481,null,null,2296,null,null,2670,null,null,2321,null,null,722,null,null,542,null,null,230,null,null,495,null,null,2732,null,null,2881,null,null,1137,null,null,2577,null,null,2090,null,null,1866,null,null,911,null,null,1293,null,null,1101,null,null,1917,null,null,1688,null,null,539,null,null,596,null,null,1683,null,null,891,null,null,709,null,null,1070,null,null,20
155964,7438,81201,4705,9311,1969,1729,1174,2565,1263,5017,1214,26964,2230,12419,2203,7316,1552,7229,1087,32703,2490,7269,1674,13231,1848,12203,1676,6747,1348,2560,905,2397,1016,1790,733,23663,2506,17178,2420,3528,1281,6630,1397,7020,1450,6485,1369,946,699,3362,1002,2177,752,2293,754,235,259,842,528,1216,467,12223,2718,4278,1403,5149,1742,2796,933,74763,4708,10700,1714,1059,478,2887,999,6754,1280,30238,2039,10740,1779,8367,1331,11131,1369,23811,2129,5943,1422,11104,1572,6764,1247,4752,1231,1562,734,2247,862,943,422,16034,1890,12104,1800,2637,1077,5944,1345,3523,965,3930,1036,968,553,1804,724,1158,632,3025,1001,776,459,1109,623,1140,487,10014,2574,2983,1489,4514,1942,2517,822,7438,null,null,4705,null,null,1969,null,null,1174,null,null,1263,null,null,1214,null,null,2230,null,null,2203,null,null,1552,null,null,1087,null,null,2490,null,null,1674,null,null,1848,null,null,1676,null,null,1348,null,null,905,null,null,1016,null,null,733,null,null,2506,null,null,2420,null,null,1281,null,null,1397,null,null,1450,null,null,1369,null,null,699,null,null,1002,null,null,752,null,null,754,null,null,259,null,null,528,null,null,467,null,null,2718,null,null,1403,null,null,1742,null,null,933,null,null,4708,null,null,1714,null,null,478,null,null,999,null,null,1280,null,null,2039,null,null,1779,null,null,1331,null,null,1369,null,null,2129,null,null,1422,null,null,1572,null,null,1247,null,null,1231,null,null,734,null,null,862,null,null,422,null,null,1890,null,null,1800,null,null,1077,null,null,1345,null,null,965,null,null,1036,null,null,553,null,null,724,null,null,632,null,null,1001,null,null,459,null,null,623,null,null,487,null,null,2574,null,null,1489,null,null,1942,null,null,822,null,null,21
189921,7371,98796,4999,6663,1413,2486,1029,841,475,3336,713,30299,2620,8748,1721,6387,1421,15164,1530,56633,3781,14718,2919,18254,2336,23661,2537,6211,1867,1701,1016,568,361,3942,1440,45796,3581,18307,2631,4770,1583,6028,1707,7509,1739,27489,3113,6809,2075,10117,2182,10563,1891,4626,1438,1438,940,1541,707,1647,619,5201,1237,1687,789,1254,698,2260,725,91125,4879,9561,1549,2373,851,1161,473,6027,1196,28991,2270,8164,1786,7451,1612,13376,1395,46828,3514,11322,2531,18151,2203,17355,2145,5124,1741,1968,1113,1165,684,1991,832,36765,3462,14480,2781,3399,1580,6129,1733,4952,1810,22285,2475,4665,1576,9674,1771,7946,1380,4939,1455,1290,1001,1183,536,2466,821,5745,1257,1354,582,1743,752,2648,1089,7371,null,null,4999,null,null,1413,null,null,1029,null,null,475,null,null,713,null,null,2620,null,null,1721,null,null,1421,null,null,1530,null,null,3781,null,null,2919,null,null,2336,null,null,2537,null,null,1867,null,null,1016,null,null,361,null,null,1440,null,null,3581,null,null,2631,null,null,1583,null,null,1707,null,null,1739,null,null,3113,null,null,2075,null,null,2182,null,null,1891,null,null,1438,null,null,940,null,null,707,null,null,619,null,null,1237,null,null,789,null,null,698,null,null,725,null,null,4879,null,null,1549,null,null,851,null,null,473,null,null,1196,null,null,2270,null,null,1786,null,null,1612,null,null,1395,null,null,3514,null,null,2531,null,null,2203,null,null,2145,null,null,1741,null,null,1113,null,null,684,null,null,832,null,null,3462,null,null,2781,null,null,1580,null,null,1733,null,null,1810,null,null,2475,null,null,1576,null,null,1771,null,null,1380,null,null,1455,null,null,1001,null,null,536,null,null,821,null,null,1257,null,null,582,null,null,752,null,null,1089,null,null,22
