B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,B06009_001M,B06009_001EA,B06009_001MA,B06009_002M,B06009_002EA,B06009_002MA,B06009_003M,B06009_003EA,B06009_003MA,B06009_004M,B06009_004EA,B06009_004MA,B06009_005M,B06009_005EA,B06009_005MA,B06009_006M,B06009_006EA,B06009_006MA,B06009_007M,B06009_007EA,B06009_007MA,B06009_008M,B06009_008EA,B06009_008MA,B06009_009M,B06009_009EA,B06009_009MA,B06009_010M,B06009_010EA,B06009_010MA,B06009_011M,B06009_011EA,B06009_011MA,B06009_012M,B06009_012EA,B06009_012MA,B06009_013M,B06009_013EA,B06009_013MA,B06009_014M,B06009_014EA,B06009_014MA,B06009_015M,B06009_015EA,B06009_015MA,B06009_016M,B06009_016EA,B06009_016MA,B06009_017M,B06009_017EA,B06009_017MA,B06009_018M,B06009_018EA,B06009_018MA,B06009_019M,B06009_019EA,B06009_019MA,B06009_020M,B06009_020EA,B06009_020MA,B06009_021M,B06009_021EA,B06009_021MA,B06009_022M,B06009_022EA,B06009_022MA,B06009_023M,B06009_023EA,B06009_023MA,B06009_024M,B06009_024EA,B06009_024MA,B06009_025M,B06009_025EA,B06009_025MA,B06009_026M,B06009_026EA,B06009_026MA,B06009_027M,B06009_027EA,B06009_027MA,B06009_028M,B06009_028EA,B06009_028MA,B06009_029M,B06009_029EA,B06009_029MA,B06009_030M,B06009_030EA,B06009_030MA,state
14703671,8103,1855213,25403,4249733,31017,4390269,28822,2675907,28563,1532549,22110,3271063,32093,390410,13136,1084495,20607,1025382,19748,524341,13685,246435,7558,7109903,30671,536042,14542,1975866,24768,2303016,24730,1429038,22068,865941,15609,572688,15643,86875,6326,161364,8428,181325,9258,96112,5472,47012,3137,3750017,31460,841886,17758,1028008,19957,880546,16312,626416,14943,373161,10933,8103,null,null,25403,null,null,31017,null,null,28822,null,null,28563,null,null,22110,null,null,32093,null,null,13136,null,null,20607,null,null,19748,null,null,13685,null,null,7558,null,null,30671,null,null,14542,null,null,24768,null,null,24730,null,null,22068,null,null,15609,null,null,15643,null,null,6326,null,null,8428,null,null,9258,null,null,5472,null,null,3137,null,null,31460,null,null,17758,null,null,19957,null,null,16312,null,null,14943,null,null,10933,null,null,12
6785395,7007,922626,18849,1884080,23908,1912413,22868,1270275,16078,796001,14052,3063508,21391,478438,13427,1064688,18299,871758,15906,414513,10058,234111,8247,2732202,24803,185628,8823,612051,13489,850424,15247,663696,11848,420403,10784,100450,6553,10250,2184,20084,2853,33870,3912,22324,2752,13922,2218,889235,16877,248310,8326,187257,9977,156361,8545,169742,7918,127565,7400,7007,null,null,18849,null,null,23908,null,null,22868,null,null,16078,null,null,14052,null,null,21391,null,null,13427,null,null,18299,null,null,15906,null,null,10058,null,null,8247,null,null,24803,null,null,8823,null,null,13489,null,null,15247,null,null,11848,null,null,10784,null,null,6553,null,null,2184,null,null,2853,null,null,3912,null,null,2752,null,null,2218,null,null,16877,null,null,8326,null,null,9977,null,null,8545,null,null,7918,null,null,7400,null,null,13
990937,1287,79663,5695,277743,7862,316938,7829,211850,6366,104743,4995,461346,11107,25259,2553,158838,7013,145493,7093,94889,4937,36867,2702,268312,6010,8103,1749,44804,3914,98999,5395,68665,3837,47741,3225,29428,3017,2367,834,8094,1671,10475,1404,5659,1210,2833,805,231851,10405,43934,4559,66007,5792,61971,4768,42637,3096,17302,2104,1287,null,null,5695,null,null,7862,null,null,7829,null,null,6366,null,null,4995,null,null,11107,null,null,2553,null,null,7013,null,null,7093,null,null,4937,null,null,2702,null,null,6010,null,null,1749,null,null,3914,null,null,5395,null,null,3837,null,null,3225,null,null,3017,null,null,834,null,null,1671,null,null,1404,null,null,1210,null,null,805,null,null,10405,null,null,4559,null,null,5792,null,null,4768,null,null,3096,null,null,2104,null,null,15
1087265,2780,104129,6013,302866,8854,379860,9261,203363,7001,97047,5182,411791,9868,31883,3557,127262,6618,150551,6878,74845,4864,27250,2908,585235,8824,41862,3626,153054,6687,211395,7226,117407,6130,61517,4493,9593,1871,538,362,2266,898,2948,1080,2670,919,1171,661,80646,4911,29846,3357,20284,2625,14966,2305,8441,1571,7109,1298,2780,null,null,6013,null,null,8854,null,null,9261,null,null,7001,null,null,5182,null,null,9868,null,null,3557,null,null,6618,null,null,6878,null,null,4864,null,null,2908,null,null,8824,null,null,3626,null,null,6687,null,null,7226,null,null,6130,null,null,4493,null,null,1871,null,null,362,null,null,898,null,null,1080,null,null,919,null,null,661,null,null,4911,null,null,3357,null,null,2625,null,null,2305,null,null,1571,null,null,1298,null,null,16
8665219,5171,966427,15128,2250392,23389,2506115,19663,1813840,18696,1128445,16462,5150443,21455,375874,8588,1464845,18702,1722865,16325,1033504,14108,553355,11708,1822941,18407,145360,6293,376307,9235,482030,10880,471150,10107,348094,8947,103182,5601,23414,2097,23628,2389,27838,2851,18218,2306,10084,1537,1588653,18038,421779,11438,385612,10239,273382,9343,290968,9693,216912,7483,5171,null,null,15128,null,null,23389,null,null,19663,null,null,18696,null,null,16462,null,null,21455,null,null,8588,null,null,18702,null,null,16325,null,null,14108,null,null,11708,null,null,18407,null,null,6293,null,null,9235,null,null,10880,null,null,10107,null,null,8947,null,null,5601,null,null,2097,null,null,2389,null,null,2851,null,null,2306,null,null,1537,null,null,18038,null,null,11438,null,null,10239,null,null,9343,null,null,9693,null,null,7483,null,null,17
4392576,5286,511499,12135,1481882,13413,1274349,15517,716293,12562,408553,9679,2758407,20748,283894,9357,1026385,12656,825328,14267,419776,10129,203024,8082,1326875,18857,143257,7051,382904,9618,393703,10395,245799,7831,161212,6142,31664,3088,4283,1044,8938,1501,8793,1381,6151,1429,3499,1111,275630,8879,80065,4880,63655,5227,46525,3581,44567,3913,40818,3286,5286,null,null,12135,null,null,13413,null,null,15517,null,null,12562,null,null,9679,null,null,20748,null,null,9357,null,null,12656,null,null,14267,null,null,10129,null,null,8082,null,null,18857,null,null,7051,null,null,9618,null,null,10395,null,null,7831,null,null,6142,null,null,3088,null,null,1044,null,null,1501,null,null,1381,null,null,1429,null,null,1111,null,null,8879,null,null,4880,null,null,5227,null,null,3581,null,null,3913,null,null,3286,null,null,18
2087020,3608,172098,5287,649532,9401,672228,10275,398242,8617,194920,6478,1417156,9842,91657,3983,485591,9385,472697,8618,262977,7075,104234,4708,530815,9142,39184,2854,135051,5113,174203,5842,113391,4651,68986,3958,14672,2548,1765,729,2903,976,4182,1143,3891,1235,1931,603,124377,4469,39492,3064,25987,2960,21146,2335,17983,2269,19769,2317,3608,null,null,5287,null,null,9401,null,null,10275,null,null,8617,null,null,6478,null,null,9842,null,null,3983,null,null,9385,null,null,8618,null,null,7075,null,null,4708,null,null,9142,null,null,2854,null,null,5113,null,null,5842,null,null,4651,null,null,3958,null,null,2548,null,null,729,null,null,976,null,null,1143,null,null,1235,null,null,603,null,null,4469,null,null,3064,null,null,2960,null,null,2335,null,null,2269,null,null,2317,null,null,19
1891936,3942,178843,6163,496294,10993,595373,9807,390861,8760,230565,6256,977856,10141,68561,4009,289376,8018,335368,6835,191580,6109,92971,3663,728617,10506,49732,2667,166610,5847,227672,7267,172630,6314,111973,4976,19811,2420,1162,580,3314,868,7659,1491,3929,849,3747,958,165652,5876,59388,3754,36994,3574,24674,2658,22722,2358,21874,2601,3942,null,null,6163,null,null,10993,null,null,9807,null,null,8760,null,null,6256,null,null,10141,null,null,4009,null,null,8018,null,null,6835,null,null,6109,null,null,3663,null,null,10506,null,null,2667,null,null,5847,null,null,7267,null,null,6314,null,null,4976,null,null,2420,null,null,580,null,null,868,null,null,1491,null,null,849,null,null,958,null,null,5876,null,null,3754,null,null,3574,null,null,2658,null,null,2358,null,null,2601,null,null,20
2995509,4084,428460,10622,968299,11667,896409,10480,419081,9942,283260,8342,1956465,11177,309203,8608,690498,11906,578325,9631,226988,7160,151451,6251,893846,12131,86294,4861,245418,7991,286433,7645,165081,6607,110620,4858,22669,2750,1499,576,4842,1186,9753,2156,4023,826,2552,681,122529,4865,31464,3321,27541,3126,21898,2599,22989,2741,18637,2316,4084,null,null,10622,null,null,11667,null,null,10480,null,null,9942,null,null,8342,null,null,11177,null,null,8608,null,null,11906,null,null,9631,null,null,7160,null,null,6251,null,null,12131,null,null,4861,null,null,7991,null,null,7645,null,null,6607,null,null,4858,null,null,2750,null,null,576,null,null,1186,null,null,2156,null,null,826,null,null,681,null,null,4865,null,null,3321,null,null,3126,null,null,2599,null,null,2741,null,null,2316,null,null,21
3115020,6064,486438,11521,1059273,16576,841403,16455,473299,9993,254607,8235,2320121,11717,378746,10039,843753,15084,617505,14234,326958,8617,153159,6777,613789,10905,61602,4451,166078,6464,188255,6693,118945,5719,78909,4389,21121,2402,1295,603,6219,1577,6570,1544,4756,1175,2281,663,159989,6152,44795,5098,43223,4884,29073,3117,22640,2562,20258,1962,6064,null,null,11521,null,null,16576,null,null,16455,null,null,9993,null,null,8235,null,null,11717,null,null,10039,null,null,15084,null,null,14234,null,null,8617,null,null,6777,null,null,10905,null,null,4451,null,null,6464,null,null,6693,null,null,5719,null,null,4389,null,null,2402,null,null,603,null,null,1577,null,null,1544,null,null,1175,null,null,663,null,null,6152,null,null,5098,null,null,4884,null,null,3117,null,null,2562,null,null,1962,null,null,22
966569,1470,74138,4368,318369,8116,282924,6685,181434,6126,109704,5063,556164,8809,48713,3429,217332,6594,164517,5568,87434,4776,38168,3064,355857,8779,18502,2324,86827,4063,103970,5111,82485,4318,64073,4177,12977,1791,958,401,2904,757,4114,1059,3330,954,1671,537,41571,3252,5965,1091,11306,2103,10323,1415,8185,1230,5792,1076,1470,null,null,4368,null,null,8116,null,null,6685,null,null,6126,null,null,5063,null,null,8809,null,null,3429,null,null,6594,null,null,5568,null,null,4776,null,null,3064,null,null,8779,null,null,2324,null,null,4063,null,null,5111,null,null,4318,null,null,4177,null,null,1791,null,null,401,null,null,757,null,null,1059,null,null,954,null,null,537,null,null,3252,null,null,1091,null,null,2103,null,null,1415,null,null,1230,null,null,1076,null,null,23
