B07011_001E,B07011_001M,B07011_002E,B07011_002M,B07011_003E,B07011_003M,B07011_004E,B07011_004M,B07011_005E,B07011_005M,B07011_006E,B07011_006M,B07011_001M,B07011_001EA,B07011_001MA,B07011_002M,B07011_002EA,B07011_002MA,B07011_003M,B07011_003EA,B07011_003MA,B07011_004M,B07011_004EA,B07011_004MA,B07011_005M,B07011_005EA,B07011_005MA,B07011_006M,B07011_006EA,B07011_006MA,state
25805,152,26171,157,23914,645,22292,684,25834,932,15222,2044,152,null,null,157,null,null,645,null,null,684,null,null,932,null,null,2044,null,null,12
26994,210,27724,408,24164,1148,22069,667,25887,1169,19335,3574,210,null,null,408,null,null,1148,null,null,667,null,null,1169,null,null,3574,null,null,13
32099,339,32448,628,30379,1765,27208,12981,30404,3443,21576,4229,339,null,null,628,null,null,1765,null,null,12981,null,null,3443,null,null,4229,null,null,15
25187,417,26244,496,20775,1264,18247,2413,21423,2602,13833,7522,417,null,null,496,null,null,1264,null,null,2413,null,null,2602,null,null,7522,null,null,16
30712,150,31198,155,27140,520,22578,1703,26006,1930,20716,2303,150,null,null,155,null,null,520,null,null,1703,null,null,1930,null,null,2303,null,null,17
27279,159,28850,301,21796,431,19784,1534,20507,1513,13481,4019,159,null,null,301,null,null,431,null,null,1534,null,null,1513,null,null,4019,null,null,18
30097,258,31392,249,23142,1299,16506,1190,19389,2474,10008,2734,258,null,null,249,null,null,1299,null,null,1190,null,null,2474,null,null,2734,null,null,19
28879,550,30305,307,24210,1092,17969,2667,23740,2867,17254,10989,550,null,null,307,null,null,1092,null,null,2667,null,null,2867,null,null,10989,null,null,20
24826,357,25755,273,20673,596,17558,1675,18912,2620,23411,3514,357,null,null,273,null,null,596,null,null,1675,null,null,2620,null,null,3514,null,null,21
24407,392,25077,340,20550,1045,19490,1288,21862,2468,20961,4019,392,null,null,340,null,null,1045,null,null,1288,null,null,2468,null,null,4019,null,null,22
26620,397,27359,546,22019,1449,20673,2445,21969,2302,9718,2185,397,null,null,546,null,null,1449,null,null,2445,null,null,2302,null,null,2185,null,null,23
37023,297,38143,576,31723,1038,30464,1791,32412,2277,21231,5004,297,null,null,576,null,null,1038,null,null,1791,null,null,2277,null,null,5004,null,null,24
35227,270,35782,302,30527,815,35304,3405,31367,1919,19672,3089,270,null,null,302,null,null,815,null,null,3405,null,null,1919,null,null,3089,null,null,25
26916,149,28237,277,21460,423,19181,994,21557,1016,21134,4751,149,null,null,277,null,null,423,null,null,994,null,null,1016,null,null,4751,null,null,26
32487,294,34659,469,27085,815,25408,1136,25303,1445,15115,4769,294,null,null,469,null,null,815,null,null,1136,null,null,1445,null,null,4769,null,null,27
22171,266,22975,544,19145,1478,16354,1546,16543,1687,25409,9913,266,null,null,544,null,null,1478,null,null,1546,null,null,1687,null,null,9913,null,null,28
