B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,B11001F_001M,B11001F_001EA,B11001F_001MA,B11001F_002M,B11001F_002EA,B11001F_002MA,B11001F_003M,B11001F_003EA,B11001F_003MA,B11001F_004M,B11001F_004EA,B11001F_004MA,B11001F_005M,B11001F_005EA,B11001F_005MA,B11001F_006M,B11001F_006EA,B11001F_006MA,B11001F_007M,B11001F_007EA,B11001F_007MA,B11001F_008M,B11001F_008EA,B11001F_008MA,B11001F_009M,B11001F_009EA,B11001F_009MA,state
155110,6741,111822,6054,68074,4743,43748,3444,13994,2261,29754,2509,43288,3768,31071,2927,12217,2182,6741,null,null,6054,null,null,4743,null,null,3444,null,null,2261,null,null,2509,null,null,3768,null,null,2927,null,null,2182,null,null,12
74279,5675,58981,5429,39988,4257,18993,2857,8310,1905,10683,1985,15298,2580,10317,2045,4981,1469,5675,null,null,5429,null,null,4257,null,null,2857,null,null,1905,null,null,1985,null,null,2580,null,null,2045,null,null,1469,null,null,13
2476,691,1966,605,1688,579,278,204,122,153,156,133,510,295,401,264,109,109,691,null,null,605,null,null,579,null,null,204,null,null,153,null,null,133,null,null,295,null,null,264,null,null,109,null,null,15
16329,1899,13422,1788,8557,1698,4865,1385,2494,1074,2371,923,2907,802,2115,759,792,517,1899,null,null,1788,null,null,1698,null,null,1385,null,null,1074,null,null,923,null,null,802,null,null,759,null,null,517,null,null,16
214464,6607,175951,5078,110830,4412,65121,4293,25550,2898,39571,3401,38513,3824,28680,2938,9833,1920,6607,null,null,5078,null,null,4412,null,null,4293,null,null,2898,null,null,3401,null,null,3824,null,null,2938,null,null,1920,null,null,17
42437,3160,34425,3299,23264,2734,11161,1449,3770,902,7391,1148,8012,1380,5212,1206,2800,852,3160,null,null,3299,null,null,2734,null,null,1449,null,null,902,null,null,1148,null,null,1380,null,null,1206,null,null,852,null,null,18
11840,1560,8528,1334,5365,1096,3163,962,699,385,2464,896,3312,1014,2455,903,857,592,1560,null,null,1334,null,null,1096,null,null,962,null,null,385,null,null,896,null,null,1014,null,null,903,null,null,592,null,null,19
20091,2347,14895,1931,10548,1591,4347,1150,1380,592,2967,942,5196,1418,3614,1110,1582,788,2347,null,null,1931,null,null,1591,null,null,1150,null,null,592,null,null,942,null,null,1418,null,null,1110,null,null,788,null,null,20
9313,1474,6662,1442,4484,1337,2178,730,895,542,1283,574,2651,932,1665,730,986,578,1474,null,null,1442,null,null,1337,null,null,730,null,null,542,null,null,574,null,null,932,null,null,730,null,null,578,null,null,21
20095,2374,14244,1956,11030,1690,3214,944,1061,503,2153,810,5851,1434,4369,1374,1482,612,2374,null,null,1956,null,null,1690,null,null,944,null,null,503,null,null,810,null,null,1434,null,null,1374,null,null,612,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
54131,3403,44744,3447,25951,2870,18793,2729,8231,1715,10562,2056,9387,1742,5065,1394,4322,1248,3403,null,null,3447,null,null,2870,null,null,2729,null,null,1715,null,null,2056,null,null,1742,null,null,1394,null,null,1248,null,null,24
90234,5020,65592,4520,32285,3031,33307,3139,8135,1514,25172,2831,24642,2850,19594,2741,5048,1311,5020,null,null,4520,null,null,3031,null,null,3139,null,null,1514,null,null,2831,null,null,2850,null,null,2741,null,null,1311,null,null,25
34198,2703,24824,2391,15223,1980,9601,1416,2405,758,7196,1350,9374,1489,6913,1094,2461,830,2703,null,null,2391,null,null,1980,null,null,1416,null,null,758,null,null,1350,null,null,1489,null,null,1094,null,null,830,null,null,26
27541,2053,22705,1807,13296,1698,9409,1581,3907,1059,5502,1521,4836,1134,2998,797,1838,863,2053,null,null,1807,null,null,1698,null,null,1581,null,null,1059,null,null,1521,null,null,1134,null,null,797,null,null,863,null,null,27
7537,1348,6195,1273,4501,1173,1694,714,782,495,912,555,1342,767,949,629,393,379,1348,null,null,1273,null,null,1173,null,null,714,null,null,495,null,null,555,null,null,767,null,null,629,null,null,379,null,null,28
17504,2092,13545,1711,8212,1377,5333,1207,1487,703,3846,1031,3959,1296,3004,1106,955,619,2092,null,null,1711,null,null,1377,null,null,1207,null,null,703,null,null,1031,null,null,1296,null,null,1106,null,null,619,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
10354,1717,8109,1467,5010,1273,3099,854,685,310,2414,767,2245,666,1878,655,367,263,1717,null,null,1467,null,null,1273,null,null,854,null,null,310,null,null,767,null,null,666,null,null,655,null,null,263,null,null,31
73943,4192,54467,3623,31358,2596,23109,2487,7671,1418,15438,2073,19476,2616,14072,2232,5404,1406,4192,null,null,3623,null,null,2596,null,null,2487,null,null,1418,null,null,2073,null,null,2616,null,null,2232,null,null,1406,null,null,32
2583,830,1935,668,1386,562,549,344,177,189,372,289,648,511,436,394,212,345,830,null,null,668,null,null,562,null,null,344,null,null,189,null,null,289,null,null,511,null,null,394,null,null,345,null,null,33
151413,6087,117639,5320,63442,4199,54197,3399,16398,2221,37799,3351,33774,3241,25748,2764,8026,1787,6087,null,null,5320,null,null,4199,null,null,3399,null,null,2221,null,null,3351,null,null,3241,null,null,2764,null,null,1787,null,null,34
68705,3889,45249,3382,26741,2545,18508,2291,6399,1515,12109,1847,23456,2316,18394,2038,5062,1144,3889,null,null,3382,null,null,2545,null,null,2291,null,null,1515,null,null,1847,null,null,2316,null,null,2038,null,null,1144,null,null,35
502697,10946,373197,9496,180267,7468,192930,7634,48555,4471,144375,6054,129500,7273,103175,6205,26325,3537,10946,null,null,9496,null,null,7468,null,null,7634,null,null,4471,null,null,6054,null,null,7273,null,null,6205,null,null,3537,null,null,36
77260,4385,59783,3892,38739,3142,21044,2982,8147,1980,12897,1938,17477,2786,11939,2344,5538,1635,4385,null,null,3892,null,null,3142,null,null,2982,null,null,1980,null,null,1938,null,null,2786,null,null,2344,null,null,1635,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
32459,2878,21641,2381,11211,1991,10430,1691,4020,1202,6410,1300,10818,1980,8757,1759,2061,845,2878,null,null,2381,null,null,1991,null,null,1691,null,null,1202,null,null,1300,null,null,1980,null,null,1759,null,null,845,null,null,39
28291,2039,20543,1902,13684,1665,6859,1261,3013,729,3846,1029,7748,1157,5207,953,2541,845,2039,null,null,1902,null,null,1665,null,null,1261,null,null,729,null,null,1029,null,null,1157,null,null,953,null,null,845,null,null,40
28528,2619,23309,2557,16086,2331,7223,1618,3231,1076,3992,1208,5219,1507,3410,1222,1809,824,2619,null,null,2557,null,null,2331,null,null,1618,null,null,1076,null,null,1208,null,null,1507,null,null,1222,null,null,824,null,null,41
73961,4091,53573,3873,24340,2817,29233,2923,7723,1400,21510,2387,20388,2363,15133,2138,5255,1073,4091,null,null,3873,null,null,2817,null,null,2923,null,null,1400,null,null,2387,null,null,2363,null,null,2138,null,null,1073,null,null,42
16782,1905,12579,1635,5765,1365,6814,1231,1466,604,5348,1064,4203,1095,3435,1042,768,513,1905,null,null,1635,null,null,1365,null,null,1231,null,null,604,null,null,1064,null,null,1095,null,null,1042,null,null,513,null,null,44
21295,2668,16349,2409,10145,1965,6204,1727,2089,995,4115,1329,4946,1346,2922,1034,2024,852,2668,null,null,2409,null,null,1965,null,null,1727,null,null,995,null,null,1329,null,null,1346,null,null,1034,null,null,852,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
16998,1933,13840,1910,7931,1352,5909,1354,2302,703,3607,1022,3158,912,1795,692,1363,653,1933,null,null,1910,null,null,1352,null,null,1354,null,null,703,null,null,1022,null,null,912,null,null,692,null,null,653,null,null,47
453839,10991,343491,9049,222963,7269,120528,6469,43079,4804,77449,4697,110348,5859,86317,5750,24031,2908,10991,null,null,9049,null,null,7269,null,null,6469,null,null,4804,null,null,4697,null,null,5859,null,null,5750,null,null,2908,null,null,48
40813,2991,33980,2737,21164,2406,12816,2193,4850,1574,7966,1644,6833,1497,4208,1125,2625,938,2991,null,null,2737,null,null,2406,null,null,2193,null,null,1574,null,null,1644,null,null,1497,null,null,1125,null,null,938,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
56514,3408,44917,3558,28246,3292,16671,2130,6780,1557,9891,1885,11597,2294,7779,1878,3818,1288,3408,null,null,3558,null,null,3292,null,null,2130,null,null,1557,null,null,1885,null,null,2294,null,null,1878,null,null,1288,null,null,51
88533,3712,69121,4084,44481,3453,24640,2892,9366,1990,15274,2238,19412,2265,11738,2110,7674,1459,3712,null,null,4084,null,null,3453,null,null,2892,null,null,1990,null,null,2238,null,null,2265,null,null,2110,null,null,1459,null,null,53
2177,696,1258,570,440,303,818,465,309,347,509,339,919,449,847,426,72,93,696,null,null,570,null,null,303,null,null,465,null,null,347,null,null,339,null,null,449,null,null,426,null,null,93,null,null,54
34775,2687,25868,2246,14564,1681,11304,2021,3985,1189,7319,1480,8907,1684,6906,1649,2001,740,2687,null,null,2246,null,null,1681,null,null,2021,null,null,1189,null,null,1480,null,null,1684,null,null,1649,null,null,740,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
200125,6763,136973,6166,71956,4023,65017,4038,13794,2018,51223,3761,63152,3889,54290,3645,8862,1586,6763,null,null,6166,null,null,4023,null,null,4038,null,null,2018,null,null,3761,null,null,3889,null,null,3645,null,null,1586,null,null,72
16541,2001,12060,1685,9329,1635,2731,955,1435,701,1296,658,4481,1052,3558,1005,923,501,2001,null,null,1685,null,null,1635,null,null,955,null,null,701,null,null,658,null,null,1052,null,null,1005,null,null,501,null,null,01
2547,719,2015,696,949,559,1066,606,127,149,939,604,532,304,336,253,196,177,719,null,null,696,null,null,559,null,null,606,null,null,149,null,null,604,null,null,304,null,null,253,null,null,177,null,null,02
156519,5734,121395,5269,69487,3671,51908,4070,17368,2620,34540,3353,35124,2906,24691,2355,10433,1826,5734,null,null,5269,null,null,3671,null,null,4070,null,null,2620,null,null,3353,null,null,2906,null,null,2355,null,null,1826,null,null,04
22001,1837,17706,1943,12653,1538,5053,1310,1722,780,3331,992,4295,1194,2505,1038,1790,698,1837,null,null,1943,null,null,1538,null,null,1310,null,null,780,null,null,992,null,null,1194,null,null,1038,null,null,698,null,null,05
1364663,15288,1127465,13131,694133,11810,433332,10053,156853,6746,276479,8864,237198,9411,161539,8223,75659,4613,15288,null,null,13131,null,null,11810,null,null,10053,null,null,6746,null,null,8864,null,null,9411,null,null,8223,null,null,4613,null,null,06
67693,4228,48056,3387,32373,2835,15683,2017,4612,1304,11071,1737,19637,2744,14510,2556,5127,1194,4228,null,null,3387,null,null,2835,null,null,2017,null,null,1304,null,null,1737,null,null,2744,null,null,2556,null,null,1194,null,null,08
54843,4171,37518,3185,16686,2265,20832,2511,5461,1587,15371,2256,17325,2592,13055,2103,4270,1299,4171,null,null,3185,null,null,2265,null,null,2511,null,null,1587,null,null,2256,null,null,2592,null,null,2103,null,null,1299,null,null,09
3737,1136,3339,1151,1559,772,1780,838,436,368,1344,711,398,219,398,219,0,193,1136,null,null,1151,null,null,772,null,null,838,null,null,368,null,null,711,null,null,219,null,null,219,null,null,193,null,null,10
11190,1387,6891,1228,2829,1093,4062,1021,1622,678,2440,886,4299,1127,2958,1072,1341,681,1387,null,null,1228,null,null,1093,null,null,1021,null,null,678,null,null,886,null,null,1127,null,null,1072,null,null,681,null,null,11
