B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,B13012_001M,B13012_001EA,B13012_001MA,B13012_002M,B13012_002EA,B13012_002MA,B13012_003M,B13012_003EA,B13012_003MA,B13012_004M,B13012_004EA,B13012_004MA,B13012_005M,B13012_005EA,B13012_005MA,B13012_006M,B13012_006EA,B13012_006MA,B13012_007M,B13012_007EA,B13012_007MA,B13012_008M,B13012_008EA,B13012_008MA,B13012_009M,B13012_009EA,B13012_009MA,B13012_010M,B13012_010EA,B13012_010MA,B13012_011M,B13012_011EA,B13012_011MA,B13012_012M,B13012_012EA,B13012_012MA,B13012_013M,B13012_013EA,B13012_013MA,B13012_014M,B13012_014EA,B13012_014MA,B13012_015M,B13012_015EA,B13012_015MA,state
4482314,8531,217040,7821,125513,6088,75020,4337,50493,4488,91527,5555,63797,5278,27730,3098,4265274,12090,1743834,17832,1299110,17768,444724,12952,2521440,19081,1780744,19544,740696,15608,8531,null,null,7821,null,null,6088,null,null,4337,null,null,4488,null,null,5555,null,null,5278,null,null,3098,null,null,12090,null,null,17832,null,null,17768,null,null,12952,null,null,19081,null,null,19544,null,null,15608,null,null,12
2499558,7968,142704,7679,87821,5726,50889,4189,36932,3325,54883,4472,38255,3809,16628,2285,2356854,10817,1020666,14250,750180,13256,270486,10098,1336188,15425,935519,14933,400669,12017,7968,null,null,7679,null,null,5726,null,null,4189,null,null,3325,null,null,4472,null,null,3809,null,null,2285,null,null,10817,null,null,14250,null,null,13256,null,null,10098,null,null,15425,null,null,14933,null,null,12017,null,null,13
314766,2109,21570,2201,14620,1866,8376,1406,6244,1179,6950,1502,4835,1185,2115,763,293196,2678,139912,4441,108618,4196,31294,2703,153284,4427,110766,4776,42518,2887,2109,null,null,2201,null,null,1866,null,null,1406,null,null,1179,null,null,1502,null,null,1185,null,null,763,null,null,2678,null,null,4441,null,null,4196,null,null,2703,null,null,4427,null,null,4776,null,null,2887,null,null,15
371401,2710,23210,2671,16561,2221,8051,1560,8510,1460,6649,1432,4944,1259,1705,684,348191,3670,176831,6324,122213,5443,54618,4391,171360,6580,119326,5221,52034,3919,2710,null,null,2671,null,null,2221,null,null,1560,null,null,1460,null,null,1432,null,null,1259,null,null,684,null,null,3670,null,null,6324,null,null,5443,null,null,4391,null,null,6580,null,null,5221,null,null,3919,null,null,16
2990275,6589,152057,5782,97336,5018,65769,3544,31567,3326,54721,3607,39971,3355,14750,1869,2838218,8448,1194315,13099,915645,12089,278670,6692,1643903,14121,1223100,13840,420803,10267,6589,null,null,5782,null,null,5018,null,null,3544,null,null,3326,null,null,3607,null,null,3355,null,null,1869,null,null,8448,null,null,13099,null,null,12089,null,null,6692,null,null,14121,null,null,13840,null,null,10267,null,null,17
1504962,4782,87207,4948,54749,3534,34098,2936,20651,2077,32458,3629,21801,3072,10657,1918,1417755,7258,627272,9596,477420,10066,149852,6136,790483,10404,571282,10471,219201,6974,4782,null,null,4948,null,null,3534,null,null,2936,null,null,2077,null,null,3629,null,null,3072,null,null,1918,null,null,7258,null,null,9596,null,null,10066,null,null,6136,null,null,10404,null,null,10471,null,null,6974,null,null,18
682932,3567,41605,2988,29028,2670,20816,2202,8212,1371,12577,1588,9026,1356,3551,952,641327,4488,302303,5922,247498,5638,54805,3752,339024,6258,265378,5811,73646,3539,3567,null,null,2988,null,null,2670,null,null,2202,null,null,1371,null,null,1588,null,null,1356,null,null,952,null,null,4488,null,null,5922,null,null,5638,null,null,3752,null,null,6258,null,null,5811,null,null,3539,null,null,19
641906,3792,35762,2703,25367,2164,15939,1610,9428,1375,10395,1730,7374,1330,3021,822,606144,4114,291438,6627,223718,5410,67720,3928,314706,7391,236261,7111,78445,4182,3792,null,null,2703,null,null,2164,null,null,1610,null,null,1375,null,null,1730,null,null,1330,null,null,822,null,null,4114,null,null,6627,null,null,5410,null,null,3928,null,null,7391,null,null,7111,null,null,4182,null,null,20
1002771,4934,54804,3422,33761,2956,21436,2322,12325,1780,21043,2661,13735,2171,7308,1391,947967,5601,437906,8801,326725,8416,111181,5012,510061,9106,351745,7708,158316,6765,4934,null,null,3422,null,null,2956,null,null,2322,null,null,1780,null,null,2661,null,null,2171,null,null,1391,null,null,5601,null,null,8801,null,null,8416,null,null,5012,null,null,9106,null,null,7708,null,null,6765,null,null,21
1085587,5242,61810,4196,31378,2825,19376,2510,12002,1716,30432,3225,20468,2395,9964,1988,1023777,7250,398594,9545,289148,8183,109446,6323,625183,10702,427671,10074,197512,7254,5242,null,null,4196,null,null,2825,null,null,2510,null,null,1716,null,null,3225,null,null,2395,null,null,1988,null,null,7250,null,null,9545,null,null,8183,null,null,6323,null,null,10702,null,null,10074,null,null,7254,null,null,22
282047,2363,12952,1828,8027,1262,6330,1128,1697,645,4925,1338,3290,1141,1635,797,269095,3278,116208,4063,94689,3907,21519,2105,152887,4451,112394,3946,40493,2716,2363,null,null,1828,null,null,1262,null,null,1128,null,null,645,null,null,1338,null,null,1141,null,null,797,null,null,3278,null,null,4063,null,null,3907,null,null,2105,null,null,4451,null,null,3946,null,null,2716,null,null,23
1411024,4532,73888,4677,50152,3364,35801,2728,14351,2172,23736,2853,15912,2608,7824,1746,1337136,6296,556739,10328,451004,9307,105735,4805,780397,11856,588806,11138,191591,7322,4532,null,null,4677,null,null,3364,null,null,2728,null,null,2172,null,null,2853,null,null,2608,null,null,1746,null,null,6296,null,null,10328,null,null,9307,null,null,4805,null,null,11856,null,null,11138,null,null,7322,null,null,24
