B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,B15002B_001M,B15002B_001EA,B15002B_001MA,B15002B_002M,B15002B_002EA,B15002B_002MA,B15002B_003M,B15002B_003EA,B15002B_003MA,B15002B_004M,B15002B_004EA,B15002B_004MA,B15002B_005M,B15002B_005EA,B15002B_005MA,B15002B_006M,B15002B_006EA,B15002B_006MA,B15002B_007M,B15002B_007EA,B15002B_007MA,B15002B_008M,B15002B_008EA,B15002B_008MA,B15002B_009M,B15002B_009EA,B15002B_009MA,B15002B_010M,B15002B_010EA,B15002B_010MA,B15002B_011M,B15002B_011EA,B15002B_011MA,B15002B_012M,B15002B_012EA,B15002B_012MA,B15002B_013M,B15002B_013EA,B15002B_013MA,B15002B_014M,B15002B_014EA,B15002B_014MA,B15002B_015M,B15002B_015EA,B15002B_015MA,B15002B_016M,B15002B_016EA,B15002B_016MA,B15002B_017M,B15002B_017EA,B15002B_017MA,B15002B_018M,B15002B_018EA,B15002B_018MA,B15002B_019M,B15002B_019EA,B15002B_019MA,state
2082501,12386,965468,7457,65091,4591,135519,6767,294500,8881,49444,4002,191936,7598,79402,5691,101385,5583,48191,3828,1117033,7772,73877,4744,114455,6637,300107,9513,39793,3442,239694,8835,118544,6968,144514,6638,86049,5337,12386,null,null,7457,null,null,4591,null,null,6767,null,null,8881,null,null,4002,null,null,7598,null,null,5691,null,null,5583,null,null,3828,null,null,7772,null,null,4744,null,null,6637,null,null,9513,null,null,3442,null,null,8835,null,null,6968,null,null,6638,null,null,5337,null,null,12
2034955,8053,905012,5084,38005,3418,107050,6246,261343,9167,52034,3567,206164,7707,63524,5067,114305,6845,62587,4595,1129943,5983,38474,2964,98926,5047,271222,8348,35521,2845,273805,8766,112335,6859,174692,6252,124968,6193,8053,null,null,5084,null,null,3418,null,null,6246,null,null,9167,null,null,3567,null,null,7707,null,null,5067,null,null,6845,null,null,4595,null,null,5983,null,null,2964,null,null,5047,null,null,8348,null,null,2845,null,null,8766,null,null,6859,null,null,6252,null,null,6193,null,null,13
16842,1189,11306,1012,314,333,17,30,3322,1063,51,95,4114,1027,1105,611,2048,795,335,223,5536,803,356,261,106,184,931,586,81,143,1765,630,529,493,1087,475,681,439,1189,null,null,1012,null,null,333,null,null,30,null,null,1063,null,null,95,null,null,1027,null,null,611,null,null,795,null,null,223,null,null,803,null,null,261,null,null,184,null,null,586,null,null,143,null,null,630,null,null,493,null,null,475,null,null,439,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1154328,5744,520577,3805,19069,1947,65307,4070,133874,4754,29725,2622,142582,5351,33706,3131,61501,4400,34813,3267,633751,3426,17413,1832,57315,3611,138572,4835,20081,2228,190616,6246,56270,3625,88269,4597,65215,3637,5744,null,null,3805,null,null,1947,null,null,4070,null,null,4754,null,null,2622,null,null,5351,null,null,3131,null,null,4400,null,null,3267,null,null,3426,null,null,1832,null,null,3611,null,null,4835,null,null,2228,null,null,6246,null,null,3625,null,null,4597,null,null,3637,null,null,17
370196,4483,168816,3187,5613,1095,20884,2400,47806,3319,15640,2160,41207,3232,13291,2099,15648,1973,8727,1470,201380,3024,4810,1193,22220,2981,52113,4167,7956,1425,55058,3827,25298,2830,20878,2637,13047,1846,4483,null,null,3187,null,null,1095,null,null,2400,null,null,3319,null,null,2160,null,null,3232,null,null,2099,null,null,1973,null,null,1470,null,null,3024,null,null,1193,null,null,2981,null,null,4167,null,null,1425,null,null,3827,null,null,2830,null,null,2637,null,null,1846,null,null,18
59550,2506,31162,1622,1376,709,3876,972,6670,1107,2438,834,8024,1533,2289,714,4230,986,2259,704,28388,1746,1681,800,3590,1165,6888,1773,1369,594,6410,1298,3108,826,3662,1063,1680,772,2506,null,null,1622,null,null,709,null,null,972,null,null,1107,null,null,834,null,null,1533,null,null,714,null,null,986,null,null,704,null,null,1746,null,null,800,null,null,1165,null,null,1773,null,null,594,null,null,1298,null,null,826,null,null,1063,null,null,772,null,null,19
102119,2408,52272,2044,1266,457,5901,1287,13524,1781,2903,1017,14426,1980,3894,1225,6598,1405,3760,909,49847,1710,1221,458,3754,992,12190,1736,1546,497,15994,1585,4647,1065,6970,1467,3525,969,2408,null,null,2044,null,null,457,null,null,1287,null,null,1781,null,null,1017,null,null,1980,null,null,1225,null,null,1405,null,null,909,null,null,1710,null,null,458,null,null,992,null,null,1736,null,null,497,null,null,1585,null,null,1065,null,null,1467,null,null,969,null,null,20
223064,3625,105926,2648,4705,998,12599,2078,30034,2796,7845,1426,28808,2637,8066,1699,9173,1612,4696,1144,117138,2906,3785,969,11546,1848,27969,2813,6051,1435,36309,3031,12905,1908,10837,1483,7736,1436,3625,null,null,2648,null,null,998,null,null,2078,null,null,2796,null,null,1426,null,null,2637,null,null,1699,null,null,1612,null,null,1144,null,null,2906,null,null,969,null,null,1848,null,null,2813,null,null,1435,null,null,3031,null,null,1908,null,null,1483,null,null,1436,null,null,21
930771,5376,428340,3633,30313,2829,82523,4942,143764,5455,26083,2705,83647,4995,16077,2085,32069,2807,13864,2047,502431,3594,23947,2182,64875,4040,150133,5739,17361,2183,118997,5623,35634,3406,55438,3945,36046,3541,5376,null,null,3633,null,null,2829,null,null,4942,null,null,5455,null,null,2705,null,null,4995,null,null,2085,null,null,2807,null,null,2047,null,null,3594,null,null,2182,null,null,4040,null,null,5739,null,null,2183,null,null,5623,null,null,3406,null,null,3945,null,null,3541,null,null,22
8256,1256,5323,1037,424,278,258,251,1207,642,702,543,1149,659,922,558,579,415,82,106,2933,646,422,261,587,485,537,452,131,231,317,268,0,172,757,464,182,181,1256,null,null,1037,null,null,278,null,null,251,null,null,642,null,null,543,null,null,659,null,null,558,null,null,415,null,null,106,null,null,646,null,null,261,null,null,485,null,null,452,null,null,231,null,null,268,null,null,172,null,null,464,null,null,181,null,null,23
1191325,5824,534365,3457,14722,1718,43983,3065,154924,5252,26616,2686,117508,4869,28781,2832,88590,5045,59241,4077,656960,3930,14899,1830,41397,3222,163927,6238,19790,2302,166457,6388,46475,3392,111525,4787,92490,4983,5824,null,null,3457,null,null,1718,null,null,3065,null,null,5252,null,null,2686,null,null,4869,null,null,2832,null,null,5045,null,null,4077,null,null,3930,null,null,1830,null,null,3222,null,null,6238,null,null,2302,null,null,6388,null,null,3392,null,null,4787,null,null,4983,null,null,24
