B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,B15002H_001M,B15002H_001EA,B15002H_001MA,B15002H_002M,B15002H_002EA,B15002H_002MA,B15002H_003M,B15002H_003EA,B15002H_003MA,B15002H_004M,B15002H_004EA,B15002H_004MA,B15002H_005M,B15002H_005EA,B15002H_005MA,B15002H_006M,B15002H_006EA,B15002H_006MA,B15002H_007M,B15002H_007EA,B15002H_007MA,B15002H_008M,B15002H_008EA,B15002H_008MA,B15002H_009M,B15002H_009EA,B15002H_009MA,B15002H_010M,B15002H_010EA,B15002H_010MA,B15002H_011M,B15002H_011EA,B15002H_011MA,B15002H_012M,B15002H_012EA,B15002H_012MA,B15002H_013M,B15002H_013EA,B15002H_013MA,B15002H_014M,B15002H_014EA,B15002H_014MA,B15002H_015M,B15002H_015EA,B15002H_015MA,B15002H_016M,B15002H_016EA,B15002H_016MA,B15002H_017M,B15002H_017EA,B15002H_017MA,B15002H_018M,B15002H_018EA,B15002H_018MA,B15002H_019M,B15002H_019EA,B15002H_019MA,state
8727205,4483,4215979,2842,95045,6390,251657,9008,955178,13376,224589,7768,901019,14903,368902,10263,879594,14858,539995,10833,4511226,2901,83908,4638,235428,9538,1149004,16799,178197,7243,978384,14058,494243,10968,889291,14255,502771,10611,4483,null,null,2842,null,null,6390,null,null,9008,null,null,13376,null,null,7768,null,null,14903,null,null,10263,null,null,14858,null,null,10833,null,null,2901,null,null,4638,null,null,9538,null,null,16799,null,null,7243,null,null,14058,null,null,10968,null,null,14255,null,null,10611,null,null,12
3895137,2895,1881258,2078,59514,3804,144033,7145,410378,11112,119766,5533,383176,9590,127376,6065,401073,8978,235942,7318,2013879,1936,53685,4141,139715,5680,452712,11544,102317,5638,414659,8991,167176,6876,423748,9146,259867,6657,2895,null,null,2078,null,null,3804,null,null,7145,null,null,11112,null,null,5533,null,null,9590,null,null,6065,null,null,8978,null,null,7318,null,null,1936,null,null,4141,null,null,5680,null,null,11544,null,null,5638,null,null,8991,null,null,6876,null,null,9146,null,null,6657,null,null,13
244160,403,131168,334,1360,1104,3296,915,20044,1984,3663,1135,34546,2697,11027,1414,32533,2510,24699,2249,112992,194,928,533,2057,880,18142,1742,2253,720,22989,1937,14521,1855,31330,2032,20772,1816,403,null,null,334,null,null,1104,null,null,915,null,null,1984,null,null,1135,null,null,2697,null,null,1414,null,null,2510,null,null,2249,null,null,194,null,null,533,null,null,880,null,null,1742,null,null,720,null,null,1937,null,null,1855,null,null,2032,null,null,1816,null,null,15
938873,1108,461157,736,7356,1324,26224,2626,104738,5389,26930,3094,113387,4666,43276,3390,90811,4919,48435,3132,477716,834,5390,1158,24742,2732,105248,4753,22775,2696,131529,5183,51072,3681,98815,4691,38145,3300,1108,null,null,736,null,null,1324,null,null,2626,null,null,5389,null,null,3094,null,null,4666,null,null,3390,null,null,4919,null,null,3132,null,null,834,null,null,1158,null,null,2732,null,null,4753,null,null,2696,null,null,5183,null,null,3681,null,null,4691,null,null,3300,null,null,16
5724521,2143,2767782,1537,53082,3189,129737,5790,621245,10981,108957,4544,589490,10367,219820,6541,659730,10034,385721,8326,2956739,1130,55683,3230,116960,4895,681275,10697,82337,4348,634904,9630,266531,7137,683840,9508,435209,9793,2143,null,null,1537,null,null,3189,null,null,5790,null,null,10981,null,null,4544,null,null,10367,null,null,6541,null,null,10034,null,null,8326,null,null,1130,null,null,3230,null,null,4895,null,null,10697,null,null,4348,null,null,9630,null,null,7137,null,null,9508,null,null,9793,null,null,17
3656504,2673,1766037,1713,53116,3192,131350,5070,521040,8000,103972,5153,359181,7748,134001,5248,299251,8154,164126,5100,1890467,1484,48052,2951,127884,6586,551476,7881,84742,4790,384388,7429,178778,6503,328581,7290,186566,5968,2673,null,null,1713,null,null,3192,null,null,5070,null,null,8000,null,null,5153,null,null,7748,null,null,5248,null,null,8154,null,null,5100,null,null,1484,null,null,2951,null,null,6586,null,null,7881,null,null,4790,null,null,7429,null,null,6503,null,null,7290,null,null,5968,null,null,18
1873486,1330,910592,780,20490,2304,44053,2627,269173,6139,39366,2850,193636,5715,91706,3328,169201,5363,82967,3424,962894,906,17021,1790,36138,2612,258156,5728,29811,2201,207750,5362,126560,4727,198680,5083,88778,4322,1330,null,null,780,null,null,2304,null,null,2627,null,null,6139,null,null,2850,null,null,5715,null,null,3328,null,null,5363,null,null,3424,null,null,906,null,null,1790,null,null,2612,null,null,5728,null,null,2201,null,null,5362,null,null,4727,null,null,5083,null,null,4322,null,null,19
1532396,1280,741969,995,14043,1823,35016,2767,169831,5977,33198,2572,173648,4851,56545,3345,166082,4977,93606,3469,790427,708,12813,1468,32503,2617,168146,4780,28346,2465,191386,5187,77399,2970,175670,5297,104164,4148,1280,null,null,995,null,null,1823,null,null,2767,null,null,5977,null,null,2572,null,null,4851,null,null,3345,null,null,4977,null,null,3469,null,null,708,null,null,1468,null,null,2617,null,null,4780,null,null,2465,null,null,5187,null,null,2970,null,null,5297,null,null,4148,null,null,20
2626648,2589,1262649,1641,73470,4632,111719,4967,344664,7494,94598,4875,258549,6685,88308,4509,179907,5771,111434,4043,1363999,1354,69688,3555,106945,4911,336161,7945,85065,4371,292239,7075,138355,5084,194779,6175,140767,4733,2589,null,null,1641,null,null,4632,null,null,4967,null,null,7494,null,null,4875,null,null,6685,null,null,4509,null,null,5771,null,null,4043,null,null,1354,null,null,3555,null,null,4911,null,null,7945,null,null,4371,null,null,7075,null,null,5084,null,null,6175,null,null,4733,null,null,21
1950539,2509,945469,1922,45407,3426,79489,4738,254551,8293,59787,4519,200199,6753,50876,3413,166550,5373,88610,4205,1005070,1295,32506,2979,72166,5174,287950,7901,53480,4181,206178,7315,71731,4095,187445,7230,93614,4834,2509,null,null,1922,null,null,3426,null,null,4738,null,null,8293,null,null,4519,null,null,6753,null,null,3413,null,null,5373,null,null,4205,null,null,1295,null,null,2979,null,null,5174,null,null,7901,null,null,4181,null,null,7315,null,null,4095,null,null,7230,null,null,4834,null,null,22
