B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,B16005D_001M,B16005D_001EA,B16005D_001MA,B16005D_002M,B16005D_002EA,B16005D_002MA,B16005D_003M,B16005D_003EA,B16005D_003MA,B16005D_004M,B16005D_004EA,B16005D_004MA,B16005D_005M,B16005D_005EA,B16005D_005MA,B16005D_006M,B16005D_006EA,B16005D_006MA,B16005D_007M,B16005D_007EA,B16005D_007MA,B16005D_008M,B16005D_008EA,B16005D_008MA,B16005D_009M,B16005D_009EA,B16005D_009MA,B16005D_010M,B16005D_010EA,B16005D_010MA,B16005D_011M,B16005D_011EA,B16005D_011MA,state
531705,7268,142539,6173,84569,5810,57970,4721,50686,4404,7284,1680,389166,7521,74932,5886,314234,8954,173548,8020,140686,8628,7268,null,null,6173,null,null,5810,null,null,4721,null,null,4404,null,null,1680,null,null,7521,null,null,5886,null,null,8954,null,null,8020,null,null,8628,null,null,12
374725,5997,94428,4976,42969,4329,51459,4688,45203,4289,6256,1392,280297,6354,31782,3571,248515,6853,123982,6242,124533,6482,5997,null,null,4976,null,null,4329,null,null,4688,null,null,4289,null,null,1392,null,null,6354,null,null,3571,null,null,6853,null,null,6242,null,null,6482,null,null,13
524297,9782,321426,9049,272679,7852,48747,4752,35732,4636,13015,1920,202871,10158,25879,2792,176992,9595,63569,5431,113423,7311,9782,null,null,9049,null,null,7852,null,null,4752,null,null,4636,null,null,1920,null,null,10158,null,null,2792,null,null,9595,null,null,5431,null,null,7311,null,null,15
23319,2138,8560,2010,7014,2043,1546,693,1122,610,424,331,14759,1843,3631,1173,11128,1773,5779,1330,5349,1267,2138,null,null,2010,null,null,2043,null,null,693,null,null,610,null,null,331,null,null,1843,null,null,1173,null,null,1773,null,null,1330,null,null,1267,null,null,16
646622,5292,187888,6494,100494,6293,87394,4662,75418,4460,11976,1871,458734,6906,52805,4343,405929,7376,225841,7681,180088,6841,5292,null,null,6494,null,null,6293,null,null,4662,null,null,4460,null,null,1871,null,null,6906,null,null,4343,null,null,7376,null,null,7681,null,null,6841,null,null,17
131696,4302,25704,2798,11881,1744,13823,2490,12225,2329,1598,742,105992,3730,15579,2364,90413,3805,44566,3548,45847,3468,4302,null,null,2798,null,null,1744,null,null,2490,null,null,2329,null,null,742,null,null,3730,null,null,2364,null,null,3805,null,null,3548,null,null,3468,null,null,18
69599,2309,17332,2227,10265,1941,7067,1417,5177,1143,1890,717,52267,2707,9809,1791,42458,2561,17498,2287,24960,2684,2309,null,null,2227,null,null,1941,null,null,1417,null,null,1143,null,null,717,null,null,2707,null,null,1791,null,null,2561,null,null,2287,null,null,2684,null,null,19
75097,3297,16497,2116,9976,1826,6521,1331,5978,1327,543,381,58600,3883,7759,1306,50841,4054,23093,2356,27748,3386,3297,null,null,2116,null,null,1826,null,null,1331,null,null,1327,null,null,381,null,null,3883,null,null,1306,null,null,4054,null,null,2356,null,null,3386,null,null,20
57087,2780,11933,1804,6568,1378,5365,1141,4555,1111,810,461,45154,2795,6559,1227,38595,2799,16896,2125,21699,2460,2780,null,null,1804,null,null,1378,null,null,1141,null,null,1111,null,null,461,null,null,2795,null,null,1227,null,null,2799,null,null,2125,null,null,2460,null,null,21
73016,2388,21327,3085,8782,2134,12545,2144,10833,1998,1712,672,51689,3095,5142,1459,46547,3204,21145,2753,25402,2778,2388,null,null,3085,null,null,2134,null,null,2144,null,null,1998,null,null,672,null,null,3095,null,null,1459,null,null,3204,null,null,2753,null,null,2778,null,null,22
