B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,B16006_001M,B16006_001EA,B16006_001MA,B16006_002M,B16006_002EA,B16006_002MA,B16006_003M,B16006_003EA,B16006_003MA,B16006_004M,B16006_004EA,B16006_004MA,B16006_005M,B16006_005EA,B16006_005MA,B16006_006M,B16006_006EA,B16006_006MA,B16006_007M,B16006_007EA,B16006_007MA,B16006_008M,B16006_008EA,B16006_008MA,state
4775277,1513,872953,24226,3880951,24115,2107204,27926,671268,13779,639535,18094,462944,17459,21373,3923,1513,null,null,24226,null,null,24115,null,null,27926,null,null,13779,null,null,18094,null,null,17459,null,null,3923,null,null,12
863218,3954,183374,10381,676816,11140,350032,11170,141837,8202,127927,7133,57020,5325,3028,1080,3954,null,null,10381,null,null,11140,null,null,11170,null,null,8202,null,null,7133,null,null,5325,null,null,1080,null,null,13
128485,-555555555,95453,3844,22692,3570,15592,2477,5898,1762,1079,761,123,158,10340,2094,-555555555,null,*****,3844,null,null,3570,null,null,2477,null,null,1762,null,null,761,null,null,158,null,null,2094,null,null,15
185149,1494,70089,5104,114117,5176,65185,4465,23362,3410,18005,2382,7565,1788,943,553,1494,null,null,5104,null,null,5176,null,null,4465,null,null,3410,null,null,2382,null,null,1788,null,null,553,null,null,16
1993068,1988,451759,16531,1532824,17142,931671,14642,263098,8837,250834,9080,87221,6022,8485,1953,1988,null,null,16531,null,null,17142,null,null,14642,null,null,8837,null,null,9080,null,null,6022,null,null,1953,null,null,17
403704,1817,143240,7028,259073,7610,153332,6224,46609,3908,50378,4404,8754,1851,1391,643,1817,null,null,7028,null,null,7610,null,null,6224,null,null,3908,null,null,4404,null,null,1851,null,null,643,null,null,18
160463,1618,57825,3768,102082,3991,54535,3438,21015,2726,17766,1951,8766,1983,556,411,1618,null,null,3768,null,null,3991,null,null,3438,null,null,2726,null,null,1951,null,null,1983,null,null,411,null,null,19
299674,1562,104800,5882,193754,6025,111376,4626,35403,2873,31045,3342,15930,3006,1120,626,1562,null,null,5882,null,null,6025,null,null,4626,null,null,2873,null,null,3342,null,null,3006,null,null,626,null,null,20
135556,2816,54066,4279,80938,4330,42047,3250,17639,2059,17032,2273,4220,1179,552,403,2816,null,null,4279,null,null,4330,null,null,3250,null,null,2059,null,null,2273,null,null,1179,null,null,403,null,null,21
206944,3116,71249,6815,134373,5711,71184,4791,28722,3270,23004,3051,11463,2861,1322,527,3116,null,null,6815,null,null,5711,null,null,4791,null,null,3270,null,null,3051,null,null,2861,null,null,527,null,null,22
19462,912,13059,1497,5941,1172,4291,939,1097,578,317,249,236,213,462,371,912,null,null,1497,null,null,1172,null,null,939,null,null,578,null,null,249,null,null,213,null,null,371,null,null,23
524346,1125,106673,6070,413269,5856,212912,8346,82882,5620,80666,5937,36809,4367,4404,1758,1125,null,null,6070,null,null,5856,null,null,8346,null,null,5620,null,null,5937,null,null,4367,null,null,1758,null,null,24
706757,1141,167587,8393,533024,8559,305041,7795,89059,4966,86713,5285,52211,5387,6146,1670,1141,null,null,8393,null,null,8559,null,null,7795,null,null,4966,null,null,5285,null,null,5387,null,null,1670,null,null,25
444270,1471,219044,7699,222543,7441,133972,6714,38944,3054,34793,3907,14834,2423,2683,786,1471,null,null,7699,null,null,7441,null,null,6714,null,null,3054,null,null,3907,null,null,2423,null,null,786,null,null,26
