B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,B17010A_001M,B17010A_001EA,B17010A_001MA,B17010A_002M,B17010A_002EA,B17010A_002MA,B17010A_003M,B17010A_003EA,B17010A_003MA,B17010A_004M,B17010A_004EA,B17010A_004MA,B17010A_005M,B17010A_005EA,B17010A_005MA,B17010A_006M,B17010A_006EA,B17010A_006MA,B17010A_007M,B17010A_007EA,B17010A_007MA,B17010A_008M,B17010A_008EA,B17010A_008MA,B17010A_009M,B17010A_009EA,B17010A_009MA,B17010A_010M,B17010A_010EA,B17010A_010MA,B17010A_011M,B17010A_011EA,B17010A_011MA,B17010A_012M,B17010A_012EA,B17010A_012MA,B17010A_013M,B17010A_013EA,B17010A_013MA,B17010A_014M,B17010A_014EA,B17010A_014MA,B17010A_015M,B17010A_015EA,B17010A_015MA,B17010A_016M,B17010A_016EA,B17010A_016MA,B17010A_017M,B17010A_017EA,B17010A_017MA,B17010A_018M,B17010A_018EA,B17010A_018MA,B17010A_019M,B17010A_019EA,B17010A_019MA,B17010A_020M,B17010A_020EA,B17010A_020MA,B17010A_021M,B17010A_021EA,B17010A_021MA,B17010A_022M,B17010A_022EA,B17010A_022MA,B17010A_023M,B17010A_023EA,B17010A_023MA,B17010A_024M,B17010A_024EA,B17010A_024MA,B17010A_025M,B17010A_025EA,B17010A_025MA,B17010A_026M,B17010A_026EA,B17010A_026MA,B17010A_027M,B17010A_027EA,B17010A_027MA,B17010A_028M,B17010A_028EA,B17010A_028MA,B17010A_029M,B17010A_029EA,B17010A_029MA,B17010A_030M,B17010A_030EA,B17010A_030MA,B17010A_031M,B17010A_031EA,B17010A_031MA,B17010A_032M,B17010A_032EA,B17010A_032MA,B17010A_033M,B17010A_033EA,B17010A_033MA,B17010A_034M,B17010A_034EA,B17010A_034MA,B17010A_035M,B17010A_035EA,B17010A_035MA,B17010A_036M,B17010A_036EA,B17010A_036MA,B17010A_037M,B17010A_037EA,B17010A_037MA,B17010A_038M,B17010A_038EA,B17010A_038MA,B17010A_039M,B17010A_039EA,B17010A_039MA,B17010A_040M,B17010A_040EA,B17010A_040MA,B17010A_041M,B17010A_041EA,B17010A_041MA,state
3860030,20158,336615,8674,165294,6579,76611,4523,11324,1918,22329,2843,42958,3632,88683,4665,171321,5974,32749,3070,21761,2592,5405,1311,4605,1114,11751,1939,10988,1568,138572,5843,112094,5048,21068,2375,27216,3108,63810,3761,26478,2815,3523415,20199,2801129,20093,884056,13615,161705,6949,149538,6499,572813,12885,1917073,16484,722286,14229,234066,9463,111078,6547,23705,3084,13888,2508,73485,4914,122988,5533,488220,10273,247601,8064,35168,3227,28434,3335,183999,6601,240619,7692,20158,null,null,8674,null,null,6579,null,null,4523,null,null,1918,null,null,2843,null,null,3632,null,null,4665,null,null,5974,null,null,3070,null,null,2592,null,null,1311,null,null,1114,null,null,1939,null,null,1568,null,null,5843,null,null,5048,null,null,2375,null,null,3108,null,null,3761,null,null,2815,null,null,20199,null,null,20093,null,null,13615,null,null,6949,null,null,6499,null,null,12885,null,null,16484,null,null,14229,null,null,9463,null,null,6547,null,null,3084,null,null,2508,null,null,4914,null,null,5533,null,null,10273,null,null,8064,null,null,3227,null,null,3335,null,null,6601,null,null,7692,null,null,12
1559990,14129,125454,5867,57305,3919,32649,2978,3782,938,12967,2291,15900,2152,24656,2749,68149,4929,13202,1838,9438,1791,1615,750,3535,1272,4288,1156,3764,963,54947,4550,47384,4312,10494,1742,12547,2233,24343,3067,7563,1337,1434536,14504,1193592,14074,482217,8848,86993,5202,86557,5098,308667,8539,711375,10894,240944,8713,79050,4755,40157,3599,8892,1686,3933,1118,27332,3203,38893,3410,161894,7296,87658,5076,13418,2534,8671,1271,65569,4298,74236,5268,14129,null,null,5867,null,null,3919,null,null,2978,null,null,938,null,null,2291,null,null,2152,null,null,2749,null,null,4929,null,null,1838,null,null,1791,null,null,750,null,null,1272,null,null,1156,null,null,963,null,null,4550,null,null,4312,null,null,1742,null,null,2233,null,null,3067,null,null,1337,null,null,14504,null,null,14074,null,null,8848,null,null,5202,null,null,5098,null,null,8539,null,null,10894,null,null,8713,null,null,4755,null,null,3599,null,null,1686,null,null,1118,null,null,3203,null,null,3410,null,null,7296,null,null,5076,null,null,2534,null,null,1271,null,null,4298,null,null,5268,null,null,13
93422,3264,3505,805,1994,606,810,354,263,205,233,212,314,199,1184,525,1511,562,20,37,20,37,0,185,0,185,20,37,0,185,1491,558,1070,368,240,200,245,236,585,329,421,404,89917,3303,76302,3265,28928,2271,7290,1200,6102,1152,15536,1604,47374,3050,13615,2007,5257,1307,2844,985,873,428,254,213,1717,723,2413,846,8358,1573,4109,1162,331,240,995,671,2783,839,4249,1003,3264,null,null,805,null,null,606,null,null,354,null,null,205,null,null,212,null,null,199,null,null,525,null,null,562,null,null,37,null,null,37,null,null,185,null,null,185,null,null,37,null,null,185,null,null,558,null,null,368,null,null,200,null,null,236,null,null,329,null,null,404,null,null,3303,null,null,3265,null,null,2271,null,null,1200,null,null,1152,null,null,1604,null,null,3050,null,null,2007,null,null,1307,null,null,985,null,null,428,null,null,213,null,null,723,null,null,846,null,null,1573,null,null,1162,null,null,240,null,null,671,null,null,839,null,null,1003,null,null,15
378955,6825,35802,3281,16528,2341,9252,1646,2336,804,3389,937,3527,922,7276,1375,19274,2368,3607,1041,3162,992,108,126,501,346,2553,985,445,265,15667,2098,14207,2018,2769,813,3691,1093,7747,1410,1460,655,343153,7079,289612,7128,113394,5376,17367,2169,28909,2725,67118,3469,176218,5995,53541,3772,19638,2535,11472,2097,2081,803,2372,908,7019,1716,8166,1528,33903,2812,19097,2386,2226,781,2001,717,14870,2255,14806,1706,6825,null,null,3281,null,null,2341,null,null,1646,null,null,804,null,null,937,null,null,922,null,null,1375,null,null,2368,null,null,1041,null,null,992,null,null,126,null,null,346,null,null,985,null,null,265,null,null,2098,null,null,2018,null,null,813,null,null,1093,null,null,1410,null,null,655,null,null,7079,null,null,7128,null,null,5376,null,null,2169,null,null,2725,null,null,3469,null,null,5995,null,null,3772,null,null,2535,null,null,2097,null,null,803,null,null,908,null,null,1716,null,null,1528,null,null,2812,null,null,2386,null,null,781,null,null,717,null,null,2255,null,null,1706,null,null,16
2320070,14449,152006,6753,65761,3855,35833,2980,5305,1245,10389,1506,20139,2224,29928,2295,86245,5554,16830,2122,12293,2021,2900,1185,3663,1050,5730,1217,4537,1015,69415,4928,57531,4194,11293,1592,14940,1972,31298,3105,11884,1814,2168064,13858,1769430,14567,700550,10817,127842,4956,125714,5313,446994,8558,1068880,11133,398634,9931,131410,6103,65558,4504,15431,2647,7052,1328,43075,3580,65852,3821,267224,7092,139306,5572,19560,2341,13539,1531,106207,4961,127918,5447,14449,null,null,6753,null,null,3855,null,null,2980,null,null,1245,null,null,1506,null,null,2224,null,null,2295,null,null,5554,null,null,2122,null,null,2021,null,null,1185,null,null,1050,null,null,1217,null,null,1015,null,null,4928,null,null,4194,null,null,1592,null,null,1972,null,null,3105,null,null,1814,null,null,13858,null,null,14567,null,null,10817,null,null,4956,null,null,5313,null,null,8558,null,null,11133,null,null,9931,null,null,6103,null,null,4504,null,null,2647,null,null,1328,null,null,3580,null,null,3821,null,null,7092,null,null,5572,null,null,2341,null,null,1531,null,null,4961,null,null,5447,null,null,17
1431393,10139,110890,5017,44225,2835,25865,2239,3526,878,10929,1589,11410,1668,18360,1836,66665,4493,11088,1905,9431,1752,2541,892,1399,619,5491,1417,1657,639,55577,4173,48642,3617,9910,1748,12200,2112,26532,2449,6935,1390,1320503,10360,1068994,9859,414138,7383,77288,4134,85146,4590,251704,5824,654856,7941,251509,7372,90715,4146,50832,3341,10678,1695,6880,1529,33274,2945,39883,2867,160794,6210,90494,5483,12730,1894,11102,1714,66662,4799,70300,3768,10139,null,null,5017,null,null,2835,null,null,2239,null,null,878,null,null,1589,null,null,1668,null,null,1836,null,null,4493,null,null,1905,null,null,1752,null,null,892,null,null,619,null,null,1417,null,null,639,null,null,4173,null,null,3617,null,null,1748,null,null,2112,null,null,2449,null,null,1390,null,null,10360,null,null,9859,null,null,7383,null,null,4134,null,null,4590,null,null,5824,null,null,7941,null,null,7372,null,null,4146,null,null,3341,null,null,1695,null,null,1529,null,null,2945,null,null,2867,null,null,6210,null,null,5483,null,null,1894,null,null,1714,null,null,4799,null,null,3768,null,null,18
739662,8109,48136,2749,17478,2069,9135,1628,830,427,3757,1056,4548,1024,8343,1222,30658,2534,5359,993,3846,925,725,330,825,411,2296,743,1513,481,25299,2388,23087,2337,6346,1141,5113,1017,11628,1804,2212,663,691526,8262,581732,7587,224446,5701,40887,2861,46046,3290,137513,4528,357286,6285,109794,4309,39202,2967,25027,2416,6657,1390,3663,826,14707,1662,14175,1908,70592,3666,44359,3238,7801,1326,5046,1004,31512,2646,26233,2237,8109,null,null,2749,null,null,2069,null,null,1628,null,null,427,null,null,1056,null,null,1024,null,null,1222,null,null,2534,null,null,993,null,null,925,null,null,330,null,null,411,null,null,743,null,null,481,null,null,2388,null,null,2337,null,null,1141,null,null,1017,null,null,1804,null,null,663,null,null,8262,null,null,7587,null,null,5701,null,null,2861,null,null,3290,null,null,4528,null,null,6285,null,null,4309,null,null,2967,null,null,2416,null,null,1390,null,null,826,null,null,1662,null,null,1908,null,null,3666,null,null,3238,null,null,1326,null,null,1004,null,null,2646,null,null,2237,null,null,19
628404,8107,41922,3222,16525,1647,8384,1317,1057,360,2918,823,4409,986,8141,1287,25397,2611,4365,1109,3100,915,659,319,489,295,1952,762,1265,592,21032,2396,17469,2033,3418,800,5297,1222,8754,1366,3563,970,586482,7471,484408,7262,192462,4928,37462,2540,39042,3071,115958,3919,291946,5941,102074,4662,36023,2679,21720,2273,4553,1068,2893,1017,14274,1792,14303,1828,66051,3676,40797,2920,6898,1136,4531,1107,29368,2814,25254,2149,8107,null,null,3222,null,null,1647,null,null,1317,null,null,360,null,null,823,null,null,986,null,null,1287,null,null,2611,null,null,1109,null,null,915,null,null,319,null,null,295,null,null,762,null,null,592,null,null,2396,null,null,2033,null,null,800,null,null,1222,null,null,1366,null,null,970,null,null,7471,null,null,7262,null,null,4928,null,null,2540,null,null,3071,null,null,3919,null,null,5941,null,null,4662,null,null,2679,null,null,2273,null,null,1068,null,null,1017,null,null,1792,null,null,1828,null,null,3676,null,null,2920,null,null,1136,null,null,1107,null,null,2814,null,null,2149,null,null,20
1007356,10483,130720,6165,50742,3640,25218,2461,3400,900,8949,1766,12869,1638,25524,2563,79978,4738,14843,1841,10055,1420,1603,588,2691,872,5761,1134,4788,1051,65135,4016,54017,3703,10480,1785,12928,1920,30609,2577,11118,1750,876636,11742,707075,11077,272749,6845,51761,3476,48284,3364,172704,5643,434326,7883,169561,6185,56764,3353,30972,2849,4963,1217,3080,817,22929,2383,25792,2762,112797,5149,58615,3823,9184,1767,5913,1165,43518,3440,54182,3486,10483,null,null,6165,null,null,3640,null,null,2461,null,null,900,null,null,1766,null,null,1638,null,null,2563,null,null,4738,null,null,1841,null,null,1420,null,null,588,null,null,872,null,null,1134,null,null,1051,null,null,4016,null,null,3703,null,null,1785,null,null,1920,null,null,2577,null,null,1750,null,null,11742,null,null,11077,null,null,6845,null,null,3476,null,null,3364,null,null,5643,null,null,7883,null,null,6185,null,null,3353,null,null,2849,null,null,1217,null,null,817,null,null,2383,null,null,2762,null,null,5149,null,null,3823,null,null,1767,null,null,1165,null,null,3440,null,null,3486,null,null,21
726157,8488,66603,5058,25786,2530,11500,1932,2011,839,2528,906,6961,1514,14286,1749,40817,4214,7696,1516,4768,1332,1548,798,542,491,2678,970,2928,760,33121,3926,27172,3551,4860,1471,6634,1912,15678,2256,5949,1481,659554,7904,536416,8037,211742,5557,41359,3394,41503,3241,128880,5388,324674,6843,123138,5774,43173,3681,24346,3022,6058,1446,2901,942,15387,2331,18827,1973,79965,4366,43050,3569,6575,1740,5443,1304,31032,2951,36915,3062,8488,null,null,5058,null,null,2530,null,null,1932,null,null,839,null,null,906,null,null,1514,null,null,1749,null,null,4214,null,null,1516,null,null,1332,null,null,798,null,null,491,null,null,970,null,null,760,null,null,3926,null,null,3551,null,null,1471,null,null,1912,null,null,2256,null,null,1481,null,null,7904,null,null,8037,null,null,5557,null,null,3394,null,null,3241,null,null,5388,null,null,6843,null,null,5774,null,null,3681,null,null,3022,null,null,1446,null,null,942,null,null,2331,null,null,1973,null,null,4366,null,null,3569,null,null,1740,null,null,1304,null,null,2951,null,null,3062,null,null,22
