B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,B19101D_001M,B19101D_001EA,B19101D_001MA,B19101D_002M,B19101D_002EA,B19101D_002MA,B19101D_003M,B19101D_003EA,B19101D_003MA,B19101D_004M,B19101D_004EA,B19101D_004MA,B19101D_005M,B19101D_005EA,B19101D_005MA,B19101D_006M,B19101D_006EA,B19101D_006MA,B19101D_007M,B19101D_007EA,B19101D_007MA,B19101D_008M,B19101D_008EA,B19101D_008MA,B19101D_009M,B19101D_009EA,B19101D_009MA,B19101D_010M,B19101D_010EA,B19101D_010MA,B19101D_011M,B19101D_011EA,B19101D_011MA,B19101D_012M,B19101D_012EA,B19101D_012MA,B19101D_013M,B19101D_013EA,B19101D_013MA,B19101D_014M,B19101D_014EA,B19101D_014MA,B19101D_015M,B19101D_015EA,B19101D_015MA,B19101D_016M,B19101D_016EA,B19101D_016MA,B19101D_017M,B19101D_017EA,B19101D_017MA,state
123366,4154,4392,1281,2150,665,2891,897,6480,1512,5573,1433,4318,1020,4044,1057,4924,1206,5439,1213,8254,1726,11974,2155,19416,2307,13456,2027,9465,1875,8796,1463,11794,1646,4154,null,null,1281,null,null,665,null,null,897,null,null,1512,null,null,1433,null,null,1020,null,null,1057,null,null,1206,null,null,1213,null,null,1726,null,null,2155,null,null,2307,null,null,2027,null,null,1875,null,null,1463,null,null,1646,null,null,12
95239,3066,3750,1219,1833,728,3273,864,2886,938,3158,932,3023,1300,2560,728,3339,875,2055,693,7197,1553,8579,1778,15631,1839,11158,1621,7445,1624,8743,1352,10609,1545,3066,null,null,1219,null,null,728,null,null,864,null,null,938,null,null,932,null,null,1300,null,null,728,null,null,875,null,null,693,null,null,1553,null,null,1778,null,null,1839,null,null,1621,null,null,1624,null,null,1352,null,null,1545,null,null,13
127434,3571,2745,816,1485,566,1917,690,3327,1085,2490,653,3278,836,2695,824,4543,1043,2852,687,7667,1203,15307,1632,20875,2018,17199,1735,12592,1528,14286,1579,14176,1502,3571,null,null,816,null,null,566,null,null,690,null,null,1085,null,null,653,null,null,836,null,null,824,null,null,1043,null,null,687,null,null,1203,null,null,1632,null,null,2018,null,null,1735,null,null,1528,null,null,1579,null,null,1502,null,null,15
4346,982,153,151,200,240,262,239,132,181,284,253,183,220,178,176,263,246,174,183,268,236,384,325,499,393,219,269,254,249,333,255,560,525,982,null,null,151,null,null,240,null,null,239,null,null,181,null,null,253,null,null,220,null,null,176,null,null,246,null,null,183,null,null,236,null,null,325,null,null,393,null,null,269,null,null,249,null,null,255,null,null,525,null,null,16
164070,3845,5400,1112,3525,896,2959,835,4512,998,4288,948,4938,1075,4019,905,4396,1190,5768,1313,7271,1077,12747,2117,22198,2201,19412,2404,14282,1710,20452,2123,27903,2387,3845,null,null,1112,null,null,896,null,null,835,null,null,998,null,null,948,null,null,1075,null,null,905,null,null,1190,null,null,1313,null,null,1077,null,null,2117,null,null,2201,null,null,2404,null,null,1710,null,null,2123,null,null,2387,null,null,17
28298,1838,1774,713,602,375,262,273,1007,551,783,530,915,546,1332,600,1494,542,1692,831,2051,834,2491,839,4574,1108,2136,708,1215,618,2852,841,3118,956,1838,null,null,713,null,null,375,null,null,273,null,null,551,null,null,530,null,null,546,null,null,600,null,null,542,null,null,831,null,null,834,null,null,839,null,null,1108,null,null,708,null,null,618,null,null,841,null,null,956,null,null,18
15947,1369,213,182,304,339,154,238,631,398,226,246,1163,497,859,548,1038,643,1278,693,1762,753,1571,687,2106,820,1191,572,556,440,1635,627,1260,593,1369,null,null,182,null,null,339,null,null,238,null,null,398,null,null,246,null,null,497,null,null,548,null,null,643,null,null,693,null,null,753,null,null,687,null,null,820,null,null,572,null,null,440,null,null,627,null,null,593,null,null,19
17641,1521,307,247,299,270,276,173,1107,616,977,502,494,332,671,348,246,192,55,71,1604,618,1582,625,3180,825,2506,848,1526,620,1570,536,1241,586,1521,null,null,247,null,null,270,null,null,173,null,null,616,null,null,502,null,null,332,null,null,348,null,null,192,null,null,71,null,null,618,null,null,625,null,null,825,null,null,848,null,null,620,null,null,536,null,null,586,null,null,20
13215,1297,598,447,12,22,28,52,670,476,478,292,457,386,769,469,819,549,594,292,1227,512,1705,618,1747,556,841,404,533,278,1379,573,1358,501,1297,null,null,447,null,null,22,null,null,52,null,null,476,null,null,292,null,null,386,null,null,469,null,null,549,null,null,292,null,null,512,null,null,618,null,null,556,null,null,404,null,null,278,null,null,573,null,null,501,null,null,21
16795,1577,688,459,566,376,1063,431,558,440,694,361,852,465,715,439,745,439,734,503,761,382,1577,769,1995,699,1988,876,1081,499,1223,556,1555,582,1577,null,null,459,null,null,376,null,null,431,null,null,440,null,null,361,null,null,465,null,null,439,null,null,439,null,null,503,null,null,382,null,null,769,null,null,699,null,null,876,null,null,499,null,null,556,null,null,582,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
93693,3023,1548,442,1356,583,1441,694,1614,526,1933,724,2538,855,1905,634,2599,826,2464,907,4085,1071,8455,1558,12860,1871,10102,1233,7553,1209,14201,1728,19039,1712,3023,null,null,442,null,null,583,null,null,694,null,null,526,null,null,724,null,null,855,null,null,634,null,null,826,null,null,907,null,null,1071,null,null,1558,null,null,1871,null,null,1233,null,null,1209,null,null,1728,null,null,1712,null,null,24
97424,3108,4355,916,2782,1004,2408,745,3501,879,2250,829,3107,1090,1782,561,1635,601,2266,691,5446,1401,7235,1387,10830,1502,9580,1389,7702,1148,12081,1806,20464,1910,3108,null,null,916,null,null,1004,null,null,745,null,null,879,null,null,829,null,null,1090,null,null,561,null,null,601,null,null,691,null,null,1401,null,null,1387,null,null,1502,null,null,1389,null,null,1148,null,null,1806,null,null,1910,null,null,25
66772,1795,2653,621,1551,472,2075,800,2334,696,1126,502,2024,722,1501,538,1969,561,1355,489,3030,763,4965,1188,12039,1524,7354,1193,5270,1032,7755,1150,9771,1232,1795,null,null,621,null,null,472,null,null,800,null,null,696,null,null,502,null,null,722,null,null,538,null,null,561,null,null,489,null,null,763,null,null,1188,null,null,1524,null,null,1193,null,null,1032,null,null,1150,null,null,1232,null,null,26
52111,2093,925,463,1600,570,1598,613,1943,685,1013,368,2777,877,2623,843,1390,513,2107,654,4178,959,5177,1057,7142,1256,6136,1027,3836,868,4703,1170,4963,936,2093,null,null,463,null,null,570,null,null,613,null,null,685,null,null,368,null,null,877,null,null,843,null,null,513,null,null,654,null,null,959,null,null,1057,null,null,1256,null,null,1027,null,null,868,null,null,1170,null,null,936,null,null,27
5935,959,270,261,215,297,0,213,115,118,473,401,222,279,877,605,0,213,195,277,922,726,681,437,1021,536,326,238,281,298,167,188,170,163,959,null,null,261,null,null,297,null,null,213,null,null,118,null,null,401,null,null,279,null,null,605,null,null,213,null,null,277,null,null,726,null,null,437,null,null,536,null,null,238,null,null,298,null,null,188,null,null,163,null,null,28
