B19202D_001E,B19202D_001M,B19202D_001M,B19202D_001EA,B19202D_001MA,state
44401,7110,7110,null,null,12
40208,6338,6338,null,null,13
38954,3272,3272,null,null,15
18707,12297,12297,null,null,16
46623,4337,4337,null,null,17
23064,4974,4974,null,null,18
23069,5650,5650,null,null,19
28804,17580,17580,null,null,20
48544,10254,10254,null,null,21
26948,8736,8736,null,null,22
31756,4051,4051,null,null,23
55755,6541,6541,null,null,24
53048,6838,6838,null,null,25
42428,10560,10560,null,null,26
46181,6360,6360,null,null,27
38983,31878,31878,null,null,28
32386,8619,8619,null,null,29
36089,7637,7637,null,null,30
26261,14700,14700,null,null,31
41742,4926,4926,null,null,32
25967,11861,11861,null,null,33
58619,5728,5728,null,null,34
31645,6598,6598,null,null,35
48333,4135,4135,null,null,36
39426,9222,9222,null,null,37
48917,40149,40149,null,null,38
35790,10603,10603,null,null,39
30993,5678,5678,null,null,40
41115,8657,8657,null,null,41
36973,7456,7456,null,null,42
61450,30365,30365,null,null,44
37625,7256,7256,null,null,45
20771,13376,13376,null,null,46
34908,8853,8853,null,null,47
45844,6837,6837,null,null,48
47380,10232,10232,null,null,49
null,null,null,null,null,50
59592,5067,5067,null,null,51
49390,3190,3190,null,null,53
null,null,null,null,null,54
37822,8591,8591,null,null,55
26763,7782,7782,null,null,56
11684,6579,6579,null,null,72
35914,11084,11084,null,null,01
35649,7900,7900,null,null,02
43278,7262,7262,null,null,04
26414,12021,12021,null,null,05
51788,1155,1155,null,null,06
42381,12246,12246,null,null,08
55724,9898,9898,null,null,09
51605,6816,6816,null,null,10
91501,17917,17917,null,null,11
