B19301C_001E,B19301C_001M,B19301C_001M,B19301C_001EA,B19301C_001MA,state
23341,2640,2640,null,null,12
14825,1986,1986,null,null,13
23037,8122,8122,null,null,15
15998,2599,2599,null,null,16
22843,3178,3178,null,null,17
26978,5178,5178,null,null,18
21114,3095,3095,null,null,19
20736,2332,2332,null,null,20
21137,5038,5038,null,null,21
18143,2858,2858,null,null,22
17728,3657,3657,null,null,23
40171,9791,9791,null,null,24
30548,9610,9610,null,null,25
20440,1454,1454,null,null,26
19175,2443,2443,null,null,27
15013,3285,3285,null,null,28
17300,2152,2152,null,null,29
14234,1473,1473,null,null,30
15527,2182,2182,null,null,31
17793,1743,1743,null,null,32
42441,21813,21813,null,null,33
21828,3849,3849,null,null,34
15090,1137,1137,null,null,35
21756,2424,2424,null,null,36
18000,1207,1207,null,null,37
16209,1651,1651,null,null,38
22290,3340,3340,null,null,39
18974,885,885,null,null,40
22963,3295,3295,null,null,41
19028,3189,3189,null,null,42
17556,5883,5883,null,null,44
24050,7279,7279,null,null,45
9656,770,770,null,null,46
21123,3686,3686,null,null,47
26604,4063,4063,null,null,48
17497,3513,3513,null,null,49
24557,7290,7290,null,null,50
33404,7602,7602,null,null,51
18694,1487,1487,null,null,53
15187,3629,3629,null,null,54
19719,1857,1857,null,null,55
14464,3432,3432,null,null,56
9514,2266,2266,null,null,72
23004,2829,2829,null,null,01
19076,1584,1584,null,null,02
13878,664,664,null,null,04
19618,6268,6268,null,null,05
21486,993,993,null,null,06
20192,1938,1938,null,null,08
19050,3624,3624,null,null,09
28027,6980,6980,null,null,10
17894,9598,9598,null,null,11
