B22005C_001E,B22005C_001M,B22005C_002E,B22005C_002M,B22005C_003E,B22005C_003M,B22005C_001M,B22005C_001EA,B22005C_001MA,B22005C_002M,B22005C_002EA,B22005C_002MA,B22005C_003M,B22005C_003EA,B22005C_003MA,state
18773,2366,3674,1198,15099,1860,2366,null,null,1198,null,null,1860,null,null,12
11831,1684,3047,952,8784,1339,1684,null,null,952,null,null,1339,null,null,13
998,470,567,381,431,296,470,null,null,381,null,null,296,null,null,15
8481,1536,2278,777,6203,1209,1536,null,null,777,null,null,1209,null,null,16
11139,1522,2917,773,8222,1377,1522,null,null,773,null,null,1377,null,null,17
7020,1100,1558,650,5462,888,1100,null,null,650,null,null,888,null,null,18
3508,810,818,372,2690,747,810,null,null,372,null,null,747,null,null,19
8429,1238,1328,409,7101,1212,1238,null,null,409,null,null,1212,null,null,20
5080,1176,1458,822,3622,964,1176,null,null,822,null,null,964,null,null,21
8580,1217,1901,720,6679,1174,1217,null,null,720,null,null,1174,null,null,22
3421,656,1379,524,2042,536,656,null,null,524,null,null,536,null,null,23
5706,1058,900,455,4806,1050,1058,null,null,455,null,null,1050,null,null,24
4603,943,1382,599,3221,818,943,null,null,599,null,null,818,null,null,25
18761,1674,3859,777,14902,1739,1674,null,null,777,null,null,1739,null,null,26
18668,1423,5170,805,13498,1393,1423,null,null,805,null,null,1393,null,null,27
4455,735,1581,666,2874,718,735,null,null,666,null,null,718,null,null,28
11169,1568,3000,855,8169,1279,1568,null,null,855,null,null,1279,null,null,29
17212,1203,4463,670,12749,1180,1203,null,null,670,null,null,1180,null,null,30
4413,759,1251,292,3162,708,759,null,null,292,null,null,708,null,null,31
12621,1451,3010,750,9611,1366,1451,null,null,750,null,null,1366,null,null,32
559,309,125,149,434,298,309,null,null,149,null,null,298,null,null,33
6866,1149,901,357,5965,1018,1149,null,null,357,null,null,1018,null,null,34
55994,2437,15003,1658,40991,2111,2437,null,null,1658,null,null,2111,null,null,35
25114,2414,8339,1315,16775,2109,2414,null,null,1315,null,null,2109,null,null,36
41117,2287,10724,1395,30393,2177,2287,null,null,1395,null,null,2177,null,null,37
12891,1210,3827,838,9064,1043,1210,null,null,838,null,null,1043,null,null,38
7514,1336,2071,678,5443,1152,1336,null,null,678,null,null,1152,null,null,39
94885,3154,18256,1515,76629,2783,3154,null,null,1515,null,null,2783,null,null,40
14031,1764,5207,1222,8824,1449,1764,null,null,1222,null,null,1449,null,null,41
8377,1236,2244,794,6133,1150,1236,null,null,794,null,null,1150,null,null,42
2093,758,800,404,1293,663,758,null,null,404,null,null,663,null,null,44
5612,899,1243,426,4369,868,899,null,null,426,null,null,868,null,null,45
19967,1736,9391,1096,10576,1408,1736,null,null,1096,null,null,1408,null,null,46
7089,1589,914,394,6175,1525,1589,null,null,394,null,null,1525,null,null,47
43685,3154,6837,1573,36848,2765,3154,null,null,1573,null,null,2765,null,null,48
7897,1135,2100,702,5797,1029,1135,null,null,702,null,null,1029,null,null,49
1300,564,680,484,620,326,564,null,null,484,null,null,326,null,null,50
8508,1198,1497,573,7011,1251,1198,null,null,573,null,null,1251,null,null,51
29118,2158,7667,1166,21451,1799,2158,null,null,1166,null,null,1799,null,null,53
1355,546,629,400,726,409,546,null,null,400,null,null,409,null,null,54
18895,1487,4929,813,13966,1386,1487,null,null,813,null,null,1386,null,null,55
2727,479,877,292,1850,424,479,null,null,292,null,null,424,null,null,56
3125,927,826,453,2299,776,927,null,null,453,null,null,776,null,null,72
8574,1377,1354,591,7220,1250,1377,null,null,591,null,null,1250,null,null,01
29715,1674,9461,914,20254,1735,1674,null,null,914,null,null,1735,null,null,02
80857,3503,24825,1942,56032,3244,3503,null,null,1942,null,null,3244,null,null,04
6688,1084,1172,487,5516,1002,1084,null,null,487,null,null,1002,null,null,05
90862,4482,18491,1946,72371,4079,4482,null,null,1946,null,null,4079,null,null,06
18930,2005,3262,783,15668,1776,2005,null,null,783,null,null,1776,null,null,08
3338,1001,1073,543,2265,795,1001,null,null,543,null,null,795,null,null,09
1537,487,253,246,1284,442,487,null,null,246,null,null,442,null,null,10
980,499,381,434,599,329,499,null,null,434,null,null,329,null,null,11
