B25090_001E,B25090_001M,B25090_002E,B25090_002M,B25090_003E,B25090_003M,B25090_001M,B25090_001EA,B25090_001MA,B25090_002M,B25090_002EA,B25090_002MA,B25090_003M,B25090_003EA,B25090_003MA,state
11718267700,106067049,7111953800,86761289,4606313900,70708984,106067049,null,null,86761289,null,null,70708984,null,null,12
4416536700,56023273,3224946700,47169101,1191590000,28551537,56023273,null,null,47169101,null,null,28551537,null,null,13
517622200,20052940,348264500,16267855,169357800,9597687,20052940,null,null,16267855,null,null,9597687,null,null,15
700412300,19466975,472690300,17458861,227722000,12556057,19466975,null,null,17458861,null,null,12556057,null,null,16
15245134400,107303782,10608431200,110464933,4636703200,82211650,107303782,null,null,110464933,null,null,82211650,null,null,17
2425774000,29572396,1675370400,27147812,750403600,19867357,29572396,null,null,27147812,null,null,19867357,null,null,18
2231229800,28490826,1450177300,24391148,781052500,20175252,28490826,null,null,24391148,null,null,20175252,null,null,19
1686164400,23411707,1096934800,25950767,589229600,16429067,23411707,null,null,25950767,null,null,16429067,null,null,20
1544002900,19945316,1053593500,18174712,490409400,15160334,19945316,null,null,18174712,null,null,15160334,null,null,21
1079027100,26473180,724934300,24100996,354092800,14026410,26473180,null,null,24100996,null,null,14026410,null,null,22
1068572100,22687532,708436800,19368552,360135300,13320548,22687532,null,null,19368552,null,null,13320548,null,null,23
5332285600,46615379,4055854100,48356423,1276431600,33721367,46615379,null,null,48356423,null,null,33721367,null,null,24
7983666500,72927816,5617716800,68876332,2365949700,41880734,72927816,null,null,68876332,null,null,41880734,null,null,25
6930200000,46889485,4520009700,44735146,2410190300,34889266,46889485,null,null,44735146,null,null,34889266,null,null,26
4100766400,35534267,2900573900,33444972,1200192500,22139642,35534267,null,null,33444972,null,null,22139642,null,null,27
688477000,18810620,434077100,15184163,254400000,12135307,18810620,null,null,15184163,null,null,12135307,null,null,28
2885439000,36521582,1941066200,35744078,944372800,22092152,36521582,null,null,35744078,null,null,22092152,null,null,29
551618100,16740116,342272300,14457277,209345800,11134980,16740116,null,null,14457277,null,null,11134980,null,null,30
1408119900,20541991,935999400,18799737,472120500,18492523,20541991,null,null,18799737,null,null,18492523,null,null,31
1067247100,21466691,748187300,18879345,319059800,15264376,21466691,null,null,18879345,null,null,15264376,null,null,32
2011655000,36679899,1402510800,33182263,609144200,24898913,36679899,null,null,33182263,null,null,24898913,null,null,33
16914520100,135030687,11733922000,131553769,5180598100,81948359,135030687,null,null,131553769,null,null,81948359,null,null,34
749495900,18754986,471077800,17656472,278418100,12757477,18754986,null,null,17656472,null,null,12757477,null,null,35
22590977700,126236227,14792584600,133120347,7798393100,105271275,126236227,null,null,133120347,null,null,105271275,null,null,36
4423354400,45587443,3077781300,37917930,1345573100,29816456,45587443,null,null,37917930,null,null,29816456,null,null,37
371741300,11306858,230559800,11192802,141181500,7531372,11306858,null,null,11192802,null,null,7531372,null,null,38
8128697800,67795037,5567032800,66276007,2561664900,42482296,67795037,null,null,66276007,null,null,42482296,null,null,39
1363140500,21291717,887733800,20635849,475406700,14384227,21291717,null,null,20635849,null,null,14384227,null,null,40
3031951600,37686222,2146405200,37093704,885546300,24389159,37686222,null,null,37093704,null,null,24389159,null,null,41
10950011900,75018184,7264160600,71754238,3685851400,47460022,75018184,null,null,71754238,null,null,47460022,null,null,42
1072783000,23947802,723984100,24608481,348798800,20234255,23947802,null,null,24608481,null,null,20234255,null,null,44
1452295800,20835862,948162800,18688014,504133000,14222695,20835862,null,null,18688014,null,null,14222695,null,null,45
513769600,13962861,313925900,13580698,199843600,11797419,13962861,null,null,13580698,null,null,11797419,null,null,46
2416884200,34312775,1539547300,27171394,877336900,22572260,34312775,null,null,27171394,null,null,22572260,null,null,47
20680453900,145544849,14203919900,135235974,6476534000,97375461,145544849,null,null,135235974,null,null,97375461,null,null,48
1204986400,21949419,862138700,18867776,342847700,11360963,21949419,null,null,18867776,null,null,11360963,null,null,49
804736900,22194760,534983400,20433340,269753400,14789976,22194760,null,null,20433340,null,null,14789976,null,null,50
5742466600,53986860,4289594500,49836277,1452872100,31507212,53986860,null,null,49836277,null,null,31507212,null,null,51
5825206000,65371501,4183674700,54418169,1641531400,41233283,65371501,null,null,54418169,null,null,41233283,null,null,53
414395700,11740928,248346300,9545869,166049500,8395023,11740928,null,null,9545869,null,null,8395023,null,null,54
5465073800,45634716,3618413100,42250467,1846660700,33691067,45634716,null,null,42250467,null,null,33691067,null,null,55
225367600,9325164,135738500,7702319,89629200,6834251,9325164,null,null,7702319,null,null,6834251,null,null,56
94730900,7577130,61004700,6714117,33726300,3290895,7577130,null,null,6714117,null,null,3290895,null,null,72
846135800,17619261,569025900,15164685,277109900,10833628,17619261,null,null,15164685,null,null,10833628,null,null,01
453601300,15733013,332295300,15826555,121306000,10206632,15733013,null,null,15826555,null,null,10206632,null,null,02
2674896900,38766216,1826188900,34117888,848708000,26962102,38766216,null,null,34117888,null,null,26962102,null,null,04
731490500,17488765,456531600,16759103,274958900,11528376,17488765,null,null,16759103,null,null,11528376,null,null,05
30705910000,170172598,24020681900,163462650,6685228100,98409194,170172598,null,null,163462650,null,null,98409194,null,null,06
2720514400,31349496,2019566700,29572171,700947600,19827871,31349496,null,null,29572171,null,null,19827871,null,null,08
5469287600,72280190,3816197400,71907590,1653090200,48138718,72280190,null,null,71907590,null,null,48138718,null,null,09
378495500,11365462,255951700,10347680,122543800,7540219,11365462,null,null,10347680,null,null,7540219,null,null,10
454393500,19992294,351820800,18528936,102572700,14035875,19992294,null,null,18528936,null,null,14035875,null,null,11
