B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,B25116_001M,B25116_001EA,B25116_001MA,B25116_002M,B25116_002EA,B25116_002MA,B25116_003M,B25116_003EA,B25116_003MA,B25116_004M,B25116_004EA,B25116_004MA,B25116_005M,B25116_005EA,B25116_005MA,B25116_006M,B25116_006EA,B25116_006MA,B25116_007M,B25116_007EA,B25116_007MA,B25116_008M,B25116_008EA,B25116_008MA,B25116_009M,B25116_009EA,B25116_009MA,B25116_010M,B25116_010EA,B25116_010MA,B25116_011M,B25116_011EA,B25116_011MA,B25116_012M,B25116_012EA,B25116_012MA,B25116_013M,B25116_013EA,B25116_013MA,B25116_014M,B25116_014EA,B25116_014MA,B25116_015M,B25116_015EA,B25116_015MA,B25116_016M,B25116_016EA,B25116_016MA,B25116_017M,B25116_017EA,B25116_017MA,B25116_018M,B25116_018EA,B25116_018MA,B25116_019M,B25116_019EA,B25116_019MA,B25116_020M,B25116_020EA,B25116_020MA,B25116_021M,B25116_021EA,B25116_021MA,B25116_022M,B25116_022EA,B25116_022MA,B25116_023M,B25116_023EA,B25116_023MA,state
7573456,23478,4857125,26450,1266988,16372,273723,8827,284905,8997,331466,9025,376894,7673,3590137,24149,1549312,16235,809493,10670,746351,9917,484981,7139,2716331,20401,917477,15949,490355,11003,166379,7066,130789,6168,129954,5679,1798854,18509,1406273,17198,214642,7889,113235,5708,64704,3391,23478,null,null,26450,null,null,16372,null,null,8827,null,null,8997,null,null,9025,null,null,7673,null,null,24149,null,null,16235,null,null,10670,null,null,9917,null,null,7139,null,null,20401,null,null,15949,null,null,11003,null,null,7066,null,null,6168,null,null,5679,null,null,18509,null,null,17198,null,null,7889,null,null,5708,null,null,3391,null,null,12
3686135,15528,2268606,20528,512718,10670,159463,7440,128721,4921,119376,4923,105158,4680,1755888,19258,937118,13956,390135,8691,287093,5367,141542,4033,1417529,16560,489707,10865,295783,10168,84424,3901,62961,3733,46539,3295,927822,16023,773636,14000,97517,5541,40158,3454,16511,2148,15528,null,null,20528,null,null,10670,null,null,7440,null,null,4921,null,null,4923,null,null,4680,null,null,19258,null,null,13956,null,null,8691,null,null,5367,null,null,4033,null,null,16560,null,null,10865,null,null,10168,null,null,3901,null,null,3733,null,null,3295,null,null,16023,null,null,14000,null,null,5541,null,null,3454,null,null,2148,null,null,13
455868,4824,260626,4898,56671,3174,11868,1514,15840,2042,13996,1467,14967,1570,203955,4719,81949,3551,51371,2359,42842,2269,27793,1930,195242,4348,55190,3273,26506,2449,11276,1550,8549,1406,8859,1325,140052,4113,107820,3069,17977,2215,9124,1370,5131,1071,4824,null,null,4898,null,null,3174,null,null,1514,null,null,2042,null,null,1467,null,null,1570,null,null,4719,null,null,3551,null,null,2359,null,null,2269,null,null,1930,null,null,4348,null,null,3273,null,null,2449,null,null,1550,null,null,1406,null,null,1325,null,null,4113,null,null,3069,null,null,2215,null,null,1370,null,null,1071,null,null,15
610872,4143,418217,6970,92148,4821,25883,2628,22418,2340,22438,2494,21409,1964,326069,7299,169633,5505,70362,3200,56406,2517,29668,1776,192655,5870,70108,4858,39414,3811,11523,1766,9112,1649,10059,1515,122547,5000,105182,4370,8963,1392,5063,1135,3339,756,4143,null,null,6970,null,null,4821,null,null,2628,null,null,2340,null,null,2494,null,null,1964,null,null,7299,null,null,5505,null,null,3200,null,null,2517,null,null,1776,null,null,5870,null,null,4858,null,null,3811,null,null,1766,null,null,1649,null,null,1515,null,null,5000,null,null,4370,null,null,1392,null,null,1135,null,null,756,null,null,16
4822046,12932,3146858,18286,743029,11851,226803,6821,166679,5706,163545,4537,186002,4836,2403829,16291,1285084,14102,553936,5935,360951,5641,203858,4955,1675188,17617,682646,13478,381036,10957,119096,5724,89970,3722,92544,4971,992542,15682,819627,14459,101939,4707,44099,3132,26877,2219,12932,null,null,18286,null,null,11851,null,null,6821,null,null,5706,null,null,4537,null,null,4836,null,null,16291,null,null,14102,null,null,5935,null,null,5641,null,null,4955,null,null,17617,null,null,13478,null,null,10957,null,null,5724,null,null,3722,null,null,4971,null,null,15682,null,null,14459,null,null,4707,null,null,3132,null,null,2219,null,null,17
2533270,10440,1731421,12509,403365,9326,117141,4986,94873,4436,89508,4059,101843,3381,1328056,11470,712250,9613,296800,5113,205693,4061,113313,3905,801849,11165,320671,9107,177182,7953,62555,3634,40004,3107,40930,2720,481178,10752,402395,9366,47740,3444,20193,2377,10850,1502,10440,null,null,12509,null,null,9326,null,null,4986,null,null,4436,null,null,4059,null,null,3381,null,null,11470,null,null,9613,null,null,5113,null,null,4061,null,null,3905,null,null,11165,null,null,9107,null,null,7953,null,null,3634,null,null,3107,null,null,2720,null,null,10752,null,null,9366,null,null,3444,null,null,2377,null,null,1502,null,null,18
1247932,7106,881435,7975,208204,5956,61621,3520,45380,2600,44566,2485,56637,2649,673231,8039,363575,6484,150690,3147,98684,2260,60282,2009,366497,6811,158847,5104,85883,4337,25628,1964,18586,1828,28750,2028,207650,6181,175958,5730,17489,1717,7670,1353,6533,1022,7106,null,null,7975,null,null,5956,null,null,3520,null,null,2600,null,null,2485,null,null,2649,null,null,8039,null,null,6484,null,null,3147,null,null,2260,null,null,2009,null,null,6811,null,null,5104,null,null,4337,null,null,1964,null,null,1828,null,null,2028,null,null,6181,null,null,5730,null,null,1717,null,null,1353,null,null,1022,null,null,19
1110407,6778,729392,8711,169755,5172,47212,3062,42455,2756,38283,2119,41805,2239,559637,7483,299881,6341,124686,2746,86182,2387,48888,1829,381015,7352,158428,6341,85795,5360,28834,2429,19541,1937,24258,2145,222587,6018,188902,5560,19417,2183,7184,1082,7084,1127,6778,null,null,8711,null,null,5172,null,null,3062,null,null,2756,null,null,2119,null,null,2239,null,null,7483,null,null,6341,null,null,2746,null,null,2387,null,null,1829,null,null,7352,null,null,6341,null,null,5360,null,null,2429,null,null,1937,null,null,2145,null,null,6018,null,null,5560,null,null,2183,null,null,1082,null,null,1127,null,null,20
1717706,9131,1148175,11051,279129,7814,72761,4819,69326,4063,64612,3733,72430,3494,869046,11582,452793,8513,196374,3872,145436,3848,74443,2813,569531,9504,215602,7593,118865,5474,44969,3439,28882,3123,22886,2515,353929,8457,291136,7336,35667,3195,17187,1852,9939,1736,9131,null,null,11051,null,null,7814,null,null,4819,null,null,4063,null,null,3733,null,null,3494,null,null,11582,null,null,8513,null,null,3872,null,null,3848,null,null,2813,null,null,9504,null,null,7593,null,null,5474,null,null,3439,null,null,3123,null,null,2515,null,null,8457,null,null,7336,null,null,3195,null,null,1852,null,null,1736,null,null,21
1720801,8997,1105710,12317,273567,9527,78488,5412,66333,4077,65699,4011,63047,2959,832143,10675,429018,7833,189107,5206,137419,4171,76599,3000,615091,11467,246837,8432,138388,6479,51225,3857,33177,2990,24047,2064,368254,9845,307262,9197,36113,3047,17339,2070,7540,1087,8997,null,null,12317,null,null,9527,null,null,5412,null,null,4077,null,null,4011,null,null,2959,null,null,10675,null,null,7833,null,null,5206,null,null,4171,null,null,3000,null,null,11467,null,null,8432,null,null,6479,null,null,3857,null,null,2990,null,null,2064,null,null,9845,null,null,9197,null,null,3047,null,null,2070,null,null,1087,null,null,22
