B27011_001E,B27011_001M,B27011_002E,B27011_002M,B27011_003E,B27011_003M,B27011_004E,B27011_004M,B27011_005E,B27011_005M,B27011_006E,B27011_006M,B27011_007E,B27011_007M,B27011_008E,B27011_008M,B27011_009E,B27011_009M,B27011_010E,B27011_010M,B27011_011E,B27011_011M,B27011_012E,B27011_012M,B27011_013E,B27011_013M,B27011_014E,B27011_014M,B27011_015E,B27011_015M,B27011_016E,B27011_016M,B27011_017E,B27011_017M,B27011_018E,B27011_018M,B27011_019E,B27011_019M,B27011_020E,B27011_020M,B27011_021E,B27011_021M,B27011_022E,B27011_022M,B27011_023E,B27011_023M,B27011_024E,B27011_024M,B27011_025E,B27011_025M,B27011_026E,B27011_026M,B27011_027E,B27011_027M,B27011_028E,B27011_028M,B27011_029E,B27011_029M,B27011_030E,B27011_030M,B27011_031E,B27011_031M,B27011_032E,B27011_032M,B27011_033E,B27011_033M,B27011_034E,B27011_034M,B27011_035E,B27011_035M,B27011_001M,B27011_001EA,B27011_001MA,B27011_002M,B27011_002EA,B27011_002MA,B27011_003M,B27011_003EA,B27011_003MA,B27011_004M,B27011_004EA,B27011_004MA,B27011_005M,B27011_005EA,B27011_005MA,B27011_006M,B27011_006EA,B27011_006MA,B27011_007M,B27011_007EA,B27011_007MA,B27011_008M,B27011_008EA,B27011_008MA,B27011_009M,B27011_009EA,B27011_009MA,B27011_010M,B27011_010EA,B27011_010MA,B27011_011M,B27011_011EA,B27011_011MA,B27011_012M,B27011_012EA,B27011_012MA,B27011_013M,B27011_013EA,B27011_013MA,B27011_014M,B27011_014EA,B27011_014MA,B27011_015M,B27011_015EA,B27011_015MA,B27011_016M,B27011_016EA,B27011_016MA,B27011_017M,B27011_017EA,B27011_017MA,B27011_018M,B27011_018EA,B27011_018MA,B27011_019M,B27011_019EA,B27011_019MA,B27011_020M,B27011_020EA,B27011_020MA,B27011_021M,B27011_021EA,B27011_021MA,B27011_022M,B27011_022EA,B27011_022MA,B27011_023M,B27011_023EA,B27011_023MA,B27011_024M,B27011_024EA,B27011_024MA,B27011_025M,B27011_025EA,B27011_025MA,B27011_026M,B27011_026EA,B27011_026MA,B27011_027M,B27011_027EA,B27011_027MA,B27011_028M,B27011_028EA,B27011_028MA,B27011_029M,B27011_029EA,B27011_029MA,B27011_030M,B27011_030EA,B27011_030MA,B27011_031M,B27011_031EA,B27011_031MA,B27011_032M,B27011_032EA,B27011_032MA,B27011_033M,B27011_033EA,B27011_033MA,B27011_034M,B27011_034EA,B27011_034MA,B27011_035M,B27011_035EA,B27011_035MA,state
16158134,5598,9716999,34533,9152434,33581,8581985,29979,7164981,37956,6664982,39613,711029,16613,1417004,27177,570449,12401,559212,12245,329207,9849,500513,11987,11237,2369,564565,13045,542005,13015,332246,11638,213352,7988,132153,7518,209759,9088,22560,2247,21650,2307,9034,1557,21410,2285,910,538,6441135,34757,3013398,30301,2405734,29985,1517603,23461,1095903,21239,607664,19562,3427737,12657,3386811,13783,1746030,16281,3329751,14749,40926,5011,5598,null,null,34533,null,null,33581,null,null,29979,null,null,37956,null,null,39613,null,null,16613,null,null,27177,null,null,12401,null,null,12245,null,null,9849,null,null,11987,null,null,2369,null,null,13045,null,null,13015,null,null,11638,null,null,7988,null,null,7518,null,null,9088,null,null,2247,null,null,2307,null,null,1557,null,null,2285,null,null,538,null,null,34757,null,null,30301,null,null,29985,null,null,23461,null,null,21239,null,null,19562,null,null,12657,null,null,13783,null,null,16281,null,null,14749,null,null,5011,null,null,12
7614462,5045,4974532,21764,4687800,23377,4464469,23095,3777215,25320,3619440,26409,269278,9366,687254,18646,223331,6758,220249,6834,150852,5892,195884,6427,3082,1219,286732,10981,280099,10686,169909,7762,120950,6388,58751,4946,110190,7150,6633,1443,6615,1441,3835,971,6359,1401,18,36,2639930,21777,1539591,20723,1203024,18677,796621,15923,521566,12535,336567,12686,1100339,7754,1090649,7712,634692,11070,1071702,7619,9690,1994,5045,null,null,21764,null,null,23377,null,null,23095,null,null,25320,null,null,26409,null,null,9366,null,null,18646,null,null,6758,null,null,6834,null,null,5892,null,null,6427,null,null,1219,null,null,10981,null,null,10686,null,null,7762,null,null,6388,null,null,4946,null,null,7150,null,null,1443,null,null,1441,null,null,971,null,null,1401,null,null,36,null,null,21777,null,null,20723,null,null,18677,null,null,15923,null,null,12535,null,null,12686,null,null,7754,null,null,7712,null,null,11070,null,null,7619,null,null,1994,null,null,13
1071169,2692,712705,7640,682121,7971,628714,7541,605590,7726,561418,7766,64696,4515,23124,2638,53407,3329,53349,3312,45071,3199,44742,2750,58,98,30584,2878,29324,2807,24077,2294,14044,1683,10832,1680,5247,1520,1260,488,1260,488,809,433,1001,412,0,185,358464,6606,174397,6198,161818,5892,104553,5131,70160,4803,12579,1894,184067,3151,183299,3164,121301,3411,180208,3241,768,397,2692,null,null,7640,null,null,7971,null,null,7541,null,null,7726,null,null,7766,null,null,4515,null,null,2638,null,null,3329,null,null,3312,null,null,3199,null,null,2750,null,null,98,null,null,2878,null,null,2807,null,null,2294,null,null,1683,null,null,1680,null,null,1520,null,null,488,null,null,488,null,null,433,null,null,412,null,null,185,null,null,6606,null,null,6198,null,null,5892,null,null,5131,null,null,4803,null,null,1894,null,null,3151,null,null,3164,null,null,3411,null,null,3241,null,null,397,null,null,15
1227237,1476,785084,8866,749998,9578,712111,9003,615154,8845,588151,8872,46921,3914,96957,5630,37887,2378,37659,2428,26379,2192,33197,2334,228,219,35086,3657,33255,3546,21487,2866,16663,2378,6016,1370,11768,2205,1831,719,1831,719,1024,452,1737,698,0,198,442153,8700,229437,8211,192462,7529,137876,6310,75255,4751,36975,4118,212716,2886,211017,2944,130042,4898,209511,2879,1699,820,1476,null,null,8866,null,null,9578,null,null,9003,null,null,8845,null,null,8872,null,null,3914,null,null,5630,null,null,2378,null,null,2428,null,null,2192,null,null,2334,null,null,219,null,null,3657,null,null,3546,null,null,2866,null,null,2378,null,null,1370,null,null,2205,null,null,719,null,null,719,null,null,452,null,null,698,null,null,198,null,null,8700,null,null,8211,null,null,7529,null,null,6310,null,null,4751,null,null,4118,null,null,2886,null,null,2944,null,null,4898,null,null,2879,null,null,820,null,null,16
9700525,2700,6557612,18970,6159363,20733,5846898,21120,5368411,20673,4863929,23150,620783,13006,478487,13265,312465,7034,310226,6987,225012,5681,271413,6518,2239,808,398249,9865,385837,9694,311823,8738,160823,6263,160756,6308,74014,4947,12412,1456,12069,1441,5856,1194,11620,1492,343,290,3142913,18389,1659880,18949,1482566,16697,924773,11802,643465,12365,177314,8683,1483033,7412,1470147,7768,896588,11170,1447389,8174,12886,2218,2700,null,null,18970,null,null,20733,null,null,21120,null,null,20673,null,null,23150,null,null,13006,null,null,13265,null,null,7034,null,null,6987,null,null,5681,null,null,6518,null,null,808,null,null,9865,null,null,9694,null,null,8738,null,null,6263,null,null,6308,null,null,4947,null,null,1456,null,null,1441,null,null,1194,null,null,1492,null,null,290,null,null,18389,null,null,18949,null,null,16697,null,null,11802,null,null,12365,null,null,8683,null,null,7412,null,null,7768,null,null,11170,null,null,8174,null,null,2218,null,null,17
4960989,3562,3278480,13933,3121929,15058,2957574,14540,2676103,17028,2484817,18256,260253,9149,281471,10691,164355,5236,162429,5255,113172,5062,145238,4891,1926,765,156551,6087,152598,6032,109117,5002,65751,3874,48003,3208,43481,3570,3953,860,3915,863,2684,663,3868,838,38,70,1682509,13985,893539,13807,786471,12471,478323,10281,372802,9131,107068,5985,788970,5471,784741,5476,502185,7819,778745,5808,4229,1129,3562,null,null,13933,null,null,15058,null,null,14540,null,null,17028,null,null,18256,null,null,9149,null,null,10691,null,null,5236,null,null,5255,null,null,5062,null,null,4891,null,null,765,null,null,6087,null,null,6032,null,null,5002,null,null,3874,null,null,3208,null,null,3570,null,null,860,null,null,863,null,null,663,null,null,838,null,null,70,null,null,13985,null,null,13807,null,null,12471,null,null,10281,null,null,9131,null,null,5985,null,null,5471,null,null,5476,null,null,7819,null,null,5808,null,null,1129,null,null,18
2366440,1861,1645253,9051,1582948,8931,1482001,8395,1404429,9392,1288179,10552,161464,7271,77572,4764,100947,3137,100720,3149,72246,2905,92046,3083,227,187,62305,4023,60272,3826,49673,3530,27127,2804,25352,2606,10599,1715,2033,646,2030,647,1197,533,2010,646,3,10,721187,8985,332932,7821,308753,7444,198176,5784,137240,5262,24179,2652,388255,3914,387665,3891,254184,4896,385533,3929,590,327,1861,null,null,9051,null,null,8931,null,null,8395,null,null,9392,null,null,10552,null,null,7271,null,null,4764,null,null,3137,null,null,3149,null,null,2905,null,null,3083,null,null,187,null,null,4023,null,null,3826,null,null,3530,null,null,2804,null,null,2606,null,null,1715,null,null,646,null,null,647,null,null,533,null,null,646,null,null,10,null,null,8985,null,null,7821,null,null,7444,null,null,5784,null,null,5262,null,null,2652,null,null,3914,null,null,3891,null,null,4896,null,null,3929,null,null,327,null,null,19
2137760,2885,1463863,8647,1401653,10187,1311575,9115,1174336,10090,1133535,10323,75920,4568,137239,5996,90078,3905,89673,3922,65345,3731,82705,3711,405,262,62210,4486,60525,4490,37440,3376,28719,2863,10523,1793,23085,2974,1685,496,1685,496,1030,338,1685,496,0,174,673897,8053,346293,7088,290847,7121,210895,5690,107982,5146,55446,3888,327604,3890,325717,3913,215919,4668,323551,3967,1887,677,2885,null,null,8647,null,null,10187,null,null,9115,null,null,10090,null,null,10323,null,null,4568,null,null,5996,null,null,3905,null,null,3922,null,null,3731,null,null,3711,null,null,262,null,null,4486,null,null,4490,null,null,3376,null,null,2863,null,null,1793,null,null,2974,null,null,496,null,null,496,null,null,338,null,null,496,null,null,174,null,null,8053,null,null,7088,null,null,7121,null,null,5690,null,null,5146,null,null,3888,null,null,3890,null,null,3913,null,null,4668,null,null,3967,null,null,677,null,null,20
3344394,3524,2041788,13822,1925285,14079,1823262,13908,1704410,15412,1488880,16238,276612,9042,118852,6173,102023,4022,101351,4012,72835,3238,92425,3823,672,403,116503,6191,113175,6088,94809,5874,37240,3600,62667,4427,18366,2590,3328,793,3328,793,2186,633,3245,785,0,190,1302606,13828,742590,13165,690559,12095,326004,8288,433851,11011,52031,4309,560016,4585,558582,4498,343155,6687,554035,4581,1434,655,3524,null,null,13822,null,null,14079,null,null,13908,null,null,15412,null,null,16238,null,null,9042,null,null,6173,null,null,4022,null,null,4012,null,null,3238,null,null,3823,null,null,403,null,null,6191,null,null,6088,null,null,5874,null,null,3600,null,null,4427,null,null,2590,null,null,793,null,null,793,null,null,633,null,null,785,null,null,190,null,null,13828,null,null,13165,null,null,12095,null,null,8288,null,null,11011,null,null,4309,null,null,4585,null,null,4498,null,null,6687,null,null,4581,null,null,655,null,null,21
3461725,2923,2148964,13132,2004323,14373,1887901,13679,1641601,15378,1501376,15684,197602,10222,246300,10487,116422,4436,115444,4470,80887,4059,102852,4158,978,448,144641,6318,142421,6256,86633,5604,46913,4156,44487,3947,55788,4577,2220,575,2160,563,831,321,2040,558,60,101,1312761,12858,777377,12411,645668,12834,346040,9600,356774,10550,131709,7410,535384,4794,534013,4802,287599,5672,523715,5116,1371,447,2923,null,null,13132,null,null,14373,null,null,13679,null,null,15378,null,null,15684,null,null,10222,null,null,10487,null,null,4436,null,null,4470,null,null,4059,null,null,4158,null,null,448,null,null,6318,null,null,6256,null,null,5604,null,null,4156,null,null,3947,null,null,4577,null,null,575,null,null,563,null,null,321,null,null,558,null,null,101,null,null,12858,null,null,12411,null,null,12834,null,null,9600,null,null,10550,null,null,7410,null,null,4794,null,null,4802,null,null,5672,null,null,5116,null,null,447,null,null,22
