C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,C08128_001M,C08128_001EA,C08128_001MA,C08128_002M,C08128_002EA,C08128_002MA,C08128_003M,C08128_003EA,C08128_003MA,C08128_004M,C08128_004EA,C08128_004MA,C08128_005M,C08128_005EA,C08128_005MA,C08128_006M,C08128_006EA,C08128_006MA,C08128_007M,C08128_007EA,C08128_007MA,C08128_008M,C08128_008EA,C08128_008MA,C08128_009M,C08128_009EA,C08128_009MA,C08128_010M,C08128_010EA,C08128_010MA,C08128_011M,C08128_011EA,C08128_011MA,C08128_012M,C08128_012EA,C08128_012MA,C08128_013M,C08128_013EA,C08128_013MA,C08128_014M,C08128_014EA,C08128_014MA,C08128_015M,C08128_015EA,C08128_015MA,C08128_016M,C08128_016EA,C08128_016MA,C08128_017M,C08128_017EA,C08128_017MA,C08128_018M,C08128_018EA,C08128_018MA,C08128_019M,C08128_019EA,C08128_019MA,C08128_020M,C08128_020EA,C08128_020MA,C08128_021M,C08128_021EA,C08128_021MA,C08128_022M,C08128_022EA,C08128_022MA,C08128_023M,C08128_023EA,C08128_023MA,C08128_024M,C08128_024EA,C08128_024MA,C08128_025M,C08128_025EA,C08128_025MA,C08128_026M,C08128_026EA,C08128_026MA,C08128_027M,C08128_027EA,C08128_027MA,C08128_028M,C08128_028EA,C08128_028MA,C08128_029M,C08128_029EA,C08128_029MA,C08128_030M,C08128_030EA,C08128_030MA,state
9122419,34743,7447116,33214,1115688,21525,545254,13756,14361,2635,7221118,35892,5926840,33724,948486,19088,336666,11539,9126,2130,835441,19368,691332,18401,92269,5654,50465,5144,1375,775,187114,8988,158612,8216,16817,2293,11512,2775,173,202,331073,12847,280653,12284,31487,3203,18140,2367,793,507,547673,13777,389679,11368,26629,3158,128471,6542,2894,1028,34743,null,null,33214,null,null,21525,null,null,13756,null,null,2635,null,null,35892,null,null,33724,null,null,19088,null,null,11539,null,null,2130,null,null,19368,null,null,18401,null,null,5654,null,null,5144,null,null,775,null,null,8988,null,null,8216,null,null,2293,null,null,2775,null,null,202,null,null,12847,null,null,12284,null,null,3203,null,null,2367,null,null,507,null,null,13777,null,null,11368,null,null,3158,null,null,6542,null,null,1028,null,null,12
4681817,22733,3723919,25002,705544,14734,246335,9030,6019,1170,3714350,26166,2976401,27668,587719,13740,146372,7053,3858,933,451251,12068,359753,11142,62254,4945,28611,3180,633,376,100028,6674,80000,6017,17181,2455,2779,1088,68,115,152038,7667,121561,7055,20841,2478,9273,1990,363,287,264150,8448,186204,7847,17549,1980,59300,4638,1097,437,22733,null,null,25002,null,null,14734,null,null,9030,null,null,1170,null,null,26166,null,null,27668,null,null,13740,null,null,7053,null,null,933,null,null,12068,null,null,11142,null,null,4945,null,null,3180,null,null,376,null,null,6674,null,null,6017,null,null,2455,null,null,1088,null,null,115,null,null,7667,null,null,7055,null,null,2478,null,null,1990,null,null,287,null,null,8448,null,null,7847,null,null,1980,null,null,4638,null,null,437,null,null,13
708798,7430,491081,9666,171308,5758,45268,4292,1141,505,474495,9201,326461,9031,123756,5560,24020,2540,258,224,96541,5619,70515,4800,20630,1991,5015,1290,381,413,47808,4374,42682,4349,4546,1140,580,274,0,185,55007,3768,34808,2636,18557,2284,1486,463,156,176,34947,3045,16615,1774,3819,1207,14167,2169,346,246,7430,null,null,9666,null,null,5758,null,null,4292,null,null,505,null,null,9201,null,null,9031,null,null,5560,null,null,2540,null,null,224,null,null,5619,null,null,4800,null,null,1991,null,null,1290,null,null,413,null,null,4374,null,null,4349,null,null,1140,null,null,274,null,null,185,null,null,3768,null,null,2636,null,null,2284,null,null,463,null,null,176,null,null,3045,null,null,1774,null,null,1207,null,null,2169,null,null,246,null,null,15
753204,10015,580352,7986,114182,5174,57180,5005,1490,518,597208,10219,469830,7973,93025,4787,33631,3468,722,329,72056,5488,55972,4801,10903,1964,5136,1594,45,74,4282,1004,2491,679,1713,723,78,92,0,198,35543,3105,26573,2965,6338,1275,2526,765,106,109,44115,4072,25486,2943,2203,790,15809,2553,617,406,10015,null,null,7986,null,null,5174,null,null,5005,null,null,518,null,null,10219,null,null,7973,null,null,4787,null,null,3468,null,null,329,null,null,5488,null,null,4801,null,null,1964,null,null,1594,null,null,74,null,null,1004,null,null,679,null,null,723,null,null,92,null,null,198,null,null,3105,null,null,2965,null,null,1275,null,null,765,null,null,109,null,null,4072,null,null,2943,null,null,790,null,null,2553,null,null,406,null,null,16
6129844,20914,5104063,23751,727540,11337,288774,8454,9467,1386,4483475,22299,3744568,22952,573402,11025,159965,6343,5540,1043,471442,10723,401043,10070,49318,3441,19496,2036,1585,754,573372,11437,505097,11695,53646,3694,14473,2430,156,117,299378,10440,245640,9280,34826,3108,18259,2387,653,287,302177,8806,207715,7165,16348,2168,76581,4437,1533,584,20914,null,null,23751,null,null,11337,null,null,8454,null,null,1386,null,null,22299,null,null,22952,null,null,11025,null,null,6343,null,null,1043,null,null,10723,null,null,10070,null,null,3441,null,null,2036,null,null,754,null,null,11437,null,null,11695,null,null,3694,null,null,2430,null,null,117,null,null,10440,null,null,9280,null,null,3108,null,null,2387,null,null,287,null,null,8806,null,null,7165,null,null,2168,null,null,4437,null,null,584,null,null,17
3107122,14972,2638398,18031,328999,8646,135315,5718,4410,1068,2586064,18049,2212241,19161,285644,8577,85918,4245,2261,763,264930,10512,227278,9163,23902,2783,13273,2277,477,366,31443,2939,26147,2861,4524,1013,670,398,102,138,106628,5488,88523,5600,11395,1674,6186,1249,524,329,118057,5258,84209,4485,3534,796,29268,2906,1046,453,14972,null,null,18031,null,null,8646,null,null,5718,null,null,1068,null,null,18049,null,null,19161,null,null,8577,null,null,4245,null,null,763,null,null,10512,null,null,9163,null,null,2783,null,null,2277,null,null,366,null,null,2939,null,null,2861,null,null,1013,null,null,398,null,null,138,null,null,5488,null,null,5600,null,null,1674,null,null,1249,null,null,329,null,null,5258,null,null,4485,null,null,796,null,null,2906,null,null,453,null,null,18
1583507,9513,1270237,11085,208822,6558,101646,3940,2802,689,1286536,11530,1054987,11148,168713,5600,61317,3342,1519,524,129304,6291,104417,5973,18579,1977,6018,933,290,232,17064,2551,11625,1854,4952,1127,470,342,17,29,75770,3652,56691,3396,12664,1451,6246,961,169,153,74833,4404,42517,3651,3914,880,27595,2117,807,362,9513,null,null,11085,null,null,6558,null,null,3940,null,null,689,null,null,11530,null,null,11148,null,null,5600,null,null,3342,null,null,524,null,null,6291,null,null,5973,null,null,1977,null,null,933,null,null,232,null,null,2551,null,null,1854,null,null,1127,null,null,342,null,null,29,null,null,3652,null,null,3396,null,null,1451,null,null,961,null,null,153,null,null,4404,null,null,3651,null,null,880,null,null,2117,null,null,362,null,null,19
1421443,10034,1105057,12362,229865,7398,84123,4251,2398,560,1168600,12292,922408,12652,192714,7508,52105,3183,1373,416,125893,6388,100355,5431,19038,2068,6130,1267,370,247,7338,1417,5442,1113,1872,808,24,44,0,174,55974,3988,38868,3330,12676,1913,4308,979,122,108,63638,3365,37984,2573,3565,827,21556,2351,533,267,10034,null,null,12362,null,null,7398,null,null,4251,null,null,560,null,null,12292,null,null,12652,null,null,7508,null,null,3183,null,null,416,null,null,6388,null,null,5431,null,null,2068,null,null,1267,null,null,247,null,null,1417,null,null,1113,null,null,808,null,null,44,null,null,174,null,null,3988,null,null,3330,null,null,1913,null,null,979,null,null,108,null,null,3365,null,null,2573,null,null,827,null,null,2351,null,null,267,null,null,20
1924064,14452,1544703,14187,279297,8251,97507,4881,2557,784,1582234,12284,1283709,11992,236588,7542,60588,3115,1349,521,178334,7556,144133,6695,24381,2418,9435,1503,385,472,20925,2954,17757,2827,2731,892,428,303,9,17,70794,3862,53048,3199,11560,1698,6147,1341,39,72,71777,4785,46056,3418,4037,932,20909,2795,775,374,14452,null,null,14187,null,null,8251,null,null,4881,null,null,784,null,null,12284,null,null,11992,null,null,7542,null,null,3115,null,null,521,null,null,7556,null,null,6695,null,null,2418,null,null,1503,null,null,472,null,null,2954,null,null,2827,null,null,892,null,null,303,null,null,17,null,null,3862,null,null,3199,null,null,1698,null,null,1341,null,null,72,null,null,4785,null,null,3418,null,null,932,null,null,2795,null,null,374,null,null,21
1999699,14146,1583498,15079,303476,9023,109327,5318,3398,1022,1657170,16034,1317791,15763,264564,8390,72571,4737,2244,876,185059,9400,150220,7803,22580,2849,11477,1857,782,539,25489,2733,21967,2347,2787,932,735,450,0,208,70173,5288,53750,4180,10106,1977,6230,1522,87,144,61808,4412,39770,3529,3439,871,18314,2200,285,273,14146,null,null,15079,null,null,9023,null,null,5318,null,null,1022,null,null,16034,null,null,15763,null,null,8390,null,null,4737,null,null,876,null,null,9400,null,null,7803,null,null,2849,null,null,1857,null,null,539,null,null,2733,null,null,2347,null,null,932,null,null,450,null,null,208,null,null,5288,null,null,4180,null,null,1977,null,null,1522,null,null,144,null,null,4412,null,null,3529,null,null,871,null,null,2200,null,null,273,null,null,22
