C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,C15010I_001M,C15010I_001EA,C15010I_001MA,C15010I_002M,C15010I_002EA,C15010I_002MA,C15010I_003M,C15010I_003EA,C15010I_003MA,C15010I_004M,C15010I_004EA,C15010I_004MA,C15010I_005M,C15010I_005EA,C15010I_005MA,C15010I_006M,C15010I_006EA,C15010I_006MA,state
768796,15816,246858,9441,80030,5814,212548,9668,88037,5593,141323,6815,15816,null,null,9441,null,null,5814,null,null,9668,null,null,5593,null,null,6815,null,null,12
83977,5526,30091,3501,7327,1570,22607,2800,6964,1299,16988,2297,5526,null,null,3501,null,null,1570,null,null,2800,null,null,1299,null,null,2297,null,null,13
12221,1458,4548,1092,819,387,2446,716,1017,418,3391,854,1458,null,null,1092,null,null,387,null,null,716,null,null,418,null,null,854,null,null,15
9061,1633,3418,1056,971,435,1203,561,1144,503,2325,904,1633,null,null,1056,null,null,435,null,null,561,null,null,503,null,null,904,null,null,16
174707,7104,55058,3789,15578,2011,42815,3154,19355,2397,41901,3812,7104,null,null,3789,null,null,2011,null,null,3154,null,null,2397,null,null,3812,null,null,17
29741,3165,11151,2170,4077,1137,5736,1546,2823,889,5954,1210,3165,null,null,2170,null,null,1137,null,null,1546,null,null,889,null,null,1210,null,null,18
10638,2013,4016,983,1146,579,1796,701,1415,538,2265,727,2013,null,null,983,null,null,579,null,null,701,null,null,538,null,null,727,null,null,19
22754,2358,7355,1474,2265,847,4614,976,3320,1011,5200,1026,2358,null,null,1474,null,null,847,null,null,976,null,null,1011,null,null,1026,null,null,20
14929,2077,4633,1181,1828,626,3106,836,2192,918,3170,1023,2077,null,null,1181,null,null,626,null,null,836,null,null,918,null,null,1023,null,null,21
22421,2352,7447,1281,2797,981,4836,1151,1524,695,5817,1148,2352,null,null,1281,null,null,981,null,null,1151,null,null,695,null,null,1148,null,null,22
3149,729,1105,475,331,268,270,248,255,213,1188,654,729,null,null,475,null,null,268,null,null,248,null,null,213,null,null,654,null,null,23
69000,4652,27852,2858,5571,1098,14588,2119,4859,1232,16130,2334,4652,null,null,2858,null,null,1098,null,null,2119,null,null,1232,null,null,2334,null,null,24
77358,4391,33014,2983,5957,1355,13332,2020,5833,1204,19222,2114,4391,null,null,2983,null,null,1355,null,null,2020,null,null,1204,null,null,2114,null,null,25
43419,2883,15656,1754,4253,833,9694,1281,3896,805,9920,1493,2883,null,null,1754,null,null,833,null,null,1281,null,null,805,null,null,1493,null,null,26
21478,2099,7848,1255,1564,529,4476,979,2227,626,5363,1308,2099,null,null,1255,null,null,529,null,null,979,null,null,626,null,null,1308,null,null,27
5373,1118,1561,661,458,295,1376,550,961,420,1017,507,1118,null,null,661,null,null,295,null,null,550,null,null,420,null,null,507,null,null,28
23805,2352,7656,1402,2173,616,5676,1091,2434,803,5866,1133,2352,null,null,1402,null,null,616,null,null,1091,null,null,803,null,null,1133,null,null,29
4354,992,1581,613,534,400,494,369,1015,650,730,452,992,null,null,613,null,null,400,null,null,369,null,null,650,null,null,452,null,null,30
10661,1803,4348,1139,1177,525,1580,481,1371,566,2185,714,1803,null,null,1139,null,null,525,null,null,481,null,null,566,null,null,714,null,null,31
