GEO_ID,B01002B_001E,B01002B_001M,B01002B_002E,B01002B_002M,B01002B_003E,B01002B_003M,NAME,B01002B_001EA,B01002B_001MA,B01002B_002EA,B01002B_002MA,B01002B_003MA,B01002B_003EA,state
0400000US01,34.3,0.4,31.8,0.4,36.4,0.4,Alabama,null,null,null,null,null,null,01
0400000US02,29.1,1.4,30.1,3.0,28.8,1.8,Alaska,null,null,null,null,null,null,02
0400000US04,31.9,0.8,31.0,0.7,32.7,1.0,Arizona,null,null,null,null,null,null,04
0400000US05,33.0,0.6,30.6,0.7,35.0,0.7,Arkansas,null,null,null,null,null,null,05
0400000US06,36.5,0.3,34.8,0.3,38.1,0.4,California,null,null,null,null,null,null,06
0400000US08,32.5,0.7,32.3,1.2,32.7,0.9,Colorado,null,null,null,null,null,null,08
0400000US09,34.2,0.5,32.6,0.8,35.8,1.0,Connecticut,null,null,null,null,null,null,09
0400000US10,35.8,0.9,32.4,1.3,37.1,0.7,Delaware,null,null,null,null,null,null,10
0400000US11,36.5,0.4,34.7,0.3,38.0,0.5,District of Columbia,null,null,null,null,null,null,11
0400000US12,33.2,0.3,31.6,0.3,34.7,0.3,Florida,null,null,null,null,null,null,12
0400000US13,34.0,0.2,32.0,0.3,35.5,0.3,Georgia,null,null,null,null,null,null,13
0400000US15,30.5,0.8,30.4,1.1,30.7,1.1,Hawaii,null,null,null,null,null,null,15
0400000US16,29.6,3.0,29.6,1.8,31.1,11.4,Idaho,null,null,null,null,null,null,16
0400000US17,34.8,0.3,32.3,0.3,36.7,0.4,Illinois,null,null,null,null,null,null,17
0400000US18,32.4,0.4,30.4,0.4,34.3,0.6,Indiana,null,null,null,null,null,null,18
0400000US19,26.7,1.0,26.3,1.6,27.0,1.5,Iowa,null,null,null,null,null,null,19
0400000US20,31.3,1.4,30.7,1.6,32.1,1.1,Kansas,null,null,null,null,null,null,20
0400000US21,33.1,0.8,31.4,1.1,35.4,0.9,Kentucky,null,null,null,null,null,null,21
0400000US22,32.9,0.2,30.8,0.4,34.4,0.3,Louisiana,null,null,null,null,null,null,22
0400000US23,26.9,2.3,27.3,2.4,26.0,6.5,Maine,null,null,null,null,null,null,23
0400000US24,36.8,0.3,34.8,0.2,38.8,0.4,Maryland,null,null,null,null,null,null,24
0400000US25,32.6,0.5,31.6,0.7,33.5,0.6,Massachusetts,null,null,null,null,null,null,25
0400000US26,34.3,0.4,31.7,0.5,36.8,0.4,Michigan,null,null,null,null,null,null,26
0400000US27,27.6,0.5,27.4,0.7,27.7,0.6,Minnesota,null,null,null,null,null,null,27
0400000US28,33.3,0.3,30.7,0.4,35.5,0.3,Mississippi,null,null,null,null,null,null,28
0400000US29,32.9,0.5,29.9,0.7,35.4,0.6,Missouri,null,null,null,null,null,null,29
0400000US30,32.0,5.7,32.3,6.0,28.7,14.2,Montana,null,null,null,null,null,null,30
0400000US31,30.5,1.0,30.0,1.5,31.3,1.4,Nebraska,null,null,null,null,null,null,31
0400000US32,33.1,0.8,32.0,0.7,34.1,0.9,Nevada,null,null,null,null,null,null,32
0400000US33,30.8,2.8,30.0,3.8,31.4,4.6,New Hampshire,null,null,null,null,null,null,33
0400000US34,36.1,0.4,33.9,0.5,38.6,0.5,New Jersey,null,null,null,null,null,null,34
0400000US35,34.3,2.1,35.4,2.8,30.9,5.3,New Mexico,null,null,null,null,null,null,35
0400000US36,36.0,0.3,33.3,0.3,38.8,0.3,New York,null,null,null,null,null,null,36
0400000US37,35.8,0.3,33.4,0.3,37.7,0.4,North Carolina,null,null,null,null,null,null,37
0400000US38,27.7,2.3,27.0,3.5,28.7,3.8,North Dakota,null,null,null,null,null,null,38
0400000US39,33.8,0.3,31.8,0.4,35.6,0.4,Ohio,null,null,null,null,null,null,39
0400000US40,32.4,0.6,31.4,0.9,33.4,1.0,Oklahoma,null,null,null,null,null,null,40
0400000US41,33.1,1.4,33.1,1.4,33.2,2.7,Oregon,null,null,null,null,null,null,41
0400000US42,33.1,0.3,31.4,0.4,35.0,0.5,Pennsylvania,null,null,null,null,null,null,42
0400000US44,30.4,1.8,28.8,2.6,31.9,2.3,Rhode Island,null,null,null,null,null,null,44
0400000US45,35.2,0.3,32.8,0.5,37.2,0.4,South Carolina,null,null,null,null,null,null,45
0400000US46,25.8,1.6,29.7,4.2,24.7,5.2,South Dakota,null,null,null,null,null,null,46
0400000US47,33.4,0.3,31.7,0.5,35.1,0.4,Tennessee,null,null,null,null,null,null,47
0400000US48,33.2,0.2,31.7,0.2,34.7,0.3,Texas,null,null,null,null,null,null,48
0400000US49,25.4,1.9,26.6,3.9,22.5,3.2,Utah,null,null,null,null,null,null,49
0400000US50,23.4,1.6,23.8,3.1,23.0,5.8,Vermont,null,null,null,null,null,null,50
0400000US51,35.9,0.4,34.4,0.4,37.3,0.3,Virginia,null,null,null,null,null,null,51
0400000US53,33.4,0.9,34.2,1.0,32.6,1.2,Washington,null,null,null,null,null,null,53
0400000US54,36.0,1.8,36.4,1.8,34.5,3.6,West Virginia,null,null,null,null,null,null,54
0400000US55,29.3,0.6,28.1,0.8,30.4,0.5,Wisconsin,null,null,null,null,null,null,55
0400000US56,26.6,6.0,21.5,15.6,26.9,18.4,Wyoming,null,null,null,null,null,null,56
0400000US72,42.6,1.3,40.1,2.1,44.2,1.1,Puerto Rico,null,null,null,null,null,null,72
