GEO_ID,B01002E_001E,B01002E_001M,B01002E_002E,B01002E_002M,B01002E_003E,B01002E_003M,NAME,B01002E_001EA,B01002E_001MA,B01002E_002EA,B01002E_002MA,B01002E_003EA,B01002E_003MA,state
0400000US01,30.5,13.0,28.0,11.2,37.2,23.8,Alabama,null,null,null,null,null,null,01
0400000US02,26.8,4.7,23.4,4.3,31.3,3.8,Alaska,null,null,null,null,null,null,02
0400000US04,31.2,3.0,31.4,3.3,30.5,6.1,Arizona,null,null,null,null,null,null,04
0400000US05,27.8,6.4,27.6,3.8,28.6,9.7,Arkansas,null,null,null,null,null,null,05
0400000US06,36.0,1.2,36.0,1.7,36.1,1.7,California,null,null,null,null,null,null,06
0400000US08,28.0,9.0,21.6,19.7,31.2,7.2,Colorado,null,null,null,null,null,null,08
0400000US09,29.7,27.8,29.4,23.5,-666666666.0,-222222222.0,Connecticut,null,null,null,null,-,**,09
0400000US10,61.5,31.8,-666666666.0,-222222222.0,63.2,5.3,Delaware,null,null,-,**,null,null,10
0400000US11,29.7,19.9,29.4,11.2,-666666666.0,-222222222.0,District of Columbia,null,null,null,null,-,**,11
0400000US12,30.1,4.7,30.2,6.2,28.6,5.7,Florida,null,null,null,null,null,null,12
0400000US13,18.4,13.4,28.3,9.1,14.5,5.5,Georgia,null,null,null,null,null,null,13
0400000US15,33.3,1.2,32.4,1.3,34.2,1.2,Hawaii,null,null,null,null,null,null,15
0400000US16,34.0,12.6,27.8,17.2,34.6,15.4,Idaho,null,null,null,null,null,null,16
0400000US17,28.2,6.1,32.1,11.5,26.7,8.3,Illinois,null,null,null,null,null,null,17
0400000US18,30.2,5.0,29.8,22.7,30.3,8.3,Indiana,null,null,null,null,null,null,18
0400000US19,24.0,6.3,26.6,7.4,21.5,8.5,Iowa,null,null,null,null,null,null,19
0400000US20,23.8,4.8,26.7,16.0,23.2,4.1,Kansas,null,null,null,null,null,null,20
0400000US21,28.6,4.2,28.7,2.4,27.1,29.8,Kentucky,null,null,null,null,null,null,21
0400000US22,26.7,11.9,22.7,1.5,39.3,17.5,Louisiana,null,null,null,null,null,null,22
0400000US23,4.8,44.5,-666666666.0,-222222222.0,0.0,-333333333.0,Maine,null,null,-,**,1-,***,23
0400000US24,45.6,11.6,41.2,13.7,50.6,12.7,Maryland,null,null,null,null,null,null,24
0400000US25,20.0,4.8,20.7,31.7,19.3,1.8,Massachusetts,null,null,null,null,null,null,25
0400000US26,31.4,6.5,31.6,15.6,31.1,13.0,Michigan,null,null,null,null,null,null,26
0400000US27,43.2,4.4,43.2,5.9,43.2,14.6,Minnesota,null,null,null,null,null,null,27
0400000US28,33.7,55.4,68.6,18.7,19.5,2.1,Mississippi,null,null,null,null,null,null,28
0400000US29,27.0,8.0,26.5,12.0,32.2,15.6,Missouri,null,null,null,null,null,null,29
0400000US30,38.3,23.2,26.4,11.6,43.7,14.2,Montana,null,null,null,null,null,null,30
0400000US31,46.3,9.3,29.4,21.7,47.0,8.2,Nebraska,null,null,null,null,null,null,31
0400000US32,33.9,4.5,31.9,5.6,35.4,4.4,Nevada,null,null,null,null,null,null,32
0400000US33,45.5,5.5,45.6,4.7,36.6,0.3,New Hampshire,null,null,null,null,null,null,33
0400000US34,33.1,8.4,33.3,10.4,31.2,13.2,New Jersey,null,null,null,null,null,null,34
0400000US35,43.7,23.0,43.1,23.7,49.1,55.1,New Mexico,null,null,null,null,null,null,35
0400000US36,39.0,8.2,39.6,11.2,35.5,11.1,New York,null,null,null,null,null,null,36
0400000US37,24.6,4.8,24.9,5.3,23.7,11.4,North Carolina,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
0400000US39,29.5,16.7,21.3,1.1,38.9,24.7,Ohio,null,null,null,null,null,null,39
0400000US40,27.5,4.5,25.9,2.3,31.2,6.7,Oklahoma,null,null,null,null,null,null,40
0400000US41,30.5,2.5,26.8,6.1,33.1,5.4,Oregon,null,null,null,null,null,null,41
0400000US42,30.2,3.7,29.5,4.2,32.0,6.0,Pennsylvania,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
0400000US45,20.6,16.2,19.3,10.2,27.2,16.6,South Carolina,null,null,null,null,null,null,45
0400000US46,29.8,2.1,29.8,34.1,29.9,14.8,South Dakota,null,null,null,null,null,null,46
0400000US47,37.1,3.8,37.6,4.8,35.3,5.0,Tennessee,null,null,null,null,null,null,47
0400000US48,30.5,3.8,28.4,2.7,33.7,4.2,Texas,null,null,null,null,null,null,48
0400000US49,27.9,1.4,29.0,1.5,26.1,2.8,Utah,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
0400000US51,33.6,7.8,30.3,14.1,43.0,17.4,Virginia,null,null,null,null,null,null,51
0400000US53,32.9,2.3,29.8,3.4,35.8,4.0,Washington,null,null,null,null,null,null,53
0400000US54,18.9,37.4,-666666666.0,-222222222.0,37.1,13.4,West Virginia,null,null,-,**,null,null,54
0400000US55,25.8,2.7,27.6,4.1,22.6,3.7,Wisconsin,null,null,null,null,null,null,55
0400000US56,-666666666.0,-222222222.0,-666666666.0,-222222222.0,-666666666.0,-222222222.0,Wyoming,-,**,-,**,-,**,56
0400000US72,-666666666.0,-222222222.0,-666666666.0,-222222222.0,-666666666.0,-222222222.0,Puerto Rico,-,**,-,**,-,**,72
