GEO_ID,B07002_001E,B07002_001M,B07002_002E,B07002_002M,B07002_003E,B07002_003M,B07002_004E,B07002_004M,B07002_005E,B07002_005M,B07002_006E,B07002_006M,NAME,B07002_001EA,B07002_001MA,B07002_002MA,B07002_002EA,B07002_003EA,B07002_003MA,B07002_004EA,B07002_004MA,B07002_005EA,B07002_005MA,B07002_006EA,B07002_006MA,state
0400000US01,39.4,0.2,42.1,0.3,27.9,0.7,27.9,0.9,28.1,1.0,32.9,5.4,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34.8,0.2,38.0,0.6,27.4,0.8,27.9,3.3,27.5,2.6,26.8,3.0,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38.2,0.2,40.8,0.2,28.0,0.4,28.4,1.0,33.5,1.3,31.5,2.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38.6,0.3,41.6,0.4,27.0,0.7,28.1,1.1,28.6,1.3,27.5,3.6,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37.0,0.1,38.8,0.1,29.5,0.2,29.0,0.4,28.5,0.3,30.2,0.6,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37.2,0.2,40.3,0.2,28.3,0.5,29.0,0.5,27.9,0.5,27.7,2.5,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41.3,0.2,43.8,0.2,30.0,0.7,28.5,1.2,27.9,0.9,30.3,2.6,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40.6,0.3,43.2,0.4,28.4,1.4,28.6,2.3,29.2,2.2,58.1,19.6,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34.3,0.2,36.6,0.3,29.9,0.8,-666666666.0,-222222222.0,26.1,0.6,28.4,1.9,District of Columbia,null,null,null,null,null,null,-,**,null,null,null,null,11
0400000US12,42.5,0.1,44.8,0.2,31.4,0.5,30.7,0.8,37.9,1.6,34.1,1.1,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,37.2,0.1,39.5,0.2,28.7,0.4,27.5,0.4,28.8,0.6,30.4,1.5,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,39.6,0.3,41.6,0.4,31.3,1.2,33.4,4.2,28.7,1.4,31.4,4.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36.8,0.2,39.9,0.4,26.2,0.8,24.2,1.3,27.9,2.1,23.7,6.8,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,38.5,0.2,40.8,0.2,29.0,0.3,27.6,0.4,27.5,0.5,30.1,1.1,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,38.2,0.1,40.9,0.2,26.4,0.4,26.6,0.5,28.0,0.9,25.6,1.6,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,38.8,0.2,42.1,0.3,26.2,0.5,24.7,0.7,25.9,1.4,25.7,1.8,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37.1,0.2,40.3,0.3,26.6,0.9,25.1,0.8,27.4,0.9,30.1,1.6,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39.3,0.3,42.4,0.3,27.6,0.4,27.0,0.7,27.4,0.7,30.1,3.7,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37.2,0.1,39.5,0.2,27.5,0.7,26.7,0.7,28.3,1.6,33.0,3.5,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,45.0,0.2,47.4,0.4,29.9,1.3,30.0,2.0,32.4,2.7,29.0,6.2,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,39.1,0.2,41.5,0.3,30.0,0.5,29.5,1.1,28.9,0.6,30.4,1.8,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,40.0,0.2,42.7,0.2,29.9,0.5,28.1,0.7,26.3,0.6,27.8,0.9,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,40.3,0.1,43.4,0.2,27.7,0.4,27.3,0.4,27.9,0.8,30.1,1.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38.4,0.1,41.2,0.2,28.6,0.5,26.8,0.5,27.2,0.6,26.2,3.3,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,37.9,0.2,40.5,0.3,26.3,0.8,25.6,0.8,28.3,1.4,36.9,6.8,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,39.1,0.2,42.3,0.3,27.1,0.5,27.5,0.6,27.0,0.6,28.4,1.7,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,40.4,0.3,43.6,0.4,27.4,1.1,27.1,1.6,27.0,2.0,21.9,5.3,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,36.9,0.2,40.1,0.3,26.1,0.5,25.9,1.1,26.1,0.8,22.0,5.0,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,38.5,0.2,40.8,0.3,29.4,0.7,30.7,2.3,33.6,1.3,34.2,3.7,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,43.6,0.2,46.6,0.2,29.3,1.0,28.7,1.5,28.9,1.1,34.6,6.7,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,40.2,0.1,41.7,0.2,31.8,0.6,31.0,0.7,31.3,0.8,31.0,1.3,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,38.2,0.2,40.4,0.3,26.5,0.8,29.7,3.9,31.6,2.0,30.6,3.1,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,39.1,0.1,41.0,0.2,30.0,0.3,28.8,0.4,27.1,0.4,29.4,0.9,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,39.2,0.2,41.9,0.2,28.5,0.4,28.2,0.5,28.2,1.0,29.0,1.7,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,35.9,0.3,39.8,0.6,26.4,1.1,24.7,1.1,24.8,1.7,27.7,3.6,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,39.8,0.1,43.0,0.2,27.5,0.4,26.7,0.4,27.8,0.7,28.6,1.4,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,37.1,0.2,40.1,0.3,27.2,0.6,26.6,0.7,27.0,0.9,26.6,2.0,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,39.7,0.2,42.7,0.2,29.1,0.5,29.8,1.1,30.7,1.0,28.3,1.5,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,41.2,0.2,44.1,0.1,28.7,0.3,27.1,0.4,27.6,0.7,29.3,1.4,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,40.0,0.4,42.8,0.5,28.4,1.2,30.8,2.2,25.0,1.7,28.6,1.9,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,39.9,0.2,42.5,0.3,28.4,0.5,26.3,0.7,29.6,1.2,34.2,3.9,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,37.5,0.3,40.8,0.6,26.4,1.3,25.4,1.3,25.6,1.8,24.9,6.3,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,39.0,0.2,41.6,0.2,28.6,0.5,28.1,0.7,29.6,0.9,29.6,2.0,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,35.2,0.1,37.2,0.2,27.9,0.3,28.1,0.3,28.8,0.4,29.1,0.9,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,31.5,0.1,34.0,0.3,25.1,0.4,25.3,0.8,25.4,0.9,23.6,2.4,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,43.0,0.3,46.8,0.4,25.9,2.0,29.0,2.3,26.1,2.5,28.0,2.7,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,38.6,0.2,41.5,0.2,28.2,0.5,27.5,0.5,28.5,0.7,29.5,1.3,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,38.2,0.1,41.3,0.2,28.2,0.4,28.7,0.6,28.0,0.6,29.8,1.2,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,42.7,0.3,45.3,0.3,27.1,1.8,26.7,1.3,26.9,1.1,36.0,5.2,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
