GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001MA,B08505F_001EA,B08505F_002MA,B08505F_002EA,B08505F_003MA,B08505F_003EA,B08505F_004EA,B08505F_004MA,B08505F_005EA,B08505F_005MA,B08505F_006EA,B08505F_006MA,B08505F_007MA,B08505F_007EA,state
0400000US01,25933,2972,20005,2577,5022,1473,0,198,330,360,276,284,300,243,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7229,1415,5133,1314,964,742,358,394,493,287,232,248,49,88,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,199143,10491,145452,8613,36897,4309,4505,1259,3315,1036,4525,1195,4449,1853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40178,4461,30893,3686,7242,1808,136,177,651,338,248,257,1008,982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2728245,30705,1987138,27497,363337,13742,156311,7837,65583,4285,76520,6395,79356,6090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,105488,6427,76021,5586,14352,2148,7214,1989,2174,914,1415,493,4312,1707,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88702,8156,62773,6853,13216,3134,6885,1585,2009,1133,1871,827,1948,819,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45971,4219,19392,2623,6651,1767,16054,2705,1952,930,1553,839,369,404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,299288,15608,220567,12691,43647,5743,7543,1698,6441,1981,10478,2979,10612,2290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,123089,9128,80884,7014,29351,4721,2167,1131,2339,909,5127,1886,3221,1183,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
