GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002MA,B15002F_002EA,B15002F_003EA,B15002F_003MA,B15002F_004EA,B15002F_004MA,B15002F_005MA,B15002F_005EA,B15002F_006MA,B15002F_006EA,B15002F_007MA,B15002F_007EA,B15002F_008MA,B15002F_008EA,B15002F_009EA,B15002F_009MA,B15002F_010MA,B15002F_010EA,B15002F_011MA,B15002F_011EA,B15002F_012MA,B15002F_012EA,B15002F_013MA,B15002F_013EA,B15002F_014EA,B15002F_014MA,B15002F_015EA,B15002F_015MA,B15002F_016MA,B15002F_016EA,B15002F_017MA,B15002F_017EA,B15002F_018MA,B15002F_018EA,B15002F_019EA,B15002F_019MA,state
0400000US01,32645,3897,17246,2473,4574,1026,2936,1021,5464,1611,911,582,1707,769,756,447,260,308,638,505,15399,2616,4167,1273,2463,740,3662,1178,468,405,1439,733,938,555,1241,644,1021,604,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8195,1602,4810,953,567,304,592,545,1208,593,70,86,1773,756,330,312,182,184,88,106,3385,1002,219,206,72,122,561,400,66,81,1050,696,797,660,430,379,190,197,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,249829,10423,128864,6056,23450,3097,23347,2759,32400,3701,7400,1456,22670,3052,8035,1756,9122,1653,2440,886,120965,6011,21011,2660,17549,2328,31452,3151,5727,1408,22295,2459,8415,1585,9530,1860,4986,1241,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44954,4241,23852,2765,8346,1912,4216,1617,5047,1336,1156,755,2796,1060,268,233,1268,773,755,413,21102,2186,5690,1558,5312,1488,4124,1398,940,572,2287,822,1145,540,1184,605,420,323,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3492458,37447,1772912,22806,423705,11522,275132,9983,470204,13352,51777,4563,312332,10966,79869,5228,122434,7147,37459,3650,1719546,20581,434491,11267,235113,8451,417695,11709,39020,3086,308287,11320,93228,5603,138645,6633,53067,4103,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,130641,6821,66654,4214,10903,2122,8363,1621,17309,2364,5293,1486,12789,2045,3863,1129,4719,1462,3415,1044,63987,3953,10406,1852,9979,1976,15101,2309,4139,984,10739,1740,3653,877,7109,1376,2861,885,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115463,7992,57836,4907,14130,2491,6218,1518,18100,2907,4691,1456,7931,1994,1589,901,3821,1073,1356,551,57627,4391,9356,1900,8959,1715,15220,3005,3782,1117,10120,2256,3624,1121,4310,1202,2256,824,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9895,2064,5366,1291,1249,703,1216,673,1333,649,160,180,888,576,175,238,261,221,84,101,4529,1090,787,431,559,409,1431,625,39,73,648,437,340,290,499,327,226,183,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,23645,2942,12741,1897,5126,1431,1413,844,1683,837,169,265,586,465,535,590,1321,815,1908,950,10904,1485,3544,962,1870,711,1219,591,594,460,1061,662,102,127,1161,671,1353,800,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,384651,17550,195739,9747,27307,4330,23048,3227,49344,5367,8639,2215,37198,3460,17701,2878,21370,3422,11132,2143,188912,10627,21517,3179,15555,2659,45129,5374,6250,1432,36859,4175,22924,3386,28236,3908,12442,2233,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
