GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002EA,B16009_002MA,B16009_003MA,B16009_003EA,B16009_004MA,B16009_004EA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007EA,B16009_007MA,B16009_008MA,B16009_008EA,B16009_009MA,B16009_009EA,B16009_010EA,B16009_010MA,B16009_011MA,B16009_011EA,B16009_012EA,B16009_012MA,B16009_013MA,B16009_013EA,B16009_014MA,B16009_014EA,B16009_015EA,B16009_015MA,B16009_016MA,B16009_016EA,B16009_017MA,B16009_017EA,B16009_018EA,B16009_018MA,B16009_019EA,B16009_019MA,B16009_020EA,B16009_020MA,B16009_021EA,B16009_021MA,B16009_022MA,B16009_022EA,B16009_023EA,B16009_023MA,B16009_024EA,B16009_024MA,B16009_025EA,B16009_025MA,B16009_026EA,B16009_026MA,B16009_027MA,B16009_027EA,state
0400000US01,4469790,3419,722575,23084,184997,10651,161321,9662,21107,3195,98,100,1146,813,1325,867,537578,15855,499957,15677,25503,3790,4118,1354,5219,1827,2781,1488,3747215,23172,610875,10785,579552,10756,20064,3566,5095,1401,5297,1547,867,639,3136340,16070,3000058,17176,71403,5241,28292,3673,29630,3329,6957,2087,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,669346,1248,72077,6217,18930,3319,13778,2348,255,209,303,292,2568,2242,2026,608,53147,4126,41446,3543,891,529,1132,788,3662,1846,6016,879,597269,6289,110017,3469,97387,3300,2545,838,2392,751,3791,1422,3902,1545,487252,4103,410503,5870,15156,2343,11249,2273,30006,2809,20338,2627,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6430734,3608,920672,24897,234036,11161,128049,8609,93876,7566,1537,792,894,497,9680,2365,686636,18600,430762,13579,181976,10769,12680,2399,16870,2833,44348,4874,5510062,24898,941737,11672,701012,11319,201900,9952,11339,2179,13628,2014,13858,2821,4568325,18419,3411497,20473,864492,15926,97344,6019,99872,5204,95120,6634,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2733064,3336,433509,15225,111571,7954,94095,7244,14234,2472,870,796,1739,1066,633,865,321938,10590,295416,10561,18678,3082,2249,1316,4327,1551,1268,677,2299555,15069,401829,7393,368397,7717,27193,3687,1871,830,4177,1253,191,196,1897726,11026,1769896,11088,89475,5028,14047,2524,20861,3292,3447,1671,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36371531,7932,4705518,65430,1164199,26518,459796,17180,606032,21032,29975,5664,51783,4709,16613,3573,3541319,46782,1694069,25377,1253804,27265,170302,10057,368724,12335,54420,5794,31666013,66889,5335696,29302,3169878,25017,1628241,23686,171821,9302,323658,9202,42098,5663,26330317,46712,14800544,52592,7055321,51656,1308100,26495,2909410,24328,256942,15209,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5156992,3074,520984,15362,105715,8176,68781,6241,31109,5189,1384,798,1298,829,3143,2349,415269,11628,330072,10987,59680,5747,8656,1788,9437,1980,7424,2058,4636008,15671,809642,8413,657989,9106,112831,5907,13878,2658,14924,2132,10020,2512,3826366,11903,3225157,16776,396922,12606,92940,6139,77028,5112,34319,4472,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3301817,1677,309374,16756,67829,6739,40361,4793,22307,3736,2827,1459,1431,921,903,559,241545,11583,149668,8532,65455,5959,14550,2460,8232,1913,3640,1161,2992443,16894,484905,6928,390985,6961,56738,4456,22773,3772,9571,1663,4838,1690,2507538,11603,1976410,12314,260299,7364,176313,9533,64388,4488,30128,4708,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882218,777,113431,8162,23200,3358,18255,2958,4243,1708,281,458,335,412,86,144,90231,6348,74952,5145,8770,2190,2167,1056,3797,2042,545,462,768787,8138,123257,3378,103264,3792,13386,1945,3482,1732,2491,704,634,488,645530,6330,562088,6887,38402,3086,21616,3128,16521,2290,6903,2346,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,615699,522,98518,6678,20216,2672,19265,2689,616,580,51,65,81,136,203,199,78302,5195,66443,5264,5263,1538,2595,961,2265,679,1736,775,517181,6616,58192,2759,43671,3338,10703,1258,2117,1040,569,412,1132,703,458989,5127,377383,6297,42074,2736,21602,2614,8070,1557,9860,2761,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19459075,6222,2648424,51932,599097,20188,377495,18086,179704,11991,33293,5779,4626,1475,3979,1478,2049327,38541,1304838,29538,556301,20312,134849,12196,33870,4504,19469,3170,16810651,53155,2426578,21387,1746955,19983,508480,14233,125761,9122,33353,3659,12029,2894,14384073,38251,10210945,42198,3030746,24720,789350,22978,258422,10201,94610,6906,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
