GEO_ID,B18102_001E,B18102_001M,B18102_002E,B18102_002M,B18102_003E,B18102_003M,B18102_004E,B18102_004M,B18102_005E,B18102_005M,B18102_006E,B18102_006M,B18102_007E,B18102_007M,B18102_008E,B18102_008M,B18102_009E,B18102_009M,B18102_010E,B18102_010M,B18102_011E,B18102_011M,B18102_012E,B18102_012M,B18102_013E,B18102_013M,B18102_014E,B18102_014M,B18102_015E,B18102_015M,B18102_016E,B18102_016M,B18102_017E,B18102_017M,B18102_018E,B18102_018M,B18102_019E,B18102_019M,B18102_020E,B18102_020M,B18102_021E,B18102_021M,B18102_022E,B18102_022M,B18102_023E,B18102_023M,B18102_024E,B18102_024M,B18102_025E,B18102_025M,B18102_026E,B18102_026M,B18102_027E,B18102_027M,B18102_028E,B18102_028M,B18102_029E,B18102_029M,B18102_030E,B18102_030M,B18102_031E,B18102_031M,B18102_032E,B18102_032M,B18102_033E,B18102_033M,B18102_034E,B18102_034M,B18102_035E,B18102_035M,B18102_036E,B18102_036M,B18102_037E,B18102_037M,B18102_038E,B18102_038M,B18102_039E,B18102_039M,NAME,B18102_001EA,B18102_001MA,B18102_002EA,B18102_002MA,B18102_003EA,B18102_003MA,B18102_004EA,B18102_004MA,B18102_005MA,B18102_005EA,B18102_006MA,B18102_006EA,B18102_007EA,B18102_007MA,B18102_008MA,B18102_008EA,B18102_009EA,B18102_009MA,B18102_010MA,B18102_010EA,B18102_011MA,B18102_011EA,B18102_012EA,B18102_012MA,B18102_013EA,B18102_013MA,B18102_014EA,B18102_014MA,B18102_015EA,B18102_015MA,B18102_016MA,B18102_016EA,B18102_017MA,B18102_017EA,B18102_018MA,B18102_018EA,B18102_019MA,B18102_019EA,B18102_020EA,B18102_020MA,B18102_021MA,B18102_021EA,B18102_022MA,B18102_022EA,B18102_023MA,B18102_023EA,B18102_024MA,B18102_024EA,B18102_025EA,B18102_025MA,B18102_026EA,B18102_026MA,B18102_027MA,B18102_027EA,B18102_028MA,B18102_028EA,B18102_029MA,B18102_029EA,B18102_030MA,B18102_030EA,B18102_031EA,B18102_031MA,B18102_032MA,B18102_032EA,B18102_033MA,B18102_033EA,B18102_034MA,B18102_034EA,B18102_035MA,B18102_035EA,B18102_036EA,B18102_036MA,B18102_037EA,B18102_037MA,B18102_038EA,B18102_038MA,B18102_039MA,B18102_039EA,state
0400000US01,4793512,2005,2300832,5674,147385,3027,600,384,146785,3003,411444,4217,3169,1233,408275,4235,520215,3663,5068,1162,515147,3923,880682,3743,39729,3475,840953,4575,218704,2414,35051,3049,183653,3179,122402,1564,34713,2320,87689,2650,2492680,5724,141512,2877,414,453,141098,2886,392104,3455,1313,618,390791,3581,551807,4093,4665,1556,547142,4067,965447,4483,19616,1809,945831,4831,256376,2450,16659,1839,239717,3119,185434,2029,34615,2420,150819,2893,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,26064,1147,101,69,25963,1152,67704,1506,414,357,67290,1535,90812,2297,976,552,89836,2209,140572,1986,9708,1341,130864,2433,29319,854,6426,1161,22893,1193,11643,556,4568,833,7075,863,350064,2412,26853,1277,40,47,26813,1280,64201,1491,120,173,64081,1536,84410,1463,1189,607,83221,1436,134050,1486,3841,888,130209,1762,27107,802,3057,760,24050,985,13443,590,3242,635,10201,535,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,222039,1311,1793,907,220246,1712,607971,2408,3656,1065,604315,2561,801629,3267,9499,1603,792130,3588,1217760,3046,40902,3588,1176858,4498,325812,1317,50614,3102,275198,3137,222016,1374,64369,3033,157647,2978,3510894,3887,212901,1538,543,515,212358,1628,587180,2122,2189,724,584991,2188,776961,2401,6361,1663,770600,2897,1292658,2213,28100,3628,1264558,4649,370320,1497,20751,2016,349569,2526,270874,1364,52028,3293,218846,3551,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,96928,2555,923,612,96005,2625,267738,3343,1295,663,266443,3351,328497,3191,6059,1528,322438,3437,533566,3046,28588,2872,504978,3881,134649,2156,26082,2302,108567,2856,81043,1222,26319,1979,54724,2340,1506884,4657,89684,2435,298,246,89386,2398,252140,3183,3446,1075,248694,3091,326258,3131,3146,1272,323112,3121,574175,3255,17198,2100,556977,3892,153140,1870,13604,1867,139536,2422,111487,1662,22508,2151,88979,2840,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,1258969,3004,6489,1456,1252480,3115,3361317,3959,19235,2560,3342082,4633,4873764,6552,39541,3139,4834223,7315,7369434,5871,179652,7673,7189782,10628,1468783,2641,156229,5652,1312554,6903,935552,2759,250958,6830,684594,6657,19779016,6604,1201133,3391,4812,1322,1196321,3446,3221186,3661,15529,2230,3205657,4198,4732202,3883,31625,3303,4700577,5330,7618752,4575,121866,5999,7496886,7442,1699022,3522,90571,5148,1608451,5991,1306721,3392,255648,7118,1051073,7630,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,170238,1930,975,511,169263,1881,475506,2746,3049,1050,472457,2991,686806,3519,7902,1793,678904,3772,1067828,3179,37079,2735,1030749,4224,227526,1732,34570,2686,192956,3225,120384,1522,36835,2566,83549,2516,2765782,3756,162355,2094,395,239,161960,2082,451979,1973,2981,966,448998,2152,660085,2798,5307,1154,654778,2787,1080502,2392,21890,2334,1058612,3182,249596,1977,15378,1655,234218,2721,161265,1927,33263,2503,128002,2752,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,94460,1388,389,491,94071,1445,284690,1612,1721,534,282969,1727,392743,2384,2591,821,390152,2568,692210,2364,16394,2306,675816,3321,156934,1003,13673,1310,143261,1583,95942,1109,21071,1632,74871,1558,1819543,2573,87734,1211,783,530,86951,1310,274045,1267,1011,411,273034,1321,388799,1681,1835,755,386964,1762,742355,1820,11497,1696,730858,2537,179212,1333,9411,1290,169801,1698,147398,1444,22906,2460,124492,2643,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,28071,798,20,37,28051,802,75704,950,273,395,75431,1102,102435,1419,292,228,102143,1449,172625,1520,4708,1321,167917,1861,47492,714,3751,819,43741,1124,28134,688,5921,951,22213,1162,492798,1502,26836,823,0,198,26836,823,73297,940,142,227,73155,971,107213,1070,1726,1069,105487,1341,191947,1212,2781,772,189166,1349,55971,477,2466,702,53505,879,37534,650,6490,1168,31044,1328,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,22795,4,106,173,22689,174,39874,488,212,259,39662,516,106974,777,1551,817,105423,1047,118653,816,2855,981,115798,1205,19989,540,1118,520,18871,746,12650,484,2801,790,9849,888,362873,800,22270,114,52,87,22218,145,39433,646,361,509,39072,805,126518,291,1101,705,125417,760,125807,493,2412,812,123395,959,27099,384,933,576,26166,657,21746,523,2643,795,19103,843,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,576007,3848,2872,1139,573135,4120,1557335,4728,9592,2253,1547743,5337,2175658,6071,23996,3479,2151662,6363,3844548,6580,114694,5865,3729854,9068,1072077,3869,118553,5586,953524,6853,800526,3282,197385,6806,603141,7270,10652553,6437,553315,3303,1604,911,551711,3303,1504557,4753,8478,1627,1496079,4972,2181121,4995,13314,2563,2167807,5521,4139420,5790,72465,5658,4066955,8450,1254343,3374,68388,4055,1185955,5038,1019797,3470,178549,7143,841248,8299,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
