GEO_ID,B19013I_001E,B19013I_001M,NAME,B19013I_001EA,B19013I_001MA,state
0400000US01,37578,4151,Alabama,null,null,01
0400000US02,63954,7966,Alaska,null,null,02
0400000US04,46900,861,Arizona,null,null,04
0400000US05,41107,2812,Arkansas,null,null,05
0400000US06,56151,473,California,null,null,06
0400000US08,51550,1276,Colorado,null,null,08
0400000US09,46324,2163,Connecticut,null,null,09
0400000US10,47160,8294,Delaware,null,null,10
0400000US11,84728,6874,District of Columbia,null,null,11
0400000US12,47257,746,Florida,null,null,12
0400000US13,46144,1795,Georgia,null,null,13
0400000US15,72888,7549,Hawaii,null,null,15
0400000US16,45231,3081,Idaho,null,null,16
0400000US17,53109,1640,Illinois,null,null,17
0400000US18,46767,2055,Indiana,null,null,18
0400000US19,46376,2723,Iowa,null,null,19
0400000US20,45558,1505,Kansas,null,null,20
0400000US21,42069,5130,Kentucky,null,null,21
0400000US22,39465,3553,Louisiana,null,null,22
0400000US23,45250,14736,Maine,null,null,23
0400000US24,71376,3086,Maryland,null,null,24
0400000US25,41995,1771,Massachusetts,null,null,25
0400000US26,46222,2524,Michigan,null,null,26
0400000US27,50866,2173,Minnesota,null,null,27
0400000US28,42861,3788,Mississippi,null,null,28
0400000US29,48564,3558,Missouri,null,null,29
0400000US30,49589,8078,Montana,null,null,30
0400000US31,46646,2800,Nebraska,null,null,31
0400000US32,51866,1606,Nevada,null,null,32
0400000US33,61119,9970,New Hampshire,null,null,33
0400000US34,54482,1950,New Jersey,null,null,34
0400000US35,40189,1682,New Mexico,null,null,35
0400000US36,46751,900,New York,null,null,36
0400000US37,40546,1091,North Carolina,null,null,37
0400000US38,55998,5365,North Dakota,null,null,38
0400000US39,40921,2086,Ohio,null,null,39
0400000US40,43667,3589,Oklahoma,null,null,40
0400000US41,50117,2385,Oregon,null,null,41
0400000US42,39973,2071,Pennsylvania,null,null,42
0400000US44,41123,3928,Rhode Island,null,null,44
0400000US45,40708,3033,South Carolina,null,null,45
0400000US46,41443,3511,South Dakota,null,null,46
0400000US47,41549,1866,Tennessee,null,null,47
0400000US48,46855,485,Texas,null,null,48
0400000US49,47540,2846,Utah,null,null,49
0400000US50,55339,12515,Vermont,null,null,50
0400000US51,65433,3283,Virginia,null,null,51
0400000US53,52212,1997,Washington,null,null,53
0400000US54,49605,9000,West Virginia,null,null,54
0400000US55,42861,2105,Wisconsin,null,null,55
0400000US56,51568,7249,Wyoming,null,null,56
0400000US72,19273,412,Puerto Rico,null,null,72
