GEO_ID,B19215_001E,B19215_001M,B19215_002E,B19215_002M,B19215_003E,B19215_003M,B19215_004E,B19215_004M,B19215_005E,B19215_005M,B19215_006E,B19215_006M,B19215_007E,B19215_007M,B19215_008E,B19215_008M,B19215_009E,B19215_009M,B19215_010E,B19215_010M,B19215_011E,B19215_011M,B19215_012E,B19215_012M,B19215_013E,B19215_013M,B19215_014E,B19215_014M,B19215_015E,B19215_015M,NAME,B19215_001EA,B19215_001MA,B19215_002EA,B19215_002MA,B19215_003MA,B19215_003EA,B19215_004MA,B19215_004EA,B19215_005MA,B19215_005EA,B19215_006MA,B19215_006EA,B19215_007EA,B19215_007MA,B19215_008EA,B19215_008MA,B19215_009MA,B19215_009EA,B19215_010MA,B19215_010EA,B19215_011MA,B19215_011EA,B19215_012EA,B19215_012MA,B19215_013EA,B19215_013MA,B19215_014MA,B19215_014EA,B19215_015MA,B19215_015EA,state
0400000US01,26647,661,32803,1308,30535,963,32105,1224,24703,1545,48789,4934,48212,5819,51061,6375,22152,610,21004,590,21978,902,19986,749,41454,2963,42261,3730,33368,9427,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48441,2656,50176,2503,44985,3972,47203,3566,33498,8069,78089,13665,78291,14653,77667,32717,44709,5368,37375,5088,43780,6646,26339,3366,87087,19715,90501,23994,85281,38449,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36607,698,40613,822,34007,1395,36897,1116,27837,1373,65764,2074,66346,2422,59723,6769,33288,1232,29151,1161,35147,1537,23921,651,60372,3644,60855,4509,59289,4073,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25188,724,29170,1653,26391,1088,27752,2062,23449,1728,43652,3391,43373,3441,50929,28181,22219,696,20420,631,22543,1294,18286,907,43980,7068,43162,5841,52587,8403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,46599,507,53414,1103,43419,1398,50319,631,31347,1164,88154,2429,90735,1503,70732,4594,40288,484,32640,673,43453,1469,25321,591,77800,2272,80438,2206,65998,2636,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44139,1036,49820,1387,41853,1013,45658,1316,31849,1830,74497,3896,75419,3142,63757,6703,38311,1124,32458,1116,37988,2035,26712,1155,70074,3655,70163,3709,67134,18230,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44532,1308,51027,999,44773,1949,49898,1959,33517,2057,89492,6156,90706,6138,77744,18991,39189,1576,34611,1305,41984,1561,27579,1101,78524,4047,79253,4627,71894,7985,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,37458,2414,45037,4526,37482,5450,42233,6623,30790,3805,75829,11876,77271,13592,59691,39571,33634,3148,30218,2485,32252,3184,26720,2005,61687,7463,63043,10890,56297,19235,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68067,3205,76025,6115,56633,7107,62821,10053,32252,8794,158159,17100,158716,17230,143885,157358,63255,2597,56117,3128,62434,3437,32897,7973,111221,6796,114020,6579,73059,25570,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33962,556,39259,849,32864,921,36539,731,26911,836,62826,1819,63953,1778,55434,3510,30259,434,26432,454,31422,555,22839,463,57959,1700,59727,1928,51675,3044,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
