GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,NAME,B21001C_001EA,B21001C_001MA,B21001C_002MA,B21001C_002EA,B21001C_003MA,B21001C_003EA,B21001C_004MA,B21001C_004EA,B21001C_005MA,B21001C_005EA,B21001C_006EA,B21001C_006MA,B21001C_007EA,B21001C_007MA,B21001C_008MA,B21001C_008EA,B21001C_009EA,B21001C_009MA,B21001C_010MA,B21001C_010EA,B21001C_011EA,B21001C_011MA,B21001C_012EA,B21001C_012MA,B21001C_013MA,B21001C_013EA,B21001C_014MA,B21001C_014EA,B21001C_015MA,B21001C_015EA,B21001C_016EA,B21001C_016MA,B21001C_017EA,B21001C_017MA,B21001C_018EA,B21001C_018MA,B21001C_019MA,B21001C_019EA,B21001C_020EA,B21001C_020MA,B21001C_021EA,B21001C_021MA,B21001C_022EA,B21001C_022MA,B21001C_023EA,B21001C_023MA,B21001C_024MA,B21001C_024EA,B21001C_025MA,B21001C_025EA,B21001C_026EA,B21001C_026MA,B21001C_027EA,B21001C_027MA,B21001C_028EA,B21001C_028MA,B21001C_029EA,B21001C_029MA,B21001C_030MA,B21001C_030EA,B21001C_031MA,B21001C_031EA,B21001C_032EA,B21001C_032MA,B21001C_033EA,B21001C_033MA,state
0400000US01,21883,2659,11294,2141,3817,1189,51,65,3766,1193,4065,1280,436,270,3629,1248,1951,739,384,381,1567,638,964,422,505,347,459,277,497,368,323,308,174,196,10589,1616,2917,1069,0,200,2917,1069,3482,964,55,69,3427,954,2536,732,38,58,2498,733,1289,536,0,200,1289,536,365,269,60,105,305,233,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,74487,2514,36064,1388,14724,1276,474,350,14250,1242,11570,976,1015,436,10555,1123,5664,544,521,232,5143,553,2647,394,999,332,1648,299,1459,324,596,162,863,261,38423,1697,15217,1020,181,132,15036,1037,12130,857,191,220,11939,862,5329,592,22,38,5307,588,3661,504,28,33,3633,502,2086,450,0,153,2086,450,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,224967,6056,106716,3508,44592,2371,954,495,43638,2273,36396,1821,2916,792,33480,1798,13857,903,1845,554,12012,794,7523,641,1735,575,5788,650,4348,694,1214,547,3134,452,118251,4034,44648,2182,230,205,44418,2257,39533,2070,310,210,39223,2117,17253,1163,138,112,17115,1167,10470,780,0,208,10470,780,6347,737,0,208,6347,737,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14606,1778,6265,1053,1690,690,103,131,1587,720,2246,729,98,164,2148,708,1378,486,194,178,1184,470,614,282,316,212,298,203,337,287,59,99,278,281,8341,1322,3118,782,0,201,3118,782,2727,761,0,201,2727,761,1341,624,13,23,1328,624,796,398,0,201,796,398,359,327,0,201,359,327,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,238684,10007,120156,6031,40113,3408,1203,596,38910,3499,42480,3248,3312,893,39168,3132,20983,1833,3422,795,17561,1790,10522,1416,4035,818,6487,1192,6058,1032,2938,792,3120,931,118528,5748,34232,3195,607,490,33625,3135,42729,2933,546,367,42183,2926,19564,2071,147,151,19417,2048,14048,1824,0,210,14048,1824,7955,1225,165,245,7790,1197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45354,3578,20622,2027,6779,1505,293,331,6486,1471,8096,1487,950,440,7146,1484,2714,977,981,483,1733,794,2074,783,653,350,1421,767,959,466,500,464,459,310,24732,2798,8045,1548,173,238,7872,1529,9402,1719,252,273,9150,1749,3969,1014,5,12,3964,1014,2502,707,100,114,2402,698,814,400,115,192,699,367,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,7910,1702,4262,1250,1110,730,331,517,779,518,1953,730,524,427,1429,601,854,540,226,227,628,489,345,256,128,106,217,239,0,207,0,207,0,207,3648,957,788,430,0,207,788,430,1091,577,0,207,1091,577,838,453,0,207,838,453,501,328,0,207,501,328,430,335,0,207,430,335,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,49695,5228,26938,3396,7734,1887,273,197,7461,1848,9298,1601,1245,606,8053,1508,5410,1320,1942,668,3468,1054,2861,983,1424,745,1437,667,1635,551,672,481,963,484,22757,2841,5898,1508,0,226,5898,1508,7247,1695,403,286,6844,1600,5195,1357,91,163,5104,1329,2570,742,124,192,2446,734,1847,673,0,226,1847,673,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
