GEO_ID,B22005I_001E,B22005I_001M,B22005I_002E,B22005I_002M,B22005I_003E,B22005I_003M,NAME,B22005I_001EA,B22005I_001MA,B22005I_002MA,B22005I_002EA,B22005I_003MA,B22005I_003EA,state
0400000US01,49012,2831,7985,1446,41027,2555,Alabama,null,null,null,null,null,null,01
0400000US02,15129,1374,1362,556,13767,1397,Alaska,null,null,null,null,null,null,02
0400000US04,589735,7446,115198,4999,474537,8956,Arizona,null,null,null,null,null,null,04
0400000US05,57711,2877,7168,1779,50543,2686,Arkansas,null,null,null,null,null,null,05
0400000US06,3815347,14822,582273,13574,3233074,19259,California,null,null,null,null,null,null,06
0400000US08,345855,5690,53737,4005,292118,6178,Colorado,null,null,null,null,null,null,08
0400000US09,172282,4298,55379,3472,116903,4675,Connecticut,null,null,null,null,null,null,09
0400000US10,23257,1517,3324,931,19933,1585,Delaware,null,null,null,null,null,null,10
0400000US11,21224,2095,2138,703,19086,2134,District of Columbia,null,null,null,null,null,null,11
0400000US12,1586395,13200,384644,10835,1201751,14084,Florida,null,null,null,null,null,null,12
0400000US13,253059,6306,38134,3874,214925,6642,Georgia,null,null,null,null,null,null,13
0400000US15,36909,1964,6245,1152,30664,1882,Hawaii,null,null,null,null,null,null,15
0400000US16,54415,2321,8571,1804,45844,2630,Idaho,null,null,null,null,null,null,16
0400000US17,578402,8345,112746,5225,465656,8712,Illinois,null,null,null,null,null,null,17
0400000US18,121909,4321,16923,2333,104986,4365,Indiana,null,null,null,null,null,null,18
0400000US19,49350,2594,8126,1477,41224,2636,Iowa,null,null,null,null,null,null,19
0400000US20,94128,3077,10041,1778,84087,3672,Kansas,null,null,null,null,null,null,20
0400000US21,42207,2464,8963,1522,33244,2312,Kentucky,null,null,null,null,null,null,21
0400000US22,74511,3113,10524,1743,63987,3228,Louisiana,null,null,null,null,null,null,22
0400000US23,5317,944,1454,592,3863,750,Maine,null,null,null,null,null,null,23
0400000US24,146136,3964,18739,2523,127397,4308,Maryland,null,null,null,null,null,null,24
0400000US25,243668,5143,86119,4756,157549,6017,Massachusetts,null,null,null,null,null,null,25
0400000US26,141060,3542,26325,2636,114735,4148,Michigan,null,null,null,null,null,null,26
0400000US27,71166,2445,12195,1583,58971,2467,Minnesota,null,null,null,null,null,null,27
0400000US28,20733,1901,2753,879,17980,1777,Mississippi,null,null,null,null,null,null,28
0400000US29,69794,3147,7808,1508,61986,3276,Missouri,null,null,null,null,null,null,29
0400000US30,9558,1495,1417,630,8141,1264,Montana,null,null,null,null,null,null,30
0400000US31,57063,2205,8843,1468,48220,2348,Nebraska,null,null,null,null,null,null,31
0400000US32,234676,5168,39214,3017,195462,5659,Nevada,null,null,null,null,null,null,32
0400000US33,13003,1337,2406,911,10597,1594,New Hampshire,null,null,null,null,null,null,33
0400000US34,530766,6720,105970,4943,424796,7603,New Jersey,null,null,null,null,null,null,34
0400000US35,327016,5248,75000,4574,252016,6430,New Mexico,null,null,null,null,null,null,35
0400000US36,1131979,9908,334432,8082,797547,11708,New York,null,null,null,null,null,null,36
0400000US37,249455,5709,40878,3872,208577,5295,North Carolina,null,null,null,null,null,null,37
0400000US38,8035,976,731,436,7304,919,North Dakota,null,null,null,null,null,null,38
0400000US39,128559,4473,30997,2643,97562,3960,Ohio,null,null,null,null,null,null,39
0400000US40,102984,3255,17008,2200,85976,3425,Oklahoma,null,null,null,null,null,null,40
0400000US41,136613,4038,34060,3934,102553,4746,Oregon,null,null,null,null,null,null,41
0400000US42,264893,5924,84113,4240,180780,5304,Pennsylvania,null,null,null,null,null,null,42
0400000US44,47782,2528,18773,1724,29009,2754,Rhode Island,null,null,null,null,null,null,44
0400000US45,75333,3267,12017,1774,63316,3331,South Carolina,null,null,null,null,null,null,45
0400000US46,8244,982,918,640,7326,1137,South Dakota,null,null,null,null,null,null,46
0400000US47,91147,3227,15738,2322,75409,3396,Tennessee,null,null,null,null,null,null,47
0400000US48,3041679,17667,572650,14521,2469029,19678,Texas,null,null,null,null,null,null,48
0400000US49,110402,3376,13048,1965,97354,3010,Utah,null,null,null,null,null,null,49
0400000US50,2723,624,270,179,2453,608,Vermont,null,null,null,null,null,null,50
0400000US51,201686,5426,20471,2437,181215,5438,Virginia,null,null,null,null,null,null,51
0400000US53,246158,4925,54062,3876,192096,5649,Washington,null,null,null,null,null,null,53
0400000US54,5544,1092,1106,525,4438,1018,West Virginia,null,null,null,null,null,null,54
0400000US55,110450,3127,24005,2197,86445,3227,Wisconsin,null,null,null,null,null,null,55
0400000US56,18151,1620,2049,743,16102,1618,Wyoming,null,null,null,null,null,null,56
0400000US72,1179486,10991,449293,10600,730193,12944,Puerto Rico,null,null,null,null,null,null,72
