GEO_ID,B23018_001E,B23018_001M,B23018_002E,B23018_002M,B23018_003E,B23018_003M,NAME,B23018_001MA,B23018_001EA,B23018_002MA,B23018_002EA,B23018_003MA,B23018_003EA,state
0400000US01,84574873,637625,46729678,414118,37845195,424986,Alabama,null,null,null,null,null,null,01
0400000US02,16118274,231624,9719351,186897,6398923,119616,Alaska,null,null,null,null,null,null,02
0400000US04,125270563,646402,70095579,459672,55174984,557610,Arizona,null,null,null,null,null,null,04
0400000US05,52981362,486707,29038023,385698,23943339,329652,Arkansas,null,null,null,null,null,null,05
0400000US06,740986767,1781631,420173498,1064852,320813269,1283813,California,null,null,null,null,null,null,06
0400000US08,118385356,615619,67358266,438207,51027090,396112,Colorado,null,null,null,null,null,null,08
0400000US09,70298952,517561,38528406,341312,31770546,385159,Connecticut,null,null,null,null,null,null,09
0400000US10,17238763,230355,9269198,137287,7969565,176389,Delaware,null,null,null,null,null,null,10
0400000US11,15987352,262041,7993131,193652,7994221,179442,District of Columbia,null,null,null,null,null,null,11
0400000US12,373999081,1333602,204199802,866025,169799279,836691,Florida,null,null,null,null,null,null,12
0400000US13,200590203,1006865,109705601,662544,90884602,720756,Georgia,null,null,null,null,null,null,13
0400000US15,27780562,286573,15689960,203991,12090602,188300,Hawaii,null,null,null,null,null,null,15
0400000US16,31732560,370684,18726155,288785,13006405,257428,Idaho,null,null,null,null,null,null,16
0400000US17,248152366,988562,137364672,633224,110787694,652570,Illinois,null,null,null,null,null,null,17
0400000US18,128647223,682726,71683186,483183,56964037,456986,Indiana,null,null,null,null,null,null,18
0400000US19,64694833,367739,36175974,249420,28518859,281229,Iowa,null,null,null,null,null,null,19
0400000US20,58714705,359106,33459604,270025,25255101,258325,Kansas,null,null,null,null,null,null,20
0400000US21,81061529,528124,44738805,377806,36322724,351469,Kentucky,null,null,null,null,null,null,21
0400000US22,83645301,768475,45984459,521436,37660842,479415,Louisiana,null,null,null,null,null,null,22
0400000US23,26276422,281527,14244165,198605,12032257,181814,Maine,null,null,null,null,null,null,23
0400000US24,123331168,559449,65457731,395649,57873437,492229,Maryland,null,null,null,null,null,null,24
0400000US25,140299998,758257,76344099,512480,63955899,467986,Massachusetts,null,null,null,null,null,null,25
0400000US26,187308304,776690,104436313,503316,82871991,526802,Michigan,null,null,null,null,null,null,26
0400000US27,116122422,541598,64159695,337883,51962727,361287,Minnesota,null,null,null,null,null,null,27
0400000US28,50552310,520329,27259356,386168,23292954,341614,Mississippi,null,null,null,null,null,null,28
0400000US29,117613942,579571,64081674,463777,53532268,372979,Missouri,null,null,null,null,null,null,29
0400000US30,20394663,249359,11412717,183217,8981946,146658,Montana,null,null,null,null,null,null,30
0400000US31,40103103,273679,22637874,200701,17465229,182731,Nebraska,null,null,null,null,null,null,31
0400000US32,57316173,476220,32354523,333932,24961650,284362,Nevada,null,null,null,null,null,null,32
0400000US33,28404030,242447,15707111,172145,12696919,181437,New Hampshire,null,null,null,null,null,null,33
0400000US34,175511646,747396,96980501,518242,78531145,515654,New Jersey,null,null,null,null,null,null,34
0400000US35,34828739,446687,19161331,360905,15667408,256162,New Mexico,null,null,null,null,null,null,35
0400000US36,379205602,1248764,205766732,837094,173438870,840160,New York,null,null,null,null,null,null,36
0400000US37,196557482,1033256,107758433,685286,88799049,590182,North Carolina,null,null,null,null,null,null,37
0400000US38,16999546,156906,10035318,116677,6964228,135137,North Dakota,null,null,null,null,null,null,38
0400000US39,222414229,810196,122087577,570550,100326652,607292,Ohio,null,null,null,null,null,null,39
0400000US40,72492332,448097,40816949,319621,31675383,281711,Oklahoma,null,null,null,null,null,null,40
0400000US41,78457667,521788,43549016,358636,34908651,354941,Oregon,null,null,null,null,null,null,41
0400000US42,246093895,882598,136143616,558990,109950279,652844,Pennsylvania,null,null,null,null,null,null,42
0400000US44,21039751,257428,11450262,191050,9589489,186409,Rhode Island,null,null,null,null,null,null,44
0400000US45,92377418,664939,49743481,433243,42633937,420436,South Carolina,null,null,null,null,null,null,45
0400000US46,17912943,195066,10247962,139188,7664981,139276,South Dakota,null,null,null,null,null,null,46
0400000US47,127072098,691678,69620492,462196,57451606,545441,Tennessee,null,null,null,null,null,null,47
0400000US48,547861616,1543446,313791069,1048650,234070547,1171566,Texas,null,null,null,null,null,null,48
0400000US49,58282126,399873,34731475,284334,23550651,279676,Utah,null,null,null,null,null,null,49
0400000US50,12688149,199845,6787257,135735,5900892,151511,Vermont,null,null,null,null,null,null,50
0400000US51,171929926,817786,94798299,511967,77131627,618599,Virginia,null,null,null,null,null,null,51
0400000US53,147083275,736252,83832150,465405,63251125,498213,Washington,null,null,null,null,null,null,53
0400000US54,29461378,396366,16587898,271117,12873480,233685,West Virginia,null,null,null,null,null,null,54
0400000US55,119101590,515045,65952371,393753,53149219,302943,Wisconsin,null,null,null,null,null,null,55
0400000US56,11904065,205032,6908476,141626,4995589,140381,Wyoming,null,null,null,null,null,null,56
0400000US72,36787592,619889,19688179,383600,17099413,378708,Puerto Rico,null,null,null,null,null,null,72
