GEO_ID,C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,NAME,C01001C_001EA,C01001C_001MA,C01001C_002MA,C01001C_002EA,C01001C_003EA,C01001C_003MA,C01001C_004MA,C01001C_004EA,C01001C_005MA,C01001C_005EA,C01001C_006MA,C01001C_006EA,C01001C_007EA,C01001C_007MA,C01001C_008MA,C01001C_008EA,C01001C_009MA,C01001C_009EA,state
0400000US01,25181,3067,12445,2142,1138,531,9846,2106,1461,589,12736,1990,2147,811,8935,1547,1654,602,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,109948,4628,53970,2134,17906,1337,31958,1386,4106,406,55978,3065,17536,2064,32695,1673,5747,503,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,317974,8724,154553,4763,47783,2999,94899,3306,11871,771,163421,5514,45170,2653,101434,3569,16817,1031,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19110,2399,8559,1611,2294,896,5314,965,951,384,10551,1560,2210,804,7186,1257,1155,495,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,313859,12442,158113,7133,37187,3483,104346,5419,16580,1873,155746,7024,36947,3278,96796,4975,22003,2344,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,56792,4293,27594,2558,6721,1286,17840,1902,3033,883,29198,3185,4466,949,21416,2600,3316,846,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,11268,2350,5985,1689,1384,702,4256,1245,345,256,5283,1338,1635,663,2717,780,931,483,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2729,778,1284,458,216,192,995,380,73,78,1445,589,60,93,1221,531,164,155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1690,463,602,302,30,54,502,308,70,114,1088,400,265,210,441,310,382,226,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,63635,6958,34379,4284,7317,2091,22566,3267,4496,1137,29256,3716,6331,1842,18508,2625,4417,1000,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36855,4978,18839,3027,4572,1650,12628,1901,1639,740,18016,2766,4846,1382,11766,1891,1404,624,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2661,899,1497,623,18,38,1370,620,109,164,1164,482,216,189,771,415,177,169,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21589,2376,10802,1527,2684,762,6850,1224,1268,431,10787,1520,2680,742,7092,1267,1015,374,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29910,4796,15607,2808,1946,715,12044,2401,1617,613,14303,2527,3406,1057,8943,1650,1954,606,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,12397,1742,6485,1069,831,390,4586,945,1068,488,5912,1255,1291,497,3610,974,1011,500,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10791,2128,5825,1474,1966,964,3318,936,541,378,4966,1131,1571,519,3159,805,236,147,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21426,2982,10473,1931,2554,1026,7088,1214,831,339,10953,1793,1983,715,7619,1344,1351,511,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,7777,1749,3574,1063,478,389,2544,828,552,575,4203,1142,987,565,2600,929,616,388,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23848,2438,11513,1583,2578,873,7262,1182,1673,476,12335,1743,2942,929,7819,1108,1574,681,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,9340,1227,4725,683,1545,525,2492,465,688,326,4615,875,1094,305,2896,619,625,290,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,18931,3269,9602,2118,2711,1129,5585,1329,1306,571,9329,1743,1618,733,6350,1398,1361,471,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,15097,2882,8239,2015,2777,1179,4713,1206,749,446,6858,1604,1933,708,4276,1035,649,402,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53461,3852,26827,2463,6202,1184,18270,1905,2355,520,26634,2361,5819,946,17505,1765,3310,666,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,60803,3655,31365,2244,10834,1265,18616,1629,1915,445,29438,2205,8705,1108,18546,1508,2187,466,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,13746,2245,7190,1350,2671,1078,4056,693,463,352,6556,1341,1740,766,4265,892,551,301,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,25567,3166,11841,1756,2525,767,7744,1471,1572,540,13726,2375,2881,955,9308,1846,1537,598,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,64908,3142,31570,1778,11456,1027,17675,1099,2439,557,33338,1934,11371,1001,19103,1390,2864,443,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15619,1744,8081,1057,2937,668,4718,692,426,213,7538,1049,2259,491,4934,867,345,145,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,37910,3411,18563,1845,4646,1078,12396,1431,1521,481,19347,2060,4691,1012,12257,1471,2399,443,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
