GEO_ID,C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,NAME,C15002F_001EA,C15002F_001MA,C15002F_002MA,C15002F_002EA,C15002F_003MA,C15002F_003EA,C15002F_004EA,C15002F_004MA,C15002F_005EA,C15002F_005MA,C15002F_006EA,C15002F_006MA,C15002F_007MA,C15002F_007EA,C15002F_008MA,C15002F_008EA,C15002F_009EA,C15002F_009MA,C15002F_010EA,C15002F_010MA,C15002F_011EA,C15002F_011MA,state
0400000US01,32645,3897,17246,2473,7510,1311,6375,1788,2463,1014,898,613,15399,2616,6630,1227,4130,1224,2377,998,2262,916,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8195,1602,4810,953,1159,627,1278,590,2103,817,270,213,3385,1002,291,241,627,411,1847,921,620,431,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,249829,10423,128864,6056,46797,4303,39800,3707,30705,3314,11562,1869,120965,6011,38560,3409,37179,3376,30710,2923,14516,2136,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44954,4241,23852,2765,12562,2219,6203,1515,3064,1138,2023,894,21102,2186,11002,1655,5064,1429,3432,921,1604,731,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3492458,37447,1772912,22806,698837,16813,521981,13946,392201,12002,159893,8199,1719546,20581,669604,12031,456715,11649,401515,12451,191712,7966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,130641,6821,66654,4214,19266,2274,22602,2789,16652,2443,8134,1716,63987,3953,20385,2470,19240,2437,14392,1875,9970,1569,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115463,7992,57836,4907,20348,2794,22791,3280,9520,2165,5177,1171,57627,4391,18315,2462,19002,3252,13744,2326,6566,1440,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9895,2064,5366,1291,2465,963,1493,676,1063,621,345,245,4529,1090,1346,579,1470,629,988,602,725,361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,23645,2942,12741,1897,6539,1749,1852,857,1121,729,3229,1047,10904,1485,5414,1134,1813,720,1163,664,2514,987,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,384651,17550,195739,9747,50355,6023,57983,5724,54899,4547,32502,4250,188912,10627,37072,4149,51379,5633,59783,5473,40678,4912,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,144346,9972,78085,6431,37155,4948,23751,3128,8302,1713,8877,2162,66261,5299,28041,3563,16322,2382,11540,2194,10358,2240,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12490,1885,6445,1292,1131,594,1668,654,2271,923,1375,761,6045,1135,287,223,1352,513,2440,933,1966,710,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31857,3797,16460,2523,6303,1579,5012,1478,4142,1324,1003,644,15397,2200,7200,1734,3008,974,4154,1242,1035,532,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,452592,14561,237280,7983,98639,6034,73557,4743,43759,4097,21325,2624,215312,8068,86245,5569,61855,4046,44233,4488,22979,2752,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,68119,4657,35825,2869,13056,1935,12771,1833,6545,1334,3453,1228,32294,2596,11214,1741,9854,1867,6916,1595,4310,2184,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21881,3401,11852,2358,6202,1470,2979,974,1613,682,1058,577,10029,1694,4226,1176,1988,648,2654,944,1161,559,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,39777,3736,22102,2221,9544,1707,7686,1539,2843,805,2029,805,17675,2112,7327,1343,4266,1083,4020,1048,2062,739,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21560,3069,13206,1936,4728,1033,3384,1031,3040,884,2054,956,8354,1663,3027,912,2170,827,1231,754,1926,682,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,42327,4296,23430,2775,9955,1906,5888,1531,5050,1352,2537,907,18897,2298,6093,1532,6142,1621,3923,901,2739,836,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,168529,7443,91504,4549,44930,3658,24485,2985,12475,1889,9614,1882,77025,3989,33588,2962,17372,2532,14223,1829,11842,1713,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,157226,9066,79694,5578,24532,3458,30276,3115,16194,2666,8692,1836,77532,5113,21586,2856,23707,2536,19368,3190,12871,1648,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,63465,4404,31109,2633,12156,1844,8161,1420,6263,1068,4529,967,32356,2625,11277,1855,9691,1476,6529,1068,4859,1022,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,59619,4128,33162,2399,15585,2110,7336,1458,6590,1529,3651,1019,26457,2403,12029,1993,6311,1304,4806,1110,3311,884,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,15135,2254,9776,1687,4704,1058,2889,1000,1015,513,1168,756,5359,1192,2226,700,1370,534,707,372,1056,640,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40876,3942,20992,2522,7537,1759,6697,1707,4216,989,2542,819,19884,2197,6697,1432,5863,1296,3903,1175,3421,1152,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4042,1264,2261,905,917,478,675,457,374,369,295,404,1781,667,869,486,183,208,331,227,398,308,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,18396,2406,10234,1559,4512,1186,3225,993,1943,746,554,300,8162,1382,4247,1061,2188,777,899,373,828,512,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,196953,9783,97532,5034,40143,3603,32982,3492,17135,2543,7272,1574,99421,6009,37328,3434,32242,3792,21893,3175,7958,1768,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
