GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001MA,C17017_001EA,C17017_002MA,C17017_002EA,C17017_003EA,C17017_003MA,C17017_004EA,C17017_004MA,C17017_005EA,C17017_005MA,C17017_006MA,C17017_006EA,C17017_007MA,C17017_007EA,C17017_008EA,C17017_008MA,C17017_009EA,C17017_009MA,C17017_010EA,C17017_010MA,C17017_011MA,C17017_011EA,C17017_012MA,C17017_012EA,C17017_013EA,C17017_013MA,C17017_014EA,C17017_014MA,C17017_015EA,C17017_015MA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019EA,C17017_019MA,state
0400000US01,1841665,12421,304233,8659,154370,6386,46628,2879,107742,5689,12997,1904,94745,5195,149863,6511,58263,3781,91600,4581,1537432,13626,1049319,13531,810346,11402,238973,8210,64559,3977,174414,6972,488113,11591,236194,8024,251919,8046,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,23464,2350,12388,1464,5212,876,7176,1230,2056,670,5120,1123,11076,1919,5081,983,5995,1523,227277,3239,155013,3917,118613,4050,36400,2549,12946,1688,23454,2079,72264,2841,41513,2400,30751,1847,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,346204,9840,176062,6641,74404,4198,101658,5296,21609,2410,80049,4515,170142,6661,79054,4004,91088,5467,2206768,14224,1476263,14537,1132114,14104,344149,9644,116465,6113,227684,7610,730505,11828,356511,9185,373994,7862,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,188965,6238,87890,4894,31694,2922,56196,3862,8966,1471,47230,3488,101075,5125,44384,3788,56691,3677,964117,8981,666809,11484,521158,9536,145651,6741,44835,3793,100816,5019,297308,8122,144016,6193,153292,5460,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,1623414,23032,858067,15922,373259,9802,484808,12165,98151,5701,386657,9764,765347,14606,313515,9352,451832,11253,11381683,27531,8052550,26039,6073706,28866,1978844,20951,675061,15412,1303783,17677,3329133,24030,1629149,17999,1699984,17305,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,218336,6885,91960,4848,38461,3259,53499,4065,9483,1794,44016,3823,126376,4976,54976,3406,71400,4353,1920871,10143,1274847,10110,1023853,11173,250994,6370,91058,4575,159936,5822,646024,9019,325979,7043,320045,7407,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,127576,6219,55756,4613,17623,1988,38133,3858,5613,1375,32520,3518,71820,4456,29369,3111,42451,2952,1229186,7577,821537,8644,631938,8173,189599,7241,55704,3805,133895,5727,407649,8450,186071,7377,221578,6754,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,46208,3052,21665,2390,9611,1790,12054,1765,2402,945,9652,1519,24543,2279,9274,1520,15269,1956,311729,4592,214130,5465,167336,5179,46794,3453,14114,1743,32680,3052,97599,4780,42440,3032,55159,3435,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,41997,3500,15929,1763,2406,868,13523,1678,1628,658,11895,1619,26068,3000,9669,1450,16399,2305,239478,3938,103428,3668,68170,3209,35258,2731,8363,1370,26895,2298,136050,4166,62759,3223,73291,3575,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,1035110,17502,499029,11818,213722,7908,285307,9019,50716,3727,234591,8437,536081,11466,221083,7727,314998,10342,6654854,26960,4444477,28838,3374573,27825,1069904,19401,326912,10597,742992,15642,2210377,22485,1039151,16415,1171226,17275,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
