GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002EA,C27001I_002MA,C27001I_003MA,C27001I_003EA,C27001I_004MA,C27001I_004EA,C27001I_005EA,C27001I_005MA,C27001I_006EA,C27001I_006MA,C27001I_007EA,C27001I_007MA,C27001I_008MA,C27001I_008EA,C27001I_009MA,C27001I_009EA,C27001I_010MA,C27001I_010EA,state
0400000US01,198665,2218,84308,2121,78783,2740,5525,1484,106179,2248,59449,4087,46730,3937,8178,1498,7697,1436,481,393,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48224,1139,18828,574,16063,2169,2765,2338,26777,1554,23124,1767,3653,1121,2619,770,2558,779,61,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2160825,2666,762751,2348,689733,7427,73018,7172,1250105,3435,975989,10028,274116,9636,147969,1022,143607,1478,4362,1083,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,222081,1473,92854,1580,84231,2789,8623,2284,120845,1963,80957,4659,39888,4352,8382,1521,8033,1462,349,333,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15315902,5173,4971665,6820,4785416,11114,186249,9962,9260055,8901,7704968,27018,1555087,25068,1084182,2184,1054907,3308,29275,3289,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1188460,1726,415703,2265,389591,4873,26112,4245,693672,3010,546965,9365,146707,9367,79085,1389,76353,1405,2732,1307,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,572394,858,189084,1589,178755,3465,10329,2951,348304,2056,281998,6118,66306,5665,35006,906,33693,1434,1313,1148,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88756,275,33938,823,31248,1571,2690,1391,50566,1056,37417,2819,13149,2812,4252,587,3821,741,431,322,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75470,400,22051,546,21930,588,121,210,49013,749,41868,1942,7145,1972,4406,72,4201,309,205,309,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5319667,2875,1384813,4604,1262114,11309,122699,10092,3303915,5813,2420907,24602,883008,23625,630939,2610,610923,3652,20016,2777,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
