GEO_ID,B01002B_001E,B01002B_001M,B01002B_002E,B01002B_002M,B01002B_003E,B01002B_003M,NAME,B01002B_001MA,B01002B_001EA,B01002B_002MA,B01002B_002EA,B01002B_003MA,B01002B_003EA,state
0400000US08,32.9,0.7,33.0,0.8,32.7,1.2,Colorado,null,null,null,null,null,null,08
0400000US18,31.8,0.4,30.0,0.6,33.7,0.7,Indiana,null,null,null,null,null,null,18
0400000US21,34.1,0.7,32.9,0.8,35.3,0.9,Kentucky,null,null,null,null,null,null,21
0400000US22,33.5,0.3,31.6,0.3,35.3,0.4,Louisiana,null,null,null,null,null,null,22
0400000US17,35.2,0.2,32.6,0.3,37.3,0.4,Illinois,null,null,null,null,null,null,17
0400000US19,26.2,1.4,25.8,1.8,26.9,1.7,Iowa,null,null,null,null,null,null,19
0400000US33,29.5,2.2,31.2,3.6,23.9,3.3,New Hampshire,null,null,null,null,null,null,33
0400000US05,33.3,0.5,30.7,0.7,34.8,0.5,Arkansas,null,null,null,null,null,null,05
0400000US10,35.2,0.4,31.8,1.2,36.6,1.3,Delaware,null,null,null,null,null,null,10
0400000US27,27.4,0.5,26.7,0.6,28.1,0.6,Minnesota,null,null,null,null,null,null,27
0400000US30,27.8,4.2,26.8,2.3,33.1,11.4,Montana,null,null,null,null,null,null,30
0400000US23,28.0,3.7,30.0,2.4,22.5,5.3,Maine,null,null,null,null,null,null,23
0400000US37,36.0,0.3,33.6,0.5,38.3,0.3,North Carolina,null,null,null,null,null,null,37
0400000US13,34.2,0.2,31.9,0.3,35.8,0.3,Georgia,null,null,null,null,null,null,13
0400000US02,35.1,4.9,35.3,7.3,35.0,5.2,Alaska,null,null,null,null,null,null,02
0400000US01,34.8,0.3,32.2,0.5,37.0,0.6,Alabama,null,null,null,null,null,null,01
0400000US50,27.9,4.0,30.1,9.3,25.6,5.7,Vermont,null,null,null,null,null,null,50
0400000US32,33.6,0.8,33.1,0.8,34.3,0.9,Nevada,null,null,null,null,null,null,32
0400000US54,38.8,2.7,37.9,3.5,39.4,4.1,West Virginia,null,null,null,null,null,null,54
0400000US40,32.2,0.9,31.5,0.9,33.1,1.2,Oklahoma,null,null,null,null,null,null,40
0400000US55,29.3,0.4,27.5,0.5,31.3,0.7,Wisconsin,null,null,null,null,null,null,55
0400000US72,43.8,1.1,42.4,1.7,45.2,1.6,Puerto Rico,null,null,null,null,null,null,72
0400000US51,36.3,0.3,34.5,0.3,38.0,0.5,Virginia,null,null,null,null,null,null,51
0400000US38,26.5,4.0,23.3,6.6,28.8,4.5,North Dakota,null,null,null,null,null,null,38
0400000US45,35.9,0.3,33.3,0.6,38.0,0.4,South Carolina,null,null,null,null,null,null,45
0400000US41,32.7,1.4,32.4,2.5,33.0,1.5,Oregon,null,null,null,null,null,null,41
0400000US56,49.4,16.6,51.5,12.4,41.3,18.1,Wyoming,null,null,null,null,null,null,56
0400000US06,36.3,0.3,34.8,0.3,38.2,0.4,California,null,null,null,null,null,null,06
0400000US28,33.9,0.4,31.8,0.6,35.4,0.4,Mississippi,null,null,null,null,null,null,28
0400000US09,34.6,0.5,32.5,0.9,36.5,0.8,Connecticut,null,null,null,null,null,null,09
0400000US48,33.2,0.2,31.6,0.3,34.6,0.3,Texas,null,null,null,null,null,null,48
0400000US24,37.0,0.3,35.0,0.3,38.8,0.4,Maryland,null,null,null,null,null,null,24
0400000US12,33.9,0.3,32.3,0.3,35.6,0.3,Florida,null,null,null,null,null,null,12
0400000US25,32.8,0.4,31.6,0.5,34.1,0.6,Massachusetts,null,null,null,null,null,null,25
0400000US11,36.4,0.4,34.7,0.4,37.9,0.7,District of Columbia,null,null,null,null,null,null,11
0400000US49,23.6,1.6,25.5,2.0,22.2,1.9,Utah,null,null,null,null,null,null,49
0400000US36,36.3,0.2,33.9,0.3,38.6,0.3,New York,null,null,null,null,null,null,36
0400000US34,36.4,0.4,34.4,0.4,38.6,0.5,New Jersey,null,null,null,null,null,null,34
0400000US39,34.1,0.5,32.4,0.6,35.9,0.4,Ohio,null,null,null,null,null,null,39
0400000US29,33.5,0.4,31.3,0.6,35.7,0.7,Missouri,null,null,null,null,null,null,29
0400000US42,33.1,0.4,31.4,0.5,35.2,0.4,Pennsylvania,null,null,null,null,null,null,42
0400000US26,34.0,0.3,31.4,0.4,36.5,0.4,Michigan,null,null,null,null,null,null,26
0400000US31,31.0,1.7,30.2,2.5,31.3,1.4,Nebraska,null,null,null,null,null,null,31
0400000US16,28.1,5.0,29.2,9.2,21.3,5.7,Idaho,null,null,null,null,null,null,16
0400000US35,34.4,3.4,34.7,4.3,33.5,5.5,New Mexico,null,null,null,null,null,null,35
0400000US15,29.8,1.3,29.0,1.5,31.3,0.9,Hawaii,null,null,null,null,null,null,15
0400000US46,26.2,2.9,28.6,2.2,21.8,3.3,South Dakota,null,null,null,null,null,null,46
0400000US53,32.4,0.6,33.3,1.2,31.1,0.9,Washington,null,null,null,null,null,null,53
0400000US44,30.1,1.8,29.8,1.2,31.6,2.9,Rhode Island,null,null,null,null,null,null,44
0400000US04,31.8,0.7,30.9,0.9,32.4,0.6,Arizona,null,null,null,null,null,null,04
0400000US47,33.6,0.5,31.2,0.7,35.6,0.4,Tennessee,null,null,null,null,null,null,47
0400000US20,31.4,1.3,30.1,1.1,33.3,1.5,Kansas,null,null,null,null,null,null,20
