GEO_ID,B08126_001E,B08126_001M,B08126_002E,B08126_002M,B08126_003E,B08126_003M,B08126_004E,B08126_004M,B08126_005E,B08126_005M,B08126_006E,B08126_006M,B08126_007E,B08126_007M,B08126_008E,B08126_008M,B08126_009E,B08126_009M,B08126_010E,B08126_010M,B08126_011E,B08126_011M,B08126_012E,B08126_012M,B08126_013E,B08126_013M,B08126_014E,B08126_014M,B08126_015E,B08126_015M,B08126_016E,B08126_016M,B08126_017E,B08126_017M,B08126_018E,B08126_018M,B08126_019E,B08126_019M,B08126_020E,B08126_020M,B08126_021E,B08126_021M,B08126_022E,B08126_022M,B08126_023E,B08126_023M,B08126_024E,B08126_024M,B08126_025E,B08126_025M,B08126_026E,B08126_026M,B08126_027E,B08126_027M,B08126_028E,B08126_028M,B08126_029E,B08126_029M,B08126_030E,B08126_030M,B08126_031E,B08126_031M,B08126_032E,B08126_032M,B08126_033E,B08126_033M,B08126_034E,B08126_034M,B08126_035E,B08126_035M,B08126_036E,B08126_036M,B08126_037E,B08126_037M,B08126_038E,B08126_038M,B08126_039E,B08126_039M,B08126_040E,B08126_040M,B08126_041E,B08126_041M,B08126_042E,B08126_042M,B08126_043E,B08126_043M,B08126_044E,B08126_044M,B08126_045E,B08126_045M,B08126_046E,B08126_046M,B08126_047E,B08126_047M,B08126_048E,B08126_048M,B08126_049E,B08126_049M,B08126_050E,B08126_050M,B08126_051E,B08126_051M,B08126_052E,B08126_052M,B08126_053E,B08126_053M,B08126_054E,B08126_054M,B08126_055E,B08126_055M,B08126_056E,B08126_056M,B08126_057E,B08126_057M,B08126_058E,B08126_058M,B08126_059E,B08126_059M,B08126_060E,B08126_060M,B08126_061E,B08126_061M,B08126_062E,B08126_062M,B08126_063E,B08126_063M,B08126_064E,B08126_064M,B08126_065E,B08126_065M,B08126_066E,B08126_066M,B08126_067E,B08126_067M,B08126_068E,B08126_068M,B08126_069E,B08126_069M,B08126_070E,B08126_070M,B08126_071E,B08126_071M,B08126_072E,B08126_072M,B08126_073E,B08126_073M,B08126_074E,B08126_074M,B08126_075E,B08126_075M,B08126_076E,B08126_076M,B08126_077E,B08126_077M,B08126_078E,B08126_078M,B08126_079E,B08126_079M,B08126_080E,B08126_080M,B08126_081E,B08126_081M,B08126_082E,B08126_082M,B08126_083E,B08126_083M,B08126_084E,B08126_084M,B08126_085E,B08126_085M,B08126_086E,B08126_086M,B08126_087E,B08126_087M,B08126_088E,B08126_088M,B08126_089E,B08126_089M,B08126_090E,B08126_090M,B08126_091E,B08126_091M,B08126_092E,B08126_092M,B08126_093E,B08126_093M,B08126_094E,B08126_094M,B08126_095E,B08126_095M,B08126_096E,B08126_096M,B08126_097E,B08126_097M,B08126_098E,B08126_098M,B08126_099E,B08126_099M,B08126_100E,B08126_100M,B08126_101E,B08126_101M,B08126_102E,B08126_102M,B08126_103E,B08126_103M,B08126_104E,B08126_104M,B08126_105E,B08126_105M,NAME,B08126_001MA,B08126_001EA,B08126_002MA,B08126_002EA,B08126_003MA,B08126_003EA,B08126_004MA,B08126_004EA,B08126_005MA,B08126_005EA,B08126_006MA,B08126_006EA,B08126_007MA,B08126_007EA,B08126_008EA,B08126_008MA,B08126_009MA,B08126_009EA,B08126_010MA,B08126_010EA,B08126_011MA,B08126_011EA,B08126_012MA,B08126_012EA,B08126_013MA,B08126_013EA,B08126_014MA,B08126_014EA,B08126_015MA,B08126_015EA,B08126_016MA,B08126_016EA,B08126_017MA,B08126_017EA,B08126_018MA,B08126_018EA,B08126_019EA,B08126_019MA,B08126_020MA,B08126_020EA,B08126_021MA,B08126_021EA,B08126_022MA,B08126_022EA,B08126_023MA,B08126_023EA,B08126_024MA,B08126_024EA,B08126_025MA,B08126_025EA,B08126_026MA,B08126_026EA,B08126_027MA,B08126_027EA,B08126_028MA,B08126_028EA,B08126_029MA,B08126_029EA,B08126_030MA,B08126_030EA,B08126_031MA,B08126_031EA,B08126_032MA,B08126_032EA,B08126_033MA,B08126_033EA,B08126_034MA,B08126_034EA,B08126_035MA,B08126_035EA,B08126_036MA,B08126_036EA,B08126_037MA,B08126_037EA,B08126_038MA,B08126_038EA,B08126_039MA,B08126_039EA,B08126_040MA,B08126_040EA,B08126_041EA,B08126_041MA,B08126_042MA,B08126_042EA,B08126_043MA,B08126_043EA,B08126_044MA,B08126_044EA,B08126_045MA,B08126_045EA,B08126_046MA,B08126_046EA,B08126_047MA,B08126_047EA,B08126_048MA,B08126_048EA,B08126_049MA,B08126_049EA,B08126_050MA,B08126_050EA,B08126_051MA,B08126_051EA,B08126_052EA,B08126_052MA,B08126_053MA,B08126_053EA,B08126_054MA,B08126_054EA,B08126_055MA,B08126_055EA,B08126_056MA,B08126_056EA,B08126_057MA,B08126_057EA,B08126_058MA,B08126_058EA,B08126_059MA,B08126_059EA,B08126_060MA,B08126_060EA,B08126_061MA,B08126_061EA,B08126_062MA,B08126_062EA,B08126_063EA,B08126_063MA,B08126_064MA,B08126_064EA,B08126_065MA,B08126_065EA,B08126_066MA,B08126_066EA,B08126_067MA,B08126_067EA,B08126_068MA,B08126_068EA,B08126_069MA,B08126_069EA,B08126_070MA,B08126_070EA,B08126_071MA,B08126_071EA,B08126_072MA,B08126_072EA,B08126_073MA,B08126_073EA,B08126_074EA,B08126_074MA,B08126_075MA,B08126_075EA,B08126_076MA,B08126_076EA,B08126_077MA,B08126_077EA,B08126_078MA,B08126_078EA,B08126_079MA,B08126_079EA,B08126_080MA,B08126_080EA,B08126_081MA,B08126_081EA,B08126_082MA,B08126_082EA,B08126_083MA,B08126_083EA,B08126_084MA,B08126_084EA,B08126_085EA,B08126_085MA,B08126_086MA,B08126_086EA,B08126_087MA,B08126_087EA,B08126_088MA,B08126_088EA,B08126_089MA,B08126_089EA,B08126_090MA,B08126_090EA,B08126_091MA,B08126_091EA,B08126_092MA,B08126_092EA,B08126_093MA,B08126_093EA,B08126_094MA,B08126_094EA,B08126_095MA,B08126_095EA,B08126_096EA,B08126_096MA,B08126_097MA,B08126_097EA,B08126_098MA,B08126_098EA,B08126_099MA,B08126_099EA,B08126_100MA,B08126_100EA,B08126_101MA,B08126_101EA,B08126_102MA,B08126_102EA,B08126_103MA,B08126_103EA,B08126_104MA,B08126_104EA,B08126_105MA,B08126_105EA,state
0400000US08,2963212,17754,66050,4579,239660,9662,192173,7859,67235,4393,324622,10405,138610,5731,81671,4492,207032,7482,412345,11597,611857,10972,307260,10522,141157,6864,140477,6671,33063,2086,2220259,19615,47300,3742,180078,7808,149559,6886,51829,3981,249761,8385,114022,5191,60375,4129,151358,5765,269550,9689,481055,9906,223928,8440,105712,5412,114189,6557,21543,1829,253437,10333,6967,1885,35269,3150,16175,2565,4807,1088,30457,3624,9578,2033,3885,897,13286,2217,34509,3487,46489,3531,28255,3311,11941,1767,9898,1852,1921,731,81665,5061,2060,813,3031,1070,4221,1149,1590,660,7795,1597,3217,798,2171,740,6642,1365,13998,2219,12754,1912,14672,2774,2917,1089,6597,1596,0,204,88231,5517,1496,626,2490,808,2996,876,1123,508,11782,1760,850,436,1403,535,3786,854,9657,2040,19493,2340,17174,2596,4871,1273,2171,757,8939,960,66100,4306,996,569,3352,1019,3490,1144,416,283,7966,1591,5503,1334,2773,1045,2054,614,11108,1637,13601,1828,9339,1586,2283,668,3074,908,145,160,253520,8712,7231,1711,15440,2942,15732,2054,7470,1307,16861,2291,5440,1288,11064,1713,29906,2727,73523,4256,38465,3341,13892,2014,13433,1883,4548,1311,515,614,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3175022,18082,40199,3399,192916,7549,619941,11755,75058,5868,346771,10278,173854,6930,41622,3444,170709,7136,264647,8611,713636,14062,271982,9667,146941,5794,113058,5904,3688,1085,2631206,20103,28941,2778,159971,6559,520451,10419,66086,5472,289840,9321,150455,6383,32149,3095,141520,6197,208436,7894,601395,12058,209739,8818,119663,5689,99456,5455,3104,1033,282715,9460,3453,1150,22451,3034,67212,4282,4659,1098,33301,3288,12103,2310,3395,1140,9338,1515,19638,2401,55786,3891,30675,2731,11138,1623,9405,1858,161,197,29453,3251,260,286,850,511,2957,901,617,557,3595,1006,1068,521,264,260,1578,600,3354,779,7498,1539,5623,1534,933,530,856,426,0,198,61795,3677,1716,746,1631,765,5301,1052,467,364,6014,1365,1316,489,1108,482,2759,941,4130,1027,18840,2123,12707,1679,4855,1123,891,382,60,101,47568,4380,604,314,2307,788,11485,1829,426,279,6075,1608,4632,1372,656,324,1233,690,3508,939,6557,1246,7643,1561,1883,850,465,281,94,114,122285,5492,5225,1464,5706,1231,12535,2300,2803,832,7946,1516,4280,1073,4050,982,14281,1868,25581,2688,23560,2486,5595,1289,8469,1607,1985,625,269,174,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1964958,15267,42950,3463,119016,5460,272596,8074,44717,3579,222240,7755,122964,5718,32987,3381,107300,4578,176094,6609,466095,10420,168127,7508,88617,4871,89858,4697,11397,1269,1618938,17895,33061,2889,95524,4806,232853,7523,38838,3379,187429,7285,107171,4943,25895,3038,87237,4126,133739,5884,388099,9885,130699,6141,72617,4295,80073,4151,5703,1190,183996,8639,3872,1180,15785,2372,27199,3051,2891,1020,18484,1977,8691,1638,3444,1201,6862,1451,17503,2616,45049,3468,19549,2177,6706,1398,6635,1524,1326,588,19302,2508,0,197,390,309,1815,773,285,275,2795,908,1404,899,563,405,1469,649,2125,754,4262,1267,2886,1101,549,492,486,479,273,310,38690,3237,1368,654,788,492,2151,703,184,154,4368,1260,1278,554,324,252,2001,985,1834,814,10455,2035,7321,1609,2099,731,597,476,3922,484,24268,2780,535,460,1299,608,3102,1033,200,246,3141,1197,2354,848,396,374,606,349,2745,933,3783,1056,4785,1497,994,692,155,128,173,176,79764,4166,4114,986,5230,1410,5476,954,2319,709,6023,1265,2066,598,2365,799,9125,1802,18148,2119,14447,1731,2887,926,5652,1138,1912,776,0,197,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1993979,18692,68628,4508,163181,8175,153769,7264,50532,3842,224529,8947,108582,5854,27144,3517,97617,5676,190005,8636,472048,12403,216434,9509,97693,6201,108234,6723,15583,1905,1650009,17792,55608,4118,127326,6509,133964,6515,43875,3510,186966,8659,94337,6245,22900,2875,83242,5248,151405,7622,397365,11308,165065,8377,77962,4970,97287,6192,12707,1706,179514,8760,5190,1238,28393,3759,13090,2265,2740,942,19623,2300,7516,1537,1375,716,5423,1294,12984,2111,42391,4039,24872,3297,8859,2049,5160,1199,1898,908,23178,2801,186,297,217,224,601,586,842,935,4369,1370,284,257,192,171,319,244,2040,730,4473,1104,7699,1631,664,365,1256,729,36,69,35902,3979,1316,868,1168,697,1410,776,371,320,4406,1361,994,539,335,234,2248,1395,3071,1036,10312,1902,7027,1596,1887,759,816,602,541,1148,38444,4304,3296,1301,2913,1106,1230,605,509,434,3687,1568,3361,985,141,170,398,290,3812,1213,6771,1362,8834,1749,1859,873,1324,717,309,349,66932,4870,3032,954,3164,1233,3474,1167,2195,1031,5478,1619,2090,938,2201,1014,5987,1363,16693,2643,10736,1823,2937,903,6462,1838,2391,1024,92,197,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6191586,23155,67253,3903,333571,9666,730467,13258,174752,6586,650564,11707,420624,10234,114320,5711,448125,11415,747610,15246,1425397,17638,559397,11815,286419,8869,219635,7637,13452,1844,4500138,25050,48078,2795,260144,8274,575125,11559,136732,5654,497005,11326,336895,8789,76051,4424,286816,9502,424498,11320,1087732,15203,381458,9957,208183,8099,173674,6518,7747,1558,510939,14700,3953,945,40306,3692,76849,4720,13804,1874,55101,4551,28210,2937,6459,1263,24521,2446,55236,4805,110769,5926,57107,4484,23720,2828,14615,2211,289,206,582223,14511,1104,549,9240,1620,33574,2780,8776,1403,47878,3924,27701,2918,14847,1895,81620,4943,145634,6202,105854,4925,63806,5262,22633,2628,19493,2092,63,105,171445,6897,3022,1261,2996,839,8856,1677,2730,801,19611,2485,5253,1238,2502,714,13302,2037,22299,2697,49976,3700,26198,2996,8662,1343,2612,787,3426,1161,108248,5710,522,307,4729,1159,10704,1808,2213,710,12347,2074,8460,1435,1821,616,5246,1296,16594,2165,21282,2586,15524,2349,5440,1733,2838,810,528,500,318593,9126,10574,1531,16156,2535,25359,2650,10497,1731,18622,1999,14105,2320,12640,2157,36620,3068,83349,4273,49784,2989,15304,2244,17781,1757,6403,1333,1399,667,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1588720,10465,54741,2903,97865,4982,241403,7334,43952,3301,189166,5812,81956,4874,22705,2061,120299,5030,112930,5277,388008,8377,121801,5845,64456,3857,48083,3184,1355,531,1295893,11943,33818,2136,79449,3968,205081,7206,37810,3102,158450,5185,70954,4610,17894,1694,98494,4312,88052,4269,315803,7558,94617,5130,50823,3340,43454,2936,1194,496,129016,5522,3655,762,10543,1474,25954,3156,3164,836,13360,1771,4735,995,1685,700,6841,1079,8569,1730,30717,2728,11765,1491,5312,1080,2678,865,38,62,16184,2444,270,260,506,315,674,411,22,27,1955,793,772,447,201,261,1275,674,1004,533,6364,1508,2555,933,427,302,159,142,0,163,47472,3543,2364,474,969,456,4079,873,505,285,6317,1551,757,296,1112,500,3181,1067,1596,496,14981,1645,8472,1360,2483,476,581,290,75,107,18849,2153,980,450,1068,378,1966,499,391,250,2665,806,2615,785,56,72,379,238,1727,466,3936,1038,2388,864,498,229,149,141,31,65,81306,3953,13654,1942,5330,1122,3649,853,2060,789,6419,1499,2123,686,1757,643,10129,1691,11982,1890,16207,1700,2004,613,4913,952,1062,432,17,26,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,713985,7645,5603,1214,48423,3223,91339,5245,16938,1952,90757,5391,25520,2660,13141,1672,43317,3284,84610,4753,171278,6119,63338,4371,32260,3405,26055,2509,1406,874,576686,8294,3105,731,39643,2981,75217,4395,14827,1821,74841,4046,22778,2483,9941,1432,34443,2988,61507,3926,145829,5533,45856,3669,24956,2690,22780,2250,963,562,53106,4840,267,272,4535,1036,9586,2240,757,350,7325,1513,958,398,540,324,1957,753,4905,1174,10784,1848,6841,1494,2366,939,2211,825,74,89,6431,1731,83,136,209,195,401,300,38,66,815,655,38,52,222,261,504,359,1164,581,1061,441,1262,832,428,453,206,181,0,192,18327,2604,460,316,597,464,699,454,0,192,2887,1032,277,256,239,214,416,279,2023,913,4885,1010,4263,1364,1274,711,149,128,158,210,10449,1853,468,385,818,690,964,397,56,74,1509,730,982,487,229,343,101,134,1305,705,1401,587,2210,881,226,194,180,178,0,192,48986,3627,1220,604,2621,796,4472,975,1260,585,3380,1006,487,321,1970,636,5896,1156,13706,1727,7318,1453,2906,1287,3010,962,529,314,211,259,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1301150,12475,37176,4047,86698,5705,185704,8368,31386,3113,167399,6733,73391,4660,17768,2301,58380,3671,99277,5193,317503,8295,103955,6356,62822,4217,56086,4107,3605,973,1075012,12188,24214,2809,65432,4581,156892,7630,26210,2824,142393,6521,62617,4848,15243,2102,51596,3627,77718,4765,269163,8242,81074,5683,49320,3728,50052,3838,3088,926,135838,6972,6152,1510,15807,2260,20092,2807,2419,810,14901,2388,5590,1386,578,361,2660,876,9105,1465,34609,3223,13652,2807,5882,1223,4111,944,280,204,5009,1346,180,291,0,201,334,317,164,262,542,454,205,210,0,201,0,201,361,282,1503,699,794,463,822,814,91,144,13,31,20052,2460,1484,738,531,388,1574,555,845,650,2507,1131,562,353,538,317,513,364,1357,543,3093,833,4216,1026,2373,934,368,261,91,129,16473,2758,871,548,1112,468,2829,1378,84,110,1956,897,2058,695,279,304,161,154,1767,1018,2305,679,1854,803,471,435,672,349,54,63,48766,4552,4275,1243,3816,1499,3983,1218,1664,713,5100,1355,2359,904,1130,555,3450,923,8969,1588,6830,1177,2365,1048,3954,1186,792,463,79,135,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,452707,6902,6146,1211,30148,3544,40615,4006,9266,1828,54577,3560,23127,2893,4534,1052,39908,2800,42788,3236,109979,4915,42704,3989,20928,2433,24573,2622,3414,1135,360283,7081,4657,1081,22922,2893,33187,3366,7188,1518,44162,3648,19363,2699,3068,808,32452,2515,31183,2788,89268,4336,32081,3213,16443,2101,21644,2451,2665,929,41270,3928,712,539,4186,1611,3401,1151,767,466,5241,1331,1900,985,358,237,2730,840,3868,1187,8498,1749,5685,1760,2145,842,1563,636,216,227,9756,1642,0,200,260,363,580,401,89,148,1457,553,328,281,301,237,774,429,1058,506,3350,1108,926,529,141,130,492,272,0,200,10720,1634,0,200,55,78,506,439,0,200,659,398,369,305,0,200,596,320,1057,527,3357,937,3025,1138,485,320,310,332,301,491,4939,1154,209,245,156,197,473,387,243,392,999,500,86,143,49,83,703,454,428,279,903,439,482,376,9,15,160,150,39,67,25739,2523,568,363,2569,1120,2468,913,979,522,2059,721,1081,612,758,453,2653,934,5194,1174,4603,1144,505,285,1705,903,404,315,193,293,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2922866,12444,64107,2708,168165,5173,385126,8046,81350,4326,326014,8565,139729,5019,45620,2935,209668,7004,285897,7692,748101,11616,235038,7065,128005,4958,103723,4432,2323,740,2270810,14538,40724,2177,139225,4417,319631,7560,68188,3899,256167,7833,118066,4620,35332,2624,158476,6225,197440,7060,580959,10317,171893,5279,98878,4790,83702,3843,2129,697,245484,7133,4861,887,17461,1882,35746,2321,4917,853,29302,2812,10179,1925,2936,806,11528,1573,22203,2564,64080,3746,24167,2557,10773,1449,7291,1195,40,45,103737,5511,511,309,1408,510,5273,1426,993,299,13389,2140,2219,925,1579,609,14360,1807,15492,1879,27353,2624,12050,1945,3320,874,5767,1255,23,36,80543,4347,4074,628,1555,419,5871,1240,1082,627,11791,1631,1645,538,1376,463,3890,765,6461,1253,23986,2344,12396,1851,4142,847,2250,842,24,32,44587,3252,1110,413,775,296,5280,1027,524,245,5075,1433,4229,856,352,252,2121,639,5636,871,10295,1587,5671,1157,2024,666,1495,468,0,147,177705,5568,12827,887,7741,1114,13325,1526,5646,1083,10290,1333,3391,729,4045,808,19293,1882,38665,3080,41428,2580,8861,1550,8868,1495,3218,724,107,179,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
