GEO_ID,B08513_001E,B08513_001M,B08513_002E,B08513_002M,B08513_003E,B08513_003M,B08513_004E,B08513_004M,B08513_005E,B08513_005M,B08513_006E,B08513_006M,B08513_007E,B08513_007M,B08513_008E,B08513_008M,B08513_009E,B08513_009M,B08513_010E,B08513_010M,B08513_011E,B08513_011M,B08513_012E,B08513_012M,B08513_013E,B08513_013M,B08513_014E,B08513_014M,B08513_015E,B08513_015M,B08513_016E,B08513_016M,B08513_017E,B08513_017M,B08513_018E,B08513_018M,B08513_019E,B08513_019M,B08513_020E,B08513_020M,B08513_021E,B08513_021M,B08513_022E,B08513_022M,B08513_023E,B08513_023M,B08513_024E,B08513_024M,B08513_025E,B08513_025M,B08513_026E,B08513_026M,B08513_027E,B08513_027M,B08513_028E,B08513_028M,B08513_029E,B08513_029M,B08513_030E,B08513_030M,B08513_031E,B08513_031M,B08513_032E,B08513_032M,B08513_033E,B08513_033M,B08513_034E,B08513_034M,B08513_035E,B08513_035M,B08513_036E,B08513_036M,B08513_037E,B08513_037M,B08513_038E,B08513_038M,B08513_039E,B08513_039M,B08513_040E,B08513_040M,B08513_041E,B08513_041M,B08513_042E,B08513_042M,B08513_043E,B08513_043M,B08513_044E,B08513_044M,B08513_045E,B08513_045M,B08513_046E,B08513_046M,B08513_047E,B08513_047M,B08513_048E,B08513_048M,B08513_049E,B08513_049M,B08513_050E,B08513_050M,B08513_051E,B08513_051M,B08513_052E,B08513_052M,B08513_053E,B08513_053M,B08513_054E,B08513_054M,B08513_055E,B08513_055M,B08513_056E,B08513_056M,NAME,B08513_001MA,B08513_001EA,B08513_002EA,B08513_002MA,B08513_003EA,B08513_003MA,B08513_004EA,B08513_004MA,B08513_005MA,B08513_005EA,B08513_006EA,B08513_006MA,B08513_007EA,B08513_007MA,B08513_008EA,B08513_008MA,B08513_009MA,B08513_009EA,B08513_010MA,B08513_010EA,B08513_011MA,B08513_011EA,B08513_012MA,B08513_012EA,B08513_013MA,B08513_013EA,B08513_014EA,B08513_014MA,B08513_015EA,B08513_015MA,B08513_016EA,B08513_016MA,B08513_017EA,B08513_017MA,B08513_018EA,B08513_018MA,B08513_019EA,B08513_019MA,B08513_020EA,B08513_020MA,B08513_021EA,B08513_021MA,B08513_022MA,B08513_022EA,B08513_023MA,B08513_023EA,B08513_024EA,B08513_024MA,B08513_025EA,B08513_025MA,B08513_026EA,B08513_026MA,B08513_027MA,B08513_027EA,B08513_028EA,B08513_028MA,B08513_029EA,B08513_029MA,B08513_030EA,B08513_030MA,B08513_031EA,B08513_031MA,B08513_032MA,B08513_032EA,B08513_033MA,B08513_033EA,B08513_034EA,B08513_034MA,B08513_035EA,B08513_035MA,B08513_036EA,B08513_036MA,B08513_037EA,B08513_037MA,B08513_038MA,B08513_038EA,B08513_039EA,B08513_039MA,B08513_040EA,B08513_040MA,B08513_041EA,B08513_041MA,B08513_042MA,B08513_042EA,B08513_043MA,B08513_043EA,B08513_044EA,B08513_044MA,B08513_045EA,B08513_045MA,B08513_046EA,B08513_046MA,B08513_047EA,B08513_047MA,B08513_048EA,B08513_048MA,B08513_049EA,B08513_049MA,B08513_050EA,B08513_050MA,B08513_051EA,B08513_051MA,B08513_052MA,B08513_052EA,B08513_053MA,B08513_053EA,B08513_054EA,B08513_054MA,B08513_055EA,B08513_055MA,B08513_056EA,B08513_056MA,state
0400000US08,2957533,19044,2477951,20581,327155,11793,198326,8479,128829,8800,152427,6693,106963,5651,45464,3617,2217788,20053,1873663,18718,239383,10289,149163,7731,90220,6861,104742,5671,73980,4257,30762,3099,251916,10548,178855,7658,52233,6080,25042,3807,27191,4096,20828,2657,12620,2360,8208,1561,81493,5074,64497,4240,10065,2170,6925,1681,3140,1119,6931,1503,4591,1331,2340,848,87899,5439,75209,4987,5926,1449,3921,1092,2005,907,6764,1672,5189,1430,1575,812,64917,4036,56350,3416,5918,1568,3369,1203,2549,1133,2649,863,1952,828,697,400,253520,8712,229377,8036,13630,2246,9906,2020,3724,1162,10513,1801,8631,1476,1882,770,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3110716,18136,2822508,18291,151520,5769,89679,5656,61841,4609,136688,6773,96193,6350,40495,3982,2575963,19050,2370088,18531,113705,5009,68686,5161,45019,4014,92170,5244,65178,4740,26992,3256,279617,9259,227659,7518,27739,3253,14888,2250,12851,2364,24219,3754,15423,2956,8796,2070,23092,2619,19227,2373,2584,948,773,394,1811,852,1281,501,772,419,509,417,62059,3615,54068,3151,2184,653,1847,611,337,269,5807,1341,4344,1337,1463,646,47700,4527,38679,3912,2289,908,1193,700,1096,549,6732,1540,5319,1342,1413,655,122285,5492,112787,5434,3019,983,2292,844,727,604,6479,1700,5157,1572,1322,683,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1980353,16709,1851421,16646,64956,3776,33250,2942,31706,3007,63976,4431,44436,3922,19540,2546,1633433,18870,1539380,18592,47941,3476,25635,2695,22306,2426,46112,3931,32463,3279,13649,1963,187344,8488,165604,7948,11832,2410,4012,1071,7820,2091,9908,2058,6437,1611,3471,1141,18696,2570,16818,2352,177,206,0,198,177,206,1701,865,1300,619,401,563,38428,3298,33719,3028,1818,543,1316,407,502,457,2891,790,2082,683,809,437,22688,2599,20674,2465,903,490,435,293,468,420,1111,595,716,410,395,397,79764,4166,75226,4229,2285,1068,1852,1013,433,302,2253,710,1438,631,815,422,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2002142,18569,1838461,19738,83621,4768,40788,3836,42833,3792,80060,5846,57976,5228,22084,2456,1656149,17739,1538166,17862,56483,3979,30841,3315,25642,2455,61500,5478,44782,4786,16718,2156,181399,8891,152870,8262,20561,3342,6960,1795,13601,2704,7968,1724,4836,1149,3132,1276,23661,2959,21862,2857,1464,785,521,342,943,707,335,232,270,203,65,115,35687,4203,30010,3732,1350,641,704,411,646,446,4327,1585,3331,1448,996,602,38314,4251,34735,3836,1531,759,628,354,903,598,2048,988,1495,993,553,495,66932,4870,60818,4559,2232,856,1134,553,1098,695,3882,1054,3262,922,620,480,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6175357,24033,4666967,25159,866380,10174,526970,13014,339410,12103,642010,13117,444136,12527,197874,7769,4480777,24809,3445696,21561,596678,10003,368813,10678,227865,8151,438403,11299,304301,10135,134102,6579,507467,14824,311232,11406,129762,7464,67968,4804,61794,5875,66473,5069,37539,3984,28934,3073,587614,14545,441903,11725,77745,4947,52657,4142,25088,2863,67966,4430,51081,4058,16885,2392,170386,6859,125364,5320,24022,2870,14311,2333,9711,2163,21000,2708,16109,2281,4891,1271,110520,5684,82217,4718,13866,2280,9476,1918,4390,1300,14437,2087,9623,1651,4814,1242,318593,9126,260555,6998,24307,3055,13745,2268,10562,1968,33731,3432,25483,2837,8248,1556,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1584558,11154,1442568,11451,67122,3620,40297,3252,26825,2705,74868,4592,43342,3727,31526,3368,1292215,12295,1189814,11975,51437,3346,32115,2782,19322,2382,50964,4243,30004,2912,20960,3153,129495,5754,105776,4980,11151,2033,5548,1479,5603,1781,12568,2134,5015,1280,7553,1806,16120,2446,11303,1897,1013,564,514,380,499,428,3804,1373,2819,1226,985,934,46832,3310,42192,3051,1424,539,737,383,687,370,3216,1004,1739,668,1477,773,18590,2064,16371,2034,731,406,531,382,200,192,1488,470,1120,421,368,222,81306,3953,77112,3895,1366,595,852,493,514,318,2828,885,2645,903,183,161,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,678998,8606,623536,8533,19185,2389,11933,2070,7252,1437,36277,3221,24875,2561,11402,2184,544813,8403,503617,8099,14927,2326,10090,1943,4837,1245,26269,2637,18904,2140,7365,1790,53999,4733,45462,4116,2919,1106,1060,659,1859,794,5618,1517,2976,950,2642,1124,3702,1320,2924,1149,86,146,0,198,86,146,692,587,159,151,533,572,18324,2502,16929,2492,572,388,315,293,257,242,823,371,618,304,205,164,9174,1764,8421,1697,480,456,277,355,203,264,273,182,128,89,145,161,48986,3627,46183,3399,201,143,191,142,10,16,2602,834,2090,764,512,360,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1296811,13164,1178514,13812,83521,4656,41407,3722,42114,3322,34776,3236,20521,2504,14255,2700,1072570,13291,988199,13437,59898,4409,30433,3254,29465,2924,24473,2671,15311,2257,9162,1993,134607,6887,111047,5941,17499,3096,7590,1796,9909,2343,6061,1629,2747,1047,3314,1063,4620,1307,3379,1032,454,318,262,279,192,214,787,815,172,256,615,771,19585,2462,16735,2390,1575,731,731,497,844,502,1275,695,871,515,404,430,16663,2798,14883,2694,969,665,521,445,448,501,811,501,421,339,390,366,48766,4552,44271,4286,3126,1100,1870,751,1256,672,1369,810,999,632,370,386,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,445816,9167,381078,8495,31999,3258,18554,2567,13445,2020,32739,3191,22402,2889,10337,2252,358429,8760,310349,8412,24621,2876,13729,2280,10892,1721,23459,2925,16665,2617,6794,1904,39415,4133,28622,3631,5334,1337,3296,1132,2038,804,5459,1761,2989,995,2470,1324,7636,1401,6758,1237,461,418,441,434,20,37,417,272,345,279,72,84,9845,1501,8355,1502,553,313,293,232,260,248,937,374,768,341,169,151,4752,1297,3970,1116,0,198,0,198,0,198,782,563,360,320,422,451,25739,2523,23024,2492,1030,426,795,482,235,190,1685,760,1275,685,410,346,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2939577,12818,2594357,15198,113571,4707,65510,4145,48061,3462,231649,6417,147238,4612,84411,5481,2287243,14490,2047092,15364,80471,3742,46570,3259,33901,2966,159680,6327,104467,4686,55213,4327,245736,7117,194170,6160,18298,2540,9370,1841,8928,1429,33268,3404,17351,2417,15917,2041,103468,5425,84339,4734,5332,1343,3193,1103,2139,878,13797,2303,7795,1398,6002,1467,80263,4302,68117,3586,3618,1050,2308,694,1310,746,8528,1773,5695,1489,2833,1015,45162,2960,37611,2528,2120,976,1522,907,598,306,5431,1449,3361,1168,2070,1060,177705,5568,163028,5564,3732,980,2547,776,1185,581,10945,1755,8569,1589,2376,663,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
