GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001MA,B13014_001EA,B13014_002MA,B13014_002EA,B13014_003EA,B13014_003MA,B13014_004EA,B13014_004MA,B13014_005MA,B13014_005EA,B13014_006MA,B13014_006EA,B13014_007MA,B13014_007EA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010MA,B13014_010EA,B13014_011MA,B13014_011EA,B13014_012MA,B13014_012EA,B13014_013EA,B13014_013MA,B13014_014EA,B13014_014MA,B13014_015MA,B13014_015EA,B13014_016MA,B13014_016EA,B13014_017MA,B13014_017EA,B13014_018MA,B13014_018EA,B13014_019MA,B13014_019EA,B13014_020MA,B13014_020EA,B13014_021EA,B13014_021MA,B13014_022MA,B13014_022EA,B13014_023MA,B13014_023EA,B13014_024MA,B13014_024EA,B13014_025MA,B13014_025EA,B13014_026MA,B13014_026EA,B13014_027MA,B13014_027EA,state
0400000US08,1376662,4542,71267,4836,53050,4449,5153,1536,6756,1580,13316,1922,16453,2276,11372,1734,18217,2913,2777,954,6044,1382,6633,1626,1821,1204,942,459,1305395,6325,594420,8819,42974,3613,93170,5725,169528,7175,178848,5678,109900,4423,710975,8173,150830,4389,132379,6361,210682,7251,160491,5840,56593,3625,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1551701,5693,89630,5426,54009,4164,4942,1336,10144,1697,16411,2240,15154,1816,7358,1478,35621,3810,5917,1470,13362,2181,14890,2334,1273,515,179,183,1462071,7546,632780,10502,48980,3100,139630,6705,200564,7490,161147,6636,82459,4492,829291,12216,208827,5620,193160,6954,277309,9441,116880,6952,33115,3144,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1021826,4656,56995,3846,37122,2979,3300,944,6611,1455,12054,1859,9284,1588,5873,1021,19873,2500,3383,1163,7101,1560,7724,1641,1204,598,461,341,964831,5818,444757,7583,31898,3226,104716,5123,156488,5473,86374,4701,65281,3469,520074,7991,120334,4300,126333,5882,184110,7441,60666,3438,28631,2486,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1099363,4943,62709,4490,34695,3371,2501,1058,6405,1575,12059,2247,9035,1659,4695,1472,28014,3222,7047,1859,10840,2101,8657,1881,1254,704,216,199,1036654,6207,388757,8285,30641,3167,100725,4801,117481,6009,90235,5115,49675,3583,647897,9364,149642,6163,177365,7915,210818,10044,76834,6065,33238,3781,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3009568,5290,158848,6532,105418,5473,5500,1353,17157,2546,24615,2685,32138,2628,26008,2659,53430,3687,7538,1545,18785,2672,21386,2528,4493,1213,1228,521,2850720,7598,1172289,11389,87115,4528,204629,6608,320363,8927,324915,7915,235267,6802,1678431,11252,353381,6492,347542,10558,533428,10204,309441,8235,134639,6815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,709250,3547,40916,2952,28971,2315,2021,807,3938,1154,9680,1429,9492,1440,3840,894,11945,1680,1372,491,4621,1072,4847,1134,852,329,253,212,668334,4190,299581,6238,19100,2024,52312,3671,100854,4188,86664,3606,40651,3158,368753,6666,83220,3259,76606,4160,137274,5818,55364,3816,16289,2059,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,300261,1966,13925,2032,8950,1360,822,563,1151,423,2202,797,3089,942,1686,582,4975,1327,505,372,2071,841,1824,820,238,193,337,423,286336,2583,122664,4107,3321,806,22497,1856,35512,3081,36950,2910,24384,2000,163672,4246,33029,2065,40010,2961,52241,3363,27510,2633,10882,1333,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,694635,4154,39677,2789,22471,2192,1813,664,5223,1212,6969,1257,5696,1358,2770,913,17206,2202,2151,870,8373,1508,5884,1441,526,441,272,224,654958,4750,290367,7305,23908,2879,66819,3974,103710,5794,62325,3625,33605,3154,364591,6974,88975,4296,94707,5868,128804,6211,37698,3760,14407,2050,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,216969,1762,10138,1945,6499,1520,764,604,1403,934,1143,500,1512,524,1677,737,3639,1124,576,413,1505,842,1267,611,266,203,25,46,206831,2505,79392,3625,6141,1202,19416,2072,19646,2450,18592,1993,15597,2041,127439,4382,28487,2333,35183,3760,38533,3652,16263,2370,8973,1774,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1276341,3881,76157,3919,55845,3400,3852,943,5778,1187,17340,1899,17174,1809,11701,1475,20312,2209,3639,836,6632,1435,7447,1411,1410,516,1184,944,1200184,4857,534374,7749,27309,2949,66584,3139,169036,5003,175165,5262,96280,4307,665810,7970,144903,3362,118282,4593,229361,6971,130756,5739,42508,3256,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
