GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001EA,B21001A_001MA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004MA,B21001A_004EA,B21001A_005EA,B21001A_005MA,B21001A_006EA,B21001A_006MA,B21001A_007MA,B21001A_007EA,B21001A_008MA,B21001A_008EA,B21001A_009EA,B21001A_009MA,B21001A_010EA,B21001A_010MA,B21001A_011EA,B21001A_011MA,B21001A_012MA,B21001A_012EA,B21001A_013MA,B21001A_013EA,B21001A_014MA,B21001A_014EA,B21001A_015EA,B21001A_015MA,B21001A_016EA,B21001A_016MA,B21001A_017MA,B21001A_017EA,B21001A_018MA,B21001A_018EA,B21001A_019MA,B21001A_019EA,B21001A_020EA,B21001A_020MA,B21001A_021MA,B21001A_021EA,B21001A_022EA,B21001A_022MA,B21001A_023EA,B21001A_023MA,B21001A_024EA,B21001A_024MA,B21001A_025MA,B21001A_025EA,B21001A_026MA,B21001A_026EA,B21001A_027EA,B21001A_027MA,B21001A_028EA,B21001A_028MA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032EA,B21001A_032MA,B21001A_033EA,B21001A_033MA,state
0400000US08,3755010,12244,1871718,7746,586704,4967,27574,3017,559130,5500,639656,3942,72621,4547,567035,5990,305923,1945,47056,2969,258867,3487,217892,1424,78280,2827,139612,2737,121543,839,65957,2620,55586,2686,1883292,7068,550451,4045,5687,1347,544764,3886,614441,4087,12561,1461,601880,4314,320171,2338,8072,1314,312099,2586,236091,1694,4109,1243,231982,2019,162138,1613,2532,801,159606,1771,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4330093,7456,2110250,4757,612869,2731,26415,2876,586454,3658,695284,3123,65660,3539,629624,4385,377436,1507,51852,3242,325584,3658,261859,977,92647,3659,169212,3852,162802,742,78835,2963,83967,3060,2219843,3609,596314,2572,3113,1020,593201,2843,696195,2351,7766,1417,688429,2558,392846,1332,5362,988,387484,1579,293586,668,3078,772,290508,1089,240902,723,2738,633,238164,927,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3041893,4139,1470054,2779,417516,2400,16361,2206,401155,3181,490761,1954,49489,3610,441272,4156,260168,1023,36508,2751,223660,2897,189418,693,62603,2471,126815,2517,112191,402,49531,2051,62660,2074,1571839,2605,415919,1994,2027,823,413892,2146,498312,1680,6782,1547,491530,2346,280389,1079,3385,877,277004,1478,213307,718,1894,529,211413,813,163912,704,1567,510,162345,848,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2265481,4687,1102339,3329,308972,2564,11821,1962,297151,3305,364028,2859,39644,3773,324384,4614,196314,1298,21296,2129,175018,2765,144673,1351,45716,2493,98957,2758,88352,1102,43693,2143,44659,2370,1163142,3154,306170,2251,2511,871,303659,2425,364278,2863,5422,1488,358856,3240,206877,994,2751,765,204126,1183,159251,1214,2030,649,157221,1335,126566,961,1623,671,124943,1063,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7225453,17560,3535528,9681,1012052,5665,32731,2753,979321,5936,1176215,6299,81747,3987,1094468,6370,633381,2784,62157,3091,571224,4089,431870,1996,132942,4181,298928,4788,282010,1103,124389,2931,157621,2944,3689925,10000,970948,5445,5114,1283,965834,5847,1167619,5617,11930,1800,1155689,5619,654003,2463,5520,1066,648483,2732,478968,1521,2899,697,476069,1812,418387,1712,4096,874,414291,1945,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2218090,3911,1085171,2292,311870,1995,10325,1603,301545,2317,343527,2002,33745,2576,309782,3196,195592,834,23641,1877,171951,2087,139792,542,51328,2510,88464,2418,94390,449,47217,1947,47173,1979,1132919,2642,301493,1981,1313,555,300180,2033,340407,1495,4108,955,336299,1701,202121,1124,3776,919,198345,1532,150308,632,1157,363,149151,729,138590,579,1228,430,137362,730,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1024417,2314,501539,1637,135748,1257,5120,1286,130628,1634,156539,1132,15211,1760,141328,2164,100036,388,16541,1772,83495,1791,68843,405,24035,1889,44808,1986,40373,155,22486,1238,17887,1258,522878,1196,128282,885,834,452,127448,1014,161140,916,2764,792,158376,1249,104080,451,1905,555,102175,764,73755,391,1169,447,72586,592,55621,277,861,324,54760,395,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1811615,4483,881031,2964,249099,2323,10720,2092,238379,2723,282904,2028,31603,2764,251301,3150,149959,705,22568,1655,127391,1791,118648,786,42778,2531,75870,2567,80421,458,37939,2127,42482,2102,930584,2514,240691,2023,1788,755,238903,2055,285634,2050,4451,1276,281183,2535,159771,771,2842,777,156929,1166,133693,689,1445,469,132248,867,110795,559,1146,405,109649,655,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,537058,3539,257740,2290,67251,1300,2622,854,64629,1528,75943,997,6842,1294,69101,1686,47906,857,7482,1119,40424,1428,40555,445,15151,1499,25404,1604,26085,443,14364,1079,11721,1060,279318,1828,66893,970,124,149,66769,989,78678,1013,1349,588,77329,1201,53501,596,1372,507,52129,750,45718,249,256,220,45462,343,34528,379,251,243,34277,481,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3670366,5013,1808682,3529,494836,2705,14538,1554,480298,2701,591022,2149,44781,2633,546241,3704,341182,1032,40388,2567,300794,2794,230703,653,79832,3006,150871,2916,150939,376,76538,2524,74401,2565,1861684,2824,477997,2031,3321,819,474676,2138,577493,1958,6480,1008,571013,2210,348732,937,4879,951,343853,1403,246517,623,2619,536,243898,812,210945,533,2265,511,208680,796,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
