GEO_ID,B21007_001E,B21007_001M,B21007_002E,B21007_002M,B21007_003E,B21007_003M,B21007_004E,B21007_004M,B21007_005E,B21007_005M,B21007_006E,B21007_006M,B21007_007E,B21007_007M,B21007_008E,B21007_008M,B21007_009E,B21007_009M,B21007_010E,B21007_010M,B21007_011E,B21007_011M,B21007_012E,B21007_012M,B21007_013E,B21007_013M,B21007_014E,B21007_014M,B21007_015E,B21007_015M,B21007_016E,B21007_016M,B21007_017E,B21007_017M,B21007_018E,B21007_018M,B21007_019E,B21007_019M,B21007_020E,B21007_020M,B21007_021E,B21007_021M,B21007_022E,B21007_022M,B21007_023E,B21007_023M,B21007_024E,B21007_024M,B21007_025E,B21007_025M,B21007_026E,B21007_026M,B21007_027E,B21007_027M,B21007_028E,B21007_028M,B21007_029E,B21007_029M,B21007_030E,B21007_030M,B21007_031E,B21007_031M,B21007_032E,B21007_032M,B21007_033E,B21007_033M,B21007_034E,B21007_034M,B21007_035E,B21007_035M,B21007_036E,B21007_036M,B21007_037E,B21007_037M,B21007_038E,B21007_038M,B21007_039E,B21007_039M,B21007_040E,B21007_040M,B21007_041E,B21007_041M,B21007_042E,B21007_042M,B21007_043E,B21007_043M,B21007_044E,B21007_044M,B21007_045E,B21007_045M,B21007_046E,B21007_046M,B21007_047E,B21007_047M,B21007_048E,B21007_048M,B21007_049E,B21007_049M,B21007_050E,B21007_050M,B21007_051E,B21007_051M,B21007_052E,B21007_052M,B21007_053E,B21007_053M,B21007_054E,B21007_054M,B21007_055E,B21007_055M,B21007_056E,B21007_056M,B21007_057E,B21007_057M,B21007_058E,B21007_058M,B21007_059E,B21007_059M,B21007_060E,B21007_060M,B21007_061E,B21007_061M,NAME,B21007_001MA,B21007_001EA,B21007_002MA,B21007_002EA,B21007_003MA,B21007_003EA,B21007_004MA,B21007_004EA,B21007_005MA,B21007_005EA,B21007_006MA,B21007_006EA,B21007_007EA,B21007_007MA,B21007_008MA,B21007_008EA,B21007_009MA,B21007_009EA,B21007_010MA,B21007_010EA,B21007_011MA,B21007_011EA,B21007_012MA,B21007_012EA,B21007_013MA,B21007_013EA,B21007_014MA,B21007_014EA,B21007_015MA,B21007_015EA,B21007_016MA,B21007_016EA,B21007_017MA,B21007_017EA,B21007_018EA,B21007_018MA,B21007_019MA,B21007_019EA,B21007_020MA,B21007_020EA,B21007_021MA,B21007_021EA,B21007_022MA,B21007_022EA,B21007_023MA,B21007_023EA,B21007_024MA,B21007_024EA,B21007_025MA,B21007_025EA,B21007_026MA,B21007_026EA,B21007_027MA,B21007_027EA,B21007_028MA,B21007_028EA,B21007_029EA,B21007_029MA,B21007_030MA,B21007_030EA,B21007_031MA,B21007_031EA,B21007_032MA,B21007_032EA,B21007_033MA,B21007_033EA,B21007_034MA,B21007_034EA,B21007_035MA,B21007_035EA,B21007_036MA,B21007_036EA,B21007_037MA,B21007_037EA,B21007_038MA,B21007_038EA,B21007_039MA,B21007_039EA,B21007_040MA,B21007_040EA,B21007_041MA,B21007_041EA,B21007_042MA,B21007_042EA,B21007_043MA,B21007_043EA,B21007_044MA,B21007_044EA,B21007_045MA,B21007_045EA,B21007_046MA,B21007_046EA,B21007_047EA,B21007_047MA,B21007_048MA,B21007_048EA,B21007_049MA,B21007_049EA,B21007_050MA,B21007_050EA,B21007_051MA,B21007_051EA,B21007_052MA,B21007_052EA,B21007_053MA,B21007_053EA,B21007_054MA,B21007_054EA,B21007_055MA,B21007_055EA,B21007_056MA,B21007_056EA,B21007_057MA,B21007_057EA,B21007_058MA,B21007_058EA,B21007_059MA,B21007_059EA,B21007_060MA,B21007_060EA,B21007_061MA,B21007_061EA,state
0400000US08,4301150,3297,1337321,5452,42649,3937,3444,1349,670,497,2774,1219,39205,3741,4822,1381,34383,3629,1294672,7338,164349,7105,18080,2541,146269,6312,1130323,9504,54634,3969,1075689,9804,1465198,4552,98210,5094,4501,1117,1606,718,2895,852,93709,5037,9617,1656,84092,4962,1366988,6751,97425,6034,25896,2834,71529,5303,1269563,8501,84835,5434,1184728,9642,705001,2465,65359,3655,6551,1424,2799,944,3752,1023,58808,3550,11095,1739,47713,3053,639642,4607,52857,4357,19804,3024,33053,3259,586785,5625,75037,4026,511748,6607,793630,2101,160623,4044,8408,1440,4687,1239,3721,757,152215,4426,58569,3382,93646,4118,633007,4508,50470,3419,21379,2300,29091,2973,582537,5130,162078,5003,420459,6051,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4954299,3031,1428214,4564,34209,3529,2888,1022,691,473,2197,849,31321,3398,3293,981,28028,3109,1394005,5907,240660,8165,27977,2856,212683,8397,1153345,9324,73419,4770,1079926,9768,1644447,5171,84661,4064,6732,1478,3034,1009,3698,951,77929,3884,10385,1645,67544,4087,1559786,6020,160158,8125,52956,3937,107202,6221,1399628,10894,117627,5807,1282001,10842,865750,2770,66466,4029,6366,1406,3779,1059,2587,845,60100,3658,14797,1892,45303,3035,799284,5130,80288,4765,38523,3282,41765,3522,718996,6726,121079,5528,597917,7458,1015888,3127,185303,4792,11445,1409,5752,1059,5693,1127,173858,5038,74320,3775,99538,4358,830585,5647,68731,3836,30235,2685,38496,2696,761854,6010,244509,6013,517345,7573,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3339865,2731,931126,4828,21166,2716,2074,869,457,341,1617,756,19092,2578,1622,720,17470,2338,909960,5104,184681,7785,23777,3013,160904,7767,725279,8037,52182,3992,673097,8718,1106430,4615,65377,4592,5037,997,2043,722,2994,973,60340,4414,11238,2043,49102,3724,1041053,6394,155237,6877,56226,4360,99011,5196,885816,8282,104492,5471,781324,8835,592793,2771,47319,3214,6268,1178,3328,905,2940,949,41051,3185,10221,1181,30830,2820,545474,4072,78862,5030,41728,3669,37134,3123,466612,6644,107362,5459,359250,7607,709516,2481,122167,3343,6507,1041,3416,896,3091,683,115660,3500,50888,3257,64772,2851,587349,3834,65981,4308,35302,3223,30679,2548,521368,5937,192164,5337,329204,6657,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3435377,2370,1017482,5242,22514,2754,2284,1012,318,424,1966,920,20230,2623,3131,1041,17099,2627,994968,5767,210833,9763,22030,2737,188803,8988,784135,10423,55036,5668,729099,11515,1124799,6021,63901,5212,5809,1737,2253,1092,3556,1158,58092,5011,7837,1868,50255,4413,1060898,7831,164412,7542,44543,3554,119869,6891,896486,9684,97011,5933,799475,10265,594211,3372,39294,2819,6657,1378,3640,1127,3017,997,32637,2984,7999,1420,24638,2694,554917,3948,83529,5145,39047,3821,44482,3834,471388,5785,89776,5486,381612,6676,698885,3199,116107,4381,8253,1283,4852,1030,3401,851,107854,4354,44957,3314,62897,3498,582778,4844,78466,4589,38804,3624,39662,2934,504312,5480,176908,6448,327404,7442,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9621236,2947,2801200,4740,42883,3554,3884,1135,815,409,3069,1040,38999,3237,4836,998,34163,3203,2758317,5232,413589,12349,36134,3868,377455,11765,2344728,12428,111953,5815,2232775,12674,3242270,5085,119975,5346,6940,1548,1933,639,5007,1438,113035,5134,13113,1988,99922,4795,3122295,6925,288139,9591,68184,4372,219955,8397,2834156,11983,166860,6768,2667296,12585,1652230,2991,88491,3775,9078,1644,4641,1026,4437,1180,79413,3350,17000,1869,62413,2941,1563739,5444,159836,6056,64831,4210,95005,5326,1403903,8052,180054,6683,1223849,9780,1925536,3819,293473,5604,15903,1538,6959,1189,8944,1206,277570,5253,103392,4426,174178,5167,1632063,6372,154459,6377,70793,4273,83666,4515,1477604,8027,434948,9024,1042656,9406,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2335082,2318,658287,4334,12607,1730,1222,530,221,207,1001,490,11385,1682,1091,452,10294,1672,645680,4250,112891,6022,10603,1483,102288,5903,532789,6824,27997,2560,504792,7044,745482,4470,39143,2804,1728,584,388,330,1340,485,37415,2788,4354,867,33061,2712,706339,5777,60294,4028,17169,1854,43125,3600,646045,6809,42640,2968,603405,7073,415608,2202,28927,2261,2017,518,982,410,1035,350,26910,2247,5718,1111,21192,2053,386681,3278,31527,3151,13263,1976,18264,2147,355154,3716,48518,2882,306636,4122,515705,2101,98672,3393,5223,772,2579,664,2644,681,93449,3367,34854,2691,58595,2509,417033,3417,31380,2282,13220,1388,18160,1936,385653,3830,109773,3766,275880,4928,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1058831,1431,268240,2044,5932,1195,450,408,55,96,395,401,5482,1226,592,437,4890,1126,262308,2351,27638,2688,4244,1090,23394,2429,234670,3206,17075,2266,217595,3880,341286,1936,18678,2212,868,582,221,258,647,512,17810,2181,2245,756,15565,2032,322608,2659,18922,2107,7697,1521,11225,1777,303686,3325,23797,2870,279889,4209,212370,1260,19557,1788,822,351,301,208,521,275,18735,1796,3704,792,15031,1626,192813,2106,11601,1762,5072,1396,6529,1263,181212,2501,24920,2516,156292,3541,236935,1307,47599,2212,1279,509,340,224,939,425,46320,2330,17822,1604,28498,2209,189336,2298,11810,1909,4230,1213,7580,1378,177526,3038,49921,2746,127605,3837,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2231423,2793,639992,4834,15532,2520,1286,491,428,329,858,459,14246,2423,1618,736,12628,2189,624460,5111,131192,7247,15484,2238,115708,7281,493268,8376,36884,3271,456384,8216,721291,4481,45431,3034,3209,930,966,375,2243,838,42222,3085,9141,1759,33081,2493,675860,5276,94280,6094,33074,3619,61206,4664,581580,7556,70122,4846,511458,7260,379248,2599,33023,2432,3777,961,2277,715,1500,665,29246,2452,9475,1376,19771,2097,346225,2777,49648,4186,28074,2712,21574,2898,296577,4795,66838,3816,229739,4889,490892,2821,90972,4005,6872,1337,4352,1227,2520,574,84100,3930,40994,3084,43106,2788,399920,4158,43410,3413,21544,2364,21866,2236,356510,5106,138556,5370,217954,5708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,738887,1252,195598,1512,3796,1023,500,416,0,200,500,416,3296,994,191,215,3105,921,191802,1991,29167,4040,3220,1200,25947,3672,162635,4269,10172,1810,152463,4786,231106,1423,13588,1776,589,423,203,234,386,350,12999,1760,1074,435,11925,1686,217518,2327,22432,2351,6337,1374,16095,2057,195086,3278,14518,1728,180568,3574,135296,825,13672,1652,1532,699,581,437,951,587,12140,1454,1713,608,10427,1322,121624,1890,14777,2144,5358,1368,9419,1743,106847,2473,17196,2595,89651,3266,176887,1004,35151,2047,1379,547,377,230,1002,465,33772,1952,12428,1422,21344,1686,141736,2104,9493,1425,3849,980,5644,971,132243,2456,37973,2420,94270,2974,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4206087,2220,1201227,3127,21487,1936,1782,686,334,310,1448,607,19705,1909,2773,873,16932,1619,1179740,3269,155457,6405,16710,2115,138747,6054,1024283,5760,50794,3275,973489,5974,1394156,3301,56730,3024,3717,773,955,448,2762,694,53013,2897,4768,825,48245,2862,1337426,4608,95037,5224,29230,2519,65807,4671,1242389,6514,75084,3713,1167305,7588,752352,2426,49547,2972,4587,921,1875,568,2712,791,44960,2583,8596,1253,36364,2426,702805,3839,53892,3209,23455,1779,30437,2687,648913,4492,78992,4185,569921,5502,858352,2411,161510,3967,8088,1214,3860,896,4228,727,153422,3838,60530,3140,92892,3294,696842,4855,56966,3378,27411,2476,29555,2070,639876,5637,173007,4816,466869,5804,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
