GEO_ID,B24010I_001E,B24010I_001M,B24010I_002E,B24010I_002M,B24010I_003E,B24010I_003M,B24010I_004E,B24010I_004M,B24010I_005E,B24010I_005M,B24010I_006E,B24010I_006M,B24010I_007E,B24010I_007M,B24010I_008E,B24010I_008M,B24010I_009E,B24010I_009M,B24010I_010E,B24010I_010M,B24010I_011E,B24010I_011M,B24010I_012E,B24010I_012M,B24010I_013E,B24010I_013M,B24010I_014E,B24010I_014M,B24010I_015E,B24010I_015M,B24010I_016E,B24010I_016M,B24010I_017E,B24010I_017M,B24010I_018E,B24010I_018M,B24010I_019E,B24010I_019M,B24010I_020E,B24010I_020M,B24010I_021E,B24010I_021M,B24010I_022E,B24010I_022M,B24010I_023E,B24010I_023M,B24010I_024E,B24010I_024M,B24010I_025E,B24010I_025M,B24010I_026E,B24010I_026M,B24010I_027E,B24010I_027M,B24010I_028E,B24010I_028M,B24010I_029E,B24010I_029M,B24010I_030E,B24010I_030M,B24010I_031E,B24010I_031M,B24010I_032E,B24010I_032M,B24010I_033E,B24010I_033M,B24010I_034E,B24010I_034M,B24010I_035E,B24010I_035M,B24010I_036E,B24010I_036M,B24010I_037E,B24010I_037M,B24010I_038E,B24010I_038M,B24010I_039E,B24010I_039M,B24010I_040E,B24010I_040M,B24010I_041E,B24010I_041M,B24010I_042E,B24010I_042M,B24010I_043E,B24010I_043M,B24010I_044E,B24010I_044M,B24010I_045E,B24010I_045M,B24010I_046E,B24010I_046M,B24010I_047E,B24010I_047M,B24010I_048E,B24010I_048M,B24010I_049E,B24010I_049M,B24010I_050E,B24010I_050M,B24010I_051E,B24010I_051M,B24010I_052E,B24010I_052M,B24010I_053E,B24010I_053M,B24010I_054E,B24010I_054M,B24010I_055E,B24010I_055M,B24010I_056E,B24010I_056M,B24010I_057E,B24010I_057M,B24010I_058E,B24010I_058M,B24010I_059E,B24010I_059M,B24010I_060E,B24010I_060M,B24010I_061E,B24010I_061M,B24010I_062E,B24010I_062M,B24010I_063E,B24010I_063M,B24010I_064E,B24010I_064M,B24010I_065E,B24010I_065M,B24010I_066E,B24010I_066M,B24010I_067E,B24010I_067M,B24010I_068E,B24010I_068M,B24010I_069E,B24010I_069M,B24010I_070E,B24010I_070M,B24010I_071E,B24010I_071M,B24010I_072E,B24010I_072M,B24010I_073E,B24010I_073M,NAME,B24010I_001MA,B24010I_001EA,B24010I_002MA,B24010I_002EA,B24010I_003EA,B24010I_003MA,B24010I_004MA,B24010I_004EA,B24010I_005MA,B24010I_005EA,B24010I_006MA,B24010I_006EA,B24010I_007EA,B24010I_007MA,B24010I_008EA,B24010I_008MA,B24010I_009MA,B24010I_009EA,B24010I_010MA,B24010I_010EA,B24010I_011MA,B24010I_011EA,B24010I_012MA,B24010I_012EA,B24010I_013MA,B24010I_013EA,B24010I_014MA,B24010I_014EA,B24010I_015MA,B24010I_015EA,B24010I_016MA,B24010I_016EA,B24010I_017EA,B24010I_017MA,B24010I_018EA,B24010I_018MA,B24010I_019MA,B24010I_019EA,B24010I_020MA,B24010I_020EA,B24010I_021MA,B24010I_021EA,B24010I_022MA,B24010I_022EA,B24010I_023MA,B24010I_023EA,B24010I_024MA,B24010I_024EA,B24010I_025EA,B24010I_025MA,B24010I_026MA,B24010I_026EA,B24010I_027MA,B24010I_027EA,B24010I_028MA,B24010I_028EA,B24010I_029EA,B24010I_029MA,B24010I_030EA,B24010I_030MA,B24010I_031EA,B24010I_031MA,B24010I_032MA,B24010I_032EA,B24010I_033MA,B24010I_033EA,B24010I_034MA,B24010I_034EA,B24010I_035MA,B24010I_035EA,B24010I_036EA,B24010I_036MA,B24010I_037MA,B24010I_037EA,B24010I_038MA,B24010I_038EA,B24010I_039EA,B24010I_039MA,B24010I_040EA,B24010I_040MA,B24010I_041EA,B24010I_041MA,B24010I_042MA,B24010I_042EA,B24010I_043MA,B24010I_043EA,B24010I_044MA,B24010I_044EA,B24010I_045MA,B24010I_045EA,B24010I_046MA,B24010I_046EA,B24010I_047EA,B24010I_047MA,B24010I_048MA,B24010I_048EA,B24010I_049MA,B24010I_049EA,B24010I_050MA,B24010I_050EA,B24010I_051MA,B24010I_051EA,B24010I_052EA,B24010I_052MA,B24010I_053EA,B24010I_053MA,B24010I_054MA,B24010I_054EA,B24010I_055MA,B24010I_055EA,B24010I_056MA,B24010I_056EA,B24010I_057MA,B24010I_057EA,B24010I_058EA,B24010I_058MA,B24010I_059MA,B24010I_059EA,B24010I_060MA,B24010I_060EA,B24010I_061MA,B24010I_061EA,B24010I_062EA,B24010I_062MA,B24010I_063EA,B24010I_063MA,B24010I_064MA,B24010I_064EA,B24010I_065MA,B24010I_065EA,B24010I_066MA,B24010I_066EA,B24010I_067MA,B24010I_067EA,B24010I_068MA,B24010I_068EA,B24010I_069MA,B24010I_069EA,B24010I_070MA,B24010I_070EA,B24010I_071MA,B24010I_071EA,B24010I_072MA,B24010I_072EA,B24010I_073MA,B24010I_073EA,state
0400000US08,581414,8650,327631,5647,60251,4686,30021,2709,21792,2504,8229,1831,14674,2413,6412,1463,6729,1534,1533,837,11168,2110,2841,1185,1072,671,4306,1122,2949,1034,4388,1150,2671,943,1717,573,62947,5457,4129,1126,7900,1845,4578,1575,3322,1032,24280,3460,22821,3394,3817,1137,44880,3326,26979,2749,17901,2277,100199,6342,3374,942,78437,5352,18388,2701,59354,4144,22393,2680,17604,2754,19357,2724,253783,6748,72809,3967,27097,2583,15951,2393,11146,2038,5176,1140,2205,859,1374,535,1597,810,26569,2915,5621,1338,1325,591,13843,2247,5780,1360,13967,2084,6993,1388,6974,1663,75498,5661,15812,2445,2366,859,1553,756,813,352,25564,3300,21266,2815,10490,1945,81152,4760,30881,3595,50271,3900,4261,1168,924,567,2837,941,500,287,20063,2481,10345,1899,2174,747,7544,1857,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,214106,4514,124666,2960,20460,2610,11531,2227,8652,1975,2879,1093,3387,945,1301,639,1470,551,616,474,3653,1165,815,534,192,187,1533,662,1113,713,1889,804,1250,643,639,479,20437,2408,470,475,2213,1010,1450,665,763,671,9618,1902,7197,1553,939,426,13644,2292,8608,1968,5036,1149,27155,3704,742,580,20178,3084,6235,1564,42970,3748,25126,2884,4177,1111,13667,2326,89440,3916,22982,2414,8355,1569,5175,1260,3180,887,1257,606,522,447,252,250,483,375,8142,1471,2187,851,644,400,4179,956,1132,526,5228,1245,2794,848,2434,907,23358,2638,4011,1114,71,108,28,56,43,85,11000,1652,4840,1074,3436,935,23949,2925,10247,1875,13702,1996,581,535,285,223,296,488,0,198,18570,2110,12532,1730,465,393,5573,1233,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,70117,2813,43705,2068,7954,1370,3836,843,3027,824,809,508,2031,749,1046,473,520,411,465,340,1252,445,111,103,82,150,646,366,413,324,835,437,644,362,191,267,9034,1663,65,74,593,374,245,267,348,297,4310,1235,3299,1084,767,486,4009,1080,2399,824,1610,745,11107,1700,1932,984,7058,1618,2117,801,11601,1789,6689,1353,1314,611,3598,1162,26412,2374,7109,1524,2037,811,914,603,1123,504,359,237,133,148,170,171,56,78,2991,934,590,388,109,148,1292,696,1000,437,1722,634,974,505,748,412,8080,1727,539,425,269,295,131,217,138,217,3881,1211,2831,1186,560,340,4928,1216,2161,812,2767,998,695,449,314,317,371,309,10,20,5600,1404,3546,1224,369,389,1685,683,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,103203,3548,64736,2697,14054,1948,6707,1654,4831,1363,1876,955,2198,814,517,338,1253,618,428,333,3554,1174,793,554,255,235,1176,691,1330,777,1595,629,1261,534,334,363,9779,1814,481,380,965,619,657,523,308,312,3425,1146,4256,1246,652,431,4009,1043,2638,802,1371,794,28470,2833,811,608,24377,2641,3282,1175,8424,1621,4332,1258,2416,930,1676,607,38467,2702,13019,1725,4571,1052,3519,965,1052,369,629,390,237,252,64,74,328,261,5052,1040,755,384,585,441,2616,807,1096,525,2767,838,1800,714,967,390,11266,2034,1097,777,375,345,218,268,157,209,4048,1308,4427,1139,1319,491,10261,1887,3677,1004,6584,1595,1132,687,163,192,969,665,0,217,2789,914,1039,659,671,369,1079,607,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1048233,9514,596929,6010,92841,5144,45513,3267,32473,3257,13040,2012,19780,2382,10477,1685,6688,1252,2615,909,21108,2322,3625,1037,1826,586,10037,1723,5620,1348,6440,1413,3807,1223,2633,949,134921,6287,4435,1305,13928,2341,6918,1408,7010,1597,62080,4778,50291,4497,4187,1145,84044,5217,44745,3529,39299,4000,108078,6534,2415,822,75049,5557,30614,2569,177045,5515,75473,4512,44036,4134,57536,4531,451304,7229,116594,5254,43551,3598,23271,2568,20280,2511,6516,1199,3278,902,1722,606,1516,606,47033,3610,10708,1859,3920,932,24942,2293,7463,1720,19494,1917,10821,1545,8673,1460,118235,5916,24097,3002,4763,1570,2937,1343,1826,576,37811,4054,29618,2933,21946,2327,134917,6036,55567,4266,79350,4892,5860,1517,703,420,3982,1316,1175,605,75698,4868,46509,3796,5410,1177,23779,2748,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,87142,2851,48272,2143,8390,1326,3262,847,2348,794,914,455,1455,607,715,453,524,299,216,280,2615,711,307,262,594,398,1328,497,386,295,1058,556,543,419,515,328,7231,1477,96,187,638,482,599,476,39,53,3548,1047,2705,921,244,189,4136,1073,2619,846,1517,636,12435,2024,1855,723,8691,1797,1889,695,16080,1585,9022,1218,2309,752,4749,1232,38870,2033,8820,1444,2156,732,1652,719,504,325,195,203,195,203,0,163,0,163,4565,1069,1042,679,101,185,2988,957,434,263,1904,700,1106,568,798,405,13137,1878,3039,943,325,205,325,205,0,163,4684,1311,2884,985,2205,720,9260,1523,4851,1082,4409,938,824,376,796,378,28,59,0,163,6829,1260,4488,997,0,163,2341,821,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,24016,1405,12798,1021,3729,1051,1520,639,1378,588,142,206,1157,532,675,390,320,209,162,263,679,465,0,192,0,192,366,343,313,286,373,297,74,90,299,277,2724,904,0,192,101,154,101,154,0,192,1307,686,796,595,520,542,1498,614,1218,586,280,217,2364,758,248,282,996,526,1120,593,2483,827,1446,646,608,534,429,325,11218,1172,2915,877,734,473,378,321,356,347,240,252,44,78,196,240,0,192,730,315,84,94,95,140,551,292,0,192,1211,644,500,372,711,561,2223,706,843,421,2,4,2,4,0,192,538,357,514,374,326,322,3371,931,1448,717,1923,678,188,186,0,192,188,186,0,192,2521,993,1644,829,103,175,774,489,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,104650,3473,61280,2287,8736,1925,4924,1377,3871,1258,1053,589,1879,963,564,555,829,601,486,469,1410,651,374,405,52,105,290,248,694,464,523,414,131,209,392,369,8129,1699,0,201,586,322,230,176,356,294,2890,1107,4557,1213,96,131,4584,1378,2875,927,1709,855,19233,2343,1867,845,13748,2216,3618,904,20598,2484,12284,2400,3274,1031,5040,1064,43370,2704,7219,1654,2424,958,907,522,1517,745,345,305,259,264,0,201,86,145,3110,972,403,371,0,201,2447,887,260,211,1340,890,304,261,1036,861,13246,1865,2381,979,832,446,529,393,303,217,3790,1465,5276,1452,967,488,10890,1850,3622,1090,7268,1536,1142,625,668,440,355,315,119,198,10873,1668,8167,1455,178,194,2528,819,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,42261,2189,25302,1275,5365,1417,1819,647,1538,616,281,236,2076,995,1302,776,709,534,65,111,1115,669,372,314,0,200,290,269,453,515,355,249,355,249,0,200,6873,1333,0,200,867,406,606,382,261,231,1089,599,4143,1163,774,446,3395,1042,1825,740,1570,899,6451,1510,665,461,4415,1586,1371,801,3218,1083,1518,677,917,406,783,610,16959,1433,4264,1130,1441,679,714,432,727,448,843,633,246,282,399,493,198,293,1117,660,21,36,0,200,941,629,155,214,863,404,387,241,476,300,5315,1053,819,568,40,68,0,200,40,68,2669,879,947,462,840,397,5628,1003,3000,1050,2628,956,317,334,54,95,263,329,0,200,1435,495,1099,517,130,159,206,155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,145841,3315,81584,2305,15270,1630,7511,1272,5114,951,2397,715,2732,776,1108,460,1329,614,295,202,4011,882,782,443,169,179,2365,701,695,381,1016,433,626,378,390,260,20887,2360,1132,730,1201,500,843,444,358,253,9628,1667,8388,1348,538,236,8949,1306,5896,1209,3053,897,16467,1889,3663,816,9161,1653,3643,986,20011,1931,11394,1473,2591,794,6026,1370,64257,2411,17593,2017,4039,835,2445,677,1594,549,1488,550,905,392,93,114,490,342,7424,1342,1263,459,290,204,5061,1241,810,427,4642,1160,2322,886,2320,799,20032,2357,3106,901,566,451,461,429,105,129,8646,1581,5326,1121,2388,790,16970,1957,6173,1251,10797,1648,1041,454,823,377,196,201,22,41,8621,1295,5104,928,858,398,2659,843,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
