GEO_ID,B24012_001E,B24012_001M,B24012_002E,B24012_002M,B24012_003E,B24012_003M,B24012_004E,B24012_004M,B24012_005E,B24012_005M,B24012_006E,B24012_006M,B24012_007E,B24012_007M,B24012_008E,B24012_008M,B24012_009E,B24012_009M,B24012_010E,B24012_010M,B24012_011E,B24012_011M,B24012_012E,B24012_012M,B24012_013E,B24012_013M,B24012_014E,B24012_014M,B24012_015E,B24012_015M,B24012_016E,B24012_016M,B24012_017E,B24012_017M,B24012_018E,B24012_018M,B24012_019E,B24012_019M,B24012_020E,B24012_020M,B24012_021E,B24012_021M,B24012_022E,B24012_022M,B24012_023E,B24012_023M,B24012_024E,B24012_024M,B24012_025E,B24012_025M,B24012_026E,B24012_026M,B24012_027E,B24012_027M,B24012_028E,B24012_028M,B24012_029E,B24012_029M,B24012_030E,B24012_030M,B24012_031E,B24012_031M,B24012_032E,B24012_032M,B24012_033E,B24012_033M,B24012_034E,B24012_034M,B24012_035E,B24012_035M,B24012_036E,B24012_036M,B24012_037E,B24012_037M,B24012_038E,B24012_038M,B24012_039E,B24012_039M,B24012_040E,B24012_040M,B24012_041E,B24012_041M,B24012_042E,B24012_042M,B24012_043E,B24012_043M,B24012_044E,B24012_044M,B24012_045E,B24012_045M,B24012_046E,B24012_046M,B24012_047E,B24012_047M,B24012_048E,B24012_048M,B24012_049E,B24012_049M,B24012_050E,B24012_050M,B24012_051E,B24012_051M,B24012_052E,B24012_052M,B24012_053E,B24012_053M,B24012_054E,B24012_054M,B24012_055E,B24012_055M,B24012_056E,B24012_056M,B24012_057E,B24012_057M,B24012_058E,B24012_058M,B24012_059E,B24012_059M,B24012_060E,B24012_060M,B24012_061E,B24012_061M,B24012_062E,B24012_062M,B24012_063E,B24012_063M,B24012_064E,B24012_064M,B24012_065E,B24012_065M,B24012_066E,B24012_066M,B24012_067E,B24012_067M,B24012_068E,B24012_068M,B24012_069E,B24012_069M,B24012_070E,B24012_070M,B24012_071E,B24012_071M,B24012_072E,B24012_072M,B24012_073E,B24012_073M,NAME,B24012_001MA,B24012_001EA,B24012_002MA,B24012_002EA,B24012_003MA,B24012_003EA,B24012_004EA,B24012_004MA,B24012_005MA,B24012_005EA,B24012_006MA,B24012_006EA,B24012_007MA,B24012_007EA,B24012_008EA,B24012_008MA,B24012_009EA,B24012_009MA,B24012_010MA,B24012_010EA,B24012_011MA,B24012_011EA,B24012_012MA,B24012_012EA,B24012_013MA,B24012_013EA,B24012_014MA,B24012_014EA,B24012_015EA,B24012_015MA,B24012_016MA,B24012_016EA,B24012_017MA,B24012_017EA,B24012_018MA,B24012_018EA,B24012_019MA,B24012_019EA,B24012_020EA,B24012_020MA,B24012_021EA,B24012_021MA,B24012_022EA,B24012_022MA,B24012_023MA,B24012_023EA,B24012_024MA,B24012_024EA,B24012_025MA,B24012_025EA,B24012_026EA,B24012_026MA,B24012_027MA,B24012_027EA,B24012_028MA,B24012_028EA,B24012_029MA,B24012_029EA,B24012_030EA,B24012_030MA,B24012_031EA,B24012_031MA,B24012_032EA,B24012_032MA,B24012_033MA,B24012_033EA,B24012_034MA,B24012_034EA,B24012_035MA,B24012_035EA,B24012_036MA,B24012_036EA,B24012_037EA,B24012_037MA,B24012_038MA,B24012_038EA,B24012_039MA,B24012_039EA,B24012_040MA,B24012_040EA,B24012_041MA,B24012_041EA,B24012_042MA,B24012_042EA,B24012_043EA,B24012_043MA,B24012_044EA,B24012_044MA,B24012_045MA,B24012_045EA,B24012_046MA,B24012_046EA,B24012_047MA,B24012_047EA,B24012_048EA,B24012_048MA,B24012_049MA,B24012_049EA,B24012_050MA,B24012_050EA,B24012_051MA,B24012_051EA,B24012_052MA,B24012_052EA,B24012_053EA,B24012_053MA,B24012_054EA,B24012_054MA,B24012_055MA,B24012_055EA,B24012_056MA,B24012_056EA,B24012_057MA,B24012_057EA,B24012_058MA,B24012_058EA,B24012_059EA,B24012_059MA,B24012_060MA,B24012_060EA,B24012_061MA,B24012_061EA,B24012_062MA,B24012_062EA,B24012_063EA,B24012_063MA,B24012_064EA,B24012_064MA,B24012_065MA,B24012_065EA,B24012_066MA,B24012_066EA,B24012_067MA,B24012_067EA,B24012_068MA,B24012_068EA,B24012_069MA,B24012_069EA,B24012_070MA,B24012_070EA,B24012_071MA,B24012_071EA,B24012_072MA,B24012_072EA,B24012_073EA,B24012_073MA,state
0400000US08,41343,303,48223,999,73329,1817,76565,1181,79318,3820,71553,2048,84539,2956,89613,2693,83861,4555,60475,6474,48678,2106,42979,3501,96782,9700,44797,2239,43609,4848,80042,6576,95337,10323,49339,7110,28221,1931,25268,2445,51720,3077,44450,3020,66276,2132,21608,1171,27303,2917,26075,5990,42129,1027,47241,2350,36445,1278,41174,625,30717,2752,40605,853,45851,2448,35350,1104,41378,1302,38128,2788,25245,1912,35160,413,50968,540,57423,2272,60077,2651,55785,1658,65005,3840,72375,5044,67671,6468,55443,6279,37911,1853,41156,2200,69989,4712,36181,2632,29472,5462,55575,1969,63050,3147,35321,3108,20366,436,25682,1611,33353,3950,22468,7439,50856,8027,16295,896,18890,2287,20947,1011,31696,415,28912,2554,32490,668,25435,4031,11024,6031,23224,5640,41335,4733,24978,1354,27074,2296,30516,3739,20334,2376,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,36073,290,43010,927,62658,1855,67396,2656,70518,1347,61601,1579,70268,1886,68931,3755,72120,2074,57758,7289,43424,2134,40786,1748,94936,22733,44375,3436,34923,4497,70032,7919,91651,21365,36500,4479,22027,822,22412,2065,42674,2529,40631,4869,45732,2647,13723,1656,26220,1162,15975,4915,41470,1022,45780,2263,36527,1427,44406,2218,32441,6735,41981,924,49001,2018,39436,1430,42442,1104,42246,1523,28561,1832,29894,478,43693,835,49681,1363,50291,1527,48753,1834,51941,2362,51690,1251,62465,10159,42598,5840,33611,2462,37467,1840,41751,3122,32338,2446,21380,4544,48822,2069,57707,2908,35829,1673,15639,484,21941,507,31218,2516,22920,6558,37320,3115,11054,452,15112,1006,14553,1418,27486,683,19379,1480,30545,392,20418,4131,10467,2755,19181,2154,32362,10128,26413,647,27799,1288,22798,2261,25121,1192,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,33850,620,40216,394,59341,2508,63903,4059,65637,4571,61697,3064,65914,2637,62498,4508,71270,2711,53884,8080,43662,2588,38537,2345,76709,23851,47088,1975,27042,6346,66439,4436,99357,17066,47306,7166,22462,1173,24237,2554,39337,1465,33597,4694,41612,1625,12824,1632,26015,1927,17116,5854,37140,1131,40884,1378,32510,1840,39238,2426,22375,3052,37475,2589,45476,3793,34793,1121,40661,1032,40033,3020,23246,1535,29085,679,44111,1225,47561,1502,46200,2803,49144,2336,52573,3743,56392,5088,47476,9293,50997,4371,36195,1135,34771,1329,60009,10654,36936,1536,26698,2906,50000,2366,57148,1683,34555,2130,15990,472,22649,1196,23305,4424,17215,2950,32278,2905,11667,441,15185,1792,14654,2000,25912,561,16929,1141,28895,829,22597,2899,20459,6979,23317,3761,32775,10236,25003,1269,28821,1700,25931,3602,19958,2247,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,33955,930,43605,1396,64188,2875,71507,1795,71203,2113,72798,9105,71321,5129,60120,5363,82037,4593,57664,12150,47451,3826,46729,7445,108496,8666,47433,2819,35051,4864,71422,4305,80622,4471,51426,5938,22600,1512,22070,2829,46614,2580,38593,6731,52066,3364,17491,1582,21133,1189,23050,3061,41263,1574,42109,3105,37513,6020,40736,861,25740,4871,39697,2157,44663,2813,40623,1865,51275,1568,44804,3300,23089,2179,26943,415,44560,1256,50346,1672,50545,1874,50038,4654,50778,3396,50435,9360,64558,10791,46870,3920,39339,2071,37373,3373,50999,4013,40266,966,22177,11587,49597,2473,59354,3285,32310,2747,16429,500,19517,1300,27693,3907,25722,4119,31630,3495,14542,858,12411,1801,16733,1457,25378,593,20010,1324,28992,1296,21574,4729,7365,10546,21526,5474,46607,19196,21078,1592,18448,2153,22976,2769,21958,2285,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,40668,195,47711,627,76138,654,83809,2655,86707,2440,80525,1638,80140,2016,84608,4193,78029,3839,61049,2079,51899,936,41070,1598,140090,17669,51177,1147,44082,4491,72829,3426,102819,10748,46816,4499,26198,557,24891,2034,56896,3964,36257,2366,75730,2894,18911,1099,26931,1005,21916,2183,44161,1747,50068,1877,39256,1845,46569,773,34023,4475,46260,1129,49271,1963,36159,489,40602,551,41135,689,25978,535,32914,566,52364,359,62173,680,64770,2408,61094,890,66645,2356,71961,2046,66360,4468,53621,3579,41423,686,42047,1014,72782,8350,39234,1648,35418,1983,53856,2137,63597,2827,36540,957,17952,532,21910,603,31513,2596,19267,4147,60910,6633,12848,903,19132,909,16572,615,30017,551,22028,626,31945,343,31730,5338,15804,6378,36131,2894,36816,3590,24636,814,26029,689,27324,1487,21019,864,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,37087,325,44968,835,62719,1854,65394,2977,65498,3991,65283,3378,71431,2953,76651,1659,72330,5675,51133,4154,50238,1933,40567,7046,107459,27183,50294,2275,35256,4826,72975,5181,101128,10472,37004,11310,20991,997,25478,6017,50820,3509,32183,9436,60797,2967,12087,1346,23376,2549,14338,7028,44946,2864,49407,3317,37238,2450,42300,1024,36114,2651,40943,925,48100,2973,39921,956,41388,762,45791,1695,30860,1491,30725,333,46227,847,52099,986,51087,1603,53252,1995,55912,4766,61139,5533,54643,10036,50257,12176,35535,1979,38287,3646,60538,13154,32565,2834,30075,6768,48889,2799,54503,2433,35338,1840,17089,710,23207,1465,35625,8068,9513,11411,48071,5483,11727,640,14960,2053,17235,1727,28670,1052,20768,1013,31538,533,30514,2623,22454,7589,40071,7927,36111,11984,26858,1030,29827,1375,20301,2276,23305,1955,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,41616,504,51102,765,77105,2837,86490,4480,89871,5049,81093,6988,84578,5768,92389,7833,81027,5307,68445,24095,51304,4666,49842,19589,82348,43393,48688,5463,46433,9790,72342,10203,107500,31496,32382,20035,27735,2356,23080,16249,64993,10192,61101,21459,70462,9115,21287,1645,29424,3466,16462,5864,43780,6283,49102,6533,39797,3281,47682,2828,31261,6149,46554,2868,51131,1501,38574,2848,43511,3093,41520,6944,26361,3711,34112,1545,51213,1003,57119,4641,60485,6351,55721,3898,69909,5642,75726,3985,68651,17653,54111,6329,39970,2557,40061,2509,63404,4879,37086,3222,31883,6429,51332,1900,66110,4962,34853,8271,18823,1660,26488,2809,41842,4374,24090,34616,47362,8697,13902,3248,16968,1960,16069,4801,31208,1034,20626,1451,34986,1506,21578,2188,20818,2344,17639,6615,53188,22807,25888,1026,27882,3865,21723,2622,16083,5638,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,32287,340,36974,572,59183,3525,62293,3413,62324,5508,62043,7200,62690,5727,68612,7033,61588,3953,56695,9227,46054,3181,43502,6138,92927,12847,45741,3501,36598,7548,70621,11880,106916,20732,35968,6109,21457,971,21555,5610,35757,2692,32928,3855,38880,2692,12207,1328,22524,1312,12299,11850,36549,1976,38378,3946,33539,4775,35435,1374,30283,1848,32149,2175,40560,1362,32399,935,34509,1748,41183,1423,26057,870,28174,847,44117,1300,47949,3305,47562,3517,49304,4863,54672,6535,56340,6963,51818,15499,52230,9936,36967,1438,41306,4114,43382,5408,36066,1342,36307,13180,47397,2778,56101,2479,36721,1620,16475,562,20152,1478,33340,3211,24266,5932,40068,3990,12381,1131,13372,2117,17541,2668,26164,479,20888,1389,28425,1384,17487,5869,15548,6646,20987,7073,31280,13678,23907,1167,25869,1240,21418,1213,21580,1247,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,38023,1600,42447,2327,70108,2880,76384,10412,74186,11717,79827,17327,75589,4998,80035,9222,75254,7770,66556,2497,51435,6230,45704,5006,124325,34616,48503,8961,42207,29789,71179,3907,74760,24228,66282,22183,25049,2156,24787,5756,37812,9370,26500,947,54618,11798,11233,2002,28611,4381,18926,6086,40530,3746,40501,5060,40576,4673,40190,2406,25698,28987,34362,6431,42103,4608,35461,2490,42243,3718,35239,6687,32748,6178,32722,1253,52442,2766,57079,6531,60357,10114,55599,8555,62986,19574,53111,30072,80052,50852,59772,31635,46093,2058,43379,9670,52417,17526,46518,2300,40987,10444,59973,7391,69450,2566,36698,7253,18937,2088,21894,5895,50051,16570,31772,8805,55479,8783,15639,2042,22717,4229,17083,3178,27678,2382,17512,2681,32329,1791,32183,6974,22030,2468,33310,5857,46200,14816,23762,2445,25473,2228,20036,8051,23090,2634,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,41433,216,48480,855,72718,1148,77047,1456,80111,3289,75309,2068,79117,2931,85104,2999,75090,2058,72316,4420,52462,1553,46766,1881,115947,18724,52219,2143,49952,4239,75979,4590,98631,10152,51523,4659,24885,1249,23896,2567,51257,2109,30634,3949,66247,3666,17596,1708,27707,1763,17597,3630,44305,1684,48706,2775,40024,1595,47558,1485,31906,1131,50123,1615,50444,696,37179,479,40955,572,40733,1000,26827,1245,35520,347,52013,389,60889,832,60275,1474,61585,1294,62841,3495,65781,3238,66095,9991,57038,8070,40651,736,42167,1555,65399,4706,36768,1743,36109,1867,52964,1842,62657,2447,38324,1579,18348,783,22386,873,32408,8634,19623,5221,55495,8403,13340,1158,16815,1380,19028,1646,31728,382,23157,1253,35089,586,32311,4577,20734,7344,34299,7757,47173,6816,27562,921,30288,867,28349,5324,21246,2187,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
