GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001MA,B25055_001EA,B25055_002MA,B25055_002EA,B25055_003MA,B25055_003EA,B25055_004MA,B25055_004EA,B25055_005MA,B25055_005EA,B25055_006MA,B25055_006EA,B25055_007MA,B25055_007EA,B25055_008MA,B25055_008EA,B25055_009MA,B25055_009EA,B25055_010MA,B25055_010EA,B25055_011MA,B25055_011EA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US08,735732,10009,558729,9827,3900,1381,554829,9940,84884,4324,1021,629,83863,4230,49547,3196,2459,1025,47088,3050,42572,3234,14439,1765,28133,2397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,763759,10953,548649,9398,2178,892,546471,9317,101265,4976,1045,490,100220,4976,61030,2860,1680,855,59350,2850,52815,3062,13327,1827,39488,2467,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,512797,11104,366069,8625,1133,537,364936,8677,76007,4352,258,270,75749,4290,41650,2921,459,352,41191,2922,29071,2700,6537,1414,22534,2249,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,541268,10534,403820,8985,1385,685,402435,8873,72297,4131,363,380,71934,4150,40278,2419,1031,552,39247,2382,24873,2375,3729,1037,21144,2344,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1586781,16765,1120471,15693,7186,2000,1113285,15693,219818,6707,2265,923,217553,6833,131687,5540,5991,1540,125696,5172,114805,5592,27649,2300,87156,4934,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,340900,7628,239510,6254,608,355,238902,6205,43153,3630,151,123,43002,3628,24271,2071,961,379,23310,2067,33966,2420,11831,1550,22135,2020,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,148143,5014,96544,4279,183,171,96361,4281,24171,2334,284,436,23887,2388,13194,1767,130,148,13064,1770,14234,1623,2730,850,11504,1376,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,362008,7467,266465,7730,2665,1135,263800,7798,49241,3341,771,434,48470,3349,25364,2519,385,276,24979,2514,20938,2059,4429,1173,16509,1757,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,102132,4701,73707,4120,405,241,73302,4101,13897,2452,0,200,13897,2452,9187,1324,276,242,8911,1299,5341,1018,1256,452,4085,973,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,600671,8255,412526,7389,2284,893,410242,7316,75599,3646,829,406,74770,3736,46238,3112,3372,1101,42866,3112,66308,3319,20786,2034,45522,2881,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,127412,5145,89531,4519,300,273,89231,4505,17870,1945,448,313,17422,1956,10458,1638,663,399,9795,1570,9553,1270,2830,738,6723,1086,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,152962,5612,95391,4514,365,359,95026,4448,22231,2720,335,359,21896,2719,17432,2029,363,226,17069,2039,17908,1973,3382,852,14526,1632,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1310250,16094,964306,13426,4965,1604,959341,13275,175303,7104,1480,693,173823,7164,97860,4307,2727,938,95133,4223,72781,4040,17672,2259,55109,3521,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1300101,16001,983309,13757,4825,1812,978484,13613,164584,6903,2178,1397,162406,6504,94661,5931,1894,832,92767,5736,57547,4225,13187,1621,44360,3794,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,79691,3403,61186,3142,201,121,60985,3126,10768,1563,36,32,10732,1572,5480,1013,59,87,5421,1011,2257,529,154,113,2103,527,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,528763,11878,380130,10297,1090,601,379040,10438,74874,4398,609,428,74265,4378,46100,3147,732,403,45368,3130,27659,2205,5502,1054,22157,1921,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,68404,3468,45692,3048,53,95,45639,3019,9279,1614,0,157,9279,1614,7723,1261,0,157,7723,1261,5710,888,1546,517,4164,795,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,476140,7958,340057,7248,1369,561,338688,7261,65704,3634,480,300,65224,3645,44591,2883,792,538,43799,2859,25788,2104,4071,1003,21717,2115,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
