GEO_ID,B27008_001E,B27008_001M,B27008_002E,B27008_002M,B27008_003E,B27008_003M,B27008_004E,B27008_004M,B27008_005E,B27008_005M,B27008_006E,B27008_006M,B27008_007E,B27008_007M,B27008_008E,B27008_008M,B27008_009E,B27008_009M,B27008_010E,B27008_010M,B27008_011E,B27008_011M,B27008_012E,B27008_012M,B27008_013E,B27008_013M,B27008_014E,B27008_014M,B27008_015E,B27008_015M,B27008_016E,B27008_016M,B27008_017E,B27008_017M,B27008_018E,B27008_018M,B27008_019E,B27008_019M,B27008_020E,B27008_020M,B27008_021E,B27008_021M,B27008_022E,B27008_022M,B27008_023E,B27008_023M,B27008_024E,B27008_024M,B27008_025E,B27008_025M,B27008_026E,B27008_026M,B27008_027E,B27008_027M,B27008_028E,B27008_028M,B27008_029E,B27008_029M,B27008_030E,B27008_030M,B27008_031E,B27008_031M,B27008_032E,B27008_032M,B27008_033E,B27008_033M,B27008_034E,B27008_034M,B27008_035E,B27008_035M,B27008_036E,B27008_036M,B27008_037E,B27008_037M,B27008_038E,B27008_038M,B27008_039E,B27008_039M,B27008_040E,B27008_040M,B27008_041E,B27008_041M,B27008_042E,B27008_042M,B27008_043E,B27008_043M,B27008_044E,B27008_044M,B27008_045E,B27008_045M,B27008_046E,B27008_046M,B27008_047E,B27008_047M,B27008_048E,B27008_048M,B27008_049E,B27008_049M,B27008_050E,B27008_050M,B27008_051E,B27008_051M,B27008_052E,B27008_052M,B27008_053E,B27008_053M,B27008_054E,B27008_054M,B27008_055E,B27008_055M,B27008_056E,B27008_056M,B27008_057E,B27008_057M,NAME,B27008_001MA,B27008_001EA,B27008_002MA,B27008_002EA,B27008_003MA,B27008_003EA,B27008_004MA,B27008_004EA,B27008_005MA,B27008_005EA,B27008_006EA,B27008_006MA,B27008_007EA,B27008_007MA,B27008_008EA,B27008_008MA,B27008_009MA,B27008_009EA,B27008_010EA,B27008_010MA,B27008_011EA,B27008_011MA,B27008_012EA,B27008_012MA,B27008_013EA,B27008_013MA,B27008_014MA,B27008_014EA,B27008_015MA,B27008_015EA,B27008_016EA,B27008_016MA,B27008_017EA,B27008_017MA,B27008_018EA,B27008_018MA,B27008_019EA,B27008_019MA,B27008_020MA,B27008_020EA,B27008_021EA,B27008_021MA,B27008_022EA,B27008_022MA,B27008_023EA,B27008_023MA,B27008_024MA,B27008_024EA,B27008_025MA,B27008_025EA,B27008_026EA,B27008_026MA,B27008_027EA,B27008_027MA,B27008_028EA,B27008_028MA,B27008_029EA,B27008_029MA,B27008_030EA,B27008_030MA,B27008_031MA,B27008_031EA,B27008_032EA,B27008_032MA,B27008_033EA,B27008_033MA,B27008_034EA,B27008_034MA,B27008_035EA,B27008_035MA,B27008_036MA,B27008_036EA,B27008_037MA,B27008_037EA,B27008_038MA,B27008_038EA,B27008_039EA,B27008_039MA,B27008_040EA,B27008_040MA,B27008_041EA,B27008_041MA,B27008_042MA,B27008_042EA,B27008_043EA,B27008_043MA,B27008_044EA,B27008_044MA,B27008_045EA,B27008_045MA,B27008_046MA,B27008_046EA,B27008_047MA,B27008_047EA,B27008_048MA,B27008_048EA,B27008_049EA,B27008_049MA,B27008_050EA,B27008_050MA,B27008_051EA,B27008_051MA,B27008_052EA,B27008_052MA,B27008_053MA,B27008_053EA,B27008_054EA,B27008_054MA,B27008_055EA,B27008_055MA,B27008_056EA,B27008_056MA,B27008_057EA,B27008_057MA,state
0400000US08,5604105,2082,2794853,5393,205962,3538,10558,2075,195404,3827,483517,5194,18925,2493,464592,5688,265288,5735,8331,1889,256957,5860,396805,4796,7139,1711,389666,4858,386800,2920,8469,1515,378331,3281,350042,2378,10607,1631,339435,3024,341883,1853,13208,1720,328675,2389,237847,1330,16953,1620,220894,2128,126709,1018,12972,1512,113737,1803,2809252,4984,198625,3536,8151,1777,190474,4027,456954,5551,16378,2185,440576,6035,257103,4280,9851,1828,247252,4326,375973,4524,11796,1952,364177,4765,376112,2851,11128,1634,364984,3057,352293,2442,12568,1977,339725,3223,363118,1740,13716,1965,349402,2215,260627,1922,16280,1647,244347,2715,168447,2076,14412,1776,154035,2362,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6592504,1089,3231118,5706,256042,4346,2531,913,253511,4570,594285,6271,7422,1688,586863,6114,327421,6483,3521,1203,323900,6438,376527,6449,4168,937,372359,6538,398371,3408,4320,1160,394051,3689,408902,3159,5679,1261,403223,3367,419899,1995,9218,1560,410681,2442,283231,1950,13908,1681,269323,2380,166440,1919,8481,1250,157959,2331,3361386,5708,243732,3880,2469,822,241263,4097,566317,5495,7595,1575,558722,5769,314992,5403,4188,925,310804,5330,386787,4567,3807,1235,382980,4712,412769,3209,3700,987,409069,3350,424680,2919,5281,1214,419399,3065,445892,2184,6979,1211,438913,2354,321759,1995,10392,1726,311367,2683,244458,1970,7568,1368,236890,2330,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4388204,1183,2142570,5021,167410,3226,3489,1012,163921,3335,380029,5158,8308,1477,371721,5111,208890,4722,4170,1359,204720,4868,243444,4058,3897,1234,239547,4108,266231,2640,4445,1316,261786,2827,276674,2487,7240,1348,269434,2811,284256,2136,9686,1513,274570,2497,201184,1437,13949,1622,187235,2005,114452,1464,7695,1030,106757,1739,2245634,5101,159248,3822,4799,1021,154449,3780,359407,5119,10581,2313,348826,5243,205441,4981,4402,1134,201039,4869,255570,4015,4815,980,250755,4128,273135,2826,6211,1330,266924,3024,290390,2570,5453,1189,284937,2770,308563,2012,8582,1552,299981,2681,228741,1587,10351,1420,218390,1947,165139,1437,8788,1251,156351,1742,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4556078,1982,2194791,6928,184923,5133,4204,1225,180719,5259,411566,5234,11332,2109,400234,5705,207993,5607,5220,1251,202773,5680,264646,6146,3886,1342,260760,6323,271980,3598,5144,1430,266836,3447,265982,4539,8001,1587,257981,4408,281074,2449,6832,1224,274242,2630,197498,2605,12219,1905,185279,2985,109129,1990,9047,1428,100082,2479,2361287,6963,178531,5048,4856,1322,173675,5480,385474,5457,9423,2021,376051,5383,213050,4356,6464,1470,206586,4518,291925,4775,5891,1580,286034,4807,296956,3760,7075,1511,289881,3913,289956,3528,5294,1045,284662,3640,313137,1975,6340,1081,306797,2159,229927,2816,9888,1839,220039,3090,162331,2444,10282,1382,152049,2704,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12563908,1621,6148424,5170,462125,4293,4935,1322,457190,4402,1086053,5431,10753,1769,1075300,5450,581862,6383,3694,949,578168,6444,778536,6185,6308,1106,772228,6384,801232,3697,4841,1082,796391,3896,793935,3411,6809,1310,787126,3973,798956,2288,11235,1536,787721,2745,523834,2299,16486,1742,507348,2702,321891,1720,11874,1319,310017,2223,6415484,5220,440023,4920,3586,971,436437,4988,1039543,6666,7710,1403,1031833,6784,574785,6842,5343,1368,569442,6730,780385,5112,5904,1051,774481,5144,821859,3231,5901,1125,815958,3522,825804,3572,6442,1173,819362,3557,853274,1913,8580,1212,844694,1907,602170,2425,11772,1482,590398,2646,477641,2429,9432,1534,468209,2823,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3113029,531,1540690,3831,120285,2771,1577,619,118708,2778,280180,4009,4642,1311,275538,3912,152836,3935,1407,582,151429,3974,178095,3696,2089,761,176006,3688,190309,2484,2397,744,187912,2661,182472,2286,2556,721,179916,2282,204046,1572,3250,707,200796,1719,141383,1123,7605,963,133778,1125,91084,851,4735,823,86349,1084,1572339,3755,117608,3453,1287,564,116321,3574,262689,2639,3163,852,259526,2710,148645,3478,882,355,147763,3469,175713,3195,2342,737,173371,3259,189481,2403,2208,740,187273,2390,183403,1860,2366,713,181037,1906,211562,1596,3714,941,207848,1918,153923,1314,6129,828,147794,1458,129315,1444,4161,865,125154,1764,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1339549,562,659292,2375,38569,1963,620,380,37949,1881,102058,2507,949,446,101109,2492,62974,2374,988,513,61986,2350,74094,2195,1135,540,72959,2201,75599,1360,755,416,74844,1368,92991,1297,1673,767,91318,1391,103932,1054,3194,863,100738,1379,69896,922,3833,834,66063,1236,39179,695,4504,960,34675,1003,680257,2304,37610,1579,545,473,37065,1595,101670,2600,1278,679,100392,2783,58967,2191,858,464,58109,2255,72867,1629,711,331,72156,1613,77386,1352,717,332,76669,1430,95459,1091,1754,681,93705,1316,108438,904,2873,797,105565,1198,74678,910,3690,742,70988,1153,53182,908,3395,784,49787,1209,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2960503,988,1441597,4491,115421,3067,3030,923,112391,3225,263600,4219,7067,1909,256533,4493,140213,4675,2712,1141,137501,4725,169517,3984,3555,1131,165962,4102,172460,3162,3350,830,169110,3193,177086,3504,4066,1099,173020,3524,181442,1705,5402,1134,176040,1812,136296,1722,13117,1617,123179,2041,85562,1232,9606,1352,75956,1777,1518906,4340,108534,3343,2890,1281,105644,3470,259199,4042,5861,1430,253338,4318,135283,4053,2329,856,132954,3995,177300,3991,3941,1205,173359,3856,183941,2693,2521,744,181420,2830,187809,2588,3992,1054,183817,3014,197806,1858,6019,1270,191787,2318,156164,1821,11083,1521,145081,2267,112870,1563,8394,1329,104476,1980,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,952211,1135,456419,2074,32204,1678,933,587,31271,1811,75809,1791,1337,586,74472,1869,40833,1620,456,347,40377,1613,54727,1655,1091,580,53636,1808,52253,1154,323,294,51930,1186,57622,908,1642,836,55980,1222,63212,750,2251,811,60961,1095,49319,912,2870,676,46449,1052,30440,770,2479,716,27961,1042,495792,1400,30441,1299,838,620,29603,1327,76676,1859,1475,642,75201,1916,40906,2237,1234,667,39672,2455,57326,1824,1105,545,56221,1940,57552,1039,703,368,56849,1072,63679,1122,1590,647,62089,1372,72084,563,2001,654,70083,945,57612,670,2377,648,55235,884,39516,705,2165,647,37351,911,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5553564,740,2761536,3436,218759,3309,2729,937,216030,3505,485623,4013,4737,1000,480886,4243,251483,4144,2418,762,249065,4051,341542,3948,4216,1019,337326,4041,356256,2415,2836,671,353420,2593,343948,2309,2544,629,341404,2377,370298,1609,5082,912,365216,1647,242775,1445,9426,1047,233349,1706,150852,1513,7741,1056,143111,1556,2792028,3590,207005,3011,2975,862,204030,3081,464727,3604,4711,979,460016,3607,241591,3246,1660,720,239931,3451,337731,3220,3000,613,334731,3275,352529,2439,2129,603,350400,2527,341666,1928,2842,560,338824,2014,382054,1903,5489,1004,376565,2176,262786,1633,7648,922,255138,1748,201939,1787,6219,983,195720,2184,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
