GEO_ID,B28009B_001E,B28009B_001M,B28009B_002E,B28009B_002M,B28009B_003E,B28009B_003M,B28009B_004E,B28009B_004M,B28009B_005E,B28009B_005M,B28009B_006E,B28009B_006M,NAME,B28009B_001MA,B28009B_001EA,B28009B_002MA,B28009B_002EA,B28009B_003MA,B28009B_003EA,B28009B_004MA,B28009B_004EA,B28009B_005MA,B28009B_005EA,B28009B_006MA,B28009B_006EA,state
0400000US08,227214,6563,217009,6573,72,89,200789,8034,16148,4571,10205,2066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,607578,7465,542479,8391,131,177,480215,10222,62133,7342,65099,6908,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,332323,6641,300363,8254,217,200,278198,8857,21948,3810,31960,4975,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1447288,9495,1261863,14695,2487,1657,1068139,17564,191237,14070,185425,13024,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1711710,10795,1580789,13140,1607,898,1412732,15779,166450,12457,130921,8347,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,107205,4906,100366,5086,173,246,89177,5897,11016,3582,6839,1870,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,19808,2456,19445,2466,24,44,18327,2566,1094,913,363,426,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,437156,6380,380841,8712,297,452,325020,9549,55524,7052,56315,6417,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,208049,3570,194678,4659,158,165,182454,5449,12066,3454,13371,3025,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,350160,6122,335939,6875,91,118,311367,7749,24481,4431,14221,3083,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,17054,1866,14968,2333,0,170,14255,2396,713,662,2086,1676,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2136250,14069,1963542,18561,2257,918,1739828,22900,221457,16560,172708,11714,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3198901,15072,2957585,20800,2362,1639,2621699,27102,333524,18396,241316,12997,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,23380,1741,22525,1915,0,157,21303,2089,1222,709,855,1009,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1262729,7748,1102422,12679,4947,3747,963106,16002,134369,11314,160307,9722,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,272383,7199,254597,8142,1438,1957,226212,8640,26947,4651,17786,3889,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,60135,2695,55776,2631,26,46,50089,2998,5661,1549,4359,1356,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,270569,5740,243504,6713,557,472,213618,6973,29329,3635,27065,3455,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,349037,6202,312452,6930,187,161,279420,9052,32845,5024,36585,4050,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,396929,17189,315297,15589,817,502,276752,15377,37728,6175,81632,6929,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1556776,13296,1438028,15550,2316,1454,1276602,18590,159110,11234,118748,9838,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,24895,1947,23557,2114,0,161,18271,2843,5286,2463,1338,1288,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1304749,10000,1166389,14165,1992,1460,989601,15386,174796,13473,138360,9930,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,77195,3924,74288,4298,0,207,68411,4446,5877,2365,2907,1244,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,2162904,14690,2058453,18070,1812,1361,1891111,21370,165530,12139,104451,8768,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1090063,6718,954062,10177,603,401,805873,14052,147586,12450,136001,8516,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,373170,7034,353190,7966,323,306,326962,8684,25905,4713,19980,3299,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,3385077,21730,3149126,24139,2210,1459,2856430,30265,290486,20887,235951,14235,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,1752836,9580,1676949,11117,1942,881,1557163,17073,117844,12149,75887,6683,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,3281649,20133,3045478,25968,1809,1026,2636912,31892,406757,23295,236171,17951,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,513366,8732,486185,10057,136,133,450977,10762,35072,5605,27181,4300,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,302685,4590,276863,5725,266,240,242773,7750,33824,5614,25822,3774,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
