GEO_ID,B99172_001E,B99172_002E,B99172_003E,B99172_004E,B99172_005E,B99172_006E,B99172_007E,B99172_008E,B99172_009E,B99172_010E,B99172_011E,B99172_012E,B99172_013E,B99172_014E,B99172_015E,NAME,B99172_001EA,B99172_002EA,B99172_003EA,B99172_004EA,B99172_005EA,B99172_006EA,B99172_007EA,B99172_008EA,B99172_009EA,B99172_010EA,B99172_011EA,B99172_012EA,B99172_013EA,B99172_014EA,B99172_015EA,state
0400000US08,1372705,53241,7217,1710,1380,1965,3013,17021,857953,67198,39856,29777,39419,64254,188701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,100396,12212,2488,2745,2727,3648,32369,1027503,96807,45878,33485,46157,76848,199913,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,93542,11449,3550,1761,2434,4328,26435,656161,62081,32182,25703,34910,52575,131816,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,96312,10423,1687,2249,3958,5378,30683,577207,51547,25095,22867,36804,62617,178020,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,164111,19919,2771,4668,7114,10016,56079,1816795,169085,99513,71522,100836,162612,434060,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,35201,4527,1855,898,1066,2240,11524,502612,47079,24422,17651,22610,36429,92215,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,10838,1542,293,334,419,182,2570,226738,19831,9122,9454,11346,14324,34759,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,61657,5870,1989,1723,2290,3057,20867,423719,41227,18982,17271,24407,38022,108053,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,11118,2163,332,78,443,582,5310,116629,13555,6633,4644,6596,8882,61434,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,50456,6088,2170,1173,2424,3161,14280,943733,78969,42270,27095,36442,57658,130908,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,13795,1670,250,104,270,490,3832,166401,15279,7749,5699,7721,10317,32066,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,17539,2372,456,311,563,681,3244,220807,18832,10663,8858,11484,17104,29628,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,170209,20691,3210,4247,4396,9533,54144,1534984,134282,68338,58283,78873,138345,342760,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2537406,173559,17879,3861,3688,6358,10246,59611,1417057,126876,63795,58357,89035,143461,363623,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,167527,7919,886,313,293,683,1269,1258,100891,5788,6768,4928,6092,17006,13433,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1214794,95720,11716,2505,1718,2745,5644,28555,662587,64069,34711,28408,42761,58987,174668,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,155804,6137,448,260,75,129,664,1945,101779,9398,5021,2613,5085,7138,15112,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,706638,38738,4944,501,858,722,1739,16769,402739,33479,20976,17402,24936,41771,101064,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,461911,40050,4245,1091,1358,1210,2230,10088,268903,23465,11922,11038,12658,19192,54461,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,983307,70961,8173,1272,1942,2230,4403,23561,560815,48671,27311,21540,31654,47822,132952,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1487370,62226,7743,2606,2206,2721,4136,21871,965131,86688,42380,31124,42268,58745,157525,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,791354,226356,12848,1875,4655,6510,12735,49383,281563,20809,10615,15899,29108,46427,72571,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,2094307,94549,11733,3170,1680,3012,5599,28787,1297514,109743,62620,50023,64487,108387,253003,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,187919,7807,779,57,140,127,292,1548,118975,8341,5542,3147,4069,8934,28161,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1258273,78548,9973,1439,4127,2093,5458,34522,698784,66503,30189,25996,39276,65964,195401,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,1027648,59174,5080,1852,820,1048,1970,12709,661213,54270,34278,23893,29999,50861,90481,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,144525,7987,499,159,36,218,187,1153,93716,7311,4638,2705,3485,6834,15597,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,8934621,525397,55962,11076,11604,19991,30401,157212,5013467,436761,278258,231159,354400,560302,1248631,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,727948,71533,7254,3234,2377,2757,3278,18639,382784,34126,19962,17466,26149,44442,93947,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,891935,41090,3346,820,808,1031,3742,12126,525475,52108,32201,22189,31714,48576,116709,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,6730268,501258,46320,9326,9656,14914,27543,158591,3792356,304117,181221,148575,223168,351551,961672,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
