GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002EA,C07008_002MA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006MA,C07008_006EA,C07008_007MA,C07008_007EA,C07008_008MA,C07008_008EA,C07008_009MA,C07008_009EA,C07008_010MA,C07008_010EA,C07008_011MA,C07008_011EA,C07008_012MA,C07008_012EA,C07008_013EA,C07008_013MA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016MA,C07008_016EA,C07008_017MA,C07008_017EA,C07008_018MA,C07008_018EA,C07008_019MA,C07008_019EA,C07008_020MA,C07008_020EA,C07008_021MA,C07008_021EA,C07008_022MA,C07008_022EA,C07008_023MA,C07008_023EA,C07008_024EA,C07008_024MA,C07008_025MA,C07008_025EA,C07008_026MA,C07008_026EA,C07008_027MA,C07008_027EA,C07008_028MA,C07008_028EA,C07008_029MA,C07008_029EA,C07008_030MA,C07008_030EA,state
0400000US08,4643242,3035,1508108,14869,2315186,21673,613149,14513,206799,6577,3802208,19023,1101075,16041,2016880,21191,501551,12853,182702,6561,359433,12441,166323,7555,123417,9406,59431,4725,10262,1728,244379,11119,128679,7567,79680,6081,29424,3152,6596,1587,205792,11700,97754,6643,82002,8314,19571,2262,6465,1231,31430,3779,14277,2353,13207,2681,3172,1077,774,425,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5392554,3850,1702711,16677,2637677,27517,733176,15205,318990,7947,4596863,20022,1311878,18227,2388930,26905,609748,12539,286307,7473,442493,13634,212916,9490,135547,8624,75410,5030,18620,2015,206617,8641,106650,6515,61314,5894,30673,3100,7980,1531,120151,6436,59498,3977,40511,4829,15438,1950,4704,1136,26430,3783,11769,2197,11375,2225,1907,892,1379,715,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3629102,3031,1055005,13668,1789351,19839,545957,13560,238789,6999,3095036,15784,811778,14803,1617511,18559,449243,11838,216504,6671,299390,10805,136033,7424,93874,6140,56456,4427,13027,1773,134061,8193,61524,4194,40692,5108,25403,2793,6442,1253,90509,5986,41545,3668,32564,4103,13724,2021,2676,773,10106,1943,4125,1198,4710,1351,1131,486,140,138,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3742752,2833,1368204,17221,1629164,20450,507715,13906,237669,6917,3295824,15815,1137064,18428,1500693,20303,437308,13589,220759,6697,255635,12586,132723,9258,71482,5385,42009,3879,9421,1656,116863,7738,63851,4508,28365,3544,19843,3021,4804,1193,64205,4734,29163,2986,25262,3302,7567,1584,2213,709,10225,2031,5403,1342,3362,1114,988,543,472,338,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,10381247,2772,3672166,20981,4938550,29354,1171396,18023,599135,11157,9088931,22461,2988531,24609,4533306,26834,1018064,17141,549030,10811,782370,17433,409562,12516,240984,8712,99053,4631,32771,2985,272683,10546,147144,6814,83772,6235,32545,2655,9222,1451,179713,9640,101372,6284,55159,5983,18200,2297,4982,1178,57550,4870,25557,3047,25329,3471,3534,966,3130,835,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2545586,2869,773879,10124,1304528,16286,308044,8137,159135,5407,2169752,11348,570722,10852,1195029,15562,259210,7469,144791,5148,206321,8447,104593,5624,63301,5544,30743,2769,7684,1354,96911,5610,58685,3983,23240,3269,10993,1720,3993,975,62985,4206,36294,2658,18388,2561,6004,1185,2299,784,9617,2152,3585,1200,4570,1396,1094,550,368,238,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1147794,1036,352113,7376,582407,11644,147676,7376,65598,3349,998538,7911,275553,8511,538900,11544,125526,6455,58559,3378,70797,6296,35741,3936,19044,3078,12857,2305,3155,1002,29350,3683,14792,2032,8291,1796,4838,1417,1429,654,43587,4068,23504,2515,14127,2612,3830,946,2126,891,5522,1395,2523,1104,2045,905,625,553,329,270,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2429708,3636,712998,11245,1182906,17833,371132,10612,162672,6090,2086884,14142,562724,11944,1070534,17271,306698,10102,146928,5371,187148,10254,83052,5784,58260,5641,36356,3664,9480,1681,88221,6552,40508,4051,27992,3854,17075,2212,2646,807,59488,5110,22460,3030,23971,3304,9970,1818,3087,746,7967,2226,4254,1477,2149,877,1033,545,531,529,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,798598,418,272436,7636,377917,9879,101206,5147,47039,3135,710703,5537,226872,7681,350559,9366,89898,4760,43374,2997,46579,4097,24874,3123,13048,2095,6960,1385,1697,547,8641,1728,4704,1322,2420,1048,884,564,633,552,29938,3280,14871,2278,10913,2279,3103,1062,1051,661,2737,958,1115,578,977,579,361,270,284,282,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4525167,2579,1462327,13456,2324838,18630,515710,10747,222292,5335,3895145,14406,1131182,13932,2126252,18156,436615,10370,201096,5156,307428,11796,156467,8158,96735,6179,42554,3978,11672,1573,213569,8950,114898,5581,64748,4490,27919,2852,6004,976,86968,4703,49070,3252,27953,3449,7468,1262,2477,706,22057,2408,10710,1467,9150,1877,1154,403,1043,485,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,870969,1918,248631,6145,450642,8931,119065,5845,52631,3019,735463,6525,182746,6704,408724,9399,97205,5283,46788,2849,66545,4519,30353,2582,19661,2999,14087,1994,2444,733,29448,2822,16894,2091,7815,1626,3357,832,1382,424,36730,3743,17067,2268,13414,2896,4340,1012,1909,771,2783,1074,1571,902,1028,688,76,103,108,178,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1134585,1819,322576,7706,563647,11770,175262,6318,73100,3947,982313,6596,246435,7499,520984,10663,150116,5974,64778,3646,87029,5911,43264,4080,24117,3301,14422,1982,5226,1069,31244,2819,16418,1848,7182,1868,6236,1367,1408,500,30878,3030,14562,2016,10492,1750,4190,995,1634,626,3121,863,1897,747,872,491,298,200,54,68,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,8485855,5333,2721175,25595,4104435,38309,1133698,18734,526547,10982,7228215,27755,2120020,28696,3680792,35518,949825,16928,477578,10486,614591,20996,295181,12167,192732,10658,100009,5889,26669,2652,334013,11914,179260,8993,94199,7633,48906,3580,11648,1866,263926,10889,109157,6497,114386,7651,31398,2997,8985,1784,45110,4513,17557,3154,22326,3227,3560,1198,1667,611,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,8451927,6355,2954768,28397,3903681,37430,1135777,22216,457701,9844,7255181,25796,2369663,26141,3512793,36572,955774,20737,416951,9609,517001,18372,252204,11785,161380,8705,84589,5261,18828,2308,414409,15851,213189,9288,127419,10300,61569,4488,12232,1871,222551,10538,101276,5948,82894,6751,30980,3387,7401,1482,42785,5345,18436,3054,19195,3469,2865,999,2289,996,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,582974,828,195625,4175,290029,6669,74861,4593,22459,1920,485677,5573,149470,4846,255036,6795,61011,3938,20160,1749,52446,4473,26481,3103,16182,2296,8718,1557,1065,380,15101,2211,7139,1126,5448,1346,1992,750,522,305,25601,3026,11041,1870,11054,2156,2922,1007,584,435,4149,1288,1494,864,2309,837,218,218,128,269,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3987483,3932,1233091,17004,1891151,22411,588387,12389,274854,7752,3452727,15510,987321,17080,1715859,22564,497060,12120,252487,7837,300910,11671,129751,8500,100602,7514,57190,4794,13367,1630,129913,8041,66805,5340,36068,4012,21376,2362,5664,1278,90540,6652,42983,3715,33591,4293,11257,2181,2709,733,13393,2823,6231,1653,5031,1459,1504,989,627,359,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,531532,1121,170122,4188,259102,6015,72091,3590,30217,2114,462309,4126,130724,4369,240016,5650,63587,3241,27982,1987,31850,2917,17381,2035,8715,2244,4434,892,1320,457,11851,1855,7021,1351,2900,992,1522,615,408,267,23334,2925,13818,1889,6811,1671,2198,633,507,288,2188,824,1178,569,660,496,350,373,0,157,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,2459348,1597,824164,11311,1114438,17133,393613,10121,127133,4882,2041526,15721,645453,12570,965038,15873,321280,8635,109755,4645,273714,12683,121078,7416,90864,7746,50710,4650,11062,1923,22778,3328,11100,2038,6769,1586,3949,1216,960,565,108755,7114,41244,3938,46680,4485,15692,1920,5139,1500,12575,2385,5289,1351,5087,1159,1982,816,217,213,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1507317,1997,427453,8933,738508,14656,228813,8501,112543,5059,1340928,7200,344032,9722,694873,14433,196532,8425,105491,5024,86758,5786,41305,4009,24854,3114,16409,2240,4190,847,41645,3691,24481,2703,8587,1817,7036,1388,1541,642,36464,3328,17097,2402,9845,1966,8303,1925,1219,647,1522,579,538,372,349,232,533,338,102,108,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,3144933,1877,923036,10671,1542112,14337,475052,8243,204733,5336,2618055,14410,686779,11626,1366094,13726,381584,7812,183598,5056,296161,10482,129367,6166,97792,6008,56087,3639,12915,1569,131419,6182,63436,4079,39214,3581,23987,2092,4782,1077,87667,5674,39546,3333,32807,3418,12195,1808,3119,749,11631,2044,3908,1141,6205,1742,1199,675,319,203,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,4765395,2164,1538437,14271,2400482,19905,561685,11560,264791,6191,4105403,16607,1176497,16465,2210643,19029,477288,10514,240975,5745,367938,12125,202307,8419,101476,6615,49088,3494,15067,1968,177802,7320,98458,4999,50843,4503,22954,2245,5547,1107,99456,5805,54106,3571,31949,3949,10886,1783,2515,530,14796,2152,7069,1467,5571,1433,1469,608,687,467,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,6966390,5033,2273191,19803,3426808,30737,866680,19257,399711,8103,5910931,23288,1762569,21667,3054183,28045,730179,17649,364000,7641,420232,17038,196649,10766,146348,9483,63197,4985,14038,2007,359508,13360,184646,9156,113499,7924,48718,3350,12645,1774,228015,9522,109285,6530,90180,6620,21548,2443,7002,1445,47704,4856,20042,2890,22598,3352,3038,1011,2026,711,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,609824,1394,198098,6995,315566,10027,61944,4257,34216,2529,502659,5365,139633,6162,280706,9010,51998,3778,30322,2434,53324,4657,28485,3496,16619,2558,5408,1096,2812,865,20983,3045,11366,1594,7186,2138,1796,760,635,301,29712,3644,17318,2362,9237,2331,2741,786,416,299,3146,1085,1296,633,1818,798,1,2,31,46,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,4165633,3527,1372312,15902,1932494,22075,578877,15066,281950,8641,3579627,16376,1091676,16745,1742606,21060,491365,13521,253980,8388,276123,11369,128932,7789,86880,7247,45137,3926,15174,2462,132908,8484,75240,6580,32615,4360,19935,2787,5118,1271,158739,7801,69027,4507,62156,5361,20330,2899,7226,1509,18236,3469,7437,2062,8237,2036,2110,882,452,381,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,3469423,2572,1075465,15180,1720856,20765,492186,12786,180916,4907,2870700,15451,784392,16442,1524067,20766,402454,12054,159787,4606,321869,11980,153040,8211,106431,6970,51235,4419,11163,1551,137309,8558,68240,5392,44901,4769,18482,2423,5686,1210,121899,6569,61178,3973,38706,4576,18615,2583,3400,1071,17646,2781,8615,2080,6751,1669,1400,510,880,588,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,466760,1289,128437,5465,246989,7362,65876,4932,25458,2295,391796,5243,90227,4756,222693,7126,55309,4662,23567,2267,37099,3866,18643,2219,11505,2644,5786,1482,1165,364,13486,2052,7497,1285,3879,1332,1855,714,255,213,22003,3255,10847,1863,7937,2313,2748,783,471,314,2376,1127,1223,864,975,715,178,232,0,203,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,32083562,4039,11974160,43407,14933867,54426,3588664,33844,1586871,17139,28043386,43609,9978838,46818,13492691,55611,3112875,32395,1458982,16414,2428550,35520,1166849,23533,868604,19705,312303,11056,80794,5290,933910,20259,501607,14290,297649,13205,105821,6512,28833,3332,433783,14370,222258,9224,157229,9098,43617,3655,10679,1552,243933,10576,104608,6580,117694,6837,14048,2506,7583,1399,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,2401006,3130,819771,12913,1063836,20300,343450,11288,173949,6021,2109894,12071,674577,13994,974989,19095,297824,10181,162504,5690,153018,10236,72211,6617,49275,5171,24588,2745,6944,1507,78300,5720,44395,3986,19103,3459,12287,2037,2515,630,53459,5295,26388,2979,17410,3258,8095,1649,1566,678,6335,1772,2200,767,3059,1313,656,348,420,356,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,2975536,1533,1039711,12687,1403515,19125,362067,9198,170243,6388,2616496,13302,858528,14116,1288985,18238,312666,9579,156317,6082,198441,9141,94888,5671,65816,5609,29969,3308,7768,1268,62221,4712,38515,3647,12317,2468,8839,1817,2550,750,72464,5423,36997,3491,24213,3366,8290,1643,2964,1011,25914,4469,10783,2297,12184,2810,2303,852,644,312,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,22535123,6785,7645264,39589,10854883,58414,2888872,33889,1146104,16730,19117647,43418,6093919,41691,9596428,63110,2399417,29718,1027883,16157,1917218,33639,878913,21872,679881,22558,293680,9962,64744,4790,888685,24408,430609,13490,296920,13908,128673,7130,32483,3890,446202,17026,172959,8100,203676,11930,54719,4558,14848,2141,165371,11963,68864,6208,77978,7401,12383,2641,6146,1453,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,4931235,2244,1727471,14038,2345307,18308,597177,13089,261280,6273,4249394,18203,1392249,16272,2107908,19249,510440,12439,238797,6519,352284,13797,167788,9326,122010,7883,50983,3980,11503,1745,155802,8123,85075,6351,48445,5285,16326,2166,5956,1390,135687,7788,66764,4883,48497,5446,16628,2427,3798,1034,38068,4179,15595,2320,18447,3020,2800,1056,1226,602,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,17791739,5407,5716655,32071,8147234,49313,2713818,29370,1214032,17143,15117541,43201,4579525,34648,7168922,51238,2281395,30500,1087699,16779,1416446,33085,611875,21116,490369,15331,247543,11685,66659,4978,571499,16061,282540,10251,174287,8922,91449,6415,23223,2593,502738,17115,175315,8049,226236,12294,73348,5489,27839,3474,183515,10309,67400,7210,87420,6628,20083,3443,8612,2068,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,5783050,2155,2149135,19662,2674151,25383,652539,12734,307225,8789,5036611,21293,1745845,22167,2433325,25837,574539,12198,282902,8906,387010,15427,194554,10424,130631,8709,47606,4130,14219,1864,169522,9133,96367,5945,52774,5746,16227,2241,4154,1119,132264,6227,82431,4707,35279,3747,10788,2585,3766,1271,57643,5379,29938,3830,22142,3182,3379,1242,2184,729,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,590722,218,343450,6267,164743,6520,59686,4472,22843,2085,478006,4577,260810,6823,144000,5735,52639,4033,20557,2031,58432,3609,41816,3154,11276,1949,4492,1231,848,535,0,213,0,213,0,213,0,213,0,213,45223,3591,34977,3091,7013,1561,2212,704,1021,672,9061,1686,5847,1220,2454,887,343,268,417,385,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
