GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001EA,C14007F_001MA,C14007F_002EA,C14007F_002MA,C14007F_003MA,C14007F_003EA,C14007F_004MA,C14007F_004EA,C14007F_005MA,C14007F_005EA,C14007F_006EA,C14007F_006MA,C14007F_007EA,C14007F_007MA,state
0400000US08,189958,12827,52724,5392,4533,1341,22308,3499,14769,2462,11114,2228,137234,9790,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,154090,10106,53361,5304,4426,1313,25484,3347,14468,2599,8983,1990,100729,6492,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,48416,5669,17201,2993,1688,854,11014,2356,3015,830,1484,601,31215,3789,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,62016,7444,18996,3426,3262,1368,10490,2276,2462,1037,2782,1052,43020,5351,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,686353,24577,222897,11241,23560,3749,101253,6406,53629,4478,44455,3882,463456,16655,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,29855,5045,9327,2252,779,492,3941,1344,2104,865,2503,913,20528,3655,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,8291,2427,2430,1235,287,354,1081,729,566,428,496,341,5861,1685,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,81681,6560,30949,3690,3587,1000,14247,2278,6426,1368,6689,1821,50732,3766,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,18634,4105,5639,1562,379,488,3223,1351,1346,751,691,372,12995,3038,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,98562,7250,36031,3635,5220,1266,16106,2390,7837,1646,6868,1314,62531,4764,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5592,1808,1864,964,84,83,1115,768,69,76,596,427,3728,1247,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,3099,1056,1058,573,23,41,348,304,163,129,524,434,2041,915,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,309640,16325,116536,8598,12750,2322,56018,5281,28934,3659,18834,2697,193104,10624,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,287659,16525,98594,8008,12152,2446,51339,5915,22789,2812,12314,2174,189065,11407,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,9533,2585,1655,825,146,172,857,666,192,165,460,314,7878,2036,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,78881,7202,29661,4268,4391,1679,17107,2478,5642,1454,2521,888,49220,4655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,2542,917,924,378,88,96,143,114,289,257,404,263,1618,711,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,343948,15608,104868,7510,8476,1612,52556,5023,27569,3295,16267,2495,239080,10540,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,6217,2249,2715,1227,396,327,820,555,959,675,540,312,3502,1239,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,104551,8142,34131,3793,3512,1013,16857,2397,8019,1149,5743,1551,70420,5466,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,116693,8296,38894,4331,5196,1339,19424,2464,8757,1645,5517,1265,77799,5455,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,540787,16934,139831,7540,11663,1721,58982,4325,27490,2558,41696,3894,400956,12993,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,202843,12158,62989,5125,5568,1160,31152,3622,14164,2163,12105,1629,139854,9317,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,9171,2365,2553,1028,302,293,1369,829,274,258,608,350,6618,1898,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,88210,7971,29372,3757,3070,1100,13685,2747,8224,1899,4393,1227,58838,5799,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,132654,11242,43379,5721,4189,1337,20683,3283,9731,2037,8776,1940,89275,7850,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,8319,2290,3361,1496,82,113,1521,692,965,578,793,533,4958,1613,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5228847,67871,1631257,30979,158646,7210,669111,16446,371327,12317,432173,13141,3597590,44882,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,27832,4131,9710,2244,946,529,4277,1293,2951,1270,1536,738,18122,2727,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,187014,11670,54934,5249,6940,1747,28339,3651,10431,1779,9224,1683,132080,8264,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,1634837,34470,485284,17787,48976,4189,221969,10650,122994,7965,91345,6274,1149553,24344,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,282327,14844,93296,6271,11672,2030,45635,3866,20967,2352,15022,2512,189031,10924,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,685420,32136,192479,12543,17685,2560,88628,7839,39102,4322,47064,4970,492941,24630,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,290009,14423,86711,7236,7891,1521,38134,4149,19035,2568,21651,3410,203298,11126,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,29115,4820,10764,2555,1271,917,5427,1823,1545,688,2521,1070,18351,3374,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,160623,10404,55938,5034,5870,1705,29179,3635,11691,1629,9198,1701,104685,7371,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,1613329,36836,475981,14825,51997,4352,202216,8657,105045,5540,116723,6811,1137348,27644,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,571366,24637,176533,10670,24753,3589,77891,5867,38332,3853,35557,4163,394833,17763,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,106484,7818,35883,3902,2909,921,17056,2555,8928,1708,6990,1695,70601,5664,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,53435,6469,19001,3655,1722,741,7745,2270,3558,1077,5976,1596,34434,3883,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,291194,14985,86532,6493,10714,2330,41863,4127,19169,2150,14786,2459,204662,11424,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,113222,8797,37200,4749,3813,1307,15974,2359,9408,1698,8005,2226,76022,5533,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
