GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001EA,C15010I_001MA,C15010I_002EA,C15010I_002MA,C15010I_003EA,C15010I_003MA,C15010I_004MA,C15010I_004EA,C15010I_005MA,C15010I_005EA,C15010I_006MA,C15010I_006EA,state
0400000US08,116774,6039,45543,3964,10089,1776,22359,2707,10090,2022,28693,2875,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,35220,3459,11022,1702,3677,1045,9050,1559,3352,968,8119,1770,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,16352,2422,5687,1396,1470,567,3371,1055,2091,916,3733,1147,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26030,3076,8654,1671,4029,1295,5502,1094,2084,873,5761,1230,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,185498,7310,59172,3950,16363,1982,43481,4112,18366,2262,48116,3564,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,13283,1822,4645,1026,684,391,2364,854,2494,867,3096,838,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,6252,1190,2608,818,376,321,1438,543,536,383,1294,621,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,13332,2147,4700,1386,784,501,4331,1314,1238,598,2279,905,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,8046,1530,3170,1098,172,208,2756,817,592,392,1356,574,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,28283,2666,10929,1664,2154,585,6141,1387,2727,917,6332,1057,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5424,1390,911,480,1494,975,837,739,604,360,1578,782,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,4502,893,2200,653,393,216,354,230,790,389,765,352,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,77941,5910,24336,3012,6540,1700,20333,2686,6925,1649,19807,2602,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,94598,6348,35423,3980,7716,1549,26064,3184,6867,1556,18528,2831,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,7187,1287,2713,901,1201,567,575,340,591,408,2107,858,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,21159,2875,6633,1358,1903,745,5088,1736,2596,1021,4939,1310,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,2930,698,607,349,122,153,250,144,309,231,1642,493,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,57406,4754,17496,2274,4720,1377,15527,2514,7070,1547,12593,1907,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,2933,1005,880,504,330,324,415,249,488,339,820,548,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,24330,2339,7640,1337,3026,855,6122,1256,1997,479,5545,1141,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,31099,2776,10232,1457,3969,919,5750,1078,3621,868,7527,1304,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,599107,13092,162178,6968,68323,4716,177583,7305,108335,6316,82688,5252,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,112365,6166,46730,3422,7515,1634,25494,2818,8740,1998,23886,3099,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,2618,993,1434,916,372,283,280,266,90,130,442,340,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,26397,3046,9789,1834,2262,1079,6205,1541,2887,1039,5254,1400,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,46455,3897,19002,2195,3860,1167,9410,1746,2623,847,11560,1731,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,3237,983,1593,754,409,381,155,147,499,415,581,322,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,1225685,22854,445588,11135,97981,6100,247387,9217,94429,5372,340300,11194,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,7639,1939,2690,1104,217,233,2649,1319,700,486,1383,625,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,59071,4417,21076,2623,5846,1599,13021,1689,4221,1090,14907,2199,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,970825,19343,311161,11473,90086,5485,233329,8916,138891,7749,197358,8619,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,79135,4696,32660,3155,5877,1323,15107,2195,6627,1533,18864,2426,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,938834,15996,306049,9517,112815,6275,254578,11374,105739,6310,159653,7308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,101392,6488,44639,4080,7394,1707,19515,2980,6451,1391,23393,2959,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,27572,2682,13885,2073,1896,785,3035,1344,965,574,7791,1682,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,36684,3354,11833,2128,4208,1281,8844,1649,4868,1279,6931,1204,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,468681,12468,150937,6281,42085,3767,106419,6426,46284,3786,122956,6424,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,233731,7475,83381,5097,16341,2190,61413,4771,22435,2680,50161,4141,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,44812,3628,15858,2096,5246,1560,9484,1626,4347,1126,9877,1694,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,30720,3097,11235,2163,3319,904,7209,1582,2868,936,6089,1366,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,92717,5131,30273,2681,11333,1853,16727,2164,9419,1429,24965,2851,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,52235,3687,21602,2307,4422,870,11248,1746,4466,1047,10497,1528,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,14757,1799,4036,1312,1510,561,4107,1100,1644,577,3460,912,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,10789,2089,3617,1164,995,523,2085,834,1381,589,2711,1010,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,98422,5613,33362,3860,9290,1582,20267,2392,17254,2370,18249,2233,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,21346,2199,7025,1252,2253,921,4543,1051,1347,491,6178,1461,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,2365,810,820,452,370,324,109,138,175,173,891,592,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,80473,4488,33293,2949,7277,1687,13702,2291,6782,1434,19419,2241,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,14887,2570,6387,2300,1024,605,2456,980,1401,680,3619,1051,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,171950,7362,53172,3975,15725,2492,38267,3165,26169,2994,38617,2997,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,32290,3139,11418,1956,2739,886,7886,1663,3237,1279,7010,1399,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,23442,2855,7383,1730,2733,1127,5763,1273,2884,961,4679,1363,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
