GEO_ID,C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,NAME,C17001F_001EA,C17001F_001MA,C17001F_002EA,C17001F_002MA,C17001F_003EA,C17001F_003MA,C17001F_004EA,C17001F_004MA,C17001F_005MA,C17001F_005EA,C17001F_006EA,C17001F_006MA,C17001F_007MA,C17001F_007EA,C17001F_008MA,C17001F_008EA,C17001F_009MA,C17001F_009EA,C17001F_010EA,C17001F_010MA,C17001F_011EA,C17001F_011MA,C17001F_012EA,C17001F_012MA,C17001F_013EA,C17001F_013MA,C17001F_014EA,C17001F_014MA,C17001F_015EA,C17001F_015MA,C17001F_016EA,C17001F_016MA,C17001F_017EA,C17001F_017MA,C17001F_018MA,C17001F_018EA,C17001F_019MA,C17001F_019EA,state
0400000US08,193436,13308,31733,5286,15086,3551,6661,2039,7763,2194,662,382,16647,2931,5051,1799,9842,1763,1754,779,161703,12808,85330,7653,18735,4044,61089,5259,5506,1034,76373,6965,17806,2852,52941,5129,5626,1132,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,160282,10404,35203,6425,16541,3353,8280,2273,7754,1776,507,337,18662,3809,7118,1916,11275,2270,269,182,125079,10478,66732,6436,18428,2668,45112,4270,3192,840,58347,4872,18380,2560,37360,2998,2607,801,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,49995,6024,15964,4183,8451,2397,4673,1814,3685,1186,93,137,7513,2318,3662,1429,3851,1182,0,197,34031,5074,20021,3032,5346,1551,14022,2272,653,499,14010,2759,6604,1968,6719,1524,687,535,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,61038,7411,12565,3212,5482,1761,2870,1237,2459,936,153,176,7083,1987,2633,922,4344,1362,106,157,48473,6620,26823,3707,8530,2029,17514,2651,779,461,21650,3711,7243,1951,12490,2587,1917,793,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,708479,25458,108274,11895,47472,6877,24588,4540,20316,3357,2568,757,60802,6228,22176,3054,35143,4087,3483,964,600205,23389,314348,13033,81713,6416,217299,8366,15336,1807,285857,12979,81368,6718,186779,8262,17710,2046,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,30185,5292,7627,2891,3445,1399,1263,913,2088,837,94,150,4182,1723,1618,845,2547,992,17,40,22558,4081,12570,2317,2669,994,9478,1726,423,251,9988,2168,2476,1052,7266,1580,246,179,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,8775,2716,1390,1222,605,551,145,218,460,480,0,192,785,844,288,437,429,417,68,121,7385,2591,4248,1580,1235,832,2693,981,320,247,3137,1316,988,740,1761,690,388,326,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,82557,6545,20757,4071,8802,2287,3321,1279,4930,1824,551,390,11955,2599,5988,1721,5731,1383,236,263,61800,6112,31599,3740,9230,1941,21832,2374,537,338,30201,3283,9840,1821,19918,2369,443,305,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,19562,4209,5172,2809,2168,1177,1431,865,658,395,79,126,3004,2049,1488,1605,1428,617,88,82,14390,4341,7366,2176,1713,852,5438,1561,215,298,7024,2495,2241,1187,4293,1555,490,294,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,101410,7885,15649,3421,6216,1538,2410,933,3756,1055,50,86,9433,2264,3082,1250,6264,1376,87,118,85761,7707,46006,4713,13586,2301,31179,3010,1241,533,39755,4209,15074,2420,23228,2503,1453,620,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5698,1857,747,568,522,473,40,77,482,440,0,172,225,159,83,104,128,135,14,24,4951,1731,2485,1175,659,556,1589,773,237,225,2466,820,737,551,1496,624,233,172,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,322110,16527,78832,9462,32973,4261,19109,3336,13791,2061,73,76,45859,6264,20601,4082,24582,3592,676,518,243278,15066,128125,8557,41783,4356,82880,5716,3462,1344,115153,8612,38849,4567,71815,5282,4489,1334,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,292540,17631,68782,10884,31449,5886,17208,3929,13202,2922,1039,784,37333,6234,17612,3654,18379,3216,1342,986,223758,16927,120192,9578,34089,4060,81742,7156,4361,1410,103566,9538,34600,4796,65871,6289,3095,1062,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,9732,2616,733,456,256,215,0,157,209,197,47,73,477,417,261,317,216,188,0,157,8999,2663,5320,1743,741,592,4213,1352,366,248,3679,1153,447,310,2909,969,323,272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,83031,7435,32015,5719,15804,3056,9236,2069,6286,1733,282,348,16211,3484,7694,2336,8081,1633,436,397,51016,7923,28700,4597,9608,2350,18873,2994,219,203,22316,4220,8633,2344,12864,2224,819,477,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
