GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001EA,C17010H_001MA,C17010H_002EA,C17010H_002MA,C17010H_003EA,C17010H_003MA,C17010H_004EA,C17010H_004MA,C17010H_005EA,C17010H_005MA,C17010H_006EA,C17010H_006MA,C17010H_007EA,C17010H_007MA,C17010H_008MA,C17010H_008EA,C17010H_009MA,C17010H_009EA,C17010H_010EA,C17010H_010MA,C17010H_011EA,C17010H_011MA,C17010H_012EA,C17010H_012MA,C17010H_013EA,C17010H_013MA,C17010H_014EA,C17010H_014MA,C17010H_015EA,C17010H_015MA,C17010H_016EA,C17010H_016MA,C17010H_017MA,C17010H_017EA,state
0400000US08,997741,9959,40655,3444,17932,1961,7977,1525,22723,2634,4395,1180,3146,1091,18328,2467,15442,2261,957086,10174,804412,9509,304589,7032,152674,5876,52900,3355,28158,2589,99774,5077,50082,4156,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1395416,10488,100017,5279,39069,2927,20176,2188,60948,4482,10938,1852,8500,1724,50010,4044,43339,3607,1295399,11184,1052127,12244,392901,7568,243272,7499,84674,4322,48355,3229,158598,6074,88919,5254,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,998984,10156,113353,5095,49081,3528,27240,2619,64272,4328,9606,1604,7043,1352,54666,3828,45352,3611,885631,10336,716667,9656,274534,5667,168964,6740,57132,3696,30761,2771,111832,5358,57420,4042,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,705736,8914,57226,4294,22824,2761,9691,1804,34402,3526,7142,1540,4665,1374,27260,2876,23882,2821,648510,9035,530647,10022,204883,6256,117863,6325,40079,3614,22186,2714,77784,4453,39638,3577,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2063930,12697,108586,4474,43599,3322,18496,2109,64987,3536,11575,1657,8062,1333,53412,3534,44417,3309,1955344,12614,1630288,12218,606766,8717,325056,8114,105196,4688,49886,3299,219860,6133,110791,5283,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,714393,7296,40690,2885,14537,1623,6514,1038,26153,2248,3889,852,2885,727,22264,2122,19177,2191,673703,7502,560165,7997,205533,5112,113538,4527,42243,3166,27475,2528,71295,3567,42793,2848,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,314455,5783,12451,1636,4068,856,1821,644,8383,1532,1265,600,1207,593,7118,1493,6041,1452,302004,5439,250766,5787,80678,3895,51238,3735,18214,2331,9261,1504,33024,2801,18338,2218,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,587954,9191,55787,4545,25076,2786,12367,2020,30711,2866,6024,1274,4358,986,24687,2716,21219,2597,532167,8134,433257,7598,156334,4933,98910,5369,33794,3420,18123,2392,65116,3962,35522,2732,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,158999,4099,7613,1367,3623,792,1552,626,3990,1115,830,453,731,441,3160,1079,2400,975,151386,4333,123929,3953,37791,2711,27457,2593,7942,1478,3960,1079,19515,2024,9127,1359,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1181473,7730,43910,2707,18483,1628,7065,1091,25427,2539,4297,922,2639,675,21130,2166,17810,2153,1137563,7551,958725,8159,360175,5661,178838,4965,66800,3484,37233,2459,112038,4268,62806,3104,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,238407,5260,15338,1764,7556,1311,3292,842,7782,1268,1565,516,1403,461,6217,1223,5790,1192,223069,5249,189103,4648,66312,3014,33966,2973,12905,2003,8028,1786,21061,2123,11967,1768,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,325630,5587,22490,2255,8709,1366,3827,1036,13781,1914,2588,587,2119,640,11193,1799,10053,1743,303140,5415,247757,5433,79429,3186,55383,3733,19548,2286,10146,1441,35835,2913,18797,2461,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1772395,14178,116286,6083,55294,4147,23530,3111,60992,4638,10890,1575,7035,1252,50102,4139,41074,3776,1656109,13724,1389168,13084,493820,9783,266941,8205,86627,4356,44911,3862,180314,6590,88566,4581,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1458853,12358,100742,5106,42014,3412,17200,2416,58728,4112,10545,1651,6398,1373,48183,3618,38719,3369,1358111,12893,1143715,12453,432085,9991,214396,8606,72470,4836,37343,3801,141926,6242,71018,4704,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,110759,3244,5001,1193,2614,625,1266,449,2387,968,1060,719,363,230,1327,581,1132,549,105758,3577,88751,3273,36358,2355,17007,1816,7775,1228,3867,906,9232,1189,5366,861,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,851680,8991,64860,3873,29492,2866,14569,2028,35368,3054,4874,1118,2996,904,30494,2843,23541,2595,786820,9610,665478,9211,239337,6819,121342,5708,40943,3516,19939,2607,80399,4479,38366,3671,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,147841,3379,8731,1508,3622,832,1665,575,5109,1235,910,451,554,225,4199,1153,3870,1114,139110,3239,113871,3298,37563,1915,25239,2376,10348,1259,5878,997,14891,1976,8022,1290,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,380936,5991,19127,2009,9693,1595,3025,764,9434,1403,2604,770,1960,742,6830,1239,5524,1150,361809,5998,285076,5984,91500,4101,76733,4098,27542,2566,14606,1766,49191,3134,23885,2392,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,436895,6119,55099,4115,23572,2590,13363,2193,31527,3014,6886,1582,5138,1502,24641,2599,19839,2391,381796,6248,308938,7073,103372,5096,72858,4644,24341,2542,11162,1677,48517,3784,25653,2548,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,694832,6081,59094,2582,23194,1800,12199,1345,35900,2186,5652,1087,4258,973,30248,2025,25982,1936,635738,5881,515307,6077,194813,4255,120431,3857,42312,2298,24042,2268,78119,3239,42684,2676,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1266227,9070,59418,3741,26685,2039,10971,1277,32733,2793,6366,1212,4720,1044,26367,2231,22723,1969,1206809,9237,1007906,10172,351974,6447,198903,6554,77455,3439,44393,3029,121448,4805,68725,3740,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,5989,1357,1399,696,575,501,214,250,824,481,383,378,250,303,441,315,325,256,4590,1108,3479,950,1125,634,1111,606,58,91,58,91,1053,606,457,485,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1387902,10786,72217,4104,30827,2258,12868,1706,41390,3294,7595,1356,5380,1141,33795,3035,28430,2848,1315685,11006,1104052,10295,414796,6984,211633,7315,71164,4200,37651,3327,140469,5585,69204,4363,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,161629,4856,6292,997,2899,828,967,511,3393,787,620,300,305,213,2773,784,2374,768,155337,4751,131931,4653,51383,2904,23406,2656,9005,1410,5116,1085,14401,2027,8877,1759,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,858947,9788,54829,4034,24548,2531,9172,1468,30281,2799,5903,1139,4553,1031,24378,2695,20434,2432,804118,9993,673415,9708,235891,6349,130703,6936,43905,3931,22020,2898,86798,5081,41454,3294,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,824913,9868,55710,3844,22675,2409,10001,1876,33035,3377,6119,1391,4102,1070,26916,3070,22663,3028,769203,9894,630981,9406,212233,5818,138222,6086,47944,3269,25387,2783,90278,4872,46829,4156,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,124565,4398,7563,1597,3014,901,1873,751,4549,1222,1051,546,814,524,3498,999,3256,992,117002,4080,99580,3885,35384,2451,17422,2142,5937,1187,3180,924,11485,1730,7329,1444,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,3759069,17393,187291,7377,88111,4460,36356,3064,99180,5220,23066,2325,14757,1964,76114,4858,55090,4311,3571778,17641,2909668,18586,1026247,13489,662110,12796,225588,7154,100752,5150,436522,11125,189418,7352,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,443685,7316,35789,3672,15197,2202,7393,1493,20592,3117,2877,951,1739,653,17715,2926,15092,2922,407896,6552,345269,6919,130261,4342,62627,4104,18625,2308,8229,1549,44002,3531,20323,2331,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,627496,7572,21798,2249,9021,1420,3674,939,12777,1752,2752,1005,1843,910,10025,1527,7009,1327,605698,7161,497737,7720,174526,4816,107961,4677,34439,3163,15398,1962,73522,4006,33004,2913,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,3137211,17599,159955,7721,77237,5536,33070,3789,82718,5287,14436,2113,10142,1801,68282,4652,53849,3876,2977256,17599,2490951,19203,932411,13279,486305,11179,155728,6849,79580,5614,330577,9081,170605,5804,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,814509,7837,27194,2144,11049,1493,4163,962,16145,1617,2274,759,1724,734,13871,1702,10847,1610,787315,7990,657150,7807,243794,5182,130165,5682,42941,3713,20906,2674,87224,4431,40361,2685,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,2931013,18987,179497,6790,92034,5292,30357,2908,87463,5360,17070,2197,9918,1555,70393,5150,53793,4699,2751516,18909,2262194,20794,611037,11069,489322,11629,159958,7300,73633,5296,329364,9819,148720,7517,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,1227184,9847,45273,3609,17897,2109,6429,1384,27376,2751,5075,1237,3201,1080,22301,2474,17762,2229,1181911,9981,961988,11174,360850,8346,219923,6939,66359,3797,26942,3036,153564,6023,71037,4234,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,47370,2506,793,546,372,249,145,141,421,460,45,75,0,213,376,452,331,442,46577,2529,42411,2527,16462,1709,4166,865,1448,510,697,385,2718,818,1423,680,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,611137,6416,27168,2609,14675,2109,7810,1526,12493,1812,1533,683,1284,661,10960,1751,9408,1734,583969,6678,504426,6354,251021,5128,79543,4763,27413,2916,14782,2230,52130,3324,27359,2377,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
